[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x0043b204 NONE FUNC USER32.dll   MessageBoxA
2   0x0043b208 NONE FUNC USER32.dll   GetForegroundWindow
3   0x0043b20c NONE FUNC USER32.dll   AnimateWindow
4   0x0043b210 NONE FUNC USER32.dll   PostQuitMessage
5   0x0043b214 NONE FUNC USER32.dll   ShutdownBlockReasonCreate
6   0x0043b218 NONE FUNC USER32.dll   DefWindowProcA
7   0x0043b21c NONE FUNC USER32.dll   CloseWindow
8   0x0043b220 NONE FUNC USER32.dll   DeferWindowPos
9   0x0043b224 NONE FUNC USER32.dll   AdjustWindowRect
10  0x0043b228 NONE FUNC USER32.dll   ShutdownBlockReasonDestroy
11  0x0043b22c NONE FUNC USER32.dll   RegisterClassExW
12  0x0043b230 NONE FUNC USER32.dll   CreateWindowExW
13  0x0043b234 NONE FUNC USER32.dll   GetMessageA
14  0x0043b238 NONE FUNC USER32.dll   TranslateMessage
15  0x0043b23c NONE FUNC USER32.dll   DispatchMessageA
16  0x0043b240 NONE FUNC USER32.dll   wsprintfW
17  0x0043b244 NONE FUNC USER32.dll   ReleaseDC
18  0x0043b248 NONE FUNC USER32.dll   EnumChildWindows
19  0x0043b24c NONE FUNC USER32.dll   MessageBoxW
20  0x0043b250 NONE FUNC USER32.dll   wsprintfA
21  0x0043b254 NONE FUNC USER32.dll   DestroyWindow
1   0x0043b064 NONE FUNC GDI32.dll    SetPixel
2   0x0043b068 NONE FUNC GDI32.dll    DeleteObject
3   0x0043b06c NONE FUNC GDI32.dll    SelectPalette
4   0x0043b070 NONE FUNC GDI32.dll    SetPaletteEntries
5   0x0043b074 NONE FUNC GDI32.dll    GetDeviceCaps
1   0x0043b07c NONE FUNC KERNEL32.dll ExitProcess
2   0x0043b080 NONE FUNC KERNEL32.dll LoadLibraryA
3   0x0043b084 NONE FUNC KERNEL32.dll lstrcpyA
4   0x0043b088 NONE FUNC KERNEL32.dll lstrcatA
5   0x0043b08c NONE FUNC KERNEL32.dll GetProcAddress
6   0x0043b090 NONE FUNC KERNEL32.dll lstrlenW
7   0x0043b094 NONE FUNC KERNEL32.dll CreateDirectoryW
8   0x0043b098 NONE FUNC KERNEL32.dll GetLastError
9   0x0043b09c NONE FUNC KERNEL32.dll TlsSetValue
10  0x0043b0a0 NONE FUNC KERNEL32.dll WriteFile
11  0x0043b0a4 NONE FUNC KERNEL32.dll lstrcpynW
12  0x0043b0a8 NONE FUNC KERNEL32.dll CreateFileW
13  0x0043b0ac NONE FUNC KERNEL32.dll lstrcatW
14  0x0043b0b0 NONE FUNC KERNEL32.dll FindNextFileW
15  0x0043b0b4 NONE FUNC KERNEL32.dll lstrcmpW
16  0x0043b0b8 NONE FUNC KERNEL32.dll FindClose
17  0x0043b0bc NONE FUNC KERNEL32.dll GetTickCount
18  0x0043b0c0 NONE FUNC KERNEL32.dll VirtualFree
19  0x0043b0c4 NONE FUNC KERNEL32.dll ExitThread
20  0x0043b0c8 NONE FUNC KERNEL32.dll CreateThread
21  0x0043b0cc NONE FUNC KERNEL32.dll CloseHandle
22  0x0043b0d0 NONE FUNC KERNEL32.dll VirtualAlloc
23  0x0043b0d4 NONE FUNC KERNEL32.dll TlsGetValue
24  0x0043b0d8 NONE FUNC KERNEL32.dll GetModuleHandleA
25  0x0043b0dc NONE FUNC KERNEL32.dll HeapAlloc
26  0x0043b0e0 NONE FUNC KERNEL32.dll CreateToolhelp32Snapshot
27  0x0043b0e4 NONE FUNC KERNEL32.dll Process32FirstW
28  0x0043b0e8 NONE FUNC KERNEL32.dll Process32NextW
29  0x0043b0ec NONE FUNC KERNEL32.dll GetModuleHandleW
30  0x0043b0f0 NONE FUNC KERNEL32.dll OutputDebugStringW
31  0x0043b0f4 NONE FUNC KERNEL32.dll GetSystemDirectoryW
32  0x0043b0f8 NONE FUNC KERNEL32.dll CreateProcessW
33  0x0043b0fc NONE FUNC KERNEL32.dll GetShortPathNameW
34  0x0043b100 NONE FUNC KERNEL32.dll WaitForSingleObject
35  0x0043b104 NONE FUNC KERNEL32.dll Sleep
36  0x0043b108 NONE FUNC KERNEL32.dll lstrlenA
37  0x0043b10c NONE FUNC KERNEL32.dll GetCurrentProcessId
38  0x0043b110 NONE FUNC KERNEL32.dll VirtualQuery
39  0x0043b114 NONE FUNC KERNEL32.dll VirtualProtect
40  0x0043b118 NONE FUNC KERNEL32.dll IsBadReadPtr
41  0x0043b11c NONE FUNC KERNEL32.dll FreeLibrary
42  0x0043b120 NONE FUNC KERNEL32.dll lstrcmpA
43  0x0043b124 NONE FUNC KERNEL32.dll AllocConsole
44  0x0043b128 NONE FUNC KERNEL32.dll GetStdHandle
45  0x0043b12c NONE FUNC KERNEL32.dll WriteConsoleW
46  0x0043b130 NONE FUNC KERNEL32.dll UnmapViewOfFile
47  0x0043b134 NONE FUNC KERNEL32.dll lstrcmpiW
48  0x0043b138 NONE FUNC KERNEL32.dll lstrcpyW
49  0x0043b13c NONE FUNC KERNEL32.dll SetFileAttributesW
