[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000d0 0x000000d0 4   5            ascii   Rich
2    0x000001d8 0x000001d8 5   6            ascii   .text
3    0x000001ff 0x000001ff 7   8            ascii   `.rdata
4    0x00000227 0x00000227 6   7            ascii   @.data
5    0x00000aa3 0x00000aa3 5   6            ascii   m\a]rL
6    0x00000aed 0x00000aed 4   5            ascii   Oor;
7    0x00000b39 0x00000b39 4   5            ascii   9mG-
8    0x00000b92 0x00000b92 5   7            utf8    fCNrI
9    0x00000bad 0x00000bad 5   6            ascii   \f>K]T
10   0x00000c0b 0x00000c0b 4   6            utf8    t0ō* blocks=Basic Latin,Latin Extended-A
11   0x00000c2a 0x00000c2a 6   7            ascii   ^6\bC\bT
12   0x00000c8b 0x00000c8b 5   6            ascii   ye\b64
13   0x00000c9e 0x00000c9e 4   7            utf8    UᏢWU blocks=Basic Latin,Cherokee
14   0x00000ccc 0x00000ccc 5   7            utf8    Oɝa3K blocks=Basic Latin,IPA Extensions
15   0x00000ced 0x00000ced 4   6            utf8    G¸E\ blocks=Basic Latin,Latin-1 Supplement
16   0x00000d0b 0x00000d0b 4   5            ascii   MtY&
17   0x00000d31 0x00000d31 4   5            ascii   S[bH
18   0x00000da2 0x00000da2 4   5            ascii   I}!<
19   0x00000dad 0x00000dad 5   6            ascii   GFV;&
20   0x00000dc4 0x00000dc4 4   5            ascii   P($I
21   0x00000e44 0x00000e44 4   5            ascii   i)!@
22   0x00000e5c 0x00000e5c 4   6            utf8    aއ-+ blocks=Basic Latin,Thaana
23   0x00000eb9 0x00000eb9 6   8            utf8    d9Ē^F{ blocks=Basic Latin,Latin Extended-A
24   0x00000edc 0x00000edc 5   6            ascii   Klqt}
25   0x00000fdd 0x00000fdd 5   9            utf8    C,㟽8$ blocks=Basic Latin,CJK Unified Ideographs Extension A
26   0x00001071 0x00001071 5   6            ascii   /4*&{
27   0x000010bc 0x000010bc 4   6            utf8    OEг@ blocks=Basic Latin,Cyrillic
28   0x000010e1 0x000010e1 4   5            ascii   jc(=
29   0x0000111f 0x0000111f 6   8            utf8    |Tn9{Ş blocks=Basic Latin,Latin Extended-A
30   0x0000113e 0x0000113e 10  11           ascii   YctXT9bq^F
31   0x00001172 0x00001172 6   7            ascii   \v\v_@^A
32   0x0000117c 0x0000117c 4   5            ascii   % xS
33   0x00001184 0x00001184 4   5            ascii   \ai<A
34   0x0000120c 0x0000120c 9   11           utf8    Oh7Պ'WF\eA blocks=Basic Latin,Armenian
35   0x0000126b 0x0000126b 4   5            ascii   p#_y
36   0x000012a9 0x000012a9 4   5            ascii   ]U\bF
37   0x000012fd 0x000012fd 5   6            ascii   z)z4K
38   0x000013c9 0x000013c9 5   7            utf8    \ryЎf| blocks=Basic Latin,Cyrillic
39   0x000013da 0x000013da 5   6            ascii   J9*`+
40   0x0000140f 0x0000140f 5   6            ascii   ^THxV
41   0x0000149f 0x0000149f 4   6            utf8    >ܥ>\e blocks=Basic Latin,Syriac
42   0x000014e9 0x000014e9 4   5            ascii   \eXzv
43   0x000014f9 0x000014f9 5   6            ascii   YFDAt
44   0x00001560 0x00001560 5   6            ascii   \ne.{ 
45   0x000015a1 0x000015a1 4   5            ascii   Lb`w
46   0x000015ff 0x000015ff 4   6            utf8    b1\fъ blocks=Basic Latin,Cyrillic
47   0x0000161c 0x0000161c 4   6            utf8    Oh7ա blocks=Basic Latin,Armenian
48   0x00001690 0x00001690 4   5            ascii   *)l6
49   0x000016ae 0x000016ae 5   6            ascii   Ih.6]
50   0x000016d0 0x000016d0 4   5            ascii   @J7<
51   0x00001772 0x00001772 5   7            utf8    ֔hJuA blocks=Hebrew,Basic Latin
52   0x0000177b 0x0000177b 5   6            ascii   XJQ\vx
53   0x000017a9 0x000017a9 5   7            utf8    EH/дt blocks=Basic Latin,Cyrillic
54   0x000017df 0x000017df 4   5            ascii   F\e9t
55   0x000017f2 0x000017f2 6   7            ascii   N_3haO
56   0x0000183c 0x0000183c 4   5            ascii   &|=H
57   0x0000185b 0x0000185b 6   7            ascii   ]/qNnw
58   0x00001889 0x00001889 5   6            ascii   $<;{d
59   0x0000196b 0x0000196b 4   6            utf8    9\;û blocks=Basic Latin,Latin-1 Supplement
60   0x000019bc 0x000019bc 4   5            ascii   kjO}
61   0x000019c3 0x000019c3 4   6            utf8    ~6[J
62   0x000019d3 0x000019d3 5   6            ascii   e\aO'O
63   0x000019e2 0x000019e2 4   7            utf8    鴺49L blocks=CJK Unified Ideographs,Basic Latin
64   0x00001a4c 0x00001a4c 5   6            ascii   1 J#\n
65   0x00001a6a 0x00001a6a 4   8            utf8    M䲙Ӿr blocks=Basic Latin,CJK Unified Ideographs Extension A,Cyrillic
66   0x00001a72 0x00001a72 5   7            utf8    b\a\nŰK blocks=Basic Latin,Latin Extended-A
67   0x00001afe 0x00001afe 4   5            ascii   (\nW0
68   0x00001b8e 0x00001b8e 4   5            ascii   #\a@;
69   0x00001be4 0x00001be4 4   5            ascii   y#uL
70   0x00001c33 0x00001c33 5   6            ascii   _w~<H
71   0x00001d71 0x00001d71 4   6            utf8    ~fe-
72   0x00001dd2 0x00001dd2 4   7            utf8    옘 DM blocks=Hangul Syllables,Basic Latin
73   0x00001eb1 0x00001eb1 4   5            ascii   (O\i
74   0x00001f49 0x00001f49 4   5            ascii   =$?x
75   0x00001fbe 0x00001fbe 5   6            ascii   O74^\v
76   0x0000207a 0x0000207a 4   5            ascii   B" \b
77   0x0000207f 0x0000207f 4   5            ascii   CF@S
78   0x000020c9 0x000020c9 4   5            ascii   \tT\r#
79   0x000020e0 0x000020e0 4   6            utf8    ƾ{,D blocks=Latin Extended-B,Basic Latin
80   0x0000211d 0x0000211d 5   7            utf8    >8ƪd_ blocks=Basic Latin,Latin Extended-B
81   0x0000212d 0x0000212d 5   6            ascii   f4Lc'
82   0x0000222f 0x0000222f 5   6            ascii   F0:s\f
