[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x00473078 NONE FUNC KERNEL32.dll Process32NextW
2   0x0047307c NONE FUNC KERNEL32.dll Process32FirstW
3   0x00473080 NONE FUNC KERNEL32.dll CreateProcessW
4   0x00473084 NONE FUNC KERNEL32.dll GetTickCount
5   0x00473088 NONE FUNC KERNEL32.dll CopyFileW
6   0x0047308c NONE FUNC KERNEL32.dll GetCurrentProcess
7   0x00473090 NONE FUNC KERNEL32.dll WriteConsoleW
8   0x00473094 NONE FUNC KERNEL32.dll CreateToolhelp32Snapshot
9   0x00473098 NONE FUNC KERNEL32.dll OpenProcess
10  0x0047309c NONE FUNC KERNEL32.dll WaitForSingleObject
11  0x004730a0 NONE FUNC KERNEL32.dll TerminateProcess
12  0x004730a4 NONE FUNC KERNEL32.dll FindClose
13  0x004730a8 NONE FUNC KERNEL32.dll FindNextVolumeW
14  0x004730ac NONE FUNC KERNEL32.dll GetVolumePathNamesForVolumeNameW
15  0x004730b0 NONE FUNC KERNEL32.dll FindVolumeClose
16  0x004730b4 NONE FUNC KERNEL32.dll SetVolumeMountPointW
17  0x004730b8 NONE FUNC KERNEL32.dll FindFirstVolumeW
18  0x004730bc NONE FUNC KERNEL32.dll QueryDosDeviceW
19  0x004730c0 NONE FUNC KERNEL32.dll GetEnvironmentVariableW
20  0x004730c4 NONE FUNC KERNEL32.dll GetLogicalDrives
21  0x004730c8 NONE FUNC KERNEL32.dll GetProcessHeap
22  0x004730cc NONE FUNC KERNEL32.dll MoveFileExW
23  0x004730d0 NONE FUNC KERNEL32.dll SetFilePointerEx
24  0x004730d4 NONE FUNC KERNEL32.dll HeapAlloc
25  0x004730d8 NONE FUNC KERNEL32.dll CloseHandle
26  0x004730dc NONE FUNC KERNEL32.dll GetLastError
27  0x004730e0 NONE FUNC KERNEL32.dll SetFileAttributesW
28  0x004730e4 NONE FUNC KERNEL32.dll GetFileAttributesW
29  0x004730e8 NONE FUNC KERNEL32.dll CreateFileW
30  0x004730ec NONE FUNC KERNEL32.dll WriteFile
31  0x004730f0 NONE FUNC KERNEL32.dll HeapSize
32  0x004730f4 NONE FUNC KERNEL32.dll GetConsoleMode
33  0x004730f8 NONE FUNC KERNEL32.dll GetConsoleCP
34  0x004730fc NONE FUNC KERNEL32.dll FlushFileBuffers
35  0x00473100 NONE FUNC KERNEL32.dll SetStdHandle
36  0x00473104 NONE FUNC KERNEL32.dll FreeEnvironmentStringsW
37  0x00473108 NONE FUNC KERNEL32.dll GetEnvironmentStringsW
38  0x0047310c NONE FUNC KERNEL32.dll GetCommandLineW
39  0x00473110 NONE FUNC KERNEL32.dll GetCommandLineA
40  0x00473114 NONE FUNC KERNEL32.dll GetOEMCP
41  0x00473118 NONE FUNC KERNEL32.dll GetACP
42  0x0047311c NONE FUNC KERNEL32.dll IsValidCodePage
43  0x00473120 NONE FUNC KERNEL32.dll HeapReAlloc
44  0x00473124 NONE FUNC KERNEL32.dll GetFileType
45  0x00473128 NONE FUNC KERNEL32.dll GetTimeZoneInformation
46  0x0047312c NONE FUNC KERNEL32.dll EnumSystemLocalesW
47  0x00473130 NONE FUNC KERNEL32.dll HeapFree
48  0x00473134 NONE FUNC KERNEL32.dll GetFileSizeEx
49  0x00473138 NONE FUNC KERNEL32.dll GetUserDefaultLCID
50  0x0047313c NONE FUNC KERNEL32.dll IsValidLocale
