[Strings]
nth  paddr      vaddr      len  size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44   45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000d0 0x000000d0 4    7            utf8    CP˘P blocks=Basic Latin,Spacing Modifier Letters
2    0x000000f0 0x000000f0 6    7            ascii   RichCP
3    0x00000208 0x00000208 5    6            ascii   .text
4    0x0000022f 0x0000022f 7    8            ascii   `.rdata
5    0x00000257 0x00000257 6    7            ascii   @.data
6    0x00000280 0x00000280 5    6            ascii   .rsrc
7    0x000002a7 0x000002a7 7    8            ascii   @.reloc
8    0x0000041c 0x0040101c 4    5    .text   ascii   h`)J
9    0x00000436 0x00401036 4    5    .text   ascii   h,)J
10   0x00000458 0x00401058 5    7    .text   utf8    Yù\)J blocks=Basic Latin,Latin-1 Supplement
11   0x00000464 0x00401064 4    5    .text   ascii   hU;G
12   0x0000046e 0x0040106e 5    7    .text   utf8    Yù(+J blocks=Basic Latin,Latin-1 Supplement
13   0x0000047a 0x0040107a 4    5    .text   ascii   h_;G
14   0x00000486 0x00401086 4    5    .text   ascii   hi;G
15   0x00000492 0x00401092 4    5    .text   ascii   hs;G
16   0x0000049e 0x0040109e 4    5    .text   ascii   h};G
17   0x000004f1 0x004010f1 4    5    .text   ascii   h`2J
18   0x000009c8 0x004015c8 4    5    .text   ascii   E\bPj
19   0x00000a64 0x00401664 4    7    .text   utf8    E\bP迅 blocks=Basic Latin,CJK Unified Ideographs
20   0x00000c74 0x00401874 4    6    .text   utf8    ʚ;RP blocks=IPA Extensions,Basic Latin
21   0x00000c9d 0x0040189d 4    6    .text   utf8    ʚ;RP blocks=IPA Extensions,Basic Latin
22   0x00000cb7 0x004018b7 5    8    .text   utf8    EԉU؋U blocks=Basic Latin,Cyrillic Supplement,Arabic
23   0x00000cc6 0x004018c6 7    11   .text   utf8    E؉ỦEЍM blocks=Basic Latin,Arabic,Combining Diacritical Marks,Cyrillic
24   0x00000e83 0x00401a83 4    5    .text   ascii   \bIu\r
25   0x00001149 0x00401d49 5    6    .text   ascii   ;E\fu\t
26   0x00001c2d 0x0040282d 4    5    .text   ascii   u0j\b
27   0x00001c73 0x00402873 4    6    .text   utf8    Q3\bE
28   0x00002147 0x00402d47 5    6    .text   ascii   ;E\buc
29   0x00002390 0x00402f90 5    9    .text   utf8    EԋUԉU blocks=Basic Latin,Cyrillic Supplement
30   0x000023d0 0x00402fd0 4    5    .text   ascii   tMj\b
31   0x000026e6 0x004032e6 7    8    .text   ascii   Qd;U\b}\t
32   0x0000276f 0x0040336f 6    7    .text   ascii   Qd;U\b}
33   0x0000286e 0x0040346e 4    5    .text   ascii   U\bRh
34   0x00002883 0x00403483 4    6    .text   utf8    %3ɉM blocks=Basic Latin,Latin Extended-B
35   0x00002895 0x00403495 4    5    .text   ascii   U\bRh
36   0x0000299b 0x0040359b 6    9    .text   utf8    $3ɉM܍M blocks=Basic Latin,Latin Extended-B,Syriac
37   0x00002a65 0x00403665 5    6    .text   ascii   \fh\f$H
38   0x000034aa 0x004040aa 5    6    .text   ascii   9AHt\v
39   0x00003517 0x00404117 5    6    .text   ascii   9AHt\v
40   0x000035e3 0x004041e3 4    6    .text   utf8    øVB@ blocks=Latin-1 Supplement,Basic Latin
41   0x000036c6 0x004042c6 4    5    .text   ascii   Y_^[
42   0x0000370d 0x0040430d 4    5    .text   ascii   M\fQj
43   0x00003841 0x00404441 4    5    .text   ascii   t\ejt
44   0x00003873 0x00404473 4    6    .text   utf8    M؉HL blocks=Basic Latin,Arabic
45   0x00003bed 0x004047ed 4    5    .text   ascii   Y_^[
46   0x00003ccd 0x004048cd 5    8    .text   utf8    E܋M܉M blocks=Basic Latin,Syriac
47   0x00003e0f 0x00404a0f 4    5    .text   ascii   SVWP
48   0x00003e31 0x00404a31 4    7    .text   utf8    M܋U܋ blocks=Basic Latin,Syriac
49   0x00003e55 0x00404a55 5    8    .text   utf8    E؋U؉U blocks=Basic Latin,Arabic
50   0x00003e8c 0x00404a8c 4    6    .text   utf8    E܋\bQ blocks=Basic Latin,Syriac
51   0x00003ead 0x00404aad 5    9    .text   utf8    ԉe\tŨ blocks=Cyrillic Supplement,Basic Latin,Combining Diacritical Marks
52   0x00003ef0 0x00404af0 5    8    .text   utf8    EȋUȉU blocks=Basic Latin,Latin Extended-B
53   0x00003f4a 0x00404b4a 4    5    .text   ascii   Y_^[
54   0x000041ea 0x00404dea 4    5    .text   ascii   ;E\bt
55   0x000049c6 0x004055c6 4    5    .text   ascii   :\nu.
56   0x00004a90 0x00405690 5    8    .text   utf8    3\bEۍM blocks=Basic Latin,Arabic
57   0x00004c6d 0x0040586d 4    5    .text   ascii   hd%H
58   0x00004cac 0x004058ac 4    5    .text   ascii   h\f&H
59   0x00004e33 0x00405a33 7    8    .text   ascii   M\bQh<&H
60   0x00004ea9 0x00405aa9 4    7    .text   utf8    U\bR蟻 blocks=Basic Latin,CJK Unified Ideographs
61   0x00004f01 0x00405b01 7    8    .text   ascii   M\bQh\&H
62   0x00004f5f 0x00405b5f 5    6    .text   ascii   \n;H\bt
63   0x00004fb9 0x00405bb9 4    7    .text   utf8    U\bR菺 blocks=Basic Latin,CJK Unified Ideographs
64   0x00005091 0x00405c91 4    5    .text   ascii   \bj?h
65   0x0000511c 0x00405d1c 4    5    .text   ascii   h\b'H
66   0x000051e1 0x00405de1 6    7    .text   ascii   uAh\b(H
67   0x0000523b 0x00405e3b 4    5    .text   ascii   hL(H
68   0x00005308 0x00405f08 4    5    .text   ascii   h\(H
69   0x0000537b 0x00405f7b 4    5    .text   ascii   h0)H
70   0x00005446 0x00406046 4    5    .text   ascii   hx)H
71   0x00005577 0x00406177 4    5    .text   ascii   h`*H
72   0x000055cb 0x004061cb 4    5    .text   ascii   h`+H
73   0x0000561f 0x0040621f 4    5    .text   ascii   h\b,H
74   0x00005694 0x00406294 4    5    .text   ascii   hP,H
75   0x00005b7d 0x0040677d 6    7    .text   ascii   \b;M\btj
