[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x00000107 0x00000107 5   6            ascii   /Rich
2    0x00000210 0x00000210 5   6            ascii   .text
3    0x00000237 0x00000237 7   8            ascii   `.rdata
4    0x0000025f 0x0000025f 6   7            ascii   @.data
5    0x00000288 0x00000288 5   6            ascii   .rsrc
6    0x000002af 0x000002af 7   8            ascii   @.reloc
7    0x00000433 0x00401033 4   5    .text   ascii   Pj\fh
8    0x0000044f 0x0040104f 4   5    .text   ascii   D$\bP
9    0x0000045f 0x0040105f 6   7    .text   ascii   L$\b@PV
10   0x000004c3 0x004010c3 4   5    .text   ascii   Pj\fh
11   0x000004df 0x004010df 4   5    .text   ascii   D$\bP
12   0x000004ef 0x004010ef 6   7    .text   ascii   L$\b@PV
13   0x000005a3 0x004011a3 5   6    .text   ascii   Pj\fh(
14   0x000005bf 0x004011bf 4   5    .text   ascii   D$\bP
15   0x000005cf 0x004011cf 6   7    .text   ascii   L$\b@PV
16   0x00000657 0x00401257 4   5    .text   ascii   j\fhD
17   0x00000abc 0x004016bc 4   5    .text   ascii   h@WI
18   0x00000b85 0x00401785 4   5    .text   ascii   h%iH
19   0x00000bb4 0x004017b4 4   5    .text   ascii   hP\rJ
20   0x00000bc8 0x004017c8 4   5    .text   ascii   hl\rJ
21   0x00000c08 0x00401808 4   6    .text   utf8    t\vƅw blocks=Basic Latin,Latin Extended-B
22   0x00000c13 0x00401813 4   6    .text   utf8    u\aƅw blocks=Basic Latin,Latin Extended-B
23   0x00000c6e 0x0040186e 4   5    .text   ascii   CE h
24   0x00000cef 0x004018ef 4   6    .text   utf8    t\n2\b
25   0x00000f19 0x00401b19 5   6    .text   ascii   \br\n@P
26   0x00000fd5 0x00401bd5 5   6    .text   ascii   \br\n@P
27   0x00001085 0x00401c85 4   5    .text   ascii   \br\r@
28   0x000010a6 0x00401ca6 4   6    .text   utf8    N\b+ȸ blocks=Basic Latin,Latin Extended-B
29   0x0000116b 0x00401d6b 4   5    .text   ascii   \br\r@
30   0x000011dc 0x00401ddc 4   5    .text   ascii   \br\v@
31   0x0000120a 0x00401e0a 4   5    .text   ascii   \br\r@
32   0x000012a5 0x00401ea5 4   5    .text   ascii   hPiH
33   0x000012be 0x00401ebe 4   5    .text   ascii   SVWP
34   0x0000132a 0x00401f2a 4   5    .text   ascii   Y_^[
35   0x0000136f 0x00401f6f 4   5    .text   ascii   hh>K
36   0x000013b5 0x00401fb5 5   6    .text   ascii   ;u\bt:
37   0x000013bf 0x00401fbf 5   6    .text   ascii   \br\t@P
38   0x00001417 0x00402017 6   7    .text   ascii   M\b=UUU
39   0x00001437 0x00402037 4   6    .text   utf8    s%+ȃ blocks=Basic Latin,Latin Extended-B
40   0x00001483 0x00402083 4   5    .text   ascii   \fSVW
41   0x00001507 0x00402107 4   5    .text   ascii   w(9F
42   0x00001574 0x00402174 4   5    .text   ascii   Y_^[
43   0x0000162e 0x0040222e 4   5    .text   ascii   SVWP
44   0x000016a1 0x004022a1 4   5    .text   ascii   _\bKu
45   0x000016c1 0x004022c1 4   5    .text   ascii   Y_^[
46   0x00001758 0x00402358 4   5    .text   ascii   =UUU
47   0x00001841 0x00402441 5   7    .text   utf8    +ыM\f; blocks=Basic Latin,Cyrillic
48   0x000018e2 0x004024e2 4   5    .text   ascii   s1PW
49   0x00001938 0x00402538 4   5    .text   ascii   _^[f
50   0x00001a6f 0x0040266f 4   6    .text   utf8    ;ыM\b blocks=Basic Latin,Cyrillic
51   0x00001db8 0x004029b8 4   5    .text   ascii   +E\ft
52   0x00001ee5 0x00402ae5 4   5    .text   ascii   h\jH
53   0x00001efe 0x00402afe 4   5    .text   ascii   SVWP
54   0x00001f7e 0x00402b7e 4   5    .text   ascii   {\bOu
55   0x00001fb4 0x00402bb4 4   5    .text   ascii   Y_^[
56   0x00001fee 0x00402bee 4   5    .text   ascii   SVWP
57   0x00002089 0x00402c89 4   5    .text   ascii   Y_^[
58   0x000020be 0x00402cbe 4   5    .text   ascii   SVWP
59   0x000021d0 0x00402dd0 4   5    .text   ascii   _\bKu
60   0x00002207 0x00402e07 4   5    .text   ascii   hh>K
61   0x0000222f 0x00402e2f 4   5    .text   ascii   Y_^[
62   0x0000230c 0x00402f0c 5   6    .text   ascii   t\vj\fV
63   0x00002375 0x00402f75 4   5    .text   ascii   E\bSW
64   0x000023f4 0x00402ff4 4   5    .text   ascii   u\bQQ
65   0x00002475 0x00403075 4   5    .text   ascii   h@kH
66   0x0000248e 0x0040308e 4   5    .text   ascii   SVWP
67   0x000024f9 0x004030f9 4   5    .text   ascii   Y_^[
68   0x000025ca 0x004031ca 4   5    .text   ascii   h IF
69   0x000025d8 0x004031d8 4   5    .text   ascii   (SVW
70   0x0000261c 0x0040321c 4   5    .text   ascii   Y_^[
71   0x00002648 0x00403248 4   5    .text   ascii   h,>K
72   0x00002665 0x00403265 4   5    .text   ascii   hpkH
73   0x0000267c 0x0040327c 4   5    .text   ascii   SVWP
74   0x000026af 0x004032af 4   5    .text   ascii   _\bKu
75   0x000026cf 0x004032cf 4   5    .text   ascii   Y_^[
76   0x0000272e 0x0040332e 4   5    .text   ascii   SVWP
77   0x000027da 0x004033da 4   5    .text   ascii   Y_^[
78   0x000028ec 0x004034ec 4   5    .text   ascii   SVWP
79   0x00002934 0x00403534 4   5    .text   ascii   Y_^[
80   0x000029c6 0x004035c6 4   6    .text   utf8    3͋E\b blocks=Basic Latin,Combining Diacritical Marks
81   0x000029e5 0x004035e5 4   5    .text   ascii   h&lH
82   0x00002a85 0x00403685 4   5    .text   ascii   h}lH
83   0x00002a9e 0x0040369e 4   5    .text   ascii   SVWP
84   0x00002b8e 0x0040378e 4   5    .text   ascii   G\bHu
85   0x00002bb0 0x004037b0 4   5    .text   ascii   Y_^[
86   0x00002c5e 0x0040385e 4   5    .text   ascii   SVWP
87   0x00002d21 0x00403921 5   6    .text   ascii   C\bHuA
88   0x00002d73 0x00403973 4   5    .text   ascii   Y_^[
89   0x00002dac 0x004039ac 4   5    .text   ascii   SVWP
90   0x00002e09 0x00403a09 4   5    .text   ascii   Y_^[
91   0x00002e6c 0x00403a6c 4   5    .text   ascii   SVWP
92   0x00002ece 0x00403ace 4   5    .text   ascii   Y_^[
93   0x00002f15 0x00403b15 4   5    .text   ascii   hFmH
94   0x00002f2e 0x00403b2e 4   5    .text   ascii   SVWP
95   0x00002f5d 0x00403b5d 4   5    .text   ascii   hh>K
96   0x00002fd5 0x00403bd5 4   5    .text   ascii   Y_^[
97   0x0000302c 0x00403c2c 4   5    .text   ascii   SVWP
98   0x00003087 0x00403c87 4   5    .text   ascii   Y_^[
99   0x000030d3 0x00403cd3 4   5    .text   ascii   $SVW
100  0x0000310a 0x00403d0a 4   5    .text   ascii   hh>K
101  0x0000316e 0x00403d6e 4   5    .text   ascii   Y_^[
102  0x000031c0 0x00403dc0 4   5    .text   ascii   Y_^[
103  0x000032ce 0x00403ece 4   5    .text   ascii   SVWP
104  0x0000334b 0x00403f4b 4   5    .text   ascii   _\bKu
105  0x0000336e 0x00403f6e 4   5    .text   ascii   Y_^[
106  0x000033be 0x00403fbe 4   5    .text   ascii   SVWP
107  0x0000344a 0x0040404a 4   7    .text   utf8    ËE؋M blocks=Latin-1 Supplement,Basic Latin,Arabic
108  0x00003458 0x00404058 4   5    .text   ascii   Y_^[
109  0x000034a2 0x004040a2 4   5    .text   ascii   _\bKu
110  0x00003548 0x00404148 4   6    .text   utf8    u\b3ɋ blocks=Basic Latin,Latin Extended-B
111  0x00003595 0x00404195 4   5    .text   ascii   h@nH
112  0x0000367c 0x0040427c 5   6    .text   ascii   t\vPQS
113  0x000036da 0x004042da 4   5    .text   ascii   Y_^[
114  0x0000370a 0x0040430a 4   5    .text   ascii   wY9q
115  0x000037d0 0x004043d0 4   5    .text   ascii   wu9~
116  0x000037d5 0x004043d5 4   5    .text   ascii   s3QW
117  0x00003803 0x00404403 4   5    .text   ascii   _^[]
118  0x00003866 0x00404466 5   6    .text   ascii   t\ePVW
119  0x00003945 0x00404545 4   5    .text   ascii   hynH
120  0x00003953 0x00404553 4   5    .text   ascii    SVW
121  0x0000399d 0x0040459d 4   5    .text   ascii   hh>K
122  0x00003a02 0x00404602 4   9    .text   utf16le jjjj
123  0x00003aa6 0x004046a6 4   5    .text   ascii   Y_^[
124  0x00003b08 0x00404708 4   6    .text   utf8    s +C
125  0x00003b5b 0x0040475b 5   6    .text   ascii   t\vWSV
126  0x00003ba9 0x004047a9 4   5    .text   ascii   r\t@P
127  0x00003c0b 0x0040480b 5   6    .text   ascii   \br\t@P
128  0x00003c39 0x00404839 4   5    .text   ascii   \bt\vj
129  0x00003c5c 0x0040485c 4   5    .text   ascii   \br\v@
130  0x00003ccb 0x004048cb 4   5    .text   ascii   \br\v@
131  0x00003d34 0x00404934 4   6    .text   utf8    s%+ȃ blocks=Basic Latin,Latin Extended-B
132  0x00003e37 0x00404a37 4   5    .text   ascii   w}9~
133  0x00003e3c 0x00404a3c 4   5    .text   ascii   s5QW
134  0x00003e6c 0x00404a6c 4   5    .text   ascii   _^[]
135  0x00003e94 0x00404a94 4   5    .text   ascii   _^[f
136  0x00003f0c 0x00404b0c 4   5    .text   ascii   u\bRQ
137  0x00003f5e 0x00404b5e 4   5    .text   ascii   SVWP
138  0x00003fa8 0x00404ba8 5   6    .text   ascii   ?RQW3
139  0x00004050 0x00404c50 4   5    .text   ascii   Y_^[
140  0x00004200 0x00404e00 4   5    .text   ascii   [_^f
141  0x00004237 0x00404e37 4   5    .text   ascii   [_^]
142  0x00004244 0x00404e44 4   5    .text   ascii   \fX[_
143  0x000042d5 0x00404ed5 4   5    .text   ascii   h)oH
144  0x000042e3 0x00404ee3 4   5    .text   ascii   \bSVW
145  0x00004363 0x00404f63 4   5    .text   ascii   w(9F
146  0x000043d2 0x00404fd2 4   5    .text   ascii   Y_^[
147  0x0000442f 0x0040502f 4   5    .text   ascii   s"RW
148  0x00004474 0x00405074 4   5    .text   ascii   _^[f
149  0x000044b1 0x004050b1 4   5    .text   ascii   _^[]
150  0x000044e8 0x004050e8 5   6    .text   ascii   \br\t@P
151  0x00004690 0x00405290 4   5    .text   ascii   _^[f
152  0x000046c4 0x004052c4 4   5    .text   ascii   _^[]
153  0x00004708 0x00405308 4   6    .text   utf8    u\b3ɋ blocks=Basic Latin,Latin Extended-B
154  0x00004765 0x00405365 4   5    .text   ascii   hPoH
