[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x00000218 0x00000218 5   6            ascii   .text
1    0x0000023f 0x0000023f 6   7            ascii   `.data
2    0x00000268 0x00000268 6   7            ascii   .reloc
3    0x00000afe 0x004016fe 4   5    .text   ascii   qswN
4    0x00000b22 0x00401722 4   5    .text   ascii   3)6{
5    0x00000b42 0x00401742 4   5    .text   ascii   3)6{
6    0x00000bb2 0x004017b2 4   5    .text   ascii   L09n
7    0x00000bbf 0x004017bf 6   8    .text   utf8    Ԛ<5IkQ blocks=Cyrillic Supplement,Basic Latin
8    0x00000c21 0x00401821 5   6    .text   ascii   <5IkQ
9    0x00000ce2 0x004018e2 4   5    .text   ascii   s1q4
10   0x00000d71 0x00401971 5   6    .text   ascii   <5IkQ
11   0x00000da9 0x004019a9 5   7    .text   utf8    $%'%֗ blocks=Basic Latin,Hebrew
12   0x000016dd 0x004022dd 5   6    .text   ascii   0\aw,a
13   0x0000173c 0x0040233c 4   6    .text   utf8    (kdz
14   0x00001759 0x00402359 4   5    .text   ascii    n;^
15   0x000017ab 0x004023ab 4   6    .text   utf8    !#ĳV blocks=Basic Latin,Latin Extended-A
16   0x0000180c 0x0040240c 4   5    .text   ascii   -=m\b
17   0x00001819 0x00402419 6   7    .text   ascii   Qkkbal
18   0x00001851 0x00402451 4   6    .text   utf8    |ӌeL blocks=Basic Latin,Cyrillic
19   0x0000188f 0x0040248f 4   5    .text   ascii   3_L\n
20   0x000018e5 0x004024e5 4   6    .text   utf8    ұt9G blocks=Cyrillic,Basic Latin
21   0x00001900 0x00402500 4   5    .text   ascii   >jm\r
22   0x00001905 0x00402505 4   5    .text   ascii   Zjz\v
23   0x00001927 0x00402527 4   5    .text   ascii   i]Wb
24   0x00001936 0x00402536 4   5    .text   ascii   knv\e
25   0x0000193d 0x0040253d 4   6    .text   utf8    +ӉZz blocks=Basic Latin,Cyrillic
26   0x000019de 0x004025de 5   8    .text   utf8    c윣ju\n blocks=Basic Latin,Hangul Syllables
27   0x00001a67 0x00402667 4   5    .text   ascii   9a&g
28   0x00001a70 0x00402670 4   5    .text   ascii   MGiI
29   0x00001a75 0x00402675 6   8    .text   utf8    wn>JjѮ blocks=Basic Latin,Cyrillic
30   0x00001ab7 0x004026b7 4   5    .text   ascii   #.zf
31   0x00001ac5 0x004026c5 4   5    .text   ascii   +o*7
32   0x00001af2 0x004026f2 6   8    .text   utf8    ZVǖAO\b blocks=Basic Latin,Latin Extended-B
33   0x00001b8d 0x0040278d 9   10   .text   ascii   Z* ,\t\a\vm8
34   0x00001b99 0x00402799 5   7    .text   utf8    6F߲\a] blocks=Basic Latin,NKo
35   0x00001bc0 0x004027c0 4   6    .text   utf8    yީ%8 blocks=Basic Latin,Thaana
36   0x00001bf8 0x004027f8 4   6    .text   utf8    \rŠ8L blocks=Basic Latin,Latin Extended-A
37   0x00001c70 0x00402870 4   6    .text   utf8    !̧3` blocks=Basic Latin,Combining Diacritical Marks
38   0x00001c9d 0x0040289d 6   7    .text   ascii   H$6t\e\t
39   0x00001d01 0x00402901 5   7    .text   utf8    pl@Aw
40   0x00001d2c 0x0040292c 4   5    .text   ascii   _~6\f
41   0x00001d69 0x00402969 5   7    .text   utf8    ykʬHp blocks=Basic Latin,IPA Extensions
42   0x00001dbe 0x004029be 5   6    .text   ascii   \a52F*
43   0x00001dc4 0x004029c4 4   5    .text   ascii   sw1\a
44   0x00001e6d 0x00402a6d 10  11   .text   ascii   \a\t#jT$\b+e?
