[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x0201501c NONE FUNC KERNEL32.dll GetProcessVersion
2   0x02015020 NONE FUNC KERNEL32.dll GetCommandLineA
3   0x02015024 NONE FUNC KERNEL32.dll LocalReAlloc
4   0x02015028 NONE FUNC KERNEL32.dll GetSystemPowerStatus
5   0x0201502c NONE FUNC KERNEL32.dll DeactivateActCtx
6   0x02015030 NONE FUNC KERNEL32.dll SetConsoleCursorInfo
1   0x0201500c NONE FUNC GDI32.dll    SetViewportOrgEx
2   0x02015010 NONE FUNC GDI32.dll    ExtSelectClipRgn
3   0x02015014 NONE FUNC GDI32.dll    GetCurrentPositionEx
1   0x0201504c NONE FUNC USER32.dll   UnhookWindowsHookEx
2   0x02015050 NONE FUNC USER32.dll   IsCharLowerW
3   0x02015054 NONE FUNC USER32.dll   GetKeyboardLayout
335 0x02015038 NONE FUNC OLEAUT32.dll VarI8FromR8
1   0x02015000 NONE FUNC ADVAPI32.dll RegReplaceKeyW
2   0x02015004 NONE FUNC ADVAPI32.dll GetSidSubAuthorityCount
1   0x02015040 NONE FUNC SETUPAPI.dll SetupDuplicateDiskSpaceListW
2   0x02015044 NONE FUNC SETUPAPI.dll SetupDiCreateDeviceInfoListExW


