[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x1001a254 NONE FUNC KERNEL32.DLL LoadLibraryA
2   0x1001a258 NONE FUNC KERNEL32.DLL GetProcAddress
3   0x1001a25c NONE FUNC KERNEL32.DLL VirtualProtect
4   0x1001a260 NONE FUNC KERNEL32.DLL VirtualAlloc
5   0x1001a264 NONE FUNC KERNEL32.DLL VirtualFree
1   0x1001a26c NONE FUNC ADVAPI32.dll RegCloseKey
1   0x1001a274 NONE FUNC SHELL32.dll  ShellExecuteA
1   0x1001a27c NONE FUNC USER32.dll   wsprintfA
1   0x1001a284 NONE FUNC WININET.dll  FtpGetFileA


