[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x0000008e 0x0000008e 4   5            ascii   Tyy.
2    0x00000096 0x00000096 4   5            ascii   Ty#K
3    0x0000009b 0x0000009b 6   8            utf8    yՎTy#K blocks=Basic Latin,Armenian
4    0x000000a6 0x000000a6 4   5            ascii   Ty#K
5    0x000000ee 0x000000ee 6   7            ascii   TyRich
6    0x00000208 0x00000208 5   6            ascii   .text
7    0x0000022f 0x0000022f 7   8            ascii   `.rdata
8    0x00000257 0x00000257 6   7            ascii   @.data
9    0x00000280 0x00000280 5   6            ascii   .rsrc
10   0x000002a7 0x000002a7 7   8            ascii   @.reloc
11   0x0000041f 0x1000101f 5   6    .text   ascii   M\fuRh
12   0x0000044a 0x1000104a 4   5    .text   ascii   t)@h
13   0x000004aa 0x100010aa 4   5    .text   ascii   SVW3
14   0x000004fd 0x100010fd 4   5    .text   ascii   D$4h
15   0x00000528 0x10001128 4   5    .text   ascii   _^[3
16   0x000006e1 0x100012e1 4   5    .text   ascii   \t\nI
17   0x00000b8a 0x1000178a 4   5    .text   ascii   SVW3
18   0x00000c9d 0x1000189d 4   5    .text   ascii   D$-j
19   0x00000cb7 0x100018b7 4   5    .text   ascii   D$4P
20   0x00000cbd 0x100018bd 4   5    .text   ascii   D$6P
21   0x00000cc3 0x100018c3 4   5    .text   ascii   D$8P
22   0x00000cc9 0x100018c9 4   5    .text   ascii   D$:P
23   0x00000ccf 0x100018cf 6   8    .text   utf8    D$:Ph4
24   0x00000cd9 0x100018d9 5   6    .text   ascii   D$Ph,
25   0x00000d02 0x10001902 4   5    .text   ascii   D\f(A
26   0x00000d0d 0x1000190d 4   5    .text   ascii   D\f';
27   0x00000d2f 0x1000192f 4   5    .text   ascii   D$0j
28   0x00000d8d 0x1000198d 5   6    .text   ascii   .u\fWj
29   0x00000d9e 0x1000199e 5   6    .text   ascii   \bu\fWj
30   0x00000db0 0x100019b0 4   5    .text   ascii   u\fWj
31   0x00000dc0 0x100019c0 5   6    .text   ascii   \tu\fWj
32   0x00000e33 0x10001a33 4   5    .text   ascii   _^[3
33   0x00000fed 0x10001bed 5   7    .text   utf8    ~ӐVhL blocks=Basic Latin,Cyrillic
34   0x0000110d 0x10001d0d 4   5    .text   ascii   F;5X
35   0x0000113a 0x10001d3a 4   5    .text   ascii   SVWh
36   0x00001152 0x10001d52 4   5    .text   ascii   D$5j
37   0x0000117f 0x10001d7f 4   6    .text   utf8    PƄ$D blocks=Basic Latin,Latin Extended-B
38   0x0000119e 0x10001d9e 4   6    .text   utf8    PƄ$L blocks=Basic Latin,Latin Extended-B
39   0x00001239 0x10001e39 4   5    .text   ascii   D$(P
40   0x00001251 0x10001e51 4   5    .text   ascii   D$(P
