[Strings]
nth  paddr      vaddr      len  size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44   45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000df 0x000000df 5    6            ascii   vRich
2    0x000001e8 0x000001e8 5    6            ascii   .text
3    0x0000020f 0x0000020f 7    8            ascii   `.rdata
4    0x00000237 0x00000237 6    7            ascii   @.data
5    0x00000260 0x00000260 5    6            ascii   .rsrc
6    0x000010f1 0x004010f1 5    6    .text   ascii   L$,hH
7    0x00001104 0x00401104 4    6    .text   utf8    3\r|$
8    0x0000111e 0x0040111e 4    5    .text   ascii   T$(3
9    0x0000116a 0x0040116a 5    6    .text   ascii   D$,WP
10   0x000011de 0x004011de 5    6    .text   ascii   VWPhH
11   0x000011f0 0x004011f0 4    5    .text   ascii   T$\bj
12   0x00001219 0x00401219 5    11   .text   utf16le jjjjj
13   0x0000134b 0x0040134b 4    5    .text   ascii   SUVW
14   0x00001358 0x00401358 4    6    .text   utf8    3\r|$
15   0x000014ea 0x004014ea 4    6    .text   utf8    u^\vȿ blocks=Basic Latin,Latin Extended-B
16   0x000016ad 0x004016ad 4    5    .text   ascii   PQRS
17   0x000016ce 0x004016ce 4    5    .text   ascii   _^][
18   0x000016e9 0x004016e9 4    5    .text   ascii   SVWj
19   0x00001715 0x00401715 5    6    .text   ascii   u\t_^3
20   0x0000171f 0x0040171f 4    6    .text   utf8    ÍD$\f blocks=Latin-1 Supplement,Basic Latin
21   0x0000172a 0x0040172a 6    7    .text   ascii   T$ QRV
22   0x00001751 0x00401751 5    7    .text   utf8    ӋD$,j blocks=Cyrillic,Basic Latin
23   0x00001770 0x00401770 5    6    .text   ascii   u\t_^3
24   0x0000177a 0x0040177a 4    6    .text   utf8    ÍL$\f blocks=Latin-1 Supplement,Basic Latin
25   0x00001785 0x00401785 6    7    .text   ascii   D$ RPV
26   0x00001809 0x00401809 4    5    .text   ascii   SUWh
27   0x0000183c 0x0040183c 4    5    .text   ascii   _][^
28   0x000018e7 0x004018e7 5    6    .text   ascii   Vh "@
29   0x00001936 0x00401936 4    5    .text   ascii   SUVW
30   0x000019a7 0x004019a7 6    7    .text   ascii   u\r_^]3
31   0x000019d3 0x004019d3 4    5    .text   ascii   D$@j
32   0x000019dd 0x004019dd 4    5    .text   ascii   L$8j
33   0x000019f0 0x004019f0 4    5    .text   ascii   D$$j
34   0x00001a01 0x00401a01 4    5    .text   ascii   T$8j
35   0x00001a23 0x00401a23 4    5    .text   ascii   D$,j
36   0x00001a3a 0x00401a3a 5    8    .text   utf8    Ջ؋D$0 blocks=Armenian,Arabic,Basic Latin
37   0x00001a47 0x00401a47 4    5    .text   ascii   RPSV
38   0x00001a4e 0x00401a4e 6    7    .text   ascii   L$$Qj@
39   0x00001a55 0x00401a55 4    6    .text   utf8    ՋL$$ blocks=Armenian,Basic Latin
40   0x00001a60 0x00401a60 4    5    .text   ascii   RQPV
41   0x00001a91 0x00401a91 4    5    .text   ascii   D$ P
42   0x00001a96 0x00401a96 5    6    .text   ascii   D$<PS
43   0x00001aad 0x00401aad 6    7    .text   ascii   t\r_^]3
44   0x00001ad6 0x00401ad6 4    5    .text   ascii   l$4;
45   0x00001ba0 0x00401ba0 6    7    .text   ascii   uE_^]3
46   0x00001bb9 0x00401bb9 4    5    .text   ascii   RQUP
47   0x00001bbe 0x00401bbe 4    5    .text   ascii   D$<P
48   0x00001bda 0x00401bda 4    5    .text   ascii   _^]3
49   0x00001bf0 0x00401bf0 4    5    .text   ascii   L$Dj
50   0x00001bf5 0x00401bf5 4    5    .text   ascii   QRPV
51   0x00001c0a 0x00401c0a 5    7    .text   utf8    3\tL$L
52   0x00001c33 0x00401c33 8    9    .text   ascii   RPWWWWWW
53   0x00001c75 0x00401c75 4    5    .text   ascii   T$HR
54   0x00001c7c 0x00401c7c 4    5    .text   ascii   D$LP
55   0x00001c92 0x00401c92 10   11   .text   ascii   9|$Du\r_^]3
56   0x00001cd1 0x00401cd1 4    6    .text   utf8    It$ 
57   0x00001dcd 0x00401dcd 4    6    .text   utf8    It$(
58   0x00001e61 0x00401e61 5    7    .text   utf8    3\r|$q
59   0x00001e7d 0x00401e7d 5    7    .text   utf8    3\rl$X
60   0x00001ea4 0x00401ea4 5    7    .text   utf8    3\rl$x
61   0x00001f77 0x00401f77 5    7    .text   utf8    \tD$(}
62   0x00001f95 0x00401f95 6    8    .text   utf8    ;ՉD$@t blocks=Basic Latin,Armenian
63   0x00001fd6 0x00401fd6 4    6    .text   utf8    +ȍD) blocks=Basic Latin,Latin Extended-B
64   0x0000207c 0x0040207c 4    6    .text   utf8    ٍE`; blocks=Arabic,Basic Latin
65   0x000020fa 0x004020fa 4    5    .text   ascii   t$X;
66   0x0000210f 0x0040210f 4    5    .text   ascii   t$<t
67   0x00002166 0x00402166 4    5    .text   ascii   t$X;
68   0x000021a2 0x004021a2 4    5    .text   ascii   D$4P
69   0x000021e5 0x004021e5 4    5    .text   ascii   T$\bW
70   0x000022df 0x004022df 4    5    .text   ascii   T$\h
71   0x000022f7 0x004022f7 5    7    .text   utf8    3\rT$L
72   0x00002318 0x00402318 4    5    .text   ascii   L$Ph
73   0x00002330 0x00402330 4    5    .text   ascii   T$Ph
74   0x000023aa 0x004023aa 5    7    .text   utf8    3\r|$(
75   0x000023c8 0x004023c8 4    5    .text   ascii   L$LQ
76   0x000023fb 0x004023fb 4    6    .text   utf8    u$\vȋ blocks=Basic Latin,Latin Extended-B
77   0x00002401 0x00402401 5    7    .text   utf8    3\rT$(
78   0x00002494 0x00402494 4    7    .text   utf8    E\tD$
79   0x00002631 0x00402631 5    6    .text   ascii   T$$QR
80   0x0000263d 0x0040263d 4    5    .text   ascii   D$0P
81   0x0000266e 0x0040266e 4    5    .text   ascii   _^]3
82   0x0000270d 0x0040270d 4    5    .text   ascii   D$,D
83   0x00002730 0x00402730 5    6    .text   ascii   L$xhT
84   0x0000278a 0x0040278a 10   11   .text   ascii   RPSSSSSSQS
