[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x0040c0d4 NONE FUNC KERNEL32.dll GetSystemDirectoryW
2   0x0040c0d8 NONE FUNC KERNEL32.dll SetUnhandledExceptionFilter
3   0x0040c0dc NONE FUNC KERNEL32.dll SetErrorMode
4   0x0040c0e0 NONE FUNC KERNEL32.dll CopyFileW
5   0x0040c0e4 NONE FUNC KERNEL32.dll CreateDirectoryW
6   0x0040c0e8 NONE FUNC KERNEL32.dll GetWindowsDirectoryW
7   0x0040c0ec NONE FUNC KERNEL32.dll GetModuleFileNameW
8   0x0040c0f0 NONE FUNC KERNEL32.dll OpenEventW
9   0x0040c0f4 NONE FUNC KERNEL32.dll OpenProcess
10  0x0040c0f8 NONE FUNC KERNEL32.dll GetCommandLineW
11  0x0040c0fc NONE FUNC KERNEL32.dll GetUserDefaultUILanguage
12  0x0040c100 NONE FUNC KERNEL32.dll GetUserDefaultLangID
13  0x0040c104 NONE FUNC KERNEL32.dll GetSystemDefaultLangID
14  0x0040c108 NONE FUNC KERNEL32.dll ResumeThread
15  0x0040c10c NONE FUNC KERNEL32.dll SetThreadContext
16  0x0040c110 NONE FUNC KERNEL32.dll GetThreadContext
17  0x0040c114 NONE FUNC KERNEL32.dll TerminateProcess
18  0x0040c118 NONE FUNC KERNEL32.dll GetVolumeNameForVolumeMountPointW
19  0x0040c11c NONE FUNC KERNEL32.dll GetCurrentThread
20  0x0040c120 NONE FUNC KERNEL32.dll GetExitCodeProcess
21  0x0040c124 NONE FUNC KERNEL32.dll MoveFileExW
22  0x0040c128 NONE FUNC KERNEL32.dll SetFileAttributesW
23  0x0040c12c NONE FUNC KERNEL32.dll TryEnterCriticalSection
24  0x0040c130 NONE FUNC KERNEL32.dll QueueUserWorkItem
25  0x0040c134 NONE FUNC KERNEL32.dll WideCharToMultiByte
26  0x0040c138 NONE FUNC KERNEL32.dll UnmapViewOfFile
27  0x0040c13c NONE FUNC KERNEL32.dll MapViewOfFile
28  0x0040c140 NONE FUNC KERNEL32.dll CreateFileMappingW
29  0x0040c144 NONE FUNC KERNEL32.dll Process32NextW
30  0x0040c148 NONE FUNC KERNEL32.dll Process32FirstW
31  0x0040c14c NONE FUNC KERNEL32.dll CreateToolhelp32Snapshot
32  0x0040c150 NONE FUNC KERNEL32.dll GetSystemTimeAsFileTime
33  0x0040c154 NONE FUNC KERNEL32.dll GetSystemTime
34  0x0040c158 NONE FUNC KERNEL32.dll FileTimeToSystemTime
35  0x0040c15c NONE FUNC KERNEL32.dll SetThreadAffinityMask
36  0x0040c160 NONE FUNC KERNEL32.dll CreateRemoteThread
37  0x0040c164 NONE FUNC KERNEL32.dll CreateEventW
38  0x0040c168 NONE FUNC KERNEL32.dll LocalFree
39  0x0040c16c NONE FUNC KERNEL32.dll WaitForMultipleObjects
40  0x0040c170 NONE FUNC KERNEL32.dll ReadProcessMemory
41  0x0040c174 NONE FUNC KERNEL32.dll SetLastError
42  0x0040c178 NONE FUNC KERNEL32.dll GetModuleHandleW
43  0x0040c17c NONE FUNC KERNEL32.dll VirtualAllocEx
44  0x0040c180 NONE FUNC KERNEL32.dll VirtualProtect
45  0x0040c184 NONE FUNC KERNEL32.dll WriteProcessMemory
46  0x0040c188 NONE FUNC KERNEL32.dll VirtualFreeEx
47  0x0040c18c NONE FUNC KERNEL32.dll GetACP
48  0x0040c190 NONE FUNC KERNEL32.dll AddVectoredExceptionHandler
49  0x0040c194 NONE FUNC KERNEL32.dll RemoveVectoredExceptionHandler
50  0x0040c198 NONE FUNC KERNEL32.dll GlobalAddAtomA
51  0x0040c19c NONE FUNC KERNEL32.dll CreateEventA
