[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x0041c378 NONE FUNC KERNEL32.DLL CloseHandle
2   0x0041c37c NONE FUNC KERNEL32.DLL CreateDirectoryA
3   0x0041c380 NONE FUNC KERNEL32.DLL CreateFileA
4   0x0041c384 NONE FUNC KERNEL32.DLL CreateMutexA
5   0x0041c388 NONE FUNC KERNEL32.DLL CreatePipe
6   0x0041c38c NONE FUNC KERNEL32.DLL CreateProcessA
7   0x0041c390 NONE FUNC KERNEL32.DLL CreateToolhelp32Snapshot
8   0x0041c394 NONE FUNC KERNEL32.DLL DeleteFileA
9   0x0041c398 NONE FUNC KERNEL32.DLL EnterCriticalSection
10  0x0041c39c NONE FUNC KERNEL32.DLL ExitProcess
11  0x0041c3a0 NONE FUNC KERNEL32.DLL FileTimeToSystemTime
12  0x0041c3a4 NONE FUNC KERNEL32.DLL FindClose
13  0x0041c3a8 NONE FUNC KERNEL32.DLL FindFirstFileA
14  0x0041c3ac NONE FUNC KERNEL32.DLL FindNextFileA
15  0x0041c3b0 NONE FUNC KERNEL32.DLL FreeLibrary
16  0x0041c3b4 NONE FUNC KERNEL32.DLL GetCommandLineA
17  0x0041c3b8 NONE FUNC KERNEL32.DLL GetComputerNameA
18  0x0041c3bc NONE FUNC KERNEL32.DLL GetCurrentProcessId
19  0x0041c3c0 NONE FUNC KERNEL32.DLL GetCurrentThreadId
20  0x0041c3c4 NONE FUNC KERNEL32.DLL GetDiskFreeSpaceExA
21  0x0041c3c8 NONE FUNC KERNEL32.DLL GetDriveTypeA
22  0x0041c3cc NONE FUNC KERNEL32.DLL GetFileAttributesA
23  0x0041c3d0 NONE FUNC KERNEL32.DLL GetFileAttributesExA
24  0x0041c3d4 NONE FUNC KERNEL32.DLL GetLastError
25  0x0041c3d8 NONE FUNC KERNEL32.DLL GetLocalTime
26  0x0041c3dc NONE FUNC KERNEL32.DLL GetLogicalDriveStringsA
27  0x0041c3e0 NONE FUNC KERNEL32.DLL GetModuleFileNameA
28  0x0041c3e4 NONE FUNC KERNEL32.DLL GetProcAddress
29  0x0041c3e8 NONE FUNC KERNEL32.DLL GetProcessTimes
30  0x0041c3ec NONE FUNC KERNEL32.DLL GetStartupInfoA
31  0x0041c3f0 NONE FUNC KERNEL32.DLL GetSystemInfo
32  0x0041c3f4 NONE FUNC KERNEL32.DLL GetSystemTime
33  0x0041c3f8 NONE FUNC KERNEL32.DLL GetTickCount
34  0x0041c3fc NONE FUNC KERNEL32.DLL GetVersionExA
35  0x0041c400 NONE FUNC KERNEL32.DLL GetVolumeInformationA
36  0x0041c404 NONE FUNC KERNEL32.DLL InitializeCriticalSection
37  0x0041c408 NONE FUNC KERNEL32.DLL LeaveCriticalSection
38  0x0041c40c NONE FUNC KERNEL32.DLL LoadLibraryA
39  0x0041c410 NONE FUNC KERNEL32.DLL LocalFree
40  0x0041c414 NONE FUNC KERNEL32.DLL MoveFileA
41  0x0041c418 NONE FUNC KERNEL32.DLL OpenProcess
42  0x0041c41c NONE FUNC KERNEL32.DLL PeekNamedPipe
43  0x0041c420 NONE FUNC KERNEL32.DLL Process32First
44  0x0041c424 NONE FUNC KERNEL32.DLL Process32Next
45  0x0041c428 NONE FUNC KERNEL32.DLL ReadFile
46  0x0041c42c NONE FUNC KERNEL32.DLL ReleaseMutex
47  0x0041c430 NONE FUNC KERNEL32.DLL ResumeThread
48  0x0041c434 NONE FUNC KERNEL32.DLL SetErrorMode
49  0x0041c438 NONE FUNC KERNEL32.DLL SetFileAttributesA
50  0x0041c43c NONE FUNC KERNEL32.DLL SetFilePointer
51  0x0041c440 NONE FUNC KERNEL32.DLL Sleep
52  0x0041c444 NONE FUNC KERNEL32.DLL TerminateProcess
53  0x0041c448 NONE FUNC KERNEL32.DLL WideCharToMultiByte
54  0x0041c44c NONE FUNC KERNEL32.DLL WriteFile
1   0x0041c30c NONE FUNC ADVAPI32.DLL CryptAcquireContextA
2   0x0041c310 NONE FUNC ADVAPI32.DLL CryptCreateHash
3   0x0041c314 NONE FUNC ADVAPI32.DLL CryptDestroyHash
4   0x0041c318 NONE FUNC ADVAPI32.DLL CryptGetHashParam
5   0x0041c31c NONE FUNC ADVAPI32.DLL CryptHashData
6   0x0041c320 NONE FUNC ADVAPI32.DLL CryptReleaseContext
7   0x0041c324 NONE FUNC ADVAPI32.DLL GetUserNameA
8   0x0041c328 NONE FUNC ADVAPI32.DLL RegCloseKey
9   0x0041c32c NONE FUNC ADVAPI32.DLL RegCreateKeyExA
10  0x0041c330 NONE FUNC ADVAPI32.DLL RegDeleteKeyA
11  0x0041c334 NONE FUNC ADVAPI32.DLL RegDeleteValueA
12  0x0041c338 NONE FUNC ADVAPI32.DLL RegEnumKeyExA
13  0x0041c33c NONE FUNC ADVAPI32.DLL RegEnumValueA
14  0x0041c340 NONE FUNC ADVAPI32.DLL RegOpenKeyExA
15  0x0041c344 NONE FUNC ADVAPI32.DLL RegQueryValueExA
16  0x0041c348 NONE FUNC ADVAPI32.DLL RegSetValueExA
