[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x0044623c NONE FUNC KERNEL32.dll DeleteCriticalSection
2   0x00446244 NONE FUNC KERNEL32.dll EnterCriticalSection
3   0x0044624c NONE FUNC KERNEL32.dll GetCurrentProcess
4   0x00446254 NONE FUNC KERNEL32.dll GetCurrentProcessId
5   0x0044625c NONE FUNC KERNEL32.dll GetCurrentThreadId
6   0x00446264 NONE FUNC KERNEL32.dll GetLastError
7   0x0044626c NONE FUNC KERNEL32.dll GetProcAddress
8   0x00446274 NONE FUNC KERNEL32.dll GetStartupInfoA
9   0x0044627c NONE FUNC KERNEL32.dll GetSystemTimeAsFileTime
10  0x00446284 NONE FUNC KERNEL32.dll GetTickCount
11  0x0044628c NONE FUNC KERNEL32.dll InitializeCriticalSection
12  0x00446294 NONE FUNC KERNEL32.dll LeaveCriticalSection
13  0x0044629c NONE FUNC KERNEL32.dll LoadLibraryA
14  0x004462a4 NONE FUNC KERNEL32.dll QueryPerformanceCounter
15  0x004462ac NONE FUNC KERNEL32.dll RtlAddFunctionTable
16  0x004462b4 NONE FUNC KERNEL32.dll RtlCaptureContext
17  0x004462bc NONE FUNC KERNEL32.dll RtlLookupFunctionEntry
18  0x004462c4 NONE FUNC KERNEL32.dll RtlVirtualUnwind
19  0x004462cc NONE FUNC KERNEL32.dll SetUnhandledExceptionFilter
20  0x004462d4 NONE FUNC KERNEL32.dll Sleep
21  0x004462dc NONE FUNC KERNEL32.dll TerminateProcess
22  0x004462e4 NONE FUNC KERNEL32.dll TlsGetValue
23  0x004462ec NONE FUNC KERNEL32.dll UnhandledExceptionFilter
24  0x004462f4 NONE FUNC KERNEL32.dll VirtualAlloc
25  0x004462fc NONE FUNC KERNEL32.dll VirtualFree
26  0x00446304 NONE FUNC KERNEL32.dll VirtualProtect
27  0x0044630c NONE FUNC KERNEL32.dll VirtualQuery
1   0x0044631c NONE FUNC msvcrt.dll   __C_specific_handler
2   0x00446324 NONE FUNC msvcrt.dll   __getmainargs
3   0x0044632c NONE FUNC msvcrt.dll   __initenv
4   0x00446334 NONE FUNC msvcrt.dll   __iob_func
5   0x0044633c NONE FUNC msvcrt.dll   __lconv_init
6   0x00446344 NONE FUNC msvcrt.dll   __set_app_type
7   0x0044634c NONE FUNC msvcrt.dll   __setusermatherr
8   0x00446354 NONE FUNC msvcrt.dll   _acmdln
9   0x0044635c NONE FUNC msvcrt.dll   _amsg_exit
10  0x00446364 NONE FUNC msvcrt.dll   _cexit
11  0x0044636c NONE FUNC msvcrt.dll   _fileno
12  0x00446374 NONE FUNC msvcrt.dll   _fmode
13  0x0044637c NONE FUNC msvcrt.dll   _initterm
14  0x00446384 NONE FUNC msvcrt.dll   _onexit
15  0x0044638c NONE FUNC msvcrt.dll   _setjmp
16  0x00446394 NONE FUNC msvcrt.dll   _setmode
17  0x0044639c NONE FUNC msvcrt.dll   abort
18  0x004463a4 NONE FUNC msvcrt.dll   calloc
19  0x004463ac NONE FUNC msvcrt.dll   exit
20  0x004463b4 NONE FUNC msvcrt.dll   fflush
21  0x004463bc NONE FUNC msvcrt.dll   fprintf
22  0x004463c4 NONE FUNC msvcrt.dll   fputc
23  0x004463cc NONE FUNC msvcrt.dll   free
24  0x004463d4 NONE FUNC msvcrt.dll   fwrite
25  0x004463dc NONE FUNC msvcrt.dll   longjmp
26  0x004463e4 NONE FUNC msvcrt.dll   malloc
27  0x004463ec NONE FUNC msvcrt.dll   memcmp
28  0x004463f4 NONE FUNC msvcrt.dll   memcpy
29  0x004463fc NONE FUNC msvcrt.dll   memset
30  0x00446404 NONE FUNC msvcrt.dll   printf
31  0x0044640c NONE FUNC msvcrt.dll   signal
32  0x00446414 NONE FUNC msvcrt.dll   strcmp
33  0x0044641c NONE FUNC msvcrt.dll   strlen
34  0x00446424 NONE FUNC msvcrt.dll   strncmp
35  0x0044642c NONE FUNC msvcrt.dll   vfprintf


