[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x00000080 0x00000080 5   6            ascii   {asN?
2    0x000000c8 0x000000c8 5   6            ascii   Rich?
3    0x000001d0 0x000001d0 5   6            ascii   .text
4    0x000001f7 0x000001f7 7   8            ascii   `.rdata
5    0x0000021f 0x0000021f 6   7            ascii   @.data
6    0x00000248 0x00000248 5   6            ascii   .rsrc
7    0x00000412 0x00401012 4   5    .text   ascii   7\vE\f
8    0x0000050a 0x0040110a 5   6    .text   ascii   Rj\fj.
9    0x00000525 0x00401125 4   5    .text   ascii   j.j[
10   0x00000599 0x00401199 4   5    .text   ascii   jOj"
11   0x000005b3 0x004011b3 5   6    .text   ascii   ;M\f~.
12   0x00000630 0x00401230 4   7    .text   utf8    +щUċ blocks=Basic Latin,Cyrillic,Latin Extended-A
13   0x00000722 0x00401322 4   5    .text   ascii   '3M\f
14   0x000009a1 0x004015a1 4   6    .text   utf8    3MċU blocks=Basic Latin,Latin Extended-A
15   0x00000a66 0x00401666 4   5    .text   ascii   @#\rH
16   0x00000d43 0x00401943 5   8    .text   utf8    \vȈMڋU blocks=Basic Latin,Latin Extended-B,Arabic
17   0x00000e74 0x00401a74 4   6    .text   utf8    E̋\r4 blocks=Basic Latin,Combining Diacritical Marks
18   0x00000ebf 0x00401abf 5   6    .text   ascii   Rj<jQ
19   0x00001000 0x00401c00 4   6    .text   utf8    #UĉU blocks=Basic Latin,Latin Extended-A
20   0x00001095 0x00401c95 6   7    .text   ascii   QjHjLj
21   0x000013f8 0x00401ff8 4   5    .text   ascii   D#\r(
22   0x0000175a 0x0040235a 4   6    .text   utf8    +ȉ\r@ blocks=Basic Latin,Latin Extended-B
23   0x0002f6f4 0x004302f4 4   5    .text   ascii   jXh0
24   0x0002f794 0x00430394 4   5    .text   ascii   }\bj\e
25   0x0002f7ba 0x004303ba 4   5    .text   ascii   }\bj\b
26   0x0002f7cb 0x004303cb 4   5    .text   ascii   }\bj\t
27   0x0002f7f7 0x004303f7 7   8    .text   ascii   j\nYQPVh
28   0x0002f830 0x00430430 4   6    .text   utf8    YYËe blocks=Basic Latin,Latin-1 Supplement
29   0x0002f952 0x00430552 4   5    .text   ascii   hpqC
30   0x0002f98d 0x0043058d 4   5    .text   ascii   8csm
31   0x0002fa3f 0x0043063f 4   5    .text   ascii   hxqC
32   0x0002fa95 0x00430695 4   5    .text   ascii   ;u\br
33   0x0002fab9 0x004306b9 4   5    .text   ascii   ;u\fr
34   0x0002faed 0x004306ed 4   5    .text   ascii   h\qC
35   0x0002faf2 0x004306f2 4   5    .text   ascii   hHqC
36   0x0002fb13 0x00430713 4   5    .text   ascii   $DqC
37   0x0002fb24 0x00430724 4   5    .text   ascii   Yt\eh
38   0x0002fc12 0x00430812 4   5    .text   ascii   hdqC
39   0x0002fc21 0x00430821 5   6    .text   ascii   YhlqC
40   0x0002fc61 0x00430861 4   5    .text   ascii   t\bj\b
41   0x0002fd13 0x00430913 5   6    .text   ascii   ]\bVW3
42   0x0002fd6f 0x0043096f 4   5    .text   ascii   hHwC
43   0x0002fd8a 0x0043098a 7   8    .text   ascii   t\rVVVVV
44   0x0002fdb5 0x004309b5 6   7    .text   ascii   u&h0wC
45   0x0002fdd0 0x004309d0 5   6    .text   ascii   PPPPP
46   0x0002fde7 0x004309e7 4   5    .text   ascii   <v8V
47   0x0002fdfc 0x004309fc 4   5    .text   ascii   h,wC
48   0x0002fe13 0x00430a13 5   6    .text   ascii   VVVVV
49   0x0002fe24 0x00430a24 4   5    .text   ascii   h(wC
50   0x0002fe35 0x00430a35 7   8    .text   ascii   t\rVVVVV
51   0x0002fe5a 0x00430a5a 7   8    .text   ascii   t\rVVVVV
52   0x0002ff14 0x00430b14 4   5    .text   ascii   S99t
53   0x0002ff2e 0x00430b2e 5   6    .text   ascii   s\b99u
54   0x0003002d 0x00430c2d 4   5    .text   ascii   vdj\b
55   0x00030073 0x00430c73 4   5    .text   ascii   < w\b
56   0x0003007d 0x00430c7d 8   10   .text   utf8    t$<"u\t3Ʌ blocks=Basic Latin,Latin Extended-B
57   0x0003009e 0x00430c9e 5   6    .text   ascii   < w\aF
58   0x000300fd 0x00430cfd 4   6    .text   utf8    tˋ5T blocks=Basic Latin,Spacing Modifier Letters
59   0x00030112 0x00430d12 6   7    .text   ascii   >=Yt1j
60   0x00030125 0x00430d25 5   6    .text   ascii   tNVSP
61   0x00030138 0x00430d38 5   6    .text   ascii   PPPPP
62   0x00030170 0x00430d70 4   5    .text   ascii   Y[_^
63   0x000301a6 0x00430da6 5   6    .text   ascii   9E\bt\t
64   0x00030266 0x00430e66 4   5    .text   ascii   >"u&
65   0x000302b0 0x00430eb0 10  11   .text   ascii   u\b< tK<\ttG
66   0x00030317 0x00430f17 4   5    .text   ascii   E\b^[
67   0x0003041b 0x0043101b 4   5    .text   ascii   xu\nj
68   0x00030450 0x00431050 4   5    .text   ascii   @@f9
69   0x00030457 0x00431057 4   5    .text   ascii   @@f9
70   0x00030464 0x00431064 4   5    .text   ascii   SSS+
71   0x0003046c 0x0043106c 5   6    .text   ascii   @PWSS
72   0x00030489 0x00431089 4   5    .text   ascii   t!SS
73   0x000304d2 0x004310d2 4   5    .text   ascii   t\n@8
74   0x00030518 0x00431118 4   5    .text   ascii   jThx
75   0x0003053a 0x0043113a 6   7    .text   ascii   j@j ^V
76   0x000305c9 0x004311c9 5   6    .text   ascii   [j@j 
77   0x00030653 0x00431253 4   5    .text   ascii   \bu\vQ
78   0x000307c5 0x004313c5 4   5    .text   ascii   50pC
79   0x00030825 0x00431425 4   5    .text   ascii   E\b^]
80   0x00030840 0x00431440 4   5    .text   ascii   50pC
81   0x000308a0 0x004314a0 4   5    .text   ascii   E\b^]
82   0x00030949 0x00431549 5   6    .text   ascii   F\hwC
83   0x000309f2 0x004315f2 4   5    .text   ascii   u\bj\r
84   0x00030b13 0x00431713 6   7    .text   ascii   F\=hwC
85   0x00030bb1 0x004317b1 4   5    .text   ascii   u\bj\r
86   0x00030bba 0x004317ba 6   8    .text   utf8    YËu\bj\f blocks=Basic Latin,Latin-1 Supplement
87   0x00030bee 0x004317ee 4   5    .text   ascii   5tpC
88   0x00030bf3 0x004317f3 4   5    .text   ascii   h@xC
89   0x00030bfb 0x004317fb 4   5    .text   ascii   h4xC
90   0x00030c08 0x00431808 4   5    .text   ascii   h(xC
91   0x00030c15 0x00431815 4   5    .text   ascii   h xC
92   0x00030d5c 0x0043195c 4   5    .text   ascii   9E\bj
93   0x00030dd7 0x004319d7 5   6    .text   ascii   Y__^[
94   0x00030dfe 0x004319fe 4   5    .text   ascii   s\b35
95   0x00030ed3 0x00431ad3 4   5    .text   ascii   9csm
96   0x00030f0c 0x00431b0c 6   7    .text   ascii   E\f9X\ft
97   0x00031006 0x00431c06 4   7    .text   utf8    ։5!C blocks=Armenian,Basic Latin
98   0x0003109f 0x00431c9f 5   7    .text   utf8    @_^Ã$ blocks=Basic Latin,Latin-1 Supplement
99   0x0003111d 0x00431d1d 4   5    .text   ascii   j\fh\b
100  0x00031391 0x00431f91 5   7    .text   utf8    j\rX]Ë blocks=Basic Latin,Latin-1 Supplement
101  0x000313ca 0x00431fca 4   5    .text   ascii   QSVW
102  0x000314a6 0x004320a6 4   6    .text   utf8    X^Ã& blocks=Basic Latin,Latin-1 Supplement
103  0x000314b0 0x004320b0 4   5    .text   ascii   j\fh(
104  0x000314ff 0x004320ff 4   6    .text   utf8    YH]Ë blocks=Basic Latin,Latin-1 Supplement
105  0x00031544 0x00432144 4   6    .text   utf8    ]ËA< blocks=Basic Latin,Latin-1 Supplement
106  0x0003154a 0x0043214a 4   6    .text   utf8    A8PE
107  0x000315af 0x004321af 4   5    .text   ascii   _^[]
108  0x000315da 0x004321da 4   5    .text   ascii   \bSVW
109  0x00031643 0x00432243 4   5    .text   ascii   Y_^[
110  0x00031675 0x00432275 4   5    .text   ascii   Y_^[
111  0x000316c2 0x004322c2 4   5    .text   ascii   M\b^;
112  0x000316df 0x004322df 4   5    .text   ascii   j hh
113  0x000316f1 0x004322f1 4   6    .text   utf8    }؋]\b blocks=Basic Latin,Arabic
114  0x00031751 0x00432351 4   5    .text   ascii   t+Ht
115  0x00031763 0x00432363 5   6    .text   ascii   PPPPP
116  0x000317c8 0x004323c8 4   6    .text   utf8    Y3\tE
117  0x000317e1 0x004323e1 4   6    .text   utf8    MԉG` blocks=Basic Latin,Cyrillic Supplement
118  0x00031877 0x00432477 4   6    .text   utf8    EԉG` blocks=Basic Latin,Cyrillic Supplement
119  0x00031882 0x00432482 5   7    .text   utf8    EЉGd3 blocks=Basic Latin,Cyrillic
120  0x000318fe 0x004324fe 4   5    .text   ascii   u\bj\b
121  0x0003198c 0x0043258c 4   5    .text   ascii   5tpC
122  0x000319d3 0x004325d3 4   5    .text   ascii   $dxC
123  0x000319f0 0x004325f0 4   5    .text   ascii   hLxC
124  0x00031ac2 0x004326c2 4   5    .text   ascii   E\bS3
125  0x00031add 0x004326dd 6   7    .text   ascii   0SSSSS
126  0x00031b0b 0x0043270b 4   5    .text   ascii   \nBF:
127  0x00031b2b 0x0043272b 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
128  0x00031b46 0x00432746 4   5    .text   ascii   9]\fu
129  0x00031b4d 0x0043274d 4   5    .text   ascii   _^[]
130  0x00031b66 0x00432766 6   7    .text   ascii   0SSSSS
131  0x00031b97 0x00432797 4   5    .text   ascii   \b@B:
132  0x00031ba6 0x004327a6 4   5    .text   ascii   \b@B:
133  0x00031bab 0x004327ab 4   5    .text   ascii   t\bOt
134  0x00031bc7 0x004327c7 4   5    .text   ascii   E\fjP
135  0x00031c81 0x00432881 4   5    .text   ascii   M\bS3
136  0x00031c9c 0x0043289c 6   7    .text   ascii   0SSSSS
137  0x00031cde 0x004328de 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
138  0x00031ce9 0x004328e9 4   5    .text   ascii   M\bV3
139  0x00031d15 0x00432915 5   6    .text   ascii   VVVVV
140  0x00031d65 0x00432965 4   5    .text   ascii   Hpu\a
141  0x00031d85 0x00432985 4   5    .text   ascii   Hpu\b
142  0x00031e2e 0x00432a2e 5   6    .text   ascii   \rt\fHt
143  0x0003206e 0x00432c6e 4   5    .text   ascii   u\bj 
144  0x00032092 0x00432c92 4   6    .text   utf8    ;5ةC blocks=Basic Latin,Arabic
145  0x00032213 0x00432e13 4   5    .text   ascii   s\f9U
146  0x00032277 0x00432e77 4   8    .text   utf8    EʀܩC blocks=Basic Latin,IPA Extensions,Syriac
147  0x0003228d 0x00432e8d 4   5    .text   ascii   }\bFF
148  0x000322ce 0x00432ece 6   7    .text   ascii   0A@@Ju
149  0x00032300 0x00432f00 5   6    .text   ascii   \b\b@Iu
150  0x00032376 0x00432f76 4   5    .text   ascii   E\b;C
151  0x00032537 0x00433137 4   5    .text   ascii   t\tVP
152  0x000325d2 0x004331d2 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
153  0x0003261e 0x0043321e 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
154  0x0003263c 0x0043323c 8   9    .text   ascii   u,9E\ft'9
155  0x000326ab 0x004332ab 7   8    .text   ascii   ^_u\b^_]
156  0x000327f5 0x004333f5 4   5    .text   ascii   E\b^_
157  0x00032801 0x00433401 4   5    .text   ascii   E\b^_
158  0x00032813 0x00433413 4   5    .text   ascii   E\b^_
