Metadata Signature: 0x2e38 0x10001424a5342 12
.NET Version: v2.0.50727
Number of Metadata Streams: 5
DirectoryAddress: 6c Size: 1148
Stream name: #~ 4
DirectoryAddress: 11b4 Size: 12f8
Stream name: #Strings 12
DirectoryAddress: 24ac Size: 538
Stream name: #US 4
DirectoryAddress: 29e4 Size: 10
Stream name: #GUID 8
DirectoryAddress: 29f4 Size: 7c8
Stream name: #Blob 8
[Strings]
nth paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1   0x00000178 0x00000178 5   6            ascii   .text
2   0x0000019f 0x0000019f 6   7            ascii   `.rsrc
3   0x000001c7 0x000001c7 7   8            ascii   @.reloc
4   0x0000039d 0x0040219d 4   5    .text   ascii   \e-\n(
5   0x000004ca 0x004022ca 4   5    .text   ascii   \n\n()
6   0x00000533 0x00402333 4   5    .text   ascii   p\n()
7   0x00000660 0x00402460 4   5    .text   ascii   +%((
8   0x00000683 0x00402483 4   5    .text   ascii   \n\v()
9   0x0000069f 0x0040249f 4   5    .text   ascii   !%((
10  0x000006b8 0x004024b8 4   5    .text   ascii   \n\v()
11  0x000006d4 0x004024d4 4   5    .text   ascii   !%((
12  0x000006ed 0x004024ed 4   5    .text   ascii   \n\v()
13  0x0000071e 0x0040251e 4   5    .text   ascii   !%((
14  0x00000737 0x00402537 4   5    .text   ascii   \n\v()
15  0x000007b2 0x004025b2 4   5    .text   ascii   \e%((
16  0x000007c5 0x004025c5 4   5    .text   ascii   \n\v()
17  0x00000822 0x00402622 4   5    .text   ascii   \n\v()
18  0x0000086a 0x0040266a 4   5    .text   ascii   \n\v\ar
19  0x00000908 0x00402708 4   5    .text   ascii   \a\b(%
20  0x00000994 0x00402794 4   5    .text   ascii   \n\vr5
21  0x0000099a 0x0040279a 4   5    .text   ascii   p\n()
22  0x000009d6 0x004027d6 4   5    .text   ascii   \n\v\a*
23  0x000009ee 0x004027ee 4   5    .text   ascii   \n\n(<
24  0x000009fa 0x004027fa 4   5    .text   ascii   \n\v\a*
25  0x00000a16 0x00402816 4   5    .text   ascii   p\rrE
26  0x00000a9c 0x0040289c 4   5    .text   ascii   \n\nsG
27  0x00000aa2 0x004028a2 4   5    .text   ascii   \n\fsG
28  0x00000b0f 0x0040290f 4   5    .text   ascii   \n\boL
29  0x00000b15 0x00402915 4   5    .text   ascii   \n\toL
30  0x00000b31 0x00402931 5   6    .text   ascii   F,KsG
31  0x00000b4d 0x0040294d 4   5    .text   ascii   \n\boL
32  0x00000b5b 0x0040295b 4   5    .text   ascii   \n\toQ
33  0x00000b75 0x00402975 5   6    .text   ascii   \n&\toL
34  0x00000c31 0x00402a31 4   5    .text   ascii   \n\r()
35  0x00000c6d 0x00402a6d 4   5    .text   ascii   \a\aoY
36  0x00000c92 0x00402a92 4   5    .text   ascii   p*\e0
37  0x00000ca5 0x00402aa5 4   5    .text   ascii   \v\a~\
38  0x00000d1e 0x00402b1e 4   5    .text   ascii   7%((
39  0x00000db4 0x00402bb4 4   5    .text   ascii   &\a(c
40  0x00000dc9 0x00402bc9 4   5    .text   ascii   p\n()
41  0x00000eb8 0x00402cb8 4   5    .text   ascii   B%((
42  0x00000ec7 0x00402cc7 4   5    .text   ascii   3%((
43  0x00000f85 0x00402d85 4   5    .text   ascii   \n&(o
44  0x00000fd7 0x00402dd7 5   6    .text   ascii   \n\r\tot
45  0x00001001 0x00402e01 5   6    .text   ascii   \n\r\tot
46  0x0000108f 0x00402e8f 7   8    .text   ascii   \v\a, \ao9
47  0x000013fd 0x004031fd 5   6    .text   ascii   \n\v+<\a
48  0x0000149d 0x0040329d 5   6    .text   ascii   \n\v\a(n
49  0x00001d2a 0x00403b2a 4   5    .text   ascii   \n&(o
50  0x00001f80 0x00403d80 4   5    .text   ascii   \n\n()
51  0x0000203f 0x00403e3f 4   5    .text   ascii   *\e0\n
52  0x0000211c 0x00403f1c 4   5    .text   ascii   \n&\a\b
53  0x00002196 0x00403f96 4   5    .text   ascii   \n\aoL
54  0x000021a1 0x00403fa1 4   5    .text   ascii   \n\v\to
55  0x000021aa 0x00403faa 4   5    .text   ascii   3`\a\t
56  0x000022c6 0x004040c6 4   5    .text   ascii   \n ?B
57  0x000022db 0x004040db 4   5    .text   ascii   \n ?B
58  0x000023f2 0x004041f2 4   5    .text   ascii   \n\n()
59  0x0000242a 0x0040422a 4   5    .text   ascii   \n\v()
60  0x0000245d 0x0040425d 4   5    .text   ascii   \n\f()
61  0x00002480 0x00404280 4   5    .text   ascii   \n\r\t(
62  0x00002591 0x00404391 4   5    .text   ascii   \n\f\ao
63  0x000025bb 0x004043bb 4   5    .text   ascii   \n\v\bo
64  0x000026b2 0x004044b2 4   5    .text   ascii   \n&(o
65  0x000026c0 0x004044c0 4   5    .text   ascii   \n\n(o
66  0x00002726 0x00404526 4   5    .text   ascii   \n\v()
67  0x00002777 0x00404577 4   5    .text   ascii   \n\f()
68  0x000027c8 0x004045c8 4   5    .text   ascii   \n\r()
69  0x000028e6 0x004046e6 4   5    .text   ascii   &\a(`
70  0x00002912 0x00404712 4   5    .text   ascii   _\toa
71  0x00002921 0x00404721 4   5    .text   ascii   `,\vr
72  0x000029a8 0x004047a8 4   5    .text   ascii   p\n()
73  0x000029f6 0x004047f6 4   5    .text   ascii   p\n()
74  0x00002a31 0x00404831 4   5    .text   ascii   \f\b(9
75  0x00002a38 0x00404838 5   6    .text   ascii   \r\t-\br
76  0x00002a60 0x00404860 4   5    .text   ascii   \v\a(<
77  0x00002ada 0x004048da 5   6    .text   ascii   \n,\t\a,
78  0x00002aea 0x004048ea 4   5    .text   ascii   p.E\t
79  0x00002aef 0x004048ef 4   5    .text   ascii   q.@\t
80  0x00002af4 0x004048f4 4   5    .text   ascii   r.;\t
81  0x00002af9 0x004048f9 4   5    .text   ascii   s.6\t
82  0x00002afe 0x004048fe 4   5    .text   ascii   t.1\t
83  0x00002b03 0x00404903 4   5    .text   ascii   u.,\t
