[Strings]
nth  paddr      vaddr      len size section  type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45            ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x00000178 0x00000178 5   6             ascii   .text
2    0x00000180 0x00000180 4   20            utf32le 럔က렀Ѐ blocks=Hangul Syllables,Myanmar,Cyrillic
3    0x0000019e 0x0000019e 7   8             ascii   P`.data
4    0x000001c8 0x000001c8 6   7             ascii   .rdata
5    0x000001ee 0x000001ee 10  11            ascii   0@.eh_fram
6    0x00000216 0x00000216 6   7             ascii   0@.bss
7    0x00000240 0x00000240 6   7             ascii   .idata
8    0x00000268 0x00000268 4   5             ascii   .CRT
9    0x00000290 0x00000290 4   5             ascii   .tls
10   0x0000059e 0x0040119e 5   7    .text    utf8    )čD$\e blocks=Basic Latin,Latin Extended-A
11   0x000007e3 0x004013e3 4   5    .text    ascii   \r\bPA
12   0x0000080c 0x0040140c 5   7    .text    utf8    [^_]á blocks=Basic Latin,Latin-1 Supplement
13   0x0000090a 0x0040150a 4   5    .text    ascii   5LdA
14   0x000009d2 0x004015d2 5   7    .text    utf8    [^_]É blocks=Basic Latin,Latin-1 Supplement
15   0x00000a17 0x00401617 4   6    .text    utf8    С`TA blocks=Cyrillic,Basic Latin
16   0x00000ab4 0x004016b4 4   5    .text    ascii   D$\f~
17   0x00000abc 0x004016bc 4   5    .text    ascii   D$\bk
18   0x00000ece 0x00401ace 4   5    .text    ascii   \nExe
19   0x00000ed5 0x00401ad5 4   5    .text    ascii   ctin
20   0x00000eda 0x00401ada 6   7    .text    ascii   @\bg Pa
21   0x00000ee1 0x00401ae1 6   7    .text    ascii   @\fth: 
22   0x00000fcc 0x00401bcc 4   5    .text    ascii   D$\b\a
23   0x00001144 0x00401d44 4   5    .text    ascii   D$\b\b
24   0x000013f8 0x00401ff8 6   9    .text    utf8    P\n)щʉP blocks=Basic Latin,Cyrillic,IPA Extensions
25   0x00001425 0x00402025 6   9    .text    utf8    P\n)щʉP blocks=Basic Latin,Cyrillic,IPA Extensions
26   0x00001615 0x00402215 4   5    .text    ascii   D$\b\v
27   0x00001680 0x00402280 4   5    .text    ascii   D$\b\b
28   0x000016b5 0x004022b5 4   5    .text    ascii   D$\b(
29   0x000016eb 0x004022eb 4   5    .text    ascii   D$\b\r
30   0x00001720 0x00402320 4   5    .text    ascii   D$\b|
31   0x000017f6 0x004023f6 4   5    .text    ascii   D$\b(
32   0x00001897 0x00402497 4   5    .text    ascii   D$\b\a
33   0x00001937 0x00402537 4   5    .text    ascii   D$\b,
34   0x000019fb 0x004025fb 4   5    .text    ascii   D$\b/
35   0x00001af0 0x004026f0 4   5    .text    ascii   D$\b5
36   0x00001b64 0x00402764 4   5    .text    ascii   D$\b\f
37   0x00001e2a 0x00402a2a 4   5    .text    ascii   D$\b 
38   0x00001e58 0x00402a58 4   5    .text    ascii   D$\b\r
39   0x00001e91 0x00402a91 4   5    .text    ascii   D$\b\f
40   0x0000231f 0x00402f1f 4   5    .text    ascii   D$\b\r
41   0x000023a6 0x00402fa6 4   5    .text    ascii   D$\b\t
42   0x000023f2 0x00402ff2 4   5    .text    ascii   D$\b\a
43   0x000024ca 0x004030ca 4   5    .text    ascii   D$\b\f
44   0x00002513 0x00403113 4   5    .text    ascii   D$\b\r
45   0x0000259d 0x0040319d 4   5    .text    ascii   D$\b\r
46   0x00002718 0x00403318 7   10   .text    utf8    EЋEЉD$\f blocks=Basic Latin,Cyrillic
47   0x000027af 0x004033af 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
48   0x000027b6 0x004033b6 4   5    .text    ascii   D$\b-
49   0x000027d2 0x004033d2 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
50   0x000027f5 0x004033f5 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
51   0x000027fc 0x004033fc 4   5    .text    ascii   D$\b]
52   0x0000282a 0x0040342a 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
53   0x0000284f 0x0040344f 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
54   0x00002872 0x00403472 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
55   0x00002895 0x00403495 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
56   0x000028b8 0x004034b8 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
57   0x000028db 0x004034db 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
58   0x000028e2 0x004034e2 4   5    .text    ascii   D$\b*
59   0x000028fe 0x004034fe 4   5    .text    ascii   D$\f\a
60   0x00002906 0x00403506 4   5    .text    ascii   D$\b\f
61   0x00002926 0x00403526 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
62   0x0000294b 0x0040354b 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
63   0x0000296e 0x0040356e 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
64   0x00002975 0x00403575 4   5    .text    ascii   D$\bQ
65   0x00002991 0x00403591 4   5    .text    ascii   D$\f\a
66   0x000029b9 0x004035b9 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
67   0x000029de 0x004035de 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
68   0x00002a01 0x00403601 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
69   0x00002a24 0x00403624 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
70   0x00002a2b 0x0040362b 4   5    .text    ascii   D$\b8
71   0x00002a5c 0x0040365c 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
72   0x00002a81 0x00403681 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
73   0x00002aa4 0x004036a4 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
