[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x0042f0f0 NONE FUNC kernel32.dll DeleteCriticalSection
2   0x0042f0f4 NONE FUNC kernel32.dll LeaveCriticalSection
3   0x0042f0f8 NONE FUNC kernel32.dll EnterCriticalSection
4   0x0042f0fc NONE FUNC kernel32.dll InitializeCriticalSection
5   0x0042f100 NONE FUNC kernel32.dll VirtualFree
6   0x0042f104 NONE FUNC kernel32.dll VirtualAlloc
7   0x0042f108 NONE FUNC kernel32.dll LocalFree
8   0x0042f10c NONE FUNC kernel32.dll LocalAlloc
9   0x0042f110 NONE FUNC kernel32.dll GetVersion
10  0x0042f114 NONE FUNC kernel32.dll GetCurrentThreadId
11  0x0042f118 NONE FUNC kernel32.dll InterlockedDecrement
12  0x0042f11c NONE FUNC kernel32.dll InterlockedIncrement
13  0x0042f120 NONE FUNC kernel32.dll VirtualQuery
14  0x0042f124 NONE FUNC kernel32.dll WideCharToMultiByte
15  0x0042f128 NONE FUNC kernel32.dll MultiByteToWideChar
16  0x0042f12c NONE FUNC kernel32.dll lstrlenA
17  0x0042f130 NONE FUNC kernel32.dll lstrcpynA
18  0x0042f134 NONE FUNC kernel32.dll LoadLibraryExA
19  0x0042f138 NONE FUNC kernel32.dll GetThreadLocale
20  0x0042f13c NONE FUNC kernel32.dll GetStartupInfoA
21  0x0042f140 NONE FUNC kernel32.dll GetProcAddress
22  0x0042f144 NONE FUNC kernel32.dll GetModuleHandleA
23  0x0042f148 NONE FUNC kernel32.dll GetModuleFileNameA
24  0x0042f14c NONE FUNC kernel32.dll GetLocaleInfoA
25  0x0042f150 NONE FUNC kernel32.dll GetCommandLineA
26  0x0042f154 NONE FUNC kernel32.dll FreeLibrary
27  0x0042f158 NONE FUNC kernel32.dll FindFirstFileA
28  0x0042f15c NONE FUNC kernel32.dll FindClose
29  0x0042f160 NONE FUNC kernel32.dll ExitProcess
30  0x0042f164 NONE FUNC kernel32.dll ExitThread
31  0x0042f168 NONE FUNC kernel32.dll CreateThread
32  0x0042f16c NONE FUNC kernel32.dll WriteFile
