[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x00000050 0x00000050 40  41           ascii   This program must be run under Win32\r\n$7
1    0x000001f8 0x000001f8 4   5            ascii   CODE
2    0x0000021f 0x0000021f 5   6            ascii   `DATA
3    0x00000270 0x00000270 6   7            ascii   .idata
4    0x00000298 0x00000298 4   5            ascii   .tls
5    0x000002c0 0x000002c0 6   7            ascii   .rdata
6    0x000002e7 0x000002e7 7   8            ascii   P.reloc
7    0x0000030f 0x0000030f 6   7            ascii   P.rsrc
8    0x00000405 0x00401005 8   9    CODE    ascii   \aBoolean
9    0x0000041b 0x0040101b 5   6    CODE    ascii   False
10   0x00000421 0x00401021 4   5    CODE    ascii   True
11   0x0000042e 0x0040102e 4   5    CODE    ascii   Char
12   0x00000441 0x00401041 8   9    CODE    ascii   \aInteger
13   0x0000045a 0x0040105a 4   5    CODE    ascii   Byte
14   0x0000046e 0x0040106e 4   5    CODE    ascii   Word
15   0x00000481 0x00401081 9   10   CODE    ascii   \bCardinal
16   0x00000499 0x00401099 9   10   CODE    ascii   \bWordBool
17   0x000004b0 0x004010b0 5   6    CODE    ascii   False
18   0x000004b6 0x004010b6 4   5    CODE    ascii   True
19   0x000004c2 0x004010c2 6   7    CODE    ascii   String
20   0x000004cc 0x004010cc 12  13   CODE    ascii   \v\nWideString
21   0x000004dc 0x004010dc 9   10   CODE    ascii   \f\aVariant
22   0x000004ec 0x004010ec 13  14   CODE    ascii   \f\nOleVariantD
23   0x00000544 0x00401144 9   10   CODE    ascii   \aTObjectP
24   0x00000550 0x00401150 10  11   CODE    ascii   \a\aTObjectD
25   0x00000564 0x00401164 6   7    CODE    ascii   System
26   0x00000571 0x00401171 11  12   CODE    ascii   \nIInterface
27   0x00000592 0x00401192 6   7    CODE    ascii   System
28   0x000005a1 0x004011a1 11  12   CODE    ascii   \tIDispatchl
29   0x000005c1 0x004011c1 6   7    CODE    ascii   System
30   0x00000669 0x00401269 17  18   CODE    ascii   TInterfacedObject
31   0x00000804 0x00401404 4   5    CODE    ascii   uYhD
32   0x0000081b 0x0040141b 4   6    CODE    utf8    u\a3\t
33   0x0000083e 0x0040143e 4   6    CODE    utf8    ҋL$\b blocks=Cyrillic,Basic Latin
34   0x000008db 0x004014db 5   7    CODE    utf8    YZ^[Ã blocks=Basic Latin,Latin-1 Supplement
35   0x00000914 0x00401514 4   5    CODE    ascii   SVWU
36   0x0000097c 0x0040157c 4   5    CODE    ascii   \a;7u
37   0x00000992 0x00401592 8   10   CODE    utf8    YZ]_^[Í@ blocks=Basic Latin,Latin-1 Supplement
38   0x0000099c 0x0040159c 4   5    CODE    ascii   SVWU
39   0x00000a22 0x00401622 5   7    CODE    utf8    |$\b+ȋ blocks=Basic Latin,Latin Extended-B
40   0x00000a4b 0x0040164b 4   5    CODE    ascii   ;D$\f
41   0x00000a5a 0x0040165a 8   10   CODE    utf8    ]_^[ÐSVW blocks=Basic Latin,Latin-1 Supplement
42   0x00000abf 0x004016bf 8   10   CODE    utf8    _^[ÐSVWU blocks=Basic Latin,Latin-1 Supplement
43   0x00000b36 0x00401736 9   11   CODE    utf8    ]_^[ÐSVWU blocks=Basic Latin,Latin-1 Supplement
44   0x00000b4f 0x0040174f 5   7    CODE    utf8    3ɉL$\f blocks=Basic Latin,Latin Extended-B
45   0x00000b75 0x00401775 5   6    CODE    ascii   X\b;\$
46   0x00000b82 0x00401782 5   6    CODE    ascii   B\f;D$
47   0x00000b88 0x00401788 7   8    CODE    ascii   wE;\$\bs
48   0x00000b9c 0x0040179c 7   8    CODE    ascii   h\f;l$\fv
49   0x00000ba5 0x004017a5 4   5    CODE    ascii   l$\fh
50   0x00000bf0 0x004017f0 7   8    CODE    ascii   D$\f+D$\b
51   0x00000bfd 0x004017fd 5   7    CODE    utf8    ]_^[Ë blocks=Basic Latin,Latin-1 Supplement
52   0x00000c04 0x00401804 4   5    CODE    ascii   SVWU
53   0x00000cbe 0x004018be 9   11   CODE    utf8    ]_^[ÐSVWU blocks=Basic Latin,Latin-1 Supplement
54   0x00000d79 0x00401979 5   7    CODE    utf8    ]_^[Ë blocks=Basic Latin,Latin-1 Supplement
55   0x00000d80 0x00401980 4   5    CODE    ascii   SVWU
56   0x00000da6 0x004019a6 4   5    CODE    ascii   \a;p\f
57   0x00000de5 0x004019e5 4   5    CODE    ascii   \a;/u
58   0x00000e20 0x00401a20 6   8    CODE    utf8    \f]_^[Ë blocks=Basic Latin,Latin-1 Supplement
59   0x00000e28 0x00401a28 4   5    CODE    ascii   SVWU
60   0x00000e58 0x00401a58 4   5    CODE    ascii   ;.t\a
61   0x00000e5e 0x00401a5e 4   5    CODE    ascii   ;X\bu
