Metadata Signature: 0x14d14 0x10001424a5342 12
.NET Version: v2.0.50727
Number of Metadata Streams: 5
DirectoryAddress: 6c Size: 537c
Stream name: #~ 4
DirectoryAddress: 53e8 Size: 57c4
Stream name: #Strings 12
DirectoryAddress: abac Size: cc
Stream name: #US 4
DirectoryAddress: ac78 Size: 10
Stream name: #GUID 8
DirectoryAddress: ac88 Size: 1ac8
Stream name: #Blob 8
[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1     0x00000088 0x00000088 4   5            ascii   u\bBW
2     0x00000178 0x00000178 5   6            ascii   .text
3     0x0000019f 0x0000019f 7   8            ascii   `.sdata
4     0x000001c8 0x000001c8 5   6            ascii   .rsrc
5     0x000001ef 0x000001ef 7   8            ascii   @.reloc
6     0x0000045e 0x0040205e 4   5    .text   ascii   \n*\e0
7     0x0000071f 0x0040231f 4   5    .text   ascii   +\n8\f
8     0x0000081a 0x0040241a 4   5    .text   ascii   \n*\e0
9     0x00000922 0x00402522 4   5    .text   ascii   \n\ao)
10    0x00000951 0x00402551 4   5    .text   ascii   \n\bo)
11    0x00000aba 0x004026ba 4   5    .text   ascii   &\ao,
12    0x00000edc 0x00402adc 4   5    .text   ascii   \n\b i
13    0x00000f4c 0x00402b4c 4   5    .text   ascii   \n\b i
14    0x0000111b 0x00402d1b 4   5    .text   ascii   \r\v8\
15    0x00001148 0x00402d48 5   6    .text   ascii   @`@A*
16    0x00001162 0x00402d62 5   6    .text   ascii   \n\f\boD
17    0x0000116e 0x00402d6e 4   5    .text   ascii   \n&(1
18    0x0000117d 0x00402d7d 4   5    .text   ascii   \v\a\t>
19    0x00001a1c 0x0040361c 4   5    .text   ascii   \t\b w
20    0x00001a52 0x00403652 4   5    .text   ascii   \t\b w
21    0x00001a7f 0x0040367f 4   5    .text   ascii   \t\b V
22    0x00001ac3 0x004036c3 4   5    .text   ascii   \t\bo^
23    0x00001c32 0x00403832 4   5    .text   ascii   \n\v \a
24    0x00001c7a 0x0040387a 4   5    .text   ascii   \n\b(;
25    0x00001cd3 0x004038d3 5   6    .text   ascii   \n\f\b |
26    0x00001ce4 0x004038e4 4   5    .text   ascii   \n\b(;
27    0x00001cff 0x004038ff 4   5    .text   ascii   \n\b(;
28    0x00001d1a 0x0040391a 4   5    .text   ascii   \n\b(;
29    0x00001d49 0x00403949 4   5    .text   ascii   \n\b(;
30    0x00001d60 0x00403960 4   5    .text   ascii   &\b(;
31    0x00001dd1 0x004039d1 4   5    .text   ascii   \a\b(j
32    0x00002071 0x00403c71 4   5    .text   ascii   \n M\r
33    0x00002090 0x00403c90 4   5    .text   ascii   \n M\r
34    0x000020c6 0x00403cc6 4   5    .text   ascii   \n M\r
35    0x000020d5 0x00403cd5 4   5    .text   ascii   \n M\r
36    0x00002333 0x00403f33 4   5    .text   ascii   \b !\a
37    0x0000239e 0x00403f9e 5   6    .text   ascii   \n\b B\a
38    0x00002425 0x00404025 4   5    .text   ascii   \t [\a
39    0x0000243d 0x0040403d 5   6    .text   ascii   \t\b B\a
40    0x0000246a 0x0040406a 5   6    .text   ascii   \t\b B\a
41    0x000024d6 0x004040d6 5   6    .text   ascii   \n\b !\a
42    0x0000252a 0x0040412a 5   6    .text   ascii   \t\b !\a
43    0x000027ee 0x004043ee 4   5    .text   ascii   \b !\a
44    0x00002880 0x00404480 4   5    .text   ascii   \n& \f
45    0x00002a27 0x00404627 4   5    .text   ascii   \b \a\t
46    0x00002af5 0x004046f5 4   5    .text   ascii   \b !\a
47    0x00002c62 0x00404862 4   5    .text   ascii   \r\b(6
48    0x00002c8a 0x0040488a 4   5    .text   ascii   \n /\b
49    0x00002cab 0x004048ab 4   5    .text   ascii   \r\b(6
50    0x00002d8a 0x0040498a 4   5    .text   ascii   \n /\b
51    0x00002e8d 0x00404a8d 4   5    .text   ascii   \n /\b
52    0x00002eae 0x00404aae 4   5    .text   ascii   \r\b(6
53    0x00003054 0x00404c54 4   20   .text   utf32le \a8FF
54    0x00003087 0x00404c87 4   5    .text   ascii   \n e\t
55    0x000030e1 0x00404ce1 4   5    .text   ascii   \nz*\n
56    0x000030f2 0x00404cf2 4   5    .text   ascii   \n*\e0
57    0x0000318d 0x00404d8d 4   5    .text   ascii   &\a\e>
58    0x00003930 0x00405530 4   5    .text   ascii   . 0\n
59    0x00003a38 0x00405638 4   5    .text   ascii   V N\n
60    0x00003a50 0x00405650 4   5    .text   ascii   V g\n
61    0x00003a82 0x00405682 5   6    .text   ascii   \n\v\a:\a
62    0x00003b27 0x00405727 5   6    .text   ascii   \t\v\a:^
63    0x00003b55 0x00405755 4   5    .text   ascii   X\v81
64    0x00003b70 0x00405770 4   5    .text   ascii   bX~:
65    0x00003b7e 0x0040577e 4   5    .text   ascii   bX~:
66    0x00003b8b 0x0040578b 4   5    .text   ascii   X\v(&
67    0x00003b97 0x00405797 4   5    .text   ascii   \b\ao'
68    0x00003ce5 0x004058e5 4   5    .text   ascii   \n\v\ao
69    0x00003dfe 0x004059fe 5   6    .text   ascii   \n*\e0\a
70    0x00003ebe 0x00405abe 4   5    .text   ascii   X\f\b\a
71    0x00004004 0x00405c04 4   5    .text   ascii   \n\n(x
72    0x0000408f 0x00405c8f 4   5    .text   ascii   \nz\bo
73    0x000040f6 0x00405cf6 4   5    .text   ascii   \n&\bo
74    0x00004103 0x00405d03 4   6    .text   utf8    \nYԍ& blocks=Basic Latin,Cyrillic Supplement
75    0x00004154 0x00405d54 4   5    .text   ascii    {z}
76    0x000042a2 0x00405ea2 5   6    .text   ascii   \nz\bo%
77    0x00004522 0x00406122 4   5    .text   ascii   \n\eb`
78    0x0000452e 0x0040612e 5   6    .text   ascii   d`n\r 
79    0x00004786 0x00406386 4   5    .text   ascii    {z}
80    0x000048b3 0x004064b3 4   5    .text   ascii    {z}
81    0x0000490b 0x0040650b 4   5    .text   ascii    {z}
82    0x00004d3a 0x0040693a 4   5    .text   ascii   \tX}F
83    0x00004d7b 0x0040697b 4   5    .text   ascii   \bX}E
84    0x00004e88 0x00406a88 4   5    .text   ascii   Y%\n 
85    0x0000501b 0x00406c1b 4   5    .text   ascii   \bY}G
86    0x0000552d 0x0040712d 5   6    .text   ascii   _b`}Q
87    0x0000554c 0x0040714c 4   20   .text   utf32le \f//\f
88    0x000055be 0x004071be 5   6    .text   ascii   Yj_i\f
89    0x00005616 0x00407216 4   5    .text   ascii   _d}Q
90    0x000056e5 0x004072e5 4   5    .text   ascii   _d}Q
91    0x00005916 0x00407516 5   6    .text   ascii   \n*\e0\a
92    0x00005929 0x00407529 4   5    .text   ascii   %\n}R
93    0x00005931 0x00407531 4   5    .text   ascii   %\v}P
94    0x00005938 0x00407538 5   6    .text   ascii   \a%\f}O
95    0x00005a3e 0x0040763e 5   6    .text   ascii   _b`}Q
96    0x00005ca8 0x004078a8 5   6    .text   ascii   X%\f}U
97    0x00005e80 0x00407a80 4   5    .text   ascii   \aYou
98    0x00006139 0x00407d39 4   5    .text   ascii   \aY}U
99    0x000061ec 0x00407dec 4   5    .text   ascii   \nz\a\r
100   0x0000624b 0x00407e4b 4   5    .text   ascii   %\n}T
101   0x000068da 0x004084da 4   5    .text   ascii   ce\f\a
102   0x00006a86 0x00408686 5   6    .text   ascii   \n*\e0\f
