[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000c0 0x000000c0 4   5            ascii   Rich
2    0x000001c8 0x000001c8 5   6            ascii   .text
3    0x000001ef 0x000001ef 7   8            ascii   `.rdata
4    0x00000217 0x00000217 6   7            ascii   @.data
5    0x00000240 0x00000240 6   7            ascii   .reloc
6    0x00000432 0x00401032 6   7    .text   ascii   hU]\rUh
7    0x00000476 0x00401076 5   7    .text   utf8    ӬPP<f blocks=Cyrillic,Basic Latin
8    0x0000049f 0x0040109f 4   5    .text   ascii   <&Xt
9    0x000004b6 0x004010b6 4   5    .text   ascii   <dXt
10   0x000005ac 0x004011ac 4   5    .text   ascii   j\fY2
11   0x000005b5 0x004011b5 4   5    .text   ascii   SUVW
12   0x00000612 0x00401212 9   10   .text   ascii   WUUUUUUSQ
13   0x00000628 0x00401228 4   5    .text   ascii   UUj\n
14   0x00000638 0x00401238 4   5    .text   ascii   Uhb"
15   0x0000064b 0x0040124b 5   7    .text   utf8    _^][Ã blocks=Basic Latin,Latin-1 Supplement
16   0x00000652 0x00401252 5   6    .text   ascii   DSUVW
17   0x0000067e 0x0040127e 10  12   .text   utf8    R3ۍT$$Sj0W blocks=Basic Latin,Arabic
18   0x000006b2 0x004012b2 5   6    .text   ascii   T$ Rj
19   0x000006c9 0x004012c9 6   7    .text   ascii   T$(SSR
20   0x000006d2 0x004012d2 6   7    .text   ascii   T$DSRP
21   0x000006e3 0x004012e3 4   5    .text   ascii   h0BA
22   0x00000705 0x00401305 4   9    .text   utf8    ht㜎萌 blocks=Basic Latin,CJK Unified Ideographs Extension A,CJK Unified Ideographs
23   0x000007bd 0x004013bd 8   11   .text   utf8    SUVWj\rY虙 blocks=Basic Latin,CJK Unified Ideographs
24   0x000007e2 0x004013e2 4   5    .text   ascii   T$ Y
25   0x0000084e 0x0040144e 4   7    .text   utf8    L$ 賖 blocks=Basic Latin,CJK Unified Ideographs
26   0x00000859 0x00401459 4   5    .text   ascii   T$(3
27   0x00000916 0x00401516 4   5    .text   ascii   _^][
28   0x00000927 0x00401527 5   8    .text   utf8    SUVW軒 blocks=Basic Latin,CJK Unified Ideographs
29   0x00000996 0x00401596 4   5    .text   ascii   QQQQ
30   0x000009a9 0x004015a9 5   9    .text   utf8    S͋չķA blocks=Basic Latin,Combining Diacritical Marks,Armenian,Latin Extended-A
31   0x000009f6 0x004015f6 4   5    .text   ascii   u"h`
32   0x00000a57 0x00401657 4   5    .text   ascii   u?jx
33   0x00000a7c 0x0040167c 5   6    .text   ascii   Ph8BA
34   0x00000abf 0x004016bf 4   5    .text   ascii   _^]3
35   0x00000ad0 0x004016d0 6   7    .text   ascii   TSUVWj
36   0x00000b85 0x00401785 5   7    .text   utf8    ЉF\f9^ blocks=Cyrillic,Basic Latin
37   0x00000b8c 0x0040178c 7   8    .text   ascii   t 9^\bt\e
38   0x00000b97 0x00401797 5   6    .text   ascii   QQVh!
39   0x00000be5 0x004017e5 4   7    .text   utf8    j\bW貇 blocks=Basic Latin,CJK Unified Ideographs
40   0x00000c00 0x00401800 6   8    .text   utf8    SVW3۾D blocks=Basic Latin,Arabic
41   0x00000c11 0x00401811 4   5    .text   ascii   SQj\n
42   0x00000c33 0x00401833 4   5    .text   ascii   Pj\bh
43   0x00000c64 0x00401864 6   7    .text   ascii   SUVWQj
44   0x00000c9d 0x0040189d 4   5    .text   ascii   Wj\bh
45   0x00000cd7 0x004018d7 6   8    .text   utf8    SUVW3ۋ blocks=Basic Latin,Arabic
46   0x00000d22 0x00401922 4   5    .text   ascii   hK}i
47   0x00000d5a 0x0040195a 4   5    .text   ascii   Vj\bh
48   0x00000e36 0x00401a36 4   6    .text   utf8    #hںD blocks=Basic Latin,Arabic
49   0x00000ec6 0x00401ac6 4   5    .text   ascii   hHBA
50   0x00000ecb 0x00401acb 4   5    .text   ascii   h`BA
51   0x0000117f 0x00401d7f 4   6    .text   utf8    ex]Á blocks=Basic Latin,Latin-1 Supplement
52   0x0000119a 0x00401d9a 5   7    .text   utf8    S3ۍT$ blocks=Basic Latin,Arabic
53   0x000011c4 0x00401dc4 4   5    .text   ascii   D$ 3
54   0x000011d3 0x00401dd3 4   6    .text   utf8    шL$\b blocks=Cyrillic,Basic Latin
55   0x000011d9 0x00401dd9 4   5    .text   ascii   L$\bS
56   0x00001229 0x00401e29 4   5    .text   ascii   \$$P
57   0x0000127c 0x00401e7c 4   6    .text   utf8    E؋L$ blocks=Basic Latin,Arabic
58   0x000012b8 0x00401eb8 4   6    .text   utf8    ЍL$  blocks=Cyrillic,Basic Latin
59   0x000012e0 0x00401ee0 5   6    .text   ascii   SUVW3
60   0x00001311 0x00401f11 5   6    .text   ascii   t`WSj
61   0x00001394 0x00401f94 4   5    .text   ascii   D$ s
62   0x000013a4 0x00401fa4 6   7    .text   ascii   D$(3\e@
63   0x000013ac 0x00401fac 6   7    .text   ascii   D$,W\e@
64   0x000013b4 0x00401fb4 6   7    .text   ascii   D$0{\e@
65   0x000013d4 0x00401fd4 4   5    .text   ascii   D$@\v
66   0x000013dc 0x00401fdc 4   5    .text   ascii   D$D/
67   0x000013e4 0x00401fe4 4   5    .text   ascii   D$HS
68   0x000013ec 0x00401fec 4   5    .text   ascii   D$Lw
69   0x0000140d 0x0040200d 4   5    .text   ascii   _^][
70   0x000014db 0x004020db 4   5    .text   ascii   t$\b;
71   0x00001502 0x00402102 4   6    .text   utf8    t\r+ʊ blocks=Basic Latin,IPA Extensions
72   0x00001533 0x00402133 6   7    .text   ascii   S9D$\bv
73   0x00001545 0x00402145 7   8    .text   ascii   @B;D$\br
74   0x00001574 0x00402174 4   6    .text   utf8    ؋D$\f blocks=Arabic,Basic Latin
75   0x000015b1 0x004021b1 9   10   .text   ascii   w\br\a;D$\fv
76   0x000015cd 0x004021cd 7   9    .text   utf8    \vȋL$\fu\t blocks=Basic Latin,Latin Extended-B
77   0x000015e2 0x004021e2 4   6    .text   utf8    ؋D$\b blocks=Arabic,Basic Latin
78   0x000015ec 0x004021ec 4   6    .text   utf8    ؋D$\b blocks=Arabic,Basic Latin
79   0x00001673 0x00402273 4   6    .text   utf8    ex]Ë blocks=Basic Latin,Latin-1 Supplement
80   0x000016c7 0x004022c7 4   6    .text   utf8    ]ËD$ blocks=Basic Latin,Latin-1 Supplement
81   0x000016f1 0x004022f1 6   7    .text   ascii   SPVQUh
82   0x00001725 0x00402325 4   5    .text   ascii   QSUV
83   0x0000177a 0x0040237a 5   6    .text   ascii   _^][Y
84   0x000017a3 0x004023a3 4   5    .text   ascii   WPRj
85   0x000017cf 0x004023cf 5   6    .text   ascii   \fG_[]
86   0x00001828 0x00402428 4   5    .text   ascii   _^][
87   0x0000182f 0x0040242f 4   5    .text   ascii   SUVW
88   0x000018b5 0x004024b5 4   5    .text   ascii   _^][
89   0x00001902 0x00402502 5   6    .text   ascii   h@[ju
90   0x00001965 0x00402565 5   6    .text   ascii   j\t_f;
91   0x0000198f 0x0040258f 4   6    .text   utf8    ^ËD$ blocks=Basic Latin,Latin-1 Supplement
92   0x000019ea 0x004025ea 6   8    .text   utf8    _[^ËD$ blocks=Basic Latin,Latin-1 Supplement
93   0x00001a58 0x00402658 7   8    .text   ascii   UVWj\r_3
94   0x00001a7b 0x0040267b 4   5    .text   ascii   \fSf;
95   0x00001a87 0x00402687 4   5    .text   ascii   f;L$
96   0x00001a8c 0x0040268c 6   7    .text   ascii   t\af;L$
97   0x00001a9b 0x0040269b 4   6    .text   utf8    +ƍ4s blocks=Basic Latin,Latin Extended-B
98   0x00001aa9 0x004026a9 4   5    .text   ascii   \fVf;
99   0x00001ab5 0x004026b5 4   5    .text   ascii   f;L$
100  0x00001aba 0x004026ba 6   7    .text   ascii   t\af;L$
101  0x00001ade 0x004026de 6   7    .text   ascii   \fC][YY
102  0x00001ae5 0x004026e5 6   7    .text   ascii   QQSUVW
103  0x00001b16 0x00402716 4   5    .text   ascii   t\ff;
104  0x00001b39 0x00402739 6   7    .text   ascii   j\rYf9\b
105  0x00001b43 0x00402743 8   9    .text   ascii   u\rj\n^f92
106  0x00001ba4 0x004027a4 4   5    .text   ascii   j\r[;
107  0x00001bb1 0x004027b1 6   7    .text   ascii   _^][YY
108  0x00001bcf 0x004027cf 9   10   .text   ascii   D$\fSUVWj 
109  0x00001be2 0x004027e2 6   7    .text   ascii   ,VZj\r_
110  0x00001bfe 0x004027fe 4   5    .text   ascii   t\nf;
111  0x00001c03 0x00402803 4   5    .text   ascii   r\ff;
112  0x00001c28 0x00402828 4   5    .text   ascii   "t,;
113  0x00001c2d 0x0040282d 5   6    .text   ascii   s1j\tZ
114  0x00001c38 0x00402838 4   5    .text   ascii   t&f;
115  0x00001c3d 0x0040283d 6   7    .text   ascii   r\af;D$
116  0x00001c4f 0x0040284f 5   6    .text   ascii   f9\at\a
117  0x00001c7c 0x0040287c 4   6    .text   utf8    u\n3ҹ blocks=Basic Latin,Cyrillic
118  0x00001ca4 0x004028a4 8   9    .text   ascii   j [j\tZj\r
119  0x00001cce 0x004028ce 6   7    .text   ascii   _^][YY
120  0x00001cee 0x004028ee 4   6    .text   utf8    3ۉT$ blocks=Basic Latin,Arabic
121  0x00001d53 0x00402953 6   7    .text   ascii   t\bj Xf
122  0x00001d62 0x00402962 6   7    .text   ascii   t\bj"Xf
123  0x00001d85 0x00402985 4   5    .text   ascii   j"Xf
124  0x00001d97 0x00402997 7   8    .text   ascii   Cj ];\$
125  0x00001da7 0x004029a7 4   5    .text   ascii   _^][
126  0x00001dc5 0x004029c5 4   5    .text   ascii   t$\bj
127  0x00001dea 0x004029ea 4   5    .text   ascii   t\ff9
128  0x00001def 0x004029ef 5   6    .text   ascii   t\a@f9
129  0x00001e23 0x00402a23 4   5    .text   ascii   T$\fU
130  0x00001e41 0x00402a41 4   6    .text   utf8    uQ+ބ blocks=Basic Latin,Thaana
131  0x00001e87 0x00402a87 6   7    .text   ascii   u\vCFA;
132  0x00001f82 0x00402b82 4   5    .text   ascii   Vj\^
133  0x00001f8d 0x00402b8d 4   5    .text   ascii   f92u
134  0x00001f94 0x00402b94 4   5    .text   ascii   f92^
135  0x00001fe2 0x00402be2 4   6    .text   utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
136  0x00002011 0x00402c11 4   5    .text   ascii   t$\f2
137  0x00002037 0x00402c37 5   6    .text   ascii   h@[ju
138  0x0000211b 0x00402d1b 5   7    .text   utf8    [ËT$\b blocks=Basic Latin,Latin-1 Supplement
139  0x0000220e 0x00402e0e 4   5    .text   ascii   t\bF;
140  0x0000222b 0x00402e2b 4   5    .text   ascii   t\j 
141  0x0000224c 0x00402e4c 4   6    .text   utf8    ƉD$$ blocks=Latin Extended-B,Basic Latin
142  0x00002254 0x00402e54 5   7    .text   utf8    +ƉD$( blocks=Basic Latin,Latin Extended-B
143  0x000022a8 0x00402ea8 6   7    .text   ascii   :\vu\n;k
144  0x00002362 0x00402f62 5   6    .text   ascii   C\f8L(
145  0x0000239b 0x00402f9b 6   7    .text   ascii   BFEGBF
146  0x000023c4 0x00402fc4 4   5    .text   ascii   _^][
147  0x000023d2 0x00402fd2 7   8    .text   ascii   B;S\bs\b8
148  0x000023dd 0x00402fdd 5   6    .text   ascii   ;S\bu\b
149  0x000023f9 0x00402ff9 4   5    .text   ascii   )T$ 
150  0x0000240a 0x0040300a 4   6    .text   utf8    ŉD$$ blocks=Latin Extended-A,Basic Latin
151  0x00002412 0x00403012 5   7    .text   utf8    +ŉD$( blocks=Basic Latin,Latin Extended-A
152  0x0000244c 0x0040304c 4   5    .text   ascii   L$(W
153  0x00002486 0x00403086 4   5    .text   ascii   !L$0
154  0x0000248b 0x0040308b 6   7    .text   ascii   L$,j Z
155  0x000024c4 0x004030c4 8   10   .text   utf8    |$$3ɉL$, blocks=Basic Latin,Latin Extended-B
156  0x000024fd 0x004030fd 4   5    .text   ascii   j Zf
157  0x0000250a 0x0040310a 4   5    .text   ascii   +9|$
158  0x00002523 0x00403123 4   5    .text   ascii   j Zf
159  0x0000252c 0x0040312c 4   5    .text   ascii   L$0f
160  0x00002535 0x00403135 6   8    .text   utf8    KL$,@A
161  0x00002541 0x00403141 4   5    .text   ascii   L$,;
162  0x0000259c 0x0040319c 4   5    .text   ascii   _^][
163  0x00002693 0x00403293 5   7    .text   utf8    \vF3ȉ5 blocks=Basic Latin,Latin Extended-B
164  0x000026dd 0x004032dd 5   6    .text   ascii   RQj\bj
165  0x00002749 0x00403349 5   6    .text   ascii   QSUVW
166  0x00002754 0x00403354 4   5    .text   ascii   PSSh
167  0x000027ad 0x004033ad 5   6    .text   ascii   t4SSW
168  0x000027bf 0x004033bf 4   5    .text   ascii   t$$h
169  0x0000280c 0x0040340c 6   8    .text   utf8    SUVW3ۋ blocks=Basic Latin,Arabic
170  0x00002839 0x00403439 4   6    .text   utf8    \b\vȉL blocks=Basic Latin,Latin Extended-B
171  0x00002846 0x00403446 4   5    .text   ascii   j@];
172  0x0000288d 0x0040348d 4   6    .text   utf8    3ۋGL blocks=Basic Latin,Arabic
173  0x00002916 0x00403516 4   6    .text   utf8    3ЋD$ blocks=Basic Latin,Cyrillic
174  0x00002926 0x00403526 4   6    .text   utf8    3ȋD$ blocks=Basic Latin,Latin Extended-B
175  0x0000292d 0x0040352d 4   6    .text   utf8    щD$( blocks=Cyrillic,Basic Latin
176  0x00002972 0x00403572 4   6    .text   utf8    ŋ|$0 blocks=Latin Extended-A,Basic Latin
177  0x000029a5 0x004035a5 6   7    .text   ascii   Oh_^][
178  0x000029b9 0x004035b9 4   5    .text   ascii   Wj8[
179  0x000029d0 0x004035d0 5   7    .text   utf8    j@Y+ȋ blocks=Basic Latin,Latin Extended-B
180  0x00002a03 0x00403603 4   7    .text   utf8    KΉFD blocks=Basic Latin,Greek and Coptic
181  0x00002a90 0x00403690 5   7    .text   utf8    _^][Ã blocks=Basic Latin,Latin-1 Supplement
182  0x00002a97 0x00403697 5   6    .text   ascii   lSUV3
183  0x00002a9e 0x0040369e 4   5    .text   ascii   D$Xg
184  0x00002aa3 0x004036a3 6   7    .text   ascii   \tj!t$P
185  0x00002aab 0x004036ab 4   5    .text   ascii   !t$T
