[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x10061000 NONE FUNC KERNEL32.dll CloseHandle
1   0x10061008 NONE FUNC USER32.dll   SetProcessWindowStation
1   0x10061010 NONE FUNC ADVAPI32.dll ControlService
1   0x10061018 NONE FUNC SHELL32.dll  SHGetFolderPathA
1   0x10061020 NONE FUNC WINHTTP.dll  WinHttpConnect
1   0x10061028 NONE FUNC SHLWAPI.dll  PathFileExistsA
1   0x10061030 NONE FUNC imagehlp.dll MakeSureDirectoryPathExists
1   0x10061038 NONE FUNC KERNEL32.dll GetModuleFileNameW
1   0x10061040 NONE FUNC KERNEL32.dll GetModuleHandleA
2   0x10061044 NONE FUNC KERNEL32.dll LoadLibraryA
3   0x10061048 NONE FUNC KERNEL32.dll LocalAlloc
4   0x1006104c NONE FUNC KERNEL32.dll LocalFree
5   0x10061050 NONE FUNC KERNEL32.dll GetModuleFileNameA
6   0x10061054 NONE FUNC KERNEL32.dll ExitProcess


