[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x00000088 0x00000088 4   5            ascii   XUCO
2    0x00000178 0x00000178 5   6            ascii   .text
3    0x0000019f 0x0000019f 6   7            ascii   `.data
4    0x000001c8 0x000001c8 4   5            ascii   .bss
5    0x000001f0 0x000001f0 6   7            ascii   .idata
6    0x00000217 0x00000217 6   7            ascii   @.rsrc
7    0x000004af 0x004010af 5   6    .text   ascii   FFFFE
8    0x000004c8 0x004010c8 4   5    .text   ascii   ^SVh
9    0x000004e9 0x004010e9 4   5    .text   ascii   SVhk
10   0x0000050a 0x0040110a 4   5    .text   ascii   SVhf
11   0x00000518 0x00401118 4   5    .text   ascii   \f^[_
12   0x00000537 0x00401137 4   5    .text   ascii   GGGG
13   0x00000596 0x00401196 5   6    .text   ascii   FFFFE
14   0x000006ec 0x004012ec 5   6    .text   ascii   2GGGG
15   0x00000898 0x00401498 5   6    .text   ascii   XSPhd
16   0x000008b7 0x004014b7 4   5    .text   ascii   SPhq
17   0x000008d5 0x004014d5 4   5    .text   ascii   SPhU
18   0x000008e3 0x004014e3 4   5    .text   ascii   \fX[Z
19   0x0000094b 0x0040154b 4   5    .text   ascii   1^30
20   0x00000a3a 0x0040163a 5   6    .text   ascii   2PVh8
21   0x00000a58 0x00401658 4   5    .text   ascii   PVhg
22   0x00000a76 0x00401676 4   5    .text   ascii   PVhv
23   0x00000a95 0x00401695 4   5    .text   ascii   URh\n
24   0x00000ab1 0x004016b1 4   5    .text   ascii   URh+
25   0x00000adc 0x004016dc 4   5    .text   ascii   \fZ][
26   0x00000c72 0x00401872 4   5    .text   ascii   PVhR
27   0x00000c9d 0x0040189d 4   5    .text   ascii   \f^X_
28   0x00000ccf 0x004018cf 4   5    .text   ascii   RQhs
29   0x00000cfc 0x004018fc 4   5    .text   ascii   \fYZ[
30   0x00000d35 0x00401935 4   5    .text   ascii   PZX!
31   0x00000d4b 0x0040194b 4   5    .text   ascii   RXZG
32   0x00000e22 0x00401a22 4   5    .text   ascii   SQh`
33   0x00000e30 0x00401a30 5   7    .text   utf8    \fY[_ÿ blocks=Basic Latin,Latin-1 Supplement
34   0x00000f34 0x00401b34 4   5    .text   ascii   Q]Y!
35   0x00000fae 0x00401bae 4   5    .text   ascii   QPhS
36   0x00001040 0x00401c40 4   5    .text   ascii   WPh\n
37   0x00001060 0x00401c60 4   5    .text   ascii   WPhD
38   0x0000107e 0x00401c7e 4   5    .text   ascii   WPhO
39   0x000010fd 0x00401cfd 4   5    .text   ascii   :VWh
40   0x0000114c 0x00401d4c 4   5    .text   ascii   \f_^]
41   0x00001184 0x00401d84 4   5    .text   ascii   UX]!
42   0x000011fd 0x00401dfd 4   5    .text   ascii   \f]YX
43   0x0000123a 0x00401e3a 4   5    .text   ascii   W[_!
44   0x00001282 0x00401e82 4   6    .text   utf8    ^ZXø blocks=Basic Latin,Latin-1 Supplement
45   0x00001339 0x00401f39 4   5    .text   ascii   QRhs
46   0x00001368 0x00401f68 5   7    .text   utf8    ZY[Í= blocks=Basic Latin,Latin-1 Supplement
47   0x00001387 0x00401f87 7   8    .text   ascii   (CCCCFO
48   0x000013eb 0x00401feb 4   5    .text   ascii   W[_!
49   0x000014a0 0x004020a0 4   5    .text   ascii   [QSh
50   0x000014ea 0x004020ea 4   5    .text   ascii   \f[YZ
51   0x00001500 0x00402100 4   5    .text   ascii   UShL
52   0x0000151e 0x0040211e 4   5    .text   ascii   USh=
53   0x0000157e 0x0040217e 4   6    .text   utf8    _X[ú blocks=Basic Latin,Latin-1 Supplement
54   0x000015c0 0x004021c0 5   6    .text   ascii   2QVh)
55   0x000015e0 0x004021e0 4   5    .text   ascii   QVh{
56   0x0000160b 0x0040220b 4   5    .text   ascii   \f^YX
57   0x00001657 0x00402257 4   5    .text   ascii   WSha
58   0x0000169b 0x0040229b 4   6    .text   utf8    Y[Zý blocks=Basic Latin,Latin-1 Supplement
59   0x000016d3 0x004022d3 5   6    .text   ascii   ^PVh1
60   0x00001712 0x00402312 4   5    .text   ascii   PVhZ
61   0x00001720 0x00402320 6   8    .text   utf8    \f^X_ûJ blocks=Basic Latin,Latin-1 Supplement
62   0x00001903 0x00402503 4   5    .text   ascii   PVhJ
63   0x00001911 0x00402511 4   5    .text   ascii   \f^X_
64   0x0000195c 0x0040255c 4   5    .text   ascii   ^SVh
65   0x0000197c 0x0040257c 4   5    .text   ascii   SVhY
66   0x00001a59 0x00402659 4   5    .text   ascii   \fY[X
67   0x00001af2 0x004026f2 4   5    .text   ascii   QVhA
68   0x00001b98 0x00402798 4   5    .text   ascii   VQh8
69   0x00001bb8 0x004027b8 4   5    .text   ascii   VQh]
70   0x00001bf6 0x004027f6 5   6    .text   ascii   [WShj
71   0x00001c17 0x00402817 4   5    .text   ascii   WSh:
72   0x00001c37 0x00402837 4   5    .text   ascii   WSh'
73   0x00001c60 0x00402860 4   5    .text   ascii   231V
74   0x00001ca3 0x004028a3 4   5    .text   ascii   WVhz
75   0x00001cd0 0x004028d0 4   5    .text   ascii   \f^_[
76   0x00001d27 0x00402927 4   5    .text   ascii   SPh+
77   0x00001d35 0x00402935 4   5    .text   ascii   \fX[Z
78   0x00001d85 0x00402985 4   5    .text   ascii   SWh\r
79   0x00001d93 0x00402993 5   7    .text   utf8    \f_[Zþ blocks=Basic Latin,Latin-1 Supplement
80   0x00001ed5 0x00402ad5 4   5    .text   ascii   \fZYX
81   0x00001f46 0x00402b46 5   6    .text   ascii   FFFFG
82   0x00001f62 0x00402b62 4   5    .text   ascii   USh?
83   0x00001fa1 0x00402ba1 4   5    .text   ascii   USh]
84   0x0000205f 0x00402c5f 4   5    .text   ascii   RQhd
85   0x000020d4 0x00402cd4 4   5    .text   ascii   P[XG
86   0x00002174 0x00402d74 4   5    .text   ascii   RSh\v
87   0x00002191 0x00402d91 4   5    .text   ascii   RShd
88   0x000022ab 0x00402eab 4   5    .text   ascii   URhP
89   0x000022d9 0x00402ed9 4   5    .text   ascii   \fZ][
90   0x000022eb 0x00402eeb 4   5    .text   ascii   YRQh
91   0x00002309 0x00402f09 4   5    .text   ascii   RQh{
92   0x0000237c 0x00402f7c 4   5    .text   ascii   P^XG
93   0x000023f0 0x00402ff0 7   8    .text   ascii   :BBBBQj
94   0x000024f7 0x004030f7 5   6    .text   ascii   .CCCC
95   0x0000257a 0x0040317a 4   5    .text   ascii   RPh/
96   0x000025b8 0x004031b8 4   5    .text   ascii   RPhd
97   0x000025c6 0x004031c6 4   5    .text   ascii   \fXZY
98   0x000025d8 0x004031d8 5   6    .text   ascii   [VSh]
99   0x00002614 0x00403214 4   5    .text   ascii   VSh.
100  0x00002631 0x00403231 5   6    .text   ascii   _QWh1
101  0x0000266f 0x0040326f 4   5    .text   ascii   QWh|
