[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000d8 0x000000d8 4   5            ascii   Rich
2    0x000001f0 0x000001f0 5   6            ascii   .text
3    0x00000217 0x00000217 7   8            ascii   `.rdata
4    0x0000023f 0x0000023f 6   7            ascii   @.data
5    0x00000268 0x00000268 5   6            ascii   .rsrc
6    0x00000452 0x00401052 4   5    .text   ascii   D$ P
7    0x00000478 0x00401078 4   5    .text   ascii   L$ Q
8    0x0000048b 0x0040108b 7   8    .text   ascii   T$,RWWh
9    0x00000501 0x00401101 6   7    .text   ascii   L$ QWW
10   0x00000516 0x00401116 4   5    .text   ascii   D$8-
11   0x0000051c 0x0040111c 8   9    .text   ascii   D$P99/9f
12   0x00000525 0x00401125 4   5    .text   ascii   D$T9
13   0x0000053b 0x0040113b 4   5    .text   ascii   D$(P
14   0x00000567 0x00401167 4   5    .text   ascii   L$(Q
15   0x000005aa 0x004011aa 4   5    .text   ascii   D$(P
16   0x000005bc 0x004011bc 5   6    .text   ascii   L$,QV
17   0x000005d2 0x004011d2 4   5    .text   ascii   Rj<P
18   0x00000624 0x00401224 4   5    .text   ascii   D$@P
19   0x00000630 0x00401230 5   6    .text   ascii   L$DQV
20   0x00000669 0x00401269 6   7    .text   ascii   L$4Qj\a
21   0x0000069d 0x0040129d 7   8    .text   ascii   L$(Qj\bW
22   0x000006d2 0x004012d2 6   7    .text   ascii   u"_^]3
23   0x000006f4 0x004012f4 4   6    .text   utf8    tދL$ blocks=Basic Latin,Thaana
24   0x00000736 0x00401336 4   5    .text   ascii   L$4Q
25   0x00000745 0x00401345 5   6    .text   ascii   T$(Rj
26   0x00000757 0x00401357 5   6    .text   ascii   L$$PQ
27   0x000007d8 0x004013d8 5   6    .text   ascii   D$ Pj
28   0x000007df 0x004013df 5   6    .text   ascii   L$HQS
29   0x000007f7 0x004013f7 4   5    .text   ascii   T$ R
30   0x000007fc 0x004013fc 4   5    .text   ascii   T$(j
31   0x00000805 0x00401405 5   6    .text   ascii   L$$QR
32   0x00000843 0x00401443 5   6    .text   ascii   L$ Qh
33   0x00000867 0x00401467 4   6    .text   utf8    3\rL$
34   0x0000086d 0x0040146d 6   8    .text   utf8    Q;ƋD$$ blocks=Basic Latin,Latin Extended-B
35   0x0000087d 0x0040147d 4   5    .text   ascii   T$ j
36   0x00000884 0x00401484 4   5    .text   ascii   AQRP
37   0x000008dd 0x004014dd 5   6    .text   ascii   L$ Qh
38   0x00000925 0x00401525 4   5    .text   ascii   D$ P
39   0x00000934 0x00401534 4   5    .text   ascii   L$(Q
40   0x00000958 0x00401558 4   5    .text   ascii   D$$j
41   0x000009c4 0x004015c4 4   5    .text   ascii   D$Xd
42   0x00000c37 0x00401837 5   6    .text   ascii   jdjdj
43   0x00000c67 0x00401867 5   6    .text   ascii   D$PPV
44   0x00000ccc 0x004018cc 5   6    .text   ascii   jdjdV
45   0x00000d0f 0x0040190f 5   6    .text   ascii   T$ Rj
46   0x00000d15 0x00401915 4   9    .text   utf16le jjjj
47   0x00000d41 0x00401941 4   5    .text   ascii   L$ j
48   0x00000d46 0x00401946 4   9    .text   utf16le jjjj
49   0x00000d57 0x00401957 4   5    .text   ascii   T$ R
50   0x00000deb 0x004019eb 4   5    .text   ascii   L$@Q
51   0x00000df0 0x004019f0 5   7    .text   utf8    l$TǄ$ blocks=Basic Latin,Latin Extended-B
52   0x00000e2d 0x00401a2d 4   5    .text   ascii   t$$j
53   0x00000e3c 0x00401a3c 4   6    .text   utf8    މT$8 blocks=Thaana,Basic Latin
54   0x00000e4e 0x00401a4e 5   6    .text   ascii   T$ RU
55   0x00000e54 0x00401a54 7   9    .text   utf8    D$PPQǄ$ blocks=Basic Latin,Latin Extended-B
56   0x00000e78 0x00401a78 6   9    .text   utf8    މD$,Ǆ$ blocks=Thaana,Basic Latin,Latin Extended-B
57   0x00000ea0 0x00401aa0 5   6    .text   ascii   T$0RU
58   0x00000ef1 0x00401af1 6   7    .text   ascii   j2j2QR
59   0x00000f11 0x00401b11 6   7    .text   ascii   j2j2PQ
60   0x00000f3b 0x00401b3b 4   6    .text   utf8    щl$4 blocks=Cyrillic,Basic Latin
61   0x00000fa2 0x00401ba2 4   5    .text   ascii   j2PQ
62   0x00000fe4 0x00401be4 4   5    .text   ascii   L$8Q
63   0x00000ff4 0x00401bf4 5   6    .text   ascii   T$0Rh
64   0x00001011 0x00401c11 6   8    .text   utf8    D$0Ǆ$h blocks=Basic Latin,Latin Extended-B
65   0x00001030 0x00401c30 5   6    .text   ascii   9l$0u
66   0x0000104b 0x00401c4b 5   6    .text   ascii   |$,@~
67   0x000010de 0x00401cde 5   7    .text   utf8    URƄ$d blocks=Basic Latin,Latin Extended-B
68   0x000010f9 0x00401cf9 5   7    .text   utf8    UPƄ$l blocks=Basic Latin,Latin Extended-B
69   0x0000118f 0x00401d8f 5   7    .text   utf8    UQƄ$d blocks=Basic Latin,Latin Extended-B
70   0x000011bb 0x00401dbb 4   6    .text   utf8    PǄ$X blocks=Basic Latin,Latin Extended-B
71   0x000012a1 0x00401ea1 4   5    .text   ascii   t*VU
72   0x0000131f 0x00401f1f 5   6    .text   ascii   L$PUQ
73   0x00001333 0x00401f33 5   6    .text   ascii   T$LRj
74   0x0000134e 0x00401f4e 4   5    .text   ascii   D$`;
