[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x0041f048 NONE FUNC KERNEL32.dll IsValidCodePage
2   0x0041f04c NONE FUNC KERNEL32.dll GetOEMCP
3   0x0041f050 NONE FUNC KERNEL32.dll GetACP
4   0x0041f054 NONE FUNC KERNEL32.dll GetCPInfo
5   0x0041f058 NONE FUNC KERNEL32.dll GetConsoleMode
6   0x0041f05c NONE FUNC KERNEL32.dll GetConsoleCP
7   0x0041f060 NONE FUNC KERNEL32.dll SetFilePointer
8   0x0041f064 NONE FUNC KERNEL32.dll GetSystemTimeAsFileTime
9   0x0041f068 NONE FUNC KERNEL32.dll GetCurrentProcessId
10  0x0041f06c NONE FUNC KERNEL32.dll GetTickCount
11  0x0041f070 NONE FUNC KERNEL32.dll QueryPerformanceCounter
12  0x0041f074 NONE FUNC KERNEL32.dll MultiByteToWideChar
13  0x0041f078 NONE FUNC KERNEL32.dll SetHandleCount
14  0x0041f07c NONE FUNC KERNEL32.dll GetEnvironmentStringsW
15  0x0041f080 NONE FUNC KERNEL32.dll WideCharToMultiByte
16  0x0041f084 NONE FUNC KERNEL32.dll FreeEnvironmentStringsW
17  0x0041f088 NONE FUNC KERNEL32.dll GetModuleFileNameA
18  0x0041f08c NONE FUNC KERNEL32.dll InterlockedDecrement
19  0x0041f090 NONE FUNC KERNEL32.dll GetCurrentThreadId
20  0x0041f094 NONE FUNC KERNEL32.dll SetLastError
21  0x0041f098 NONE FUNC KERNEL32.dll InterlockedIncrement
22  0x0041f09c NONE FUNC KERNEL32.dll TlsFree
23  0x0041f0a0 NONE FUNC KERNEL32.dll RtlUnwind
24  0x0041f0a4 NONE FUNC KERNEL32.dll HeapSize
25  0x0041f0a8 NONE FUNC KERNEL32.dll SetStdHandle
26  0x0041f0ac NONE FUNC KERNEL32.dll WriteConsoleW
27  0x0041f0b0 NONE FUNC KERNEL32.dll LCMapStringW
28  0x0041f0b4 NONE FUNC KERNEL32.dll GetStringTypeW
29  0x0041f0b8 NONE FUNC KERNEL32.dll HeapReAlloc
30  0x0041f0bc NONE FUNC KERNEL32.dll IsProcessorFeaturePresent
31  0x0041f0c0 NONE FUNC KERNEL32.dll FlushFileBuffers
32  0x0041f0c4 NONE FUNC KERNEL32.dll CreateFileW
33  0x0041f0c8 NONE FUNC KERNEL32.dll CloseHandle
34  0x0041f0cc NONE FUNC KERNEL32.dll SetConsoleTitleW
35  0x0041f0d0 NONE FUNC KERNEL32.dll LoadLibraryA
36  0x0041f0d4 NONE FUNC KERNEL32.dll HeapCreate
37  0x0041f0d8 NONE FUNC KERNEL32.dll GetLastError
38  0x0041f0dc NONE FUNC KERNEL32.dll Sleep
39  0x0041f0e0 NONE FUNC KERNEL32.dll GlobalAlloc
40  0x0041f0e4 NONE FUNC KERNEL32.dll GetFileType
41  0x0041f0e8 NONE FUNC KERNEL32.dll HeapAlloc
42  0x0041f0ec NONE FUNC KERNEL32.dll TlsSetValue
43  0x0041f0f0 NONE FUNC KERNEL32.dll TlsGetValue
44  0x0041f0f4 NONE FUNC KERNEL32.dll TlsAlloc
45  0x0041f0f8 NONE FUNC KERNEL32.dll LoadLibraryW
46  0x0041f0fc NONE FUNC KERNEL32.dll DeleteCriticalSection
47  0x0041f100 NONE FUNC KERNEL32.dll InitializeCriticalSectionAndSpinCount
48  0x0041f104 NONE FUNC KERNEL32.dll HeapFree
49  0x0041f108 NONE FUNC KERNEL32.dll LeaveCriticalSection
50  0x0041f10c NONE FUNC KERNEL32.dll GetProcAddress
51  0x0041f110 NONE FUNC KERNEL32.dll GetModuleHandleW
52  0x0041f114 NONE FUNC KERNEL32.dll ExitProcess
53  0x0041f118 NONE FUNC KERNEL32.dll DecodePointer
54  0x0041f11c NONE FUNC KERNEL32.dll GetCommandLineA
55  0x0041f120 NONE FUNC KERNEL32.dll HeapSetInformation
56  0x0041f124 NONE FUNC KERNEL32.dll GetStartupInfoW
57  0x0041f128 NONE FUNC KERNEL32.dll TerminateProcess
58  0x0041f12c NONE FUNC KERNEL32.dll GetCurrentProcess
59  0x0041f130 NONE FUNC KERNEL32.dll UnhandledExceptionFilter
60  0x0041f134 NONE FUNC KERNEL32.dll SetUnhandledExceptionFilter
61  0x0041f138 NONE FUNC KERNEL32.dll IsDebuggerPresent
62  0x0041f13c NONE FUNC KERNEL32.dll EncodePointer
63  0x0041f140 NONE FUNC KERNEL32.dll WriteFile
64  0x0041f144 NONE FUNC KERNEL32.dll GetStdHandle
65  0x0041f148 NONE FUNC KERNEL32.dll GetModuleFileNameW
66  0x0041f14c NONE FUNC KERNEL32.dll EnterCriticalSection
1   0x0041f15c NONE FUNC USER32.dll   UpdateWindow
2   0x0041f160 NONE FUNC USER32.dll   CheckRadioButton
3   0x0041f164 NONE FUNC USER32.dll   FindWindowA
4   0x0041f168 NONE FUNC USER32.dll   IsDlgButtonChecked
5   0x0041f16c NONE FUNC USER32.dll   GetMenuItemInfoA
6   0x0041f170 NONE FUNC USER32.dll   DispatchMessageA
7   0x0041f174 NONE FUNC USER32.dll   CallWindowProcA
8   0x0041f178 NONE FUNC USER32.dll   SendMessageA
9   0x0041f17c NONE FUNC USER32.dll   DefWindowProcA
10  0x0041f180 NONE FUNC USER32.dll   EndDialog
11  0x0041f184 NONE FUNC USER32.dll   EndPaint
12  0x0041f188 NONE FUNC USER32.dll   GetMessageA
13  0x0041f18c NONE FUNC USER32.dll   SetWindowRgn
14  0x0041f190 NONE FUNC USER32.dll   GetWindowRect
15  0x0041f194 NONE FUNC USER32.dll   RegisterClassExA
16  0x0041f198 NONE FUNC USER32.dll   PostQuitMessage
17  0x0041f19c NONE FUNC USER32.dll   GetWindowDC
18  0x0041f1a0 NONE FUNC USER32.dll   SetMenuItemBitmaps
19  0x0041f1a4 NONE FUNC USER32.dll   LoadMenuA
20  0x0041f1a8 NONE FUNC USER32.dll   LoadIconA
21  0x0041f1ac NONE FUNC USER32.dll   FindWindowExA
22  0x0041f1b0 NONE FUNC USER32.dll   GetClientRect
23  0x0041f1b4 NONE FUNC USER32.dll   ReleaseDC
24  0x0041f1b8 NONE FUNC USER32.dll   BeginPaint
25  0x0041f1bc NONE FUNC USER32.dll   GetIconInfo
26  0x0041f1c0 NONE FUNC USER32.dll   GetDC
27  0x0041f1c4 NONE FUNC USER32.dll   TranslateMessage
28  0x0041f1c8 NONE FUNC USER32.dll   GetMenu
29  0x0041f1cc NONE FUNC USER32.dll   GetWindowTextA
30  0x0041f1d0 NONE FUNC USER32.dll   SetRect
31  0x0041f1d4 NONE FUNC USER32.dll   CheckMenuRadioItem
32  0x0041f1d8 NONE FUNC USER32.dll   SetWindowLongA
33  0x0041f1dc NONE FUNC USER32.dll   InvalidateRect
34  0x0041f1e0 NONE FUNC USER32.dll   GetWindowLongA
35  0x0041f1e4 NONE FUNC USER32.dll   CreateWindowExA
36  0x0041f1e8 NONE FUNC USER32.dll   LoadCursorA
1   0x0041f000 NONE FUNC GDI32.dll    LineTo
2   0x0041f004 NONE FUNC GDI32.dll    SetTextColor
3   0x0041f008 NONE FUNC GDI32.dll    GetDeviceCaps
4   0x0041f00c NONE FUNC GDI32.dll    SetBkColor
5   0x0041f010 NONE FUNC GDI32.dll    SetBkMode
6   0x0041f014 NONE FUNC GDI32.dll    DeleteObject
7   0x0041f018 NONE FUNC GDI32.dll    SelectObject
8   0x0041f01c NONE FUNC GDI32.dll    Ellipse
9   0x0041f020 NONE FUNC GDI32.dll    SaveDC
10  0x0041f024 NONE FUNC GDI32.dll    CreatePen
11  0x0041f028 NONE FUNC GDI32.dll    CreateEllipticRgnIndirect
12  0x0041f02c NONE FUNC GDI32.dll    ExtTextOutA
13  0x0041f030 NONE FUNC GDI32.dll    RestoreDC
14  0x0041f034 NONE FUNC GDI32.dll    CreateSolidBrush
15  0x0041f038 NONE FUNC GDI32.dll    EnumFontsA
16  0x0041f03c NONE FUNC GDI32.dll    TextOutA
17  0x0041f040 NONE FUNC GDI32.dll    MoveToEx
1   0x0041f1f0 NONE FUNC WS2_32.dll   WSCGetProviderPath
1   0x0041f154 NONE FUNC MSIMG32.dll  GradientFill
1   0x0041f1f8 NONE FUNC pdh.dll      PdhCloseLog
2   0x0041f1fc NONE FUNC pdh.dll      PdhGetFormattedCounterValue
3   0x0041f200 NONE FUNC pdh.dll      PdhUpdateLogA
4   0x0041f204 NONE FUNC pdh.dll      PdhCloseQuery
5   0x0041f208 NONE FUNC pdh.dll      PdhOpenLogA
6   0x0041f20c NONE FUNC pdh.dll      PdhOpenQueryA
7   0x0041f210 NONE FUNC pdh.dll      PdhAddCounterA
8   0x0041f214 NONE FUNC pdh.dll      PdhCollectQueryData
9   0x0041f218 NONE FUNC pdh.dll      PdhAddCounterW


