[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000cf 0x000000cf 6   7            ascii   _RichZ
2    0x000001d8 0x000001d8 5   6            ascii   .text
3    0x000001ff 0x000001ff 7   8            ascii   `.rdata
4    0x00000227 0x00000227 6   7            ascii   @.data
5    0x00000250 0x00000250 5   6            ascii   .rsrc
6    0x00000416 0x00401016 4   5    .text   ascii   E\bW3
7    0x0000041c 0x0040101c 5   8    .text   utf8    Eĉ}؉} blocks=Basic Latin,Latin Extended-A,Arabic
8    0x00000445 0x00401045 8   12   .text   utf8    MЉE̋Eč4\b blocks=Basic Latin,Cyrillic,Combining Diacritical Marks,Latin Extended-A
9    0x00000476 0x00401076 4   5    .text   ascii   j\b@P
10   0x000004cf 0x004010cf 4   7    .text   utf8    ǉu؋u blocks=Latin Extended-B,Basic Latin,Arabic
11   0x0000051d 0x0040111d 4   5    .text   ascii   D$83
12   0x00000555 0x00401155 4   5    .text   ascii   D$$;
13   0x0000055d 0x0040115d 4   5    .text   ascii   D$ \r
14   0x0000057b 0x0040117b 7   8    .text   ascii   D$ +D$L
15   0x00000583 0x00401183 7   8    .text   ascii   D$09\$$
16   0x00000597 0x00401197 5   6    .text   ascii   D$8PS
17   0x000005de 0x004011de 6   7    .text   ascii   D$XPSh
18   0x000005f6 0x004011f6 6   7    .text   ascii   9\$8t\n
19   0x00000607 0x00401207 5   6    .text   ascii   D$4P3
20   0x00000633 0x00401233 6   7    .text   ascii   D$(PSV
21   0x0000063e 0x0040123e 5   6    .text   ascii   D$(Ph
22   0x00000657 0x00401257 7   8    .text   ascii   t\rPh0\vB
23   0x00000668 0x00401268 5   6    .text   ascii   Vh<\vB
24   0x00000682 0x00401282 7   8    .text   ascii   t\rPhD\vB
25   0x000006a1 0x004012a1 7   8    .text   ascii   9\$(t\vS
