[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000b0 0x000000b0 6   8            utf8    >+{ô+z blocks=Basic Latin,Latin-1 Supplement
2    0x000000d0 0x000000d0 7   8            ascii   Rich>+z
3    0x000001e0 0x000001e0 5   6            ascii   .text
4    0x00000207 0x00000207 7   8            ascii   `.rdata
5    0x0000022f 0x0000022f 6   7            ascii   @.data
6    0x00000258 0x00000258 5   6            ascii   .rsrc
7    0x0000027f 0x0000027f 7   8            ascii   @.reloc
8    0x00000463 0x00401063 4   6    .text   utf8    Q3\bE
9    0x00000493 0x00401093 4   6    .text   utf8    Q3\bE
10   0x000004a3 0x004010a3 4   6    .text   utf8    Q3\bE
11   0x000004c3 0x004010c3 4   6    .text   utf8    Q3\bE
12   0x00000b1c 0x0040171c 4   9    .text   utf16le jjjj
13   0x00000c1c 0x0040181c 4   5    .text   ascii   h<JB
14   0x00000d03 0x00401903 5   6    .text   ascii   Ph\fJB
15   0x00001388 0x00401f88 4   5    .text   ascii   E\bPj
16   0x000015d7 0x004021d7 4   5    .text   ascii   xv\fj
17   0x000016bd 0x004022bd 4   7    .text   utf8    EԋUԋ blocks=Basic Latin,Cyrillic Supplement
18   0x00001752 0x00402352 5   6    .text   ascii   ;M\fsT
19   0x00001758 0x00402358 4   5    .text   ascii   U\f+U
20   0x000018cd 0x004024cd 4   5    .text   ascii   ^t\a3
21   0x00001998 0x00402598 4   5    .text   ascii   2v\a3
22   0x00001b41 0x00402741 4   6    .text   utf8    MԉM\f blocks=Basic Latin,Cyrillic Supplement
23   0x00001b80 0x00402780 4   5    .text   ascii   u\bj\n
24   0x00001cb6 0x004028b6 4   5    .text   ascii   SVWP
25   0x00001cd8 0x004028d8 4   5    .text   ascii   M\bQj
26   0x00001d87 0x00402987 4   5    .text   ascii   Y_^[
27   0x00002c19 0x00403819 5   6    .text   ascii   \n;\bu\n
28   0x00002e51 0x00403a51 4   5    .text   ascii   ;\bu\v
29   0x00003503 0x00404103 4   6    .text   utf8    ϋE\b] blocks=Greek and Coptic,Basic Latin
30   0x00003721 0x00404321 4   5    .text   ascii   ;\bu\v
31   0x00003ef7 0x00404af7 5   6    .text   ascii   M\b;\bu
32   0x00004047 0x00404c47 5   6    .text   ascii   M\b;\bu
33   0x00004163 0x00404d63 4   6    .text   utf8    ϋE\b] blocks=Greek and Coptic,Basic Latin
34   0x0000425f 0x00404e5f 4   5    .text   ascii   SVWP
35   0x0000439b 0x00404f9b 4   5    .text   ascii   Y_^[
36   0x000043ff 0x00404fff 4   5    .text   ascii   SVWP
37   0x0000453b 0x0040513b 4   5    .text   ascii   Y_^[
38   0x000047e4 0x004053e4 4   5    .text   ascii   }\b]t
39   0x000047ec 0x004053ec 5   6    .text   ascii   kE\b,P
40   0x00004894 0x00405494 4   5    .text   ascii    SVW
41   0x000048fb 0x004054fb 5   7    .text   utf8    E܋M\bQ blocks=Basic Latin,Syriac
42   0x00004985 0x00405585 4   5    .text   ascii   Y_^[
43   0x000049b2 0x004055b2 4   5    .text   ascii   SVWP
44   0x0000554c 0x0040614c 4   5    .text   ascii   Y_^[
45   0x00005574 0x00406174 4   5    .text   ascii    SVW
46   0x000055db 0x004061db 5   7    .text   utf8    E܋M\bQ blocks=Basic Latin,Syriac
47   0x00005665 0x00406265 4   5    .text   ascii   Y_^[
48   0x00005692 0x00406292 4   5    .text   ascii   SVWP
49   0x0000622c 0x00406e2c 4   5    .text   ascii   Y_^[
