[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x00000050 0x00000050 40  41           ascii   This program must be run under Win32\r\n$7
1    0x000001f8 0x000001f8 4   5            ascii   CODE
2    0x0000021f 0x0000021f 5   6            ascii   `DATA
3    0x00000270 0x00000270 6   7            ascii   .idata
4    0x00000298 0x00000298 4   5            ascii   .tls
5    0x000002c0 0x000002c0 6   7            ascii   .rdata
6    0x000002e7 0x000002e7 7   8            ascii   P.reloc
7    0x0000030f 0x0000030f 6   7            ascii   P.rsrc
8    0x00000441 0x00401041 4   5    CODE    ascii   %|P@
9    0x00000449 0x00401049 4   5    CODE    ascii   %xP@
10   0x00000451 0x00401051 4   5    CODE    ascii   %tP@
11   0x00000459 0x00401059 4   5    CODE    ascii   %pP@
12   0x00000461 0x00401061 4   5    CODE    ascii   %lP@
13   0x00000469 0x00401069 4   5    CODE    ascii   %hP@
14   0x00000471 0x00401071 4   5    CODE    ascii   %dP@
15   0x00000584 0x00401184 5   8    CODE    utf8    w\n3\nÊ blocks=Basic Latin,Latin-1 Supplement
16   0x000005ba 0x004011ba 5   8    CODE    utf8    t-3\nÃ blocks=Basic Latin,Latin-1 Supplement
17   0x0000062e 0x0040122e 4   5    CODE    ascii   tSVW
18   0x00000647 0x00401247 4   5    CODE    ascii   t:VW
19   0x00000684 0x00401284 4   5    CODE    ascii   SVWR
20   0x000006d7 0x004012d7 4   5    CODE    ascii   \aGKu
21   0x000006df 0x004012df 4   6    CODE    utf8    _^[Ð blocks=Basic Latin,Latin-1 Supplement
22   0x00000747 0x00401347 4   5    CODE    ascii   \tw%9
23   0x0000076b 0x0040136b 6   7    CODE    ascii   ~ExC[)
24   0x000007b6 0x004013b6 5   7    CODE    utf8    2_^[Ð blocks=Basic Latin,Latin-1 Supplement
25   0x000007dd 0x004013dd 4   5    CODE    ascii   =\b0@
26   0x000007fe 0x004013fe 5   7    CODE    utf8    YYZXÐ blocks=Basic Latin,Latin-1 Supplement
27   0x0000081f 0x0040141f 4   5    CODE    ascii   SVWU
28   0x00000830 0x00401430 4   5    CODE    ascii   ]_^[
29   0x0000083c 0x0040143c 4   5    CODE    ascii   SVWU
30   0x0000086a 0x0040146a 9   11   CODE    utf8    ]_^[ÐSVWU blocks=Basic Latin,Latin-1 Supplement
31   0x000008bf 0x004014bf 5   7    CODE    utf8    ]_^[á blocks=Basic Latin,Latin-1 Supplement
32   0x0000094c 0x0040154c 4   5    CODE    ascii   SVWU
33   0x00000995 0x00401595 4   6    CODE    utf8    3\tC\f
34   0x00000a17 0x00401617 5   7    CODE    utf8    ]_^[ã blocks=Basic Latin,Latin-1 Supplement
35   0x00000af6 0x004016f6 4   6    CODE    utf8    ÐSVW blocks=Latin-1 Supplement,Basic Latin
36   0x00000b21 0x00401721 5   7    CODE    utf8    ;_^[Ë blocks=Basic Latin,Latin-1 Supplement
37   0x00000b28 0x00401728 4   6    CODE    utf8    1Ɋ\nB blocks=Basic Latin,Latin Extended-B
38   0x00000b32 0x00401732 4   6    CODE    utf8    ÐWPQ blocks=Latin-1 Supplement,Basic Latin
39   0x00000ba6 0x004017a6 5   6    CODE    ascii   t\;\bt
40   0x00000bf9 0x004017f9 4   6    CODE    utf8    _^[É blocks=Basic Latin,Latin-1 Supplement
41   0x00000c3b 0x0040183b 4   5    CODE    ascii   uXJt
42   0x00000c67 0x00401867 4   5    CODE    ascii   uAJt
43   0x00000c6e 0x0040186e 4   5    CODE    ascii   u:Jt
44   0x00000caa 0x004018aa 4   7    CODE    utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
45   0x00000cd5 0x004018d5 4   5    CODE    ascii   It1S
46   0x00000d71 0x00401971 5   7    CODE    utf8    ;_^[Ë blocks=Basic Latin,Latin-1 Supplement
47   0x00000dee 0x004019ee 4   6    CODE    utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
48   0x00000e1b 0x00401a1b 4   5    CODE    ascii   ZYYd
49   0x00000e80 0x00401a80 47  48   CODE    ascii   Portions Copyright (c) 1999,2003 Avenger by NhT
50   0x00000ed1 0x00401ad1 4   5    CODE    ascii   =`0@
51   0x00000f06 0x00401b06 6   8    CODE    utf8    [Ê\rhF@ blocks=Basic Latin,Latin-1 Supplement
52   0x00000f36 0x00401b36 4   6    CODE    utf8    átF@ blocks=Latin-1 Supplement,Basic Latin
53   0x00000f47 0x00401b47 4   6    CODE    utf8    ød0@ blocks=Latin-1 Supplement,Basic Latin
54   0x00000f57 0x00401b57 5   7    CODE    utf8    3#`0@
55   0x00000f74 0x00401b74 5   7    CODE    utf8    3#l0@
56   0x00000f7b 0x00401b7b 5   7    CODE    utf8    3#p0@
57   0x00000fbd 0x00401bbd 4   5    CODE    ascii   ZYYd
58   0x00000fd5 0x00401bd5 4   5    CODE    ascii   -pF@
59   0x00000ff5 0x00401bf5 4   5    CODE    ascii   ZYYd
60   0x0000100d 0x00401c0d 4   5    CODE    ascii   -xF@
61   0x0000108d 0x00401c8d 4   5    CODE    ascii   ZYYd
62   0x000010a5 0x00401ca5 4   5    CODE    ascii   -|F@
63   0x00001139 0x00401d39 4   5    CODE    ascii   ZYYd
64   0x000011c5 0x00401dc5 4   5    CODE    ascii   ZYYd
65   0x00001288 0x00401e88 4   5    CODE    ascii   ZYYd
66   0x00001318 0x00401f18 4   5    CODE    ascii   ZYYd
67   0x000013d6 0x00401fd6 4   5    CODE    ascii   ZYYd
68   0x000013f1 0x00401ff1 6   7    CODE    ascii   _^[YY]
69   0x0000141c 0x0040201c 4   6    CODE    utf8    ^[ÐU blocks=Basic Latin,Latin-1 Supplement
70   0x00001433 0x00402033 5   6    CODE    ascii   Uhc @
71   0x0000144f 0x0040204f 4   5    CODE    ascii   ZYYd
72   0x00001455 0x00402055 4   5    CODE    ascii   hj @
73   0x0000146d 0x0040206d 5   7    CODE    utf8    YY]Í@ blocks=Basic Latin,Latin-1 Supplement
74   0x00001487 0x00402087 4   5    CODE    ascii   ZYYd
75   0x000014db 0x004020db 4   5    CODE    ascii   QSVW
76   0x000014eb 0x004020eb 5   6    CODE    ascii   Uha#@
77   0x00001529 0x00402129 4   7    CODE    utf8    E亄#@ blocks=Basic Latin,CJK Unified Ideographs
78   0x00001541 0x00402141 4   7    CODE    utf8    U踀F@ blocks=Basic Latin,CJK Unified Ideographs
79   0x00001558 0x00402158 4   7    CODE    utf8    MԍEغ blocks=Basic Latin,Cyrillic Supplement,Arabic
80   0x0000158a 0x0040218a 4   7    CODE    utf8    MȍE̺ blocks=Basic Latin,Latin Extended-B,Combining Diacritical Marks
81   0x00001748 0x00402348 4   5    CODE    ascii   ZYYd
82   0x0000174e 0x0040234e 4   5    CODE    ascii   hh#@
83   0x00001ae8 0x004050e8 12  13   .idata  ascii   kernel32.dll
84   0x00001af8 0x004050f8 18  19   .idata  ascii   GetCurrentThreadId
85   0x00001b0e 0x0040510e 20  21   .idata  ascii   SetCurrentDirectoryA
86   0x00001b26 0x00405126 20  21   .idata  ascii   GetCurrentDirectoryA
87   0x00001b3e 0x0040513e 11  12   .idata  ascii   ExitProcess
88   0x00001b4c 0x0040514c 9   10   .idata  ascii   RtlUnwind
89   0x00001b58 0x00405158 14  15   .idata  ascii   RaiseException
90   0x00001b6a 0x0040516a 11  12   .idata  ascii   TlsSetValue
91   0x00001b78 0x00405178 11  12   .idata  ascii   TlsGetValue
92   0x00001b86 0x00405186 10  11   .idata  ascii   LocalAlloc
93   0x00001b94 0x00405194 16  17   .idata  ascii   GetModuleHandleA
94   0x00001ba8 0x004051a8 11  12   .idata  ascii   FreeLibrary
95   0x00001bb6 0x004051b6 8   9    .idata  ascii   HeapFree
96   0x00001bc2 0x004051c2 11  12   .idata  ascii   HeapReAlloc
97   0x00001bd0 0x004051d0 9   10   .idata  ascii   HeapAlloc
98   0x00001bdc 0x004051dc 14  15   .idata  ascii   GetProcessHeap
99   0x00001bec 0x004051ec 12  13   .idata  ascii   kernel32.dll
100  0x00001bfc 0x004051fc 9   10   .idata  ascii   WriteFile
101  0x00001c08 0x00405208 14  15   .idata  ascii   SizeofResource
102  0x00001c1a 0x0040521a 14  15   .idata  ascii   SetFilePointer
103  0x00001c2c 0x0040522c 12  13   .idata  ascii   LockResource
104  0x00001c3c 0x0040523c 12  13   .idata  ascii   LoadResource
105  0x00001c4c 0x0040524c 20  21   .idata  ascii   GetWindowsDirectoryA
106  0x00001c64 0x00405264 12  13   .idata  ascii   GetTempPathA
107  0x00001c74 0x00405274 19  20   .idata  ascii   GetSystemDirectoryA
108  0x00001c8a 0x0040528a 12  13   .idata  ascii   FreeResource
109  0x00001c9a 0x0040529a 13  14   .idata  ascii   FindResourceA
110  0x00001caa 0x004052aa 11  12   .idata  ascii   CreateFileA
111  0x00001cb8 0x004052b8 11  12   .idata  ascii   CloseHandle
112  0x00001cc4 0x004052c4 12  13   .idata  ascii   shfolder.dll
113  0x00001cd4 0x004052d4 16  17   .idata  ascii   SHGetFolderPathA
114  0x00001ce6 0x004052e6 11  12   .idata  ascii   shell32.dll
115  0x00001cf4 0x004052f4 13  14   .idata  ascii   ShellExecuteA
116  0x0000200f 0x0040800f 25  26   .reloc  ascii   0"0*020:0B0J0R0Z0b0j0r0z0
117  0x00002035 0x00408035 13  14   .reloc  ascii   0\a1 191J1_1l1
118  0x00002047 0x00408047 7   8    .reloc  ascii   3\e4A4{4
119  0x0000206d 0x0040806d 13  14   .reloc  ascii   5 5*5Q5V5[5}5
120  0x000020a1 0x004080a1 19  20   .reloc  ascii   :":2:?:E:I:P:Y:b:s:
121  0x000020bb 0x004080bb 19  20   .reloc  ascii   ;(;8;I;Z;f;k;p;w;~;
122  0x000020e5 0x004080e5 23  24   .reloc  ascii   <&<.<6<><F<N<V<^<f<n<{<
123  0x00002107 0x00408107 5   6    .reloc  ascii   <.=@=
124  0x00002111 0x00408111 7   8    .reloc  ascii   =">@>}>
125  0x00002134 0x00408134 6   7    .reloc  ascii   50V0{0
126  0x00002155 0x00408155 9   10   .reloc  ascii   0,1D1^1v1
127  0x00002175 0x00408175 9   10   .reloc  ascii   2/2F2]2t2
128  0x0000218f 0x0040818f 5   6    .reloc  ascii   3#3O3
129  0x000021a1 0x004081a1 17  18   .reloc  ascii   0 0$0,00040T0X0\0
130  0x000021bf 0x004081bf 5   6    .reloc  ascii   0\b0\f0
131  0x000024fa 0x004092fa 6   14   .rsrc   utf16le DVCLAL
132  0x00002508 0x00409308 23  48   .rsrc   utf16le E1\vPACKAGEINFO\bMAINICON
133  0x00002539 0x00409339 5   6    .rsrc   ascii   PNG\r\n
134  0x00002543 0x00409343 5   6    .rsrc   ascii   \rIHDR
135  0x0000255d 0x0040935d 5   6    .rsrc   ascii   IDATx
136  0x00002567 0x00409367 4   6    .rsrc   utf8    dYzދ blocks=Basic Latin,Thaana
137  0x00002574 0x00409374 4   5    .rsrc   ascii   tuWW
138  0x0000258a 0x0040938a 4   5    .rsrc   ascii   \bE(d
139  0x00002614 0x00409414 4   6    .rsrc   utf8    ^ܾ@c blocks=Basic Latin,Syriac
140  0x00002636 0x00409436 6   8    .rsrc   utf8    Q?ɝ\v~~ blocks=Basic Latin,IPA Extensions
141  0x0000264f 0x0040944f 4   7    .rsrc   utf8    xqܟ¸ blocks=Basic Latin,Syriac,Latin-1 Supplement
142  0x0000269f 0x0040949f 6   8    .rsrc   utf8    QƽxW\v_ blocks=Basic Latin,Latin Extended-B
143  0x00002709 0x00409509 4   5    .rsrc   ascii   \t</\a
144  0x00002740 0x00409540 5   6    .rsrc   ascii   2TJEZ
145  0x00002767 0x00409567 6   7    .rsrc   ascii   ZkSkmb
146  0x0000288f 0x0040968f 5   6    .rsrc   ascii   g)e#\f
147  0x000028ae 0x004096ae 5   7    .rsrc   utf8    WQF$Ƙ blocks=Basic Latin,Latin Extended-B
148  0x00002923 0x00409723 4   5    .rsrc   ascii   drk2
149  0x00002936 0x00409736 5   6    .rsrc   ascii   I<*3x
150  0x0000298b 0x0040978b 4   5    .rsrc   ascii   \v%fP
151  0x000029ce 0x004097ce 4   5    .rsrc   ascii   t:}h
152  0x000029d8 0x004097d8 4   5    .rsrc   ascii   NaYf
153  0x000029fb 0x004097fb 4   5    .rsrc   ascii   t^k4
154  0x00002a2a 0x0040982a 4   6    .rsrc   utf8    .q\bˀ blocks=Basic Latin,Spacing Modifier Letters
155  0x00002a51 0x00409851 4   5    .rsrc   ascii   ZoGQ
156  0x00002ae2 0x004098e2 4   6    .rsrc   utf8    F_ݕR blocks=Basic Latin,Arabic Supplement
157  0x00002b9b 0x0040999b 4   5    .rsrc   ascii   ~p|r
158  0x00002bcf 0x004099cf 6   7    .rsrc   ascii   _/Zx/n
159  0x00002bdf 0x004099df 4   6    .rsrc   utf8    ÿ?>> blocks=Latin-1 Supplement,Basic Latin
160  0x00002be8 0x004099e8 4   5    .rsrc   ascii   \f\v'0
161  0x00002c20 0x00409a20 4   5    .rsrc   ascii   /SQ;
162  0x00002c49 0x00409a49 4   5    .rsrc   ascii   #xTY
