[Imports]
nth vaddr       bind type lib          name
―――――――――――――――――――――――――――――――――――――――――――
1   0x140003078 NONE FUNC KERNEL32.dll GetLastError
2   0x140003080 NONE FUNC KERNEL32.dll SetLastError
3   0x140003088 NONE FUNC KERNEL32.dll GetProcAddress
4   0x140003090 NONE FUNC KERNEL32.dll VirtualAlloc
5   0x140003098 NONE FUNC KERNEL32.dll LoadLibraryA
6   0x1400030a0 NONE FUNC KERNEL32.dll CreateEventW
7   0x1400030a8 NONE FUNC KERNEL32.dll CreatePipe
8   0x1400030b0 NONE FUNC KERNEL32.dll WaitForMultipleObjects
9   0x1400030b8 NONE FUNC KERNEL32.dll MultiByteToWideChar
10  0x1400030c0 NONE FUNC KERNEL32.dll CloseHandle
11  0x1400030c8 NONE FUNC KERNEL32.dll CreateThread
12  0x1400030d0 NONE FUNC KERNEL32.dll OpenProcess
13  0x1400030d8 NONE FUNC KERNEL32.dll LocalAlloc
14  0x1400030e0 NONE FUNC KERNEL32.dll GetCurrentProcessId
15  0x1400030e8 NONE FUNC KERNEL32.dll LocalFree
16  0x1400030f0 NONE FUNC KERNEL32.dll GetOverlappedResult
17  0x1400030f8 NONE FUNC KERNEL32.dll ReadFile
18  0x140003100 NONE FUNC KERNEL32.dll TerminateProcess
19  0x140003108 NONE FUNC KERNEL32.dll GetExitCodeProcess
20  0x140003110 NONE FUNC KERNEL32.dll CreateProcessW
21  0x140003118 NONE FUNC KERNEL32.dll TerminateThread
22  0x140003120 NONE FUNC KERNEL32.dll WideCharToMultiByte
23  0x140003128 NONE FUNC KERNEL32.dll WriteFile
24  0x140003130 NONE FUNC KERNEL32.dll VirtualFree
25  0x140003138 NONE FUNC KERNEL32.dll CreateNamedPipeW
26  0x140003140 NONE FUNC KERNEL32.dll ConnectNamedPipe
27  0x140003148 NONE FUNC KERNEL32.dll SetEvent
28  0x140003150 NONE FUNC KERNEL32.dll WaitForSingleObject
29  0x140003158 NONE FUNC KERNEL32.dll SetHandleInformation
30  0x140003160 NONE FUNC KERNEL32.dll CancelIo
1   0x140003000 NONE FUNC ADVAPI32.dll DeleteService
2   0x140003008 NONE FUNC ADVAPI32.dll RegisterServiceCtrlHandlerW
3   0x140003010 NONE FUNC ADVAPI32.dll FreeSid
4   0x140003018 NONE FUNC ADVAPI32.dll SetServiceStatus
5   0x140003020 NONE FUNC ADVAPI32.dll AllocateAndInitializeSid
6   0x140003028 NONE FUNC ADVAPI32.dll EqualSid
7   0x140003030 NONE FUNC ADVAPI32.dll GetTokenInformation
8   0x140003038 NONE FUNC ADVAPI32.dll OpenServiceW
9   0x140003040 NONE FUNC ADVAPI32.dll StartServiceCtrlDispatcherW
10  0x140003048 NONE FUNC ADVAPI32.dll OpenSCManagerW
11  0x140003050 NONE FUNC ADVAPI32.dll OpenProcessToken
12  0x140003058 NONE FUNC ADVAPI32.dll CloseServiceHandle
13  0x140003060 NONE FUNC ADVAPI32.dll SetSecurityDescriptorDacl
14  0x140003068 NONE FUNC ADVAPI32.dll InitializeSecurityDescriptor
1   0x140003170 NONE FUNC msvcrt.dll   _snwprintf
2   0x140003178 NONE FUNC msvcrt.dll   free
3   0x140003180 NONE FUNC msvcrt.dll   malloc
4   0x140003188 NONE FUNC msvcrt.dll   _beginthread
5   0x140003190 NONE FUNC msvcrt.dll   sym.imp.void __cdecl operator delete(void * __ptr64)
6   0x140003198 NONE FUNC msvcrt.dll   sym.imp.void * __ptr64 __cdecl operator new(unsigned long long(unsigned __int64))
7   0x1400031a0 NONE FUNC msvcrt.dll   vswprintf
8   0x1400031a8 NONE FUNC msvcrt.dll   __C_specific_handler
9   0x1400031b0 NONE FUNC msvcrt.dll   _XcptFilter
10  0x1400031b8 NONE FUNC msvcrt.dll   _c_exit
11  0x1400031c0 NONE FUNC msvcrt.dll   _exit
12  0x1400031c8 NONE FUNC msvcrt.dll   _cexit
13  0x1400031d0 NONE FUNC msvcrt.dll   exit
14  0x1400031d8 NONE FUNC msvcrt.dll   __winitenv
15  0x1400031e0 NONE FUNC msvcrt.dll   __wgetmainargs
16  0x1400031e8 NONE FUNC msvcrt.dll   _initterm
17  0x1400031f0 NONE FUNC msvcrt.dll   __setusermatherr
18  0x1400031f8 NONE FUNC msvcrt.dll   _commode
19  0x140003200 NONE FUNC msvcrt.dll   _fmode
20  0x140003208 NONE FUNC msvcrt.dll   __set_app_type
21  0x140003210 NONE FUNC msvcrt.dll   memcpy
22  0x140003218 NONE FUNC msvcrt.dll   memset


