[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x0000008d 0x0000008d 5   6            ascii   v|#$9
2    0x000000d5 0x000000d5 7   8            ascii   v|#Rich
3    0x000001e0 0x000001e0 5   6            ascii   .text
4    0x00000207 0x00000207 7   8            ascii   `.rdata
5    0x0000022f 0x0000022f 6   7            ascii   @.data
6    0x00000258 0x00000258 4   5            ascii   .bin
7    0x00000405 0x00401005 4   5    .text   ascii   \fSV3
8    0x0000040a 0x0040100a 4   5    .text   ascii   9u\bW
9    0x00000500 0x00401100 6   7    .text   ascii   t}Vj@h
10   0x00000517 0x00401117 5   6    .text   ascii   teSWV
11   0x00000588 0x00401188 5   6    .text   ascii   QQSVW
12   0x000005f2 0x004011f2 4   5    .text   ascii   hx!@
13   0x00000654 0x00401254 4   7    .text   utf8    uค @ blocks=Basic Latin,Thai
14   0x000006a9 0x004012a9 4   5    .text   ascii   hx @
15   0x000006c3 0x004012c3 4   5    .text   ascii   hSVW
16   0x000006d9 0x004012d9 4   5    .text   ascii   \rp0@
17   0x000006e0 0x004012e0 4   5    .text   ascii   \rt0@
18   0x000006ed 0x004012ed 4   5    .text   ascii   \rl0@
19   0x000006fb 0x004012fb 4   5    .text   ascii   \rh0@
20   0x00000719 0x00401319 4   5    .text   ascii   u\fh 
21   0x0000072c 0x0040132c 4   5    .text   ascii   h\f0@
22   0x00000731 0x00401331 4   5    .text   ascii   h\b0@
23   0x00000748 0x00401348 4   5    .text   ascii   5`0@
24   0x0000077c 0x0040137c 5   6    .text   ascii   >"u:F
25   0x000007c5 0x004013c5 7   8    .text   ascii   j\nXPVSS
26   0x000007f3 0x004013f3 4   6    .text   utf8    YYËe blocks=Basic Latin,Latin-1 Supplement
27   0x00000803 0x00401403 4   5    .text   ascii   %L @
28   0x00000809 0x00401409 4   5    .text   ascii   %< @
29   0x00000831 0x00401431 4   5    .text   ascii   %, @
30   0x00000837 0x00401437 4   5    .text   ascii   %0 @
31   0x00000885 0x00401485 4   5    .text   ascii   Y_^[
32   0x0000088d 0x0040148d 4   5    .text   ascii   %` @
33   0x00000893 0x00401493 4   5    .text   ascii   %h @
34   0x00000a84 0x00402084 4   5    .rdata  ascii   .bin
35   0x00000a8c 0x0040208c 10  22   .rdata  utf16le HKEY_USERS
36   0x00000aac 0x004020ac 19  40   .rdata  utf16le HKEY_CURRENT_CONFIG
37   0x00000ad4 0x004020d4 4   10   .rdata  utf16le HKCC
38   0x00000ae0 0x004020e0 17  36   .rdata  utf16le HKEY_CURRENT_USER
39   0x00000b04 0x00402104 4   10   .rdata  utf16le HKCU
40   0x00000b10 0x00402110 17  36   .rdata  utf16le HKEY_CLASSES_ROOT
41   0x00000b34 0x00402134 4   10   .rdata  utf16le HKCR
42   0x00000b40 0x00402140 18  38   .rdata  utf16le HKEY_LOCAL_MACHINE
43   0x00000b68 0x00402168 4   10   .rdata  utf16le HKLM
44   0x00000c4e 0x0040224e 15  16   .rdata  ascii   GetCommandLineW
45   0x00000c60 0x00402260 12  13   .rdata  ascii   SetErrorMode
46   0x00000c70 0x00402270 11  12   .rdata  ascii   VirtualFree
47   0x00000c7e 0x0040227e 14  15   .rdata  ascii   GetProcAddress
48   0x00000c90 0x00402290 12  13   .rdata  ascii   VirtualAlloc
49   0x00000ca0 0x004022a0 12  13   .rdata  ascii   LoadLibraryA
50   0x00000cae 0x004022ae 12  13   .rdata  ascii   KERNEL32.dll
51   0x00000cbe 0x004022be 18  19   .rdata  ascii   CommandLineToArgvW
52   0x00000cd2 0x004022d2 11  12   .rdata  ascii   SHELL32.dll
53   0x00000ce0 0x004022e0 4   5    .rdata  ascii   free
54   0x00000ce8 0x004022e8 7   8    .rdata  ascii   realloc
55   0x00000cf2 0x004022f2 7   8    .rdata  ascii   strncmp
56   0x00000cfa 0x004022fa 10  11   .rdata  ascii   MSVCRT.dll
57   0x00000d08 0x00402308 5   6    .rdata  ascii   _exit
58   0x00000d10 0x00402310 11  12   .rdata  ascii   _XcptFilter
59   0x00000d1e 0x0040231e 4   5    .rdata  ascii   exit
60   0x00000d26 0x00402326 7   8    .rdata  ascii   _acmdln
61   0x00000d30 0x00402330 13  14   .rdata  ascii   __getmainargs
62   0x00000d40 0x00402340 9   10   .rdata  ascii   _initterm
