[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x00414608 NONE FUNC kernel32.dll CreateFileA
2   0x0041460c NONE FUNC kernel32.dll ReadFile
3   0x00414610 NONE FUNC kernel32.dll CloseHandle
4   0x00414614 NONE FUNC kernel32.dll WriteFile
5   0x00414618 NONE FUNC kernel32.dll lstrlenA
6   0x0041461c NONE FUNC kernel32.dll GlobalLock
7   0x00414620 NONE FUNC kernel32.dll GlobalUnlock
8   0x00414624 NONE FUNC kernel32.dll LocalFree
9   0x00414628 NONE FUNC kernel32.dll LocalAlloc
10  0x0041462c NONE FUNC kernel32.dll GetTickCount
11  0x00414630 NONE FUNC kernel32.dll lstrcpyA
12  0x00414634 NONE FUNC kernel32.dll lstrcatA
13  0x00414638 NONE FUNC kernel32.dll GetFileAttributesA
14  0x0041463c NONE FUNC kernel32.dll ExpandEnvironmentStringsA
15  0x00414640 NONE FUNC kernel32.dll GetFileSize
16  0x00414644 NONE FUNC kernel32.dll CreateFileMappingA
17  0x00414648 NONE FUNC kernel32.dll MapViewOfFile
18  0x0041464c NONE FUNC kernel32.dll UnmapViewOfFile
19  0x00414650 NONE FUNC kernel32.dll LoadLibraryA
20  0x00414654 NONE FUNC kernel32.dll GetProcAddress
21  0x00414658 NONE FUNC kernel32.dll GetTempPathA
22  0x0041465c NONE FUNC kernel32.dll CreateDirectoryA
23  0x00414660 NONE FUNC kernel32.dll DeleteFileA
24  0x00414664 NONE FUNC kernel32.dll GetCurrentProcess
25  0x00414668 NONE FUNC kernel32.dll WideCharToMultiByte
26  0x0041466c NONE FUNC kernel32.dll GetLastError
27  0x00414670 NONE FUNC kernel32.dll lstrcmpA
28  0x00414674 NONE FUNC kernel32.dll CreateToolhelp32Snapshot
29  0x00414678 NONE FUNC kernel32.dll Process32First
30  0x0041467c NONE FUNC kernel32.dll OpenProcess
31  0x00414680 NONE FUNC kernel32.dll Process32Next
32  0x00414684 NONE FUNC kernel32.dll FindFirstFileA
33  0x00414688 NONE FUNC kernel32.dll lstrcmpiA
34  0x0041468c NONE FUNC kernel32.dll FindNextFileA
35  0x00414690 NONE FUNC kernel32.dll FindClose
36  0x00414694 NONE FUNC kernel32.dll GetModuleHandleA
37  0x00414698 NONE FUNC kernel32.dll GetVersionExA
38  0x0041469c NONE FUNC kernel32.dll GetLocaleInfoA
39  0x004146a0 NONE FUNC kernel32.dll GetSystemInfo
40  0x004146a4 NONE FUNC kernel32.dll GetWindowsDirectoryA
41  0x004146a8 NONE FUNC kernel32.dll GetPrivateProfileStringA
42  0x004146ac NONE FUNC kernel32.dll SetCurrentDirectoryA
43  0x004146b0 NONE FUNC kernel32.dll GetPrivateProfileSectionNamesA
44  0x004146b4 NONE FUNC kernel32.dll GetPrivateProfileIntA
45  0x004146b8 NONE FUNC kernel32.dll GetCurrentDirectoryA
46  0x004146bc NONE FUNC kernel32.dll lstrlenW
47  0x004146c0 NONE FUNC kernel32.dll MultiByteToWideChar
48  0x004146c4 NONE FUNC kernel32.dll Sleep
49  0x004146c8 NONE FUNC kernel32.dll LCMapStringA
50  0x004146cc NONE FUNC kernel32.dll ExitProcess
1   0x004146d4 NONE FUNC ole32.dll    CreateStreamOnHGlobal
2   0x004146d8 NONE FUNC ole32.dll    GetHGlobalFromStream
3   0x004146dc NONE FUNC ole32.dll    CoCreateGuid
4   0x004146e0 NONE FUNC ole32.dll    CoTaskMemFree
5   0x004146e4 NONE FUNC ole32.dll    CoCreateInstance
6   0x004146e8 NONE FUNC ole32.dll    OleInitialize
1   0x004146f0 NONE FUNC user32.dll   wsprintfA
1   0x004146f8 NONE FUNC advapi32.dll RegOpenKeyExA
2   0x004146fc NONE FUNC advapi32.dll RegQueryValueExA
3   0x00414700 NONE FUNC advapi32.dll RegCloseKey
4   0x00414704 NONE FUNC advapi32.dll RegOpenKeyA
5   0x00414708 NONE FUNC advapi32.dll RegEnumKeyExA
6   0x0041470c NONE FUNC advapi32.dll RegCreateKeyA
7   0x00414710 NONE FUNC advapi32.dll RegSetValueExA
8   0x00414714 NONE FUNC advapi32.dll IsTextUnicode
9   0x00414718 NONE FUNC advapi32.dll RegOpenCurrentUser
10  0x0041471c NONE FUNC advapi32.dll RegEnumValueA
11  0x00414720 NONE FUNC advapi32.dll GetUserNameA
1   0x00414728 NONE FUNC wininet.dll  InternetCrackUrlA
2   0x0041472c NONE FUNC wininet.dll  InternetCreateUrlA
1   0x00414734 NONE FUNC shlwapi.dll  StrStrIA
2   0x00414738 NONE FUNC shlwapi.dll  StrRChrIA
3   0x0041473c NONE FUNC shlwapi.dll  StrToIntA
4   0x00414740 NONE FUNC shlwapi.dll  StrStrA
5   0x00414744 NONE FUNC shlwapi.dll  StrCmpNIA
6   0x00414748 NONE FUNC shlwapi.dll  StrStrIW
1   0x00414750 NONE FUNC wsock32.dll  socket
2   0x00414754 NONE FUNC wsock32.dll  connect
3   0x00414758 NONE FUNC wsock32.dll  closesocket
4   0x0041475c NONE FUNC wsock32.dll  send
5   0x00414760 NONE FUNC wsock32.dll  select
6   0x00414764 NONE FUNC wsock32.dll  recv
7   0x00414768 NONE FUNC wsock32.dll  setsockopt
8   0x0041476c NONE FUNC wsock32.dll  WSAStartup
1   0x00414774 NONE FUNC userenv.dll  LoadUserProfileA
2   0x00414778 NONE FUNC userenv.dll  UnloadUserProfile


