[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x00000178 0x00000178 5   6            ascii   .text
2    0x0000019f 0x0000019f 7   8            ascii   `.rdata
3    0x000001c7 0x000001c7 6   7            ascii   @.data
4    0x00001578 0x00401578 4   5    .text   ascii   Pj\bh
5    0x000015c8 0x004015c8 4   5    .text   ascii   E\f\bj
6    0x00001758 0x00401758 4   6    .text   utf8    S+ۍE blocks=Basic Latin,Arabic
7    0x000018a8 0x004018a8 4   6    .text   utf8    +\v}\f
8    0x000018c2 0x004018c2 4   5    .text   ascii   VWSh
9    0x000018d3 0x004018d3 6   8    .text   utf8    }\bGG+ҹ blocks=Basic Latin,Cyrillic
10   0x000018e6 0x004018e6 4   5    .text   ascii   }\bGG
11   0x00001913 0x00401913 4   5    .text   ascii   :A;M
12   0x000019ad 0x004019ad 4   6    .text   utf8    S+ۍE blocks=Basic Latin,Arabic
13   0x00001b46 0x00401b46 4   6    .text   utf8    S+ۍE blocks=Basic Latin,Arabic
14   0x00001cfb 0x00401cfb 4   5    .text   ascii   51HA
15   0x00001d5a 0x00401d5a 4   5    .text   ascii   \b2\a%
16   0x00001e43 0x00401e43 4   5    .text   ascii   =EKA
17   0x00001e8b 0x00401e8b 4   5    .text   ascii   B\bPh
18   0x00001ee8 0x00401ee8 4   5    .text   ascii   Ct\vS
19   0x00001f4a 0x00401f4a 4   5    .text   ascii   t*PP
20   0x00001fa2 0x00401fa2 4   5    .text   ascii   @t\j
21   0x000020c4 0x004020c4 4   9    .text   utf16le jjjj
22   0x000020f0 0x004020f0 4   5    .text   ascii   h\rHA
23   0x0000218b 0x0040218b 4   5    .text   ascii   v;PP
24   0x000023c8 0x004023c8 4   5    .text   ascii   ?"u\b
25   0x00002464 0x00402464 5   6    .text   ascii   u\a_[^
26   0x00002491 0x00402491 5   6    .text   ascii   u\a_[^
27   0x000024bc 0x004024bc 4   5    .text   ascii   h\vKA
28   0x000024da 0x004024da 4   5    .text   ascii   hEKA
29   0x000024df 0x004024df 4   5    .text   ascii   h'KA
30   0x000024ee 0x004024ee 4   5    .text   ascii   huHA
31   0x000024fd 0x004024fd 4   5    .text   ascii   h5HA
32   0x0000250c 0x0040250c 4   5    .text   ascii   hsJA
33   0x00002516 0x00402516 4   5    .text   ascii   h#KA
34   0x00002548 0x00402548 4   5    .text   ascii   8/u\a
35   0x000025af 0x004025af 4   7    .text   utf8    3Ґ3ې blocks=Basic Latin,Cyrillic,Arabic
36   0x000025d4 0x004025d4 4   5    .text   ascii   |\n<9
37   0x000025e3 0x004025e3 4   5    .text   ascii   |\v<Z
