[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000b7 0x000000b7 5   6            ascii   \eRich
2    0x000001c8 0x000001c8 5   6            ascii   .text
3    0x000001ef 0x000001ef 7   8            ascii   `.rdata
4    0x00000217 0x00000217 6   7            ascii   @.data
5    0x00000240 0x00000240 6   7            ascii   .ndata
6    0x00000268 0x00000268 5   6            ascii   .rsrc
7    0x0000041a 0x0040101a 4   5    .text   ascii   \rd+z
8    0x0000043a 0x0040103a 4   5    .text   ascii   5h+z
9    0x0000053a 0x0040113a 4   5    .text   ascii   5Xp@
10   0x00000550 0x00401150 4   5    .text   ascii   h`#z
11   0x000005f5 0x004011f5 4   5    .text   ascii   U\bSV
12   0x00000617 0x00401217 6   7    .text   ascii   t\v9M\ft
13   0x000006a7 0x004012a7 5   6    .text   ascii    s495
14   0x0000073a 0x0040133a 4   7    .text   utf8    #ȋKM blocks=Basic Latin,Latin Extended-B
15   0x000007ba 0x004013ba 5   7    .text   utf8    +C|$\f
16   0x000007d9 0x004013d9 4   5    .text   ascii   Qh0u
17   0x000007e0 0x004013e0 4   5    .text   ascii   5L#z
18   0x00000815 0x00401415 4   5    .text   ascii   \rh+z
19   0x0000084a 0x0040144a 6   7    .text   ascii   u\bWj\aY
20   0x00000988 0x00401588 4   5    .text   ascii   \r0#z
21   0x0000099e 0x0040159e 6   8    .text   utf8    E܋\rD#z blocks=Basic Latin,Syriac
22   0x000009e8 0x004015e8 5   6    .text   ascii   tBj\V
23   0x00000a6e 0x0040166e 4   6    .text   utf8    j߉E\b blocks=Basic Latin,NKo
24   0x00000b04 0x00401704 5   6    .text   ascii   E\bPWh
25   0x00000b67 0x00401767 5   6    .text   ascii   M\bQVh
26   0x00000baa 0x004017aa 4   6    .text   utf8    ủE\b blocks=Basic Latin,Combining Diacritical Marks
27   0x00000bbb 0x004017bb 4   5    .text   ascii   Vt\bW
28   0x00000c1d 0x0040181d 6   7    .text   ascii   E\b9]\bu
29   0x00000c46 0x00401846 8   9    .text   ascii   uv9]\buSh
30   0x00000c95 0x00401895 5   6    .text   ascii   Ht\eWj
31   0x00000dbb 0x004019bb 5   6    .text   ascii   t\t9]\b
32   0x00000f76 0x00401b76 4   5    .text   ascii   tDH;
33   0x00001029 0x00401c29 4   5    .text   ascii   E\bu\v
34   0x00001166 0x00401d66 4   5    .text   ascii   PShr
35   0x00001188 0x00401d88 4   5    .text   ascii   jHjZ
36   0x00001214 0x00401e14 4   5    .text   ascii   PVu\v
37   0x000012b1 0x00401eb1 4   6    .text   utf8    ;ÉE\b blocks=Basic Latin,Latin-1 Supplement
38   0x00001322 0x00401f22 5   7    .text   utf8    ;ÉE\bt blocks=Basic Latin,Latin-1 Supplement
39   0x0000139f 0x00401f9f 4   5    .text   ascii   E\bPh
40   0x00001406 0x00402006 5   6    .text   ascii   E\bt\rV
41   0x00001417 0x00402017 4   5    .text   ascii   j\bSV
42   0x00001435 0x00402035 4   5    .text   ascii   t=9]
43   0x000014dc 0x004020dc 4   5    .text   ascii   u\aj!
44   0x000014e6 0x004020e6 7   8    .text   ascii   E\bPh\fs@
45   0x0000150a 0x0040210a 5   6    .text   ascii   Rh,s@
46   0x00001520 0x00402120 4   5    .text   ascii   E\bVP
47   0x0000154b 0x0040214b 4   5    .text   ascii   M\bPQ
48   0x00001581 0x00402181 4   6    .text   utf8    uԋ\bP blocks=Basic Latin,Cyrillic Supplement
49   0x000016c6 0x004022c6 4   5    .text   ascii   t\tj"
50   0x000016d8 0x004022d8 4   5    .text   ascii   PSWV
51   0x000016ea 0x004022ea 5   6    .text   ascii   E\b!N~
52   0x0000170f 0x0040230f 4   5    .text   ascii   E\bVP
53   0x000017a6 0x004023a6 6   7    .text   ascii   M\bSQSj
54   0x000017ad 0x004023ad 5   6    .text   ascii   SSSPV
55   0x00001850 0x00402450 7   8    .text   ascii   M\bVQSPW
56   0x00001868 0x00402468 6   7    .text   ascii   t\e9M\bt
57   0x00001873 0x00402473 4   5    .text   ascii   u&9]
58   0x000018c8 0x004024c8 8   9    .text   ascii   M\bt\fQVPW
59   0x000018dc 0x004024dc 7   8    .text   ascii   M\bSQVPW
60   0x00001965 0x00402565 6   7    .text   ascii   M\bSQPh
61   0x000019db 0x004025db 4   5    .text   ascii   u_9]
62   0x000019e3 0x004025e3 5   6    .text   ascii   }\v\rt+
63   0x000019e9 0x004025e9 5   6    .text   ascii   }\v\nt%
64   0x000019f3 0x004025f3 10  12   .text   utf8    >F:ÈE\vt@;u blocks=Basic Latin,Latin-1 Supplement
65   0x00001a16 0x00402616 4   5    .text   ascii   8E\vt
66   0x00001cbc 0x004028bc 4   5    .text   ascii   t#9]
67   0x00001cf9 0x004028f9 4   5    .text   ascii   \rh+z
68   0x00001d25 0x00402925 4   5    .text   ascii   t\vSS
69   0x00001f03 0x00402b03 4   5    .text   ascii   5\bp@
70   0x00001fa7 0x00402ba7 4   5    .text   ascii   #E\b]
71   0x00001fdf 0x00402bdf 5   6    .text   ascii   9u\fuN
72   0x00001ff5 0x00402bf5 4   5    .text   ascii   PjdQ
73   0x0000203f 0x00402c3f 4   5    .text   ascii   ,SV3
74   0x0000211d 0x00402d1d 4   5    .text   ascii   Inst
75   0x0000212a 0x00402d2a 4   5    .text   ascii   soft
76   0x00002137 0x00402d37 9   10   .text   ascii   Nulluz\tE\b
77   0x00002155 0x00402d55 6   8    .text   utf8    ;Ɖ\rl+z blocks=Basic Latin,Latin Extended-B
78   0x00002164 0x00402d64 4   5    .text   ascii   E\b\bu
79   0x00002181 0x00402d81 4   5    .text   ascii   u49E
80   0x000021a9 0x00402da9 4   5    .text   ascii   5`+z
81   0x000021f1 0x00402df1 5   6    .text   ascii   9=l+z
82   0x000021f7 0x00402df7 4   5    .text   ascii   tS9}
83   0x0000221b 0x00402e1b 5   6    .text   ascii   ;E\bu,
84   0x00002269 0x00402e69 4   5    .text   ascii   5h+z
85   0x0000229e 0x00402e9e 4   5    .text   ascii   j@Vh
86   0x000023ac 0x00402fac 4   5    .text   ascii   tC+E
87   0x000023c2 0x00402fc2 4   5    .text   ascii   u\b+E
88   0x000023f5 0x00402ff5 4   5    .text   ascii   tI9E
89   0x00002410 0x00403010 4   5    .text   ascii   t=9u
90   0x00002455 0x00403055 4   5    .text   ascii   uH9]
91   0x000024e3 0x004030e3 6   7    .text   ascii   t\n9u\fu
92   0x00002590 0x00403190 4   5    .text   ascii   h`#z
93   0x000025fb 0x004031fb 5   6    .text   ascii   8/u5@
94   0x00002615 0x00403215 6   7    .text   ascii   8NCRCu
95   0x0000262e 0x0040322e 5   6    .text   ascii    /D=t
96   0x000026b6 0x004032b6 4   5    .text   ascii   tKSV
97   0x000026c4 0x004032c4 6   7    .text   ascii   ? _?=t
98   0x000026e8 0x004032e8 4   5    .text   ascii   t(Wh
99   0x00002704 0x00403304 4   5    .text   ascii   \r\f,z
100  0x000027f4 0x004033f4 4   5    .text   ascii   t4SV
101  0x000028ce 0x004034ce 4   5    .text   ascii   u\aj\t
102  0x00002919 0x00403519 4   5    .text   ascii   5h+z
103  0x000029dd 0x004035dd 5   6    .text   ascii   tT<"u
104  0x00002a55 0x00403655 4   5    .text   ascii   5`+z
105  0x00002a75 0x00403675 4   5    .text   ascii   \r`+z
106  0x00002ab4 0x004036b4 5   6    .text   ascii   SPSj0
107  0x00002ac1 0x004036c1 4   5    .text   ascii   5`+z
108  0x00002ac7 0x004036c7 10  11   .text   ascii   D$(+D$ SSP
109  0x00002ad2 0x004036d2 8   9    .text   ascii   D$0+D$(P
110  0x00002ae3 0x004036e3 4   5    .text   ascii   t$0h
111  0x00002b3e 0x0040373e 4   5    .text   ascii   u\fUf
112  0x00002b4d 0x0040374d 4   5    .text   ascii   -\br@
113  0x00002b6d 0x0040376d 4   5    .text   ascii   5$#z
114  0x00002b93 0x00403793 4   5    .text   ascii   5`+z
115  0x00002bd6 0x004037d6 4   5    .text   ascii   _^][
116  0x00002bde 0x004037de 4   5    .text   ascii   SUVW
117  0x00002bfd 0x004037fd 4   5    .text   ascii   \rh+z
118  0x00002c65 0x00403865 4   5    .text   ascii   h`#z
119  0x00002ca6 0x004038a6 5   7    .text   utf8    _^][Ã blocks=Basic Latin,Latin-1 Supplement
120  0x00002cb6 0x004038b6 5   6    .text   ascii   l$ V;
121  0x00002cdc 0x004038dc 5   6    .text   ascii   PPPPS
122  0x00002cf3 0x004038f3 4   5    .text   ascii   D$,H
123  0x00002d13 0x00403913 4   5    .text   ascii   58#z
124  0x00002d8a 0x0040398a 5   6    .text   ascii   t$,VS
125  0x00002e13 0x00403a13 4   5    .text   ascii   t$0h
126  0x00002e1c 0x00403a1c 4   5    .text   ascii   58#z
127  0x00002e28 0x00403a28 4   5    .text   ascii   t$0U
128  0x00002e3b 0x00403a3b 4   5    .text   ascii   \$$;
129  0x00002e48 0x00403a48 4   5    .text   ascii   5 r@
130  0x00002e72 0x00403a72 4   5    .text   ascii   5H#z
131  0x00002ec6 0x00403ac6 4   5    .text   ascii   58#z
132  0x00002ed3 0x00403ad3 5   6    .text   ascii   9=,#z
133  0x00002f18 0x00403b18 4   5    .text   ascii   =,#z
134  0x00002fce 0x00403bce 4   5    .text   ascii   -8r@
135  0x00003000 0x00403c00 4   5    .text   ascii   h`#z
136  0x00003061 0x00403c61 4   5    .text   ascii   58#z
137  0x00003096 0x00403c96 4   5    .text   ascii   5`+z
138  0x000030a2 0x00403ca2 4   6    .text   utf8    #8#z
139  0x000030e8 0x00403ce8 4   5    .text   ascii   t$ W
140  0x000030ed 0x00403ced 4   5    .text   ascii   58#z
141  0x00003104 0x00403d04 4   5    .text   ascii   58#z
142  0x0000311c 0x00403d1c 4   5    .text   ascii   58#z
143  0x0000312e 0x00403d2e 4   5    .text   ascii   %d+z
144  0x00003145 0x00403d45 4   5    .text   ascii   =8#z
145  0x00003162 0x00403d62 4   5    .text   ascii   _^][
146  0x0000317c 0x00403d7c 5   6    .text   ascii   t$\bh\b
147  0x00003185 0x00403d85 4   5    .text   ascii   5d+z
148  0x00003194 0x00403d94 4   5    .text   ascii   t$\fj
149  0x000031cb 0x00403dcb 5   6    .text   ascii   t$\bj(
150  0x000031d1 0x00403dd1 4   5    .text   ascii   5d+z
151  0x000031ed 0x00403ded 4   5    .text   ascii   t$\fP
152  0x00003267 0x00403e67 4   5    .text   ascii   _t\nP
153  0x000032fc 0x00403efc 4   5    .text   ascii   \r<#z
154  0x00003348 0x00403f48 4   5    .text   ascii   s8j#
155  0x00003389 0x00403f89 4   5    .text   ascii   58r@
156  0x00003399 0x00403f99 4   6    .text   utf8    ֡h+z blocks=Hebrew,Basic Latin
157  0x0000340c 0x0040400c 4   5    .text   ascii   58r@
158  0x00003521 0x00404121 4   5    .text   ascii   5d+z
159  0x00003535 0x00404135 4   5    .text   ascii   5d+z
160  0x00003600 0x00404200 4   5    .text   ascii   u\rVS
161  0x0000363f 0x0040423f 4   5    .text   ascii   E\bVW
162  0x00003731 0x00404331 4   5    .text   ascii   u Pj
163  0x0000374a 0x0040434a 4   5    .text   ascii   t\aWV
164  0x00003841 0x00404441 4   5    .text   ascii   \r<#z
165  0x0000384b 0x0040444b 4   5    .text   ascii   t+Pj
166  0x0000385d 0x0040445d 4   5    .text   ascii   t\vWj
167  0x00003882 0x00404482 4   5    .text   ascii   u\nj\a
168  0x000038aa 0x004044aa 5   6    .text   ascii   u\r95L
169  0x000038dd 0x004044dd 4   5    .text   ascii   58r@
170  0x00003954 0x00404554 4   5    .text   ascii   j\n_j
171  0x0000399e 0x0040459e 4   6    .text   utf8    j\n3ҍ blocks=Basic Latin,Cyrillic
172  0x000039de 0x004045de 4   5    .text   ascii   58#z
173  0x00003a24 0x00404624 4   5    .text   ascii   58r@
174  0x00003a2f 0x0040462f 4   5    .text   ascii   j\th\n
175  0x00003aa5 0x004046a5 4   5    .text   ascii   5 r@
176  0x00003ac9 0x004046c9 4   5    .text   ascii   58r@
177  0x00003b1a 0x0040471a 4   5    .text   ascii   5`+z
178  0x00003b87 0x00404787 4   5    .text   ascii   }\rWj
179  0x00003bba 0x004047ba 4   5    .text   ascii   PWhC
180  0x00003bc6 0x004047c6 4   5    .text   ascii   SPhQ
181  0x00003bd5 0x004047d5 4   6    .text   utf8    !|ɋ} blocks=Basic Latin,Latin Extended-B
182  0x00003c3f 0x0040483f 5   8    .text   utf8    Mĉ}܉U blocks=Basic Latin,Latin Extended-A,Syriac
183  0x00003d39 0x00404939 5   6    .text   ascii   t\t9E\f
184  0x00003d60 0x00404960 7   8    .text   ascii   uv9E\ft\t
185  0x00003dcf 0x004049cf 4   6    .text   utf8    \b#IM
186  0x00003dea 0x004049ea 4   5    .text   ascii   p\Wh
187  0x00003e29 0x00404a29 4   6    .text   utf8    #߁}\f blocks=Basic Latin,NKo
188  0x00003e50 0x00404a50 4   5    .text   ascii   WWhG
189  0x00003e65 0x00404a65 4   5    .text   ascii   WPhP
190  0x00003e80 0x00404a80 4   5    .text   ascii   j [S
191  0x00003e89 0x00404a89 4   5    .text   ascii   SWh 
192  0x00003ead 0x00404aad 5   6    .text   ascii   u\fWWh
193  0x00003eba 0x00404aba 4   6    .text   utf8    ց}\f\v blocks=Armenian,Basic Latin
194  0x00003f0d 0x00404b0d 4   5    .text   ascii   t\aj\b
195  0x00003f44 0x00404b44 4   5    .text   ascii   WQhN
196  0x00003f6d 0x00404b6d 4   7    .text   utf8    E䡈+z blocks=Basic Latin,CJK Unified Ideographs Extension A
197  0x00003ffc 0x00404bfc 4   5    .text   ascii   PWh\r
198  0x000040ae 0x00404cae 4   5    .text   ascii    u}h
199  0x000040f1 0x00404cf1 6   7    .text   ascii   9u\fu;9
200  0x0000418f 0x00404d8f 4   5    .text   ascii   E\bt\e
201  0x000041b6 0x00404db6 4   5    .text   ascii   5(#z
202  0x000041c5 0x00404dc5 5   6    .text   ascii   tDSSh
203  0x000041d5 0x00404dd5 4   5    .text   ascii   58r@
204  0x000041e3 0x00404de3 7   11   .text   utf8    +ǉ]؉EԍE blocks=Basic Latin,Latin Extended-B,Arabic,Cyrillic Supplement
205  0x0000429a 0x00404e9a 4   6    .text   utf8    }\f3ہ blocks=Basic Latin,Arabic
206  0x000042c2 0x00404ec2 6   10   .text   utf8    ]Љ]؉]ܫ blocks=Basic Latin,Cyrillic,Arabic,Syriac
207  0x000042d2 0x00404ed2 4   5    .text   ascii   = r@
208  0x0000430c 0x00404f0c 4   5    .text   ascii   50#z
209  0x00004349 0x00404f49 4   5    .text   ascii   58r@
210  0x00004353 0x00404f53 4   5    .text   ascii   PSh\e
211  0x00004367 0x00404f67 4   5    .text   ascii   PPh6
212  0x00004394 0x00404f94 4   5    .text   ascii   9]\f|
213  0x0000439a 0x00404f9a 5   6    .text   ascii   u\fSh$
214  0x000043ab 0x00404fab 4   5    .text   ascii   p0j\e
215  0x000043c2 0x00404fc2 4   5    .text   ascii   50#z
216  0x000043d4 0x00404fd4 4   5    .text   ascii   u\rj\b
217  0x00004411 0x00405011 5   6    .text   ascii   u\fSh\t
218  0x00004436 0x00405036 5   6    .text   ascii   E\fPSh
219  0x00004475 0x00405075 4   5    .text   ascii   50#z
220  0x00004496 0x00405096 4   5    .text   ascii   t$jx
221  0x000044bf 0x004050bf 4   5    .text   ascii   5d+z
222  0x000044e5 0x004050e5 4   6    .text   utf8    {uKE
223  0x0000454c 0x0040514c 6   7    .text   ascii   u\bSPQh
224  0x000045db 0x004051db 7   8    .text   ascii   \r\nFFC;]
225  0x00004637 0x00405237 7   8    .text   ascii   u\fQQQQQ
226  0x00004670 0x00405270 4   5    .text   ascii   58#z
227  0x00004699 0x00405299 4   5    .text   ascii   =\b,z
228  0x000046a7 0x004052a7 5   6    .text   ascii   Qh`#z
229  0x000046b2 0x004052b2 4   5    .text   ascii   5d+z
230  0x000046cb 0x004052cb 4   5    .text   ascii   ]\bVS
231  0x00004791 0x00405391 5   6    .text   ascii   th<.u
232  0x0000479b 0x0040539b 4   5    .text   ascii   t^VW
233  0x00004828 0x00405428 8   9    .text   ascii   _9u\btM9u
234  0x00004883 0x00405483 4   5    .text   ascii   t$\bV
235  0x00004897 0x00405497 5   6    .text   ascii   8\t\vh
236  0x000048b1 0x004054b1 8   9    .text   ascii   \r:L$\bt\rP
237  0x000048ca 0x004054ca 4   5    .text   ascii   t$\bV
238  0x000048d4 0x004054d4 7   9    .text   utf8    ƀ8\t\fPV blocks=Latin Extended-B,Basic Latin
239  0x000048f7 0x004054f7 4   5    .text   ascii   9\\t
240  0x000048fc 0x004054fc 6   7    .text   ascii   <a|\n<z
241  0x00004930 0x00405530 4   5    .text   ascii   ;:\u
242  0x0000493c 0x0040553c 4   5    .text   ascii   ?\\u
243  0x00004943 0x00405543 5   6    .text   ascii   ^j\PN
244  0x00004a03 0x00405603 4   5    .text   ascii   7t\eV
245  0x00004a33 0x00405633 5   7    .text   utf8    D$\f+J
246  0x00004a98 0x00405698 7   8    .text   ascii   u\bWjd_O
247  0x00004aa0 0x004056a0 5   6    .text   ascii   E\bnsa
248  0x00004adb 0x004056db 6   7    .text   ascii   SUVWh\f
249  0x00004b6f 0x0040576f 4   5    .text   ascii   hh\tz
250  0x00004b7b 0x0040577b 4   6    .text   utf8    ءh+z blocks=Arabic,Basic Latin
251  0x00004bba 0x004057ba 4   5    .text   ascii   \nPj@
252  0x00004bd0 0x004057d0 4   5    .text   ascii   PWVU
253  0x00004bdc 0x004057dc 5   6    .text   ascii   t[;|$
254  0x00004c09 0x00405809 4   5    .text   ascii   hh\tz
255  0x00004c16 0x00405816 4   5    .text   ascii   PPPU
256  0x00004c28 0x00405828 4   5    .text   ascii   PWVU
257  0x00004c46 0x00405846 4   5    .text   ascii   _^][
258  0x00004c61 0x00405861 4   6    .text   utf8    \f>;K
259  0x00004ce7 0x004058e7 7   8    .text   ascii   t$\bh\bs@
260  0x00004d04 0x00405904 6   7    .text   ascii   M\bSVW3
261  0x00004db2 0x004059b2 4   5    .text   ascii   ]\fVW
262  0x00004dbb 0x004059bb 4   5    .text   ascii   \r<#z
263  0x00004e52 0x00405a52 4   5    .text   ascii   E\ft\a
264  0x00004e6c 0x00405a6c 4   5    .text   ascii   5d+z
265  0x00004ec3 0x00405ac3 6   7    .text   ascii   &u'WhX
266  0x00004ede 0x00405ade 4   5    .text   ascii   u6hD
267  0x00004f02 0x00405b02 4   5    .text   ascii   $u\fh
268  0x00004f3b 0x00405b3b 4   5    .text   ascii   5d+z
269  0x00004fa5 0x00405ba5 6   7    .text   ascii   _^[t\tP
270  0x00004fba 0x00405bba 4   5    .text   ascii   t$\fW
271  0x00004ffc 0x00405bfc 4   5    .text   ascii   v"Ph
272  0x0000503a 0x00405c3a 4   5    .text   ascii   \a< t
273  0x0000503f 0x00405c3f 4   5    .text   ascii   <\u\a
274  0x000050ab 0x00405cab 4   5    .text   ascii   t$\bP
275  0x000050f2 0x00405cf2 4   5    .text   ascii   Vu-3
276  0x00005120 0x00405d20 4   6    .text   utf8    |ՋT$ blocks=Basic Latin,Armenian
277  0x00005131 0x00405d31 4   5    .text   ascii   L$\fW
278  0x000051b5 0x00405db5 5   6    .text   ascii   E\bSVW
279  0x000052fe 0x00405efe 5   6    .text   ascii   ]\bVWj
280  0x0000532e 0x00405f2e 4   5    .text   ascii   E\bVP
281  0x00005364 0x00405f64 4   5    .text   ascii   E\bVP
282  0x0000537e 0x00405f7e 4   5    .text   ascii   \b\vE\b
283  0x00005387 0x00405f87 4   5    .text   ascii   E\bVP
284  0x000053a1 0x00405fa1 4   5    .text   ascii   \b\vE\b
285  0x000053aa 0x00405faa 4   5    .text   ascii   E\bVP
286  0x000053c4 0x00405fc4 4   5    .text   ascii   \b\vE\b
287  0x00005511 0x00406111 4   5    .text   ascii   |-!E
288  0x00005530 0x00406130 5   6    .text   ascii   9E\bt#
289  0x00005598 0x00406198 4   5    .text   ascii   ;^S7
290  0x000055bd 0x004061bd 4   5    .text   ascii   ;\f\r7
291  0x000055ef 0x004061ef 4   5    .text   ascii   9E\bu
292  0x00005628 0x00406228 4   5    .text   ascii   9E\bu
293  0x000057a6 0x004063a6 4   7    .text   utf8    E؋Mԃ blocks=Basic Latin,Arabic,Cyrillic Supplement
294  0x000057dd 0x004063dd 4   6    .text   utf8    \vE܉E blocks=Basic Latin,Syriac
295  0x0000580a 0x0040640a 4   7    .text   utf8    \vE܉E blocks=Basic Latin,Syriac
296  0x000058e5 0x004064e5 4   7    .text   utf8    E؋Mԃ blocks=Basic Latin,Arabic,Cyrillic Supplement
297  0x0000591c 0x0040651c 4   6    .text   utf8    \vE܉E blocks=Basic Latin,Syriac
298  0x000059a6 0x004065a6 4   5    .text   ascii   \f\aHu
299  0x000059d6 0x004065d6 5   6    .text   ascii   E\b;1~
300  0x00005a56 0x00406656 6   8    .text   utf8    Iu܋E\bS blocks=Basic Latin,Syriac
301  0x00005b0c 0x0040670c 4   6    .text   utf8    9u\tu
302  0x00005b4a 0x0040674a 4   6    .text   utf8    |ȋC, blocks=Basic Latin,Latin Extended-B
303  0x00005bca 0x004067ca 6   7    .text   ascii   D$\fSVW
304  0x00005bd4 0x004067d4 5   6    .text   ascii   9x(})
305  0x00005bec 0x004067ec 4   5    .text   ascii   @(\b\v
306  0x00005bf5 0x004067f5 5   6    .text   ascii   p(AJ;
307  0x00005c27 0x00406827 4   5    .text   ascii   @_^[
308  0x00005c56 0x00406856 4   5    .text   ascii   \n\f\r7
309  0x00005cc6 0x004068c6 4   5    .text   ascii   9E ~
310  0x00005cd9 0x004068d9 6   7    .text   ascii   A@;E |
311  0x00005ce4 0x004068e4 5   7    .text   utf8    ~ދU\fj blocks=Basic Latin,Thaana
312  0x00005cf4 0x004068f4 4   5    .text   ascii   9M ~
313  0x00005d03 0x00406903 5   6    .text   ascii   A;M |
314  0x00005d4e 0x0040694e 4   5    .text   ascii   e OI
315  0x00005d80 0x00406980 4   5    .text   ascii   _^[]
316  0x00005d89 0x00406989 4   5    .text   ascii   %dr@
317  0x00005d8f 0x0040698f 4   5    .text   ascii   %`r@
318  0x00005d95 0x00406995 4   5    .text   ascii   %\r@
319  0x00006080 0x00407280 11  12   .rdata  ascii   shlwapi.dll
320  0x0000608c 0x0040728c 14  15   .rdata  ascii   SHAutoComplete
321  0x0000609c 0x0040729c 36  37   .rdata  ascii   .DEFAULT\Control Panel\International
322  0x000060c4 0x004072c4 36  37   .rdata  ascii   Control Panel\Desktop\ResourceLocale
323  0x000060ec 0x004072ec 24  25   .rdata  ascii   GetUserDefaultUILanguage
324  0x00006472 0x00407672 6   7    .rdata  ascii   MulDiv
325  0x0000647c 0x0040767c 11  12   .rdata  ascii   DeleteFileA
326  0x0000648a 0x0040768a 14  15   .rdata  ascii   FindFirstFileA
