[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x0042a104 NONE FUNC kernel32.dll DeleteCriticalSection
2   0x0042a108 NONE FUNC kernel32.dll LeaveCriticalSection
3   0x0042a10c NONE FUNC kernel32.dll EnterCriticalSection
4   0x0042a110 NONE FUNC kernel32.dll InitializeCriticalSection
5   0x0042a114 NONE FUNC kernel32.dll VirtualFree
6   0x0042a118 NONE FUNC kernel32.dll VirtualAlloc
7   0x0042a11c NONE FUNC kernel32.dll LocalFree
8   0x0042a120 NONE FUNC kernel32.dll LocalAlloc
9   0x0042a124 NONE FUNC kernel32.dll GetVersion
10  0x0042a128 NONE FUNC kernel32.dll GetCurrentThreadId
11  0x0042a12c NONE FUNC kernel32.dll InterlockedDecrement
12  0x0042a130 NONE FUNC kernel32.dll InterlockedIncrement
13  0x0042a134 NONE FUNC kernel32.dll VirtualQuery
14  0x0042a138 NONE FUNC kernel32.dll WideCharToMultiByte
15  0x0042a13c NONE FUNC kernel32.dll MultiByteToWideChar
16  0x0042a140 NONE FUNC kernel32.dll lstrlenA
17  0x0042a144 NONE FUNC kernel32.dll lstrcpynA
18  0x0042a148 NONE FUNC kernel32.dll LoadLibraryExA
19  0x0042a14c NONE FUNC kernel32.dll GetThreadLocale
20  0x0042a150 NONE FUNC kernel32.dll GetStartupInfoA
21  0x0042a154 NONE FUNC kernel32.dll GetProcAddress
22  0x0042a158 NONE FUNC kernel32.dll GetModuleHandleA
23  0x0042a15c NONE FUNC kernel32.dll GetModuleFileNameA
24  0x0042a160 NONE FUNC kernel32.dll GetLocaleInfoA
25  0x0042a164 NONE FUNC kernel32.dll GetCommandLineA
26  0x0042a168 NONE FUNC kernel32.dll FreeLibrary
27  0x0042a16c NONE FUNC kernel32.dll FindFirstFileA
28  0x0042a170 NONE FUNC kernel32.dll FindClose
29  0x0042a174 NONE FUNC kernel32.dll ExitProcess
30  0x0042a178 NONE FUNC kernel32.dll WriteFile
31  0x0042a17c NONE FUNC kernel32.dll UnhandledExceptionFilter
32  0x0042a180 NONE FUNC kernel32.dll RtlUnwind
33  0x0042a184 NONE FUNC kernel32.dll RaiseException
34  0x0042a188 NONE FUNC kernel32.dll GetStdHandle
1   0x0042a190 NONE FUNC user32.dll   GetKeyboardType
2   0x0042a194 NONE FUNC user32.dll   LoadStringA
3   0x0042a198 NONE FUNC user32.dll   MessageBoxA
4   0x0042a19c NONE FUNC user32.dll   CharNextA
1   0x0042a1a4 NONE FUNC advapi32.dll RegQueryValueExA
2   0x0042a1a8 NONE FUNC advapi32.dll RegOpenKeyExA
3   0x0042a1ac NONE FUNC advapi32.dll RegCloseKey
1   0x0042a1b4 NONE FUNC oleaut32.dll SysFreeString
2   0x0042a1b8 NONE FUNC oleaut32.dll SysReAllocStringLen
3   0x0042a1bc NONE FUNC oleaut32.dll SysAllocStringLen
1   0x0042a1c4 NONE FUNC kernel32.dll TlsSetValue
2   0x0042a1c8 NONE FUNC kernel32.dll TlsGetValue
3   0x0042a1cc NONE FUNC kernel32.dll TlsFree
4   0x0042a1d0 NONE FUNC kernel32.dll TlsAlloc
5   0x0042a11c NONE FUNC kernel32.dll LocalFree
6   0x0042a120 NONE FUNC kernel32.dll LocalAlloc
1   0x0042a178 NONE FUNC kernel32.dll WriteFile
2   0x0042a1e4 NONE FUNC kernel32.dll WaitForSingleObject
3   0x0042a134 NONE FUNC kernel32.dll VirtualQuery
4   0x0042a1ec NONE FUNC kernel32.dll SizeofResource
5   0x0042a1f0 NONE FUNC kernel32.dll SetFilePointer
6   0x0042a1f4 NONE FUNC kernel32.dll SetEvent
7   0x0042a1f8 NONE FUNC kernel32.dll SetEndOfFile
8   0x0042a1fc NONE FUNC kernel32.dll ResetEvent
9   0x0042a200 NONE FUNC kernel32.dll ReadFile
10  0x0042a13c NONE FUNC kernel32.dll MultiByteToWideChar
11  0x0042a208 NONE FUNC kernel32.dll LockResource
12  0x0042a20c NONE FUNC kernel32.dll LoadResource
13  0x0042a210 NONE FUNC kernel32.dll LoadLibraryA
14  0x0042a108 NONE FUNC kernel32.dll LeaveCriticalSection
15  0x0042a110 NONE FUNC kernel32.dll InitializeCriticalSection
