[Strings]
nth  paddr      vaddr      len  size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44   45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000d8 0x000000d8 4    5            ascii   Rich
2    0x000001f0 0x000001f0 5    6            ascii   .text
3    0x00000217 0x00000217 7    8            ascii   `.rdata
4    0x0000023f 0x0000023f 6    7            ascii   @.data
5    0x00000268 0x00000268 7    8            ascii   .0lgfxz
6    0x00000290 0x00000290 6    7            ascii   .reloc
7    0x00000427 0x00401027 5    6    .text   ascii   t@VWP
8    0x000004de 0x004010de 4    5    .text   ascii   E\bPV
9    0x00000531 0x00401131 4    5    .text   ascii   E\bPV
10   0x00000564 0x00401164 4    6    .text   utf8    Y3ɣ  blocks=Basic Latin,IPA Extensions
11   0x000005a8 0x004011a8 4    5    .text   ascii   tDSW
12   0x000005cf 0x004011cf 4    5    .text   ascii   }\b u
13   0x000005ec 0x004011ec 4    5    .text   ascii   _[^]
14   0x000006b0 0x004012b0 4    5    .text   ascii   \f_^]
15   0x000006e2 0x004012e2 4    5    .text   ascii   \f_^]
16   0x00000714 0x00401314 4    5    .text   ascii   \f_^]
17   0x0000072b 0x0040132b 5    6    .text   ascii   j\vho\n
18   0x000007c9 0x004013c9 4    5    .text   ascii   t1W3
19   0x00000996 0x00401596 5    6    .text   ascii   PWj\vh
20   0x000009e7 0x004015e7 6    7    .text   ascii   PWj\bhq
21   0x00000a38 0x00401638 5    6    .text   ascii   PWj\th
22   0x00000a70 0x00401670 4    5    .text   ascii   j\fhP
23   0x00000adb 0x004016db 6    7    .text   ascii   PWj\rh4
24   0x00000c15 0x00401815 4    6    .text   utf8    PVǅ@ blocks=Basic Latin,Latin Extended-B
25   0x00000cb2 0x004018b2 4    5    .text   ascii   Pj\bj
26   0x00000ccb 0x004018cb 7    8    .text   ascii   Pj\bj\vhd
27   0x00000ce7 0x004018e7 4    5    .text   ascii   Pj\nj
28   0x00000cf9 0x004018f9 5    6    .text   ascii   Pj h 
29   0x00000e38 0x00401a38 4    5    .text   ascii   Pj\fj
30   0x00000e76 0x00401a76 4    5    .text   ascii   Pj\nj
31   0x00000f0a 0x00401b0a 6    7    .text   ascii   Pj\nj\ah
32   0x00000f3a 0x00401b3a 4    5    .text   ascii   Pj\nj
33   0x0000102e 0x00401c2e 4    5    .text   ascii   Wj h
34   0x00001048 0x00401c48 4    5    .text   ascii   PSVW
35   0x00001054 0x00401c54 4    5    .text   ascii   Pj6j
36   0x00001070 0x00401c70 5    6    .text   ascii   j\vhs\a
37   0x000010e3 0x00401ce3 4    5    .text   ascii   Yj\nj
38   0x00001187 0x00401d87 4    5    .text   ascii   Pj6j
39   0x00001390 0x00401f90 6    7    .text   ascii   Pj\n^Vj
40   0x000013ab 0x00401fab 6    7    .text   ascii   PVVh%\f
41   0x000013ff 0x00401fff 5    6    .text   ascii   j\fhc\v
42   0x00001418 0x00402018 4    5    .text   ascii   Pj\fj
43   0x00001431 0x00402031 7    8    .text   ascii   Pj\bj\vh\t
44   0x0000148b 0x0040208b 4    7    .text   utf8    E܍Mȍ blocks=Basic Latin,Syriac,Latin Extended-B
45   0x00001497 0x00402097 5    9    .text   utf8    }ԉEͅd blocks=Basic Latin,Cyrillic Supplement,Combining Diacritical Marks
46   0x000014cb 0x004020cb 4    5    .text   ascii   @[_^
47   0x00001518 0x00402118 4    5    .text   ascii   Pj\nj
48   0x00001531 0x00402131 8    9    .text   ascii   Pj\nj\nh%\f
49   0x0000154a 0x0040214a 4    5    .text   ascii   Pj\nj
50   0x00001575 0x00402175 7    11   .text   utf8    EȍE؉EС( blocks=Basic Latin,Latin Extended-B,Arabic,Cyrillic
51   0x000015b5 0x004021b5 4    5    .text   ascii   Y@_^
52   0x000015c7 0x004021c7 4    5    .text   ascii   Pj\nj
53   0x00001660 0x00402260 4    5    .text   ascii   Pj6j
54   0x00001692 0x00402292 4    5    .text   ascii   Pj\bj
55   0x000016ab 0x004022ab 6    7    .text   ascii   Pj\nj\rh
56   0x000016c7 0x004022c7 6    7    .text   ascii   Pj\fj\th
57   0x00001808 0x00402408 5    6    .text   ascii    uo9M
58   0x00001817 0x00402417 5    6    .text   ascii    u`9M
59   0x00001826 0x00402426 5    6    .text   ascii   XuQ9M
60   0x00001835 0x00402435 5    6    .text   ascii   XuB9M
61   0x0000183b 0x0040243b 7    8    .text   ascii   u=j Ph 
62   0x0000184a 0x0040244a 5    6    .text   ascii   j Wh@
63   0x00001865 0x00402465 4    5    .text   ascii   jXVh
64   0x00001a92 0x00402692 6    7    .text   ascii   tJj.Xf
65   0x00001b9f 0x0040279f 5    6    .text   ascii   \aRRQR
66   0x00001be0 0x004027e0 5    6    .text   ascii   \aRRQR
67   0x00001c13 0x00402813 4    5    .text   ascii   Pj\bj
68   0x00001c60 0x00402860 7    8    .text   ascii   Pj\fj\fha
69   0x00001cc2 0x004028c2 4    5    .text   ascii   F;u\f
70   0x00001d10 0x00402910 6    7    .text   ascii   PjZj\fh
71   0x00001ebb 0x00402abb 4    5    .text   ascii   =t\fA
72   0x00001ec1 0x00402ac1 4    5    .text   ascii   YYu^
73   0x00001ec6 0x00402ac6 4    5    .text   ascii   =x\fA
74   0x00001f44 0x00402b44 4    5    .text   ascii   Pj&j
75   0x00001fde 0x00402bde 4    5    .text   ascii   E\fPj
76   0x00001fe6 0x00402be6 4    6    .text   utf8    u\bǀT blocks=Basic Latin,Latin Extended-B
77   0x00002001 0x00402c01 4    5    .text   ascii   u\fj@
78   0x0000202f 0x00402c2f 4    5    .text   ascii   SVW3
79   0x00002172 0x00402d72 4    5    .text   ascii   u&VW
80   0x000021c3 0x00402dc3 4    5    .text   ascii   Y_^[
81   0x000021d3 0x00402dd3 5    6    .text   ascii   @SVWj
82   0x0000225d 0x00402e5d 5    6    .text   ascii   Dj Sj
83   0x000022a9 0x00402ea9 4    5    .text   ascii   \fSVW
84   0x00002318 0x00402f18 4    5    .text   ascii   5`\fA
