[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x10007000 NONE FUNC KERNEL32.dll CreateFileA
2   0x10007004 NONE FUNC KERNEL32.dll WriteFile
3   0x10007008 NONE FUNC KERNEL32.dll ReadFile
4   0x1000700c NONE FUNC KERNEL32.dll GetFileSizeEx
5   0x10007010 NONE FUNC KERNEL32.dll GetLastError
6   0x10007014 NONE FUNC KERNEL32.dll CloseHandle
7   0x10007018 NONE FUNC KERNEL32.dll GetCurrentProcess
8   0x1000701c NONE FUNC KERNEL32.dll GetTickCount
9   0x10007020 NONE FUNC KERNEL32.dll Sleep
10  0x10007024 NONE FUNC KERNEL32.dll FlushInstructionCache
11  0x10007028 NONE FUNC KERNEL32.dll GetProcAddress
12  0x1000702c NONE FUNC KERNEL32.dll VirtualAlloc
13  0x10007030 NONE FUNC KERNEL32.dll LocalAlloc
14  0x10007034 NONE FUNC KERNEL32.dll GetModuleHandleA
15  0x10007038 NONE FUNC KERNEL32.dll LoadLibraryExA
16  0x1000703c NONE FUNC KERNEL32.dll VirtualProtect
17  0x10007040 NONE FUNC KERNEL32.dll HeapReAlloc
18  0x10007044 NONE FUNC KERNEL32.dll HeapAlloc
19  0x10007048 NONE FUNC KERNEL32.dll HeapFree
20  0x1000704c NONE FUNC KERNEL32.dll GetProcessHeap
21  0x10007050 NONE FUNC KERNEL32.dll WideCharToMultiByte
22  0x10007054 NONE FUNC KERNEL32.dll MultiByteToWideChar
23  0x10007058 NONE FUNC KERNEL32.dll GetCurrentThreadId
24  0x1000705c NONE FUNC KERNEL32.dll DecodePointer
25  0x10007060 NONE FUNC KERNEL32.dll GetCommandLineA
26  0x10007064 NONE FUNC KERNEL32.dll EncodePointer
27  0x10007068 NONE FUNC KERNEL32.dll TlsAlloc
28  0x1000706c NONE FUNC KERNEL32.dll TlsGetValue
29  0x10007070 NONE FUNC KERNEL32.dll TlsSetValue
30  0x10007074 NONE FUNC KERNEL32.dll TlsFree
31  0x10007078 NONE FUNC KERNEL32.dll InterlockedIncrement
32  0x1000707c NONE FUNC KERNEL32.dll GetModuleHandleW
33  0x10007080 NONE FUNC KERNEL32.dll SetLastError
34  0x10007084 NONE FUNC KERNEL32.dll InterlockedDecrement
35  0x10007088 NONE FUNC KERNEL32.dll ExitProcess
36  0x1000708c NONE FUNC KERNEL32.dll SetHandleCount
37  0x10007090 NONE FUNC KERNEL32.dll GetStdHandle
38  0x10007094 NONE FUNC KERNEL32.dll InitializeCriticalSectionAndSpinCount
39  0x10007098 NONE FUNC KERNEL32.dll GetFileType
40  0x1000709c NONE FUNC KERNEL32.dll GetStartupInfoW
41  0x100070a0 NONE FUNC KERNEL32.dll DeleteCriticalSection
42  0x100070a4 NONE FUNC KERNEL32.dll FreeEnvironmentStringsW
43  0x100070a8 NONE FUNC KERNEL32.dll GetEnvironmentStringsW
44  0x100070ac NONE FUNC KERNEL32.dll HeapCreate
45  0x100070b0 NONE FUNC KERNEL32.dll HeapDestroy
46  0x100070b4 NONE FUNC KERNEL32.dll QueryPerformanceCounter
47  0x100070b8 NONE FUNC KERNEL32.dll GetCurrentProcessId
48  0x100070bc NONE FUNC KERNEL32.dll GetSystemTimeAsFileTime
49  0x100070c0 NONE FUNC KERNEL32.dll LeaveCriticalSection
50  0x100070c4 NONE FUNC KERNEL32.dll EnterCriticalSection
51  0x100070c8 NONE FUNC KERNEL32.dll GetCPInfo
52  0x100070cc NONE FUNC KERNEL32.dll GetACP
53  0x100070d0 NONE FUNC KERNEL32.dll GetOEMCP
54  0x100070d4 NONE FUNC KERNEL32.dll IsValidCodePage
55  0x100070d8 NONE FUNC KERNEL32.dll LoadLibraryW
56  0x100070dc NONE FUNC KERNEL32.dll UnhandledExceptionFilter
57  0x100070e0 NONE FUNC KERNEL32.dll SetUnhandledExceptionFilter
58  0x100070e4 NONE FUNC KERNEL32.dll IsDebuggerPresent
59  0x100070e8 NONE FUNC KERNEL32.dll TerminateProcess
60  0x100070ec NONE FUNC KERNEL32.dll GetModuleFileNameW
61  0x100070f0 NONE FUNC KERNEL32.dll RtlUnwind
62  0x100070f4 NONE FUNC KERNEL32.dll LCMapStringW
63  0x100070f8 NONE FUNC KERNEL32.dll GetStringTypeW
64  0x100070fc NONE FUNC KERNEL32.dll HeapSize
65  0x10007100 NONE FUNC KERNEL32.dll IsProcessorFeaturePresent
66  0x10007104 NONE FUNC KERNEL32.dll FatalAppExitA
67  0x10007108 NONE FUNC KERNEL32.dll GetModuleFileNameA
68  0x1000710c NONE FUNC KERNEL32.dll DisableThreadLibraryCalls
69  0x10007110 NONE FUNC KERNEL32.dll lstrcatA
1   0x10007120 NONE FUNC ole32.dll    CoInitialize
1   0x10007118 NONE FUNC ntdll.dll    RtlImageNtHeader


