[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x004120b0 NONE FUNC ADVAPI32.DLL ChangeServiceConfig2A
2   0x004120b4 NONE FUNC ADVAPI32.DLL CloseServiceHandle
3   0x004120b8 NONE FUNC ADVAPI32.DLL ControlService
4   0x004120bc NONE FUNC ADVAPI32.DLL CreateServiceA
5   0x004120c0 NONE FUNC ADVAPI32.DLL DeleteService
6   0x004120c4 NONE FUNC ADVAPI32.DLL DeregisterEventSource
7   0x004120c8 NONE FUNC ADVAPI32.DLL LookupAccountSidA
8   0x004120cc NONE FUNC ADVAPI32.DLL OpenSCManagerA
9   0x004120d0 NONE FUNC ADVAPI32.DLL OpenServiceA
10  0x004120d4 NONE FUNC ADVAPI32.DLL QueryServiceStatus
11  0x004120d8 NONE FUNC ADVAPI32.DLL RegCloseKey
12  0x004120dc NONE FUNC ADVAPI32.DLL RegCreateKeyA
13  0x004120e0 NONE FUNC ADVAPI32.DLL RegSetValueExA
14  0x004120e4 NONE FUNC ADVAPI32.DLL RegisterEventSourceA
15  0x004120e8 NONE FUNC ADVAPI32.DLL RegisterServiceCtrlHandlerA
16  0x004120ec NONE FUNC ADVAPI32.DLL ReportEventA
17  0x004120f0 NONE FUNC ADVAPI32.DLL SetServiceStatus
18  0x004120f4 NONE FUNC ADVAPI32.DLL StartServiceCtrlDispatcherA
1   0x004121e4 NONE FUNC KERNEL32.DLL CloseHandle
2   0x004121e8 NONE FUNC KERNEL32.DLL CreateEventA
3   0x004121ec NONE FUNC KERNEL32.DLL CreateFileA
4   0x004121f0 NONE FUNC KERNEL32.DLL CreateProcessA
5   0x004121f4 NONE FUNC KERNEL32.DLL ExitProcess
6   0x004121f8 NONE FUNC KERNEL32.DLL FormatMessageA
7   0x004121fc NONE FUNC KERNEL32.DLL GetACP
8   0x00412200 NONE FUNC KERNEL32.DLL GetCPInfo
9   0x00412204 NONE FUNC KERNEL32.DLL GetCommandLineA
10  0x00412208 NONE FUNC KERNEL32.DLL GetCurrentDirectoryA
11  0x0041220c NONE FUNC KERNEL32.DLL GetCurrentThreadId
12  0x00412210 NONE FUNC KERNEL32.DLL GetDriveTypeA
13  0x00412214 NONE FUNC KERNEL32.DLL GetEnvironmentStrings
14  0x00412218 NONE FUNC KERNEL32.DLL GetExitCodeProcess
15  0x0041221c NONE FUNC KERNEL32.DLL GetFileAttributesA
16  0x00412220 NONE FUNC KERNEL32.DLL GetFileType
17  0x00412224 NONE FUNC KERNEL32.DLL GetFullPathNameA
18  0x00412228 NONE FUNC KERNEL32.DLL GetLastError
19  0x0041222c NONE FUNC KERNEL32.DLL GetLocalTime
20  0x00412230 NONE FUNC KERNEL32.DLL GetLogicalDrives
21  0x00412234 NONE FUNC KERNEL32.DLL GetModuleFileNameA
22  0x00412238 NONE FUNC KERNEL32.DLL GetModuleHandleA
23  0x0041223c NONE FUNC KERNEL32.DLL GetOEMCP
24  0x00412240 NONE FUNC KERNEL32.DLL GetProcAddress
25  0x00412244 NONE FUNC KERNEL32.DLL GetProcessHeap
26  0x00412248 NONE FUNC KERNEL32.DLL GetShortPathNameA
27  0x0041224c NONE FUNC KERNEL32.DLL GetStartupInfoA
28  0x00412250 NONE FUNC KERNEL32.DLL GetStdHandle
29  0x00412254 NONE FUNC KERNEL32.DLL GetStringTypeW
30  0x00412258 NONE FUNC KERNEL32.DLL GetTimeZoneInformation
31  0x0041225c NONE FUNC KERNEL32.DLL GetVersion
32  0x00412260 NONE FUNC KERNEL32.DLL GetVersionExA
33  0x00412264 NONE FUNC KERNEL32.DLL GlobalMemoryStatus
34  0x00412268 NONE FUNC KERNEL32.DLL HeapAlloc
35  0x0041226c NONE FUNC KERNEL32.DLL HeapFree
36  0x00412270 NONE FUNC KERNEL32.DLL LCMapStringA
37  0x00412274 NONE FUNC KERNEL32.DLL LoadLibraryA
38  0x00412278 NONE FUNC KERNEL32.DLL LocalFree
39  0x0041227c NONE FUNC KERNEL32.DLL MultiByteToWideChar
40  0x00412280 NONE FUNC KERNEL32.DLL RaiseException
41  0x00412284 NONE FUNC KERNEL32.DLL RtlUnwind
42  0x00412288 NONE FUNC KERNEL32.DLL SetConsoleCtrlHandler
43  0x0041228c NONE FUNC KERNEL32.DLL SetEvent
44  0x00412290 NONE FUNC KERNEL32.DLL SetFilePointer
45  0x00412294 NONE FUNC KERNEL32.DLL SetHandleCount
46  0x00412298 NONE FUNC KERNEL32.DLL Sleep
47  0x0041229c NONE FUNC KERNEL32.DLL TlsAlloc
48  0x004122a0 NONE FUNC KERNEL32.DLL TlsFree
49  0x004122a4 NONE FUNC KERNEL32.DLL TlsGetValue
50  0x004122a8 NONE FUNC KERNEL32.DLL TlsSetValue
51  0x004122ac NONE FUNC KERNEL32.DLL UnhandledExceptionFilter
52  0x004122b0 NONE FUNC KERNEL32.DLL VirtualAlloc
53  0x004122b4 NONE FUNC KERNEL32.DLL VirtualFree
54  0x004122b8 NONE FUNC KERNEL32.DLL WaitForSingleObject
55  0x004122bc NONE FUNC KERNEL32.DLL WideCharToMultiByte
56  0x004122c0 NONE FUNC KERNEL32.DLL WriteFile
57  0x004122c4 NONE FUNC KERNEL32.DLL lstrlenA
3   0x004122d4 NONE FUNC WSOCK32.DLL  closesocket
1   0x004122ec NONE FUNC USER32.DLL   EnumThreadWindows
2   0x004122f0 NONE FUNC USER32.DLL   MessageBoxA
3   0x004122f4 NONE FUNC USER32.DLL   wsprintfA


