[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x10246000 NONE FUNC KERNEL32.dll GetCurrentProcess
2   0x10246004 NONE FUNC KERNEL32.dll CreateThread
3   0x10246008 NONE FUNC KERNEL32.dll FlushInstructionCache
4   0x1024600c NONE FUNC KERNEL32.dll VirtualProtect
5   0x10246010 NONE FUNC KERNEL32.dll DisableThreadLibraryCalls
6   0x10246014 NONE FUNC KERNEL32.dll FreeLibrary
7   0x10246018 NONE FUNC KERNEL32.dll GetModuleHandleW
8   0x1024601c NONE FUNC KERNEL32.dll CreateFileW
9   0x10246020 NONE FUNC KERNEL32.dll SetStdHandle
10  0x10246024 NONE FUNC KERNEL32.dll SetEnvironmentVariableW
11  0x10246028 NONE FUNC KERNEL32.dll FreeEnvironmentStringsW
12  0x1024602c NONE FUNC KERNEL32.dll GetEnvironmentStringsW
13  0x10246030 NONE FUNC KERNEL32.dll GetCommandLineW
14  0x10246034 NONE FUNC KERNEL32.dll GetCommandLineA
15  0x10246038 NONE FUNC KERNEL32.dll GetOEMCP
16  0x1024603c NONE FUNC KERNEL32.dll GetACP
17  0x10246040 NONE FUNC KERNEL32.dll WideCharToMultiByte
18  0x10246044 NONE FUNC KERNEL32.dll GetLastError
19  0x10246048 NONE FUNC KERNEL32.dll FormatMessageW
20  0x1024604c NONE FUNC KERNEL32.dll EnterCriticalSection
21  0x10246050 NONE FUNC KERNEL32.dll LeaveCriticalSection
22  0x10246054 NONE FUNC KERNEL32.dll DeleteCriticalSection
23  0x10246058 NONE FUNC KERNEL32.dll MultiByteToWideChar
24  0x1024605c NONE FUNC KERNEL32.dll EncodePointer
25  0x10246060 NONE FUNC KERNEL32.dll DecodePointer
26  0x10246064 NONE FUNC KERNEL32.dll SetLastError
27  0x10246068 NONE FUNC KERNEL32.dll InitializeCriticalSectionAndSpinCount
28  0x1024606c NONE FUNC KERNEL32.dll CreateEventW
29  0x10246070 NONE FUNC KERNEL32.dll SwitchToThread
30  0x10246074 NONE FUNC KERNEL32.dll TlsAlloc
31  0x10246078 NONE FUNC KERNEL32.dll TlsGetValue
32  0x1024607c NONE FUNC KERNEL32.dll TlsSetValue
33  0x10246080 NONE FUNC KERNEL32.dll TlsFree
34  0x10246084 NONE FUNC KERNEL32.dll GetSystemTimeAsFileTime
35  0x10246088 NONE FUNC KERNEL32.dll GetTickCount
36  0x1024608c NONE FUNC KERNEL32.dll GetProcAddress
37  0x10246090 NONE FUNC KERNEL32.dll CompareStringW
38  0x10246094 NONE FUNC KERNEL32.dll LCMapStringW
39  0x10246098 NONE FUNC KERNEL32.dll GetLocaleInfoW
40  0x1024609c NONE FUNC KERNEL32.dll GetStringTypeW
41  0x102460a0 NONE FUNC KERNEL32.dll GetCPInfo
42  0x102460a4 NONE FUNC KERNEL32.dll GetCurrentThreadId
43  0x102460a8 NONE FUNC KERNEL32.dll CloseHandle
44  0x102460ac NONE FUNC KERNEL32.dll SetEvent
45  0x102460b0 NONE FUNC KERNEL32.dll ResetEvent
46  0x102460b4 NONE FUNC KERNEL32.dll WaitForSingleObjectEx
47  0x102460b8 NONE FUNC KERNEL32.dll UnhandledExceptionFilter
