[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x1018329c NONE FUNC WTSAPI32.dll WTSQuerySessionInformationA
2   0x101832a0 NONE FUNC WTSAPI32.dll WTSFreeMemory
1   0x10183000 NONE FUNC KERNEL32.dll GetTickCount
2   0x10183004 NONE FUNC KERNEL32.dll GetCommandLineA
3   0x10183008 NONE FUNC KERNEL32.dll GetOEMCP
4   0x1018300c NONE FUNC KERNEL32.dll DecodePointer
5   0x10183010 NONE FUNC KERNEL32.dll RaiseException
6   0x10183014 NONE FUNC KERNEL32.dll GetLastError
7   0x10183018 NONE FUNC KERNEL32.dll SetLastError
8   0x1018301c NONE FUNC KERNEL32.dll InitializeCriticalSectionEx
9   0x10183020 NONE FUNC KERNEL32.dll DeleteCriticalSection
10  0x10183024 NONE FUNC KERNEL32.dll MultiByteToWideChar
11  0x10183028 NONE FUNC KERNEL32.dll GetTempPathA
12  0x1018302c NONE FUNC KERNEL32.dll GetComputerNameA
13  0x10183030 NONE FUNC KERNEL32.dll IsDebuggerPresent
14  0x10183034 NONE FUNC KERNEL32.dll WideCharToMultiByte
15  0x10183038 NONE FUNC KERNEL32.dll IsProcessorFeaturePresent
16  0x1018303c NONE FUNC KERNEL32.dll UnhandledExceptionFilter
17  0x10183040 NONE FUNC KERNEL32.dll SetUnhandledExceptionFilter
18  0x10183044 NONE FUNC KERNEL32.dll GetStartupInfoW
19  0x10183048 NONE FUNC KERNEL32.dll GetModuleHandleW
20  0x1018304c NONE FUNC KERNEL32.dll GetCurrentProcess
21  0x10183050 NONE FUNC KERNEL32.dll TerminateProcess
22  0x10183054 NONE FUNC KERNEL32.dll QueryPerformanceCounter
23  0x10183058 NONE FUNC KERNEL32.dll GetCurrentProcessId
24  0x1018305c NONE FUNC KERNEL32.dll GetCurrentThreadId
25  0x10183060 NONE FUNC KERNEL32.dll GetSystemTimeAsFileTime
26  0x10183064 NONE FUNC KERNEL32.dll InitializeSListHead
27  0x10183068 NONE FUNC KERNEL32.dll HeapAlloc
28  0x1018306c NONE FUNC KERNEL32.dll HeapFree
29  0x10183070 NONE FUNC KERNEL32.dll GetProcessHeap
30  0x10183074 NONE FUNC KERNEL32.dll VirtualQuery
31  0x10183078 NONE FUNC KERNEL32.dll FreeLibrary
32  0x1018307c NONE FUNC KERNEL32.dll GetProcAddress
33  0x10183080 NONE FUNC KERNEL32.dll OutputDebugStringW
34  0x10183084 NONE FUNC KERNEL32.dll EnterCriticalSection
35  0x10183088 NONE FUNC KERNEL32.dll LeaveCriticalSection
36  0x1018308c NONE FUNC KERNEL32.dll IsValidCodePage
37  0x10183090 NONE FUNC KERNEL32.dll SetEndOfFile
38  0x10183094 NONE FUNC KERNEL32.dll CreateFileW
39  0x10183098 NONE FUNC KERNEL32.dll SetStdHandle
40  0x1018309c NONE FUNC KERNEL32.dll SetEnvironmentVariableW
41  0x101830a0 NONE FUNC KERNEL32.dll SetEnvironmentVariableA
42  0x101830a4 NONE FUNC KERNEL32.dll FreeEnvironmentStringsW
43  0x101830a8 NONE FUNC KERNEL32.dll FindNextFileW
44  0x101830ac NONE FUNC KERNEL32.dll FindNextFileA
45  0x101830b0 NONE FUNC KERNEL32.dll FindFirstFileExW
46  0x101830b4 NONE FUNC KERNEL32.dll FindFirstFileExA
47  0x101830b8 NONE FUNC KERNEL32.dll FindClose
48  0x101830bc NONE FUNC KERNEL32.dll GetTimeZoneInformation
49  0x101830c0 NONE FUNC KERNEL32.dll EnumSystemLocalesW
50  0x101830c4 NONE FUNC KERNEL32.dll GetUserDefaultLCID
51  0x101830c8 NONE FUNC KERNEL32.dll GetEnvironmentStringsW
52  0x101830cc NONE FUNC KERNEL32.dll LocalFree
53  0x101830d0 NONE FUNC KERNEL32.dll FormatMessageW
54  0x101830d4 NONE FUNC KERNEL32.dll EncodePointer
55  0x101830d8 NONE FUNC KERNEL32.dll InitializeCriticalSectionAndSpinCount
56  0x101830dc NONE FUNC KERNEL32.dll CreateEventW
57  0x101830e0 NONE FUNC KERNEL32.dll SwitchToThread
58  0x101830e4 NONE FUNC KERNEL32.dll TlsAlloc
59  0x101830e8 NONE FUNC KERNEL32.dll TlsGetValue
60  0x101830ec NONE FUNC KERNEL32.dll TlsSetValue
61  0x101830f0 NONE FUNC KERNEL32.dll TlsFree
62  0x101830f4 NONE FUNC KERNEL32.dll IsValidLocale
63  0x101830f8 NONE FUNC KERNEL32.dll CompareStringW
64  0x101830fc NONE FUNC KERNEL32.dll LCMapStringW
65  0x10183100 NONE FUNC KERNEL32.dll GetLocaleInfoW
66  0x10183104 NONE FUNC KERNEL32.dll GetStringTypeW
67  0x10183108 NONE FUNC KERNEL32.dll GetCPInfo
68  0x1018310c NONE FUNC KERNEL32.dll RtlUnwind
69  0x10183110 NONE FUNC KERNEL32.dll InterlockedPushEntrySList
70  0x10183114 NONE FUNC KERNEL32.dll InterlockedFlushSList
71  0x10183118 NONE FUNC KERNEL32.dll GetModuleFileNameW
72  0x1018311c NONE FUNC KERNEL32.dll LoadLibraryExW
73  0x10183120 NONE FUNC KERNEL32.dll GetModuleFileNameA
74  0x10183124 NONE FUNC KERNEL32.dll GetModuleHandleExW
75  0x10183128 NONE FUNC KERNEL32.dll ReadFile
76  0x1018312c NONE FUNC KERNEL32.dll HeapValidate
77  0x10183130 NONE FUNC KERNEL32.dll GetSystemInfo
78  0x10183134 NONE FUNC KERNEL32.dll GetStdHandle
79  0x10183138 NONE FUNC KERNEL32.dll GetFileType
80  0x1018313c NONE FUNC KERNEL32.dll WriteConsoleW
81  0x10183140 NONE FUNC KERNEL32.dll ExitProcess
82  0x10183144 NONE FUNC KERNEL32.dll WriteFile
83  0x10183148 NONE FUNC KERNEL32.dll OutputDebugStringA
84  0x1018314c NONE FUNC KERNEL32.dll CloseHandle
85  0x10183150 NONE FUNC KERNEL32.dll WaitForSingleObjectEx
86  0x10183154 NONE FUNC KERNEL32.dll CreateThread
87  0x10183158 NONE FUNC KERNEL32.dll SetConsoleCtrlHandler
88  0x1018315c NONE FUNC KERNEL32.dll GetCurrentThread
89  0x10183160 NONE FUNC KERNEL32.dll GetACP
90  0x10183164 NONE FUNC KERNEL32.dll FlushFileBuffers
91  0x10183168 NONE FUNC KERNEL32.dll GetConsoleCP
92  0x1018316c NONE FUNC KERNEL32.dll GetConsoleMode
93  0x10183170 NONE FUNC KERNEL32.dll ReadConsoleW
94  0x10183174 NONE FUNC KERNEL32.dll SetFilePointerEx
95  0x10183178 NONE FUNC KERNEL32.dll HeapReAlloc
96  0x1018317c NONE FUNC KERNEL32.dll HeapSize
