[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000f8 0x000000f8 6   7            ascii   RichLZ
2    0x00000210 0x00000210 5   6            ascii   .text
3    0x00000237 0x00000237 7   8            ascii   `.rdata
4    0x0000025f 0x0000025f 6   7            ascii   @.data
5    0x00000288 0x00000288 4   5            ascii   .tls
6    0x000002b0 0x000002b0 6   7            ascii   .gfids
7    0x000002d7 0x000002d7 6   7            ascii   @.rsrc
8    0x000002ff 0x000002ff 7   8            ascii   @.reloc
9    0x0000050c 0x0040110c 4   5    .text   ascii   h#9E
10   0x00000524 0x00401124 4   5    .text   ascii   hD9E
11   0x00000535 0x00401135 4   5    .text   ascii   hN9E
12   0x00000546 0x00401146 4   5    .text   ascii   hS9E
13   0x0000055e 0x0040115e 4   5    .text   ascii   hX9E
14   0x00000576 0x00401176 4   5    .text   ascii   hv9E
15   0x000006bb 0x004012bb 4   5    .text   ascii   h\a:E
16   0x000006e7 0x004012e7 4   5    .text   ascii   h\e:E
17   0x000006fd 0x004012fd 4   5    .text   ascii   h%:E
18   0x00000713 0x00401313 4   5    .text   ascii   h/:E
19   0x0000072b 0x0040132b 4   5    .text   ascii   h9:E
20   0x00000743 0x00401343 4   5    .text   ascii   hC:E
21   0x00000759 0x00401359 4   5    .text   ascii   hM:E
22   0x00000771 0x00401371 4   5    .text   ascii   hW:E
23   0x00000789 0x00401389 4   5    .text   ascii   ha:E
24   0x000007a1 0x004013a1 4   5    .text   ascii   hk:E
25   0x000007ad 0x004013ad 4   5    .text   ascii   h0sF
26   0x000007b2 0x004013b2 4   5    .text   ascii   h@sF
27   0x000007d4 0x004013d4 4   5    .text   ascii   hu:E
28   0x0000086d 0x0040146d 4   5    .text   ascii   h@sF
29   0x000008ff 0x004014ff 4   6    .text   utf8    ̋D$\f blocks=Combining Diacritical Marks,Basic Latin
30   0x00000916 0x00401516 5   7    .text   utf8    \fËD$\f blocks=Basic Latin,Latin-1 Supplement
