[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x00017018 NONE FUNC ntoskrnl.exe ZwOpenProcess
2   0x0001701c NONE FUNC ntoskrnl.exe memcpy
3   0x00017020 NONE FUNC ntoskrnl.exe RtlUpperString
4   0x00017024 NONE FUNC ntoskrnl.exe RtlFreeAnsiString
5   0x00017028 NONE FUNC ntoskrnl.exe RtlUnicodeStringToAnsiString
6   0x0001702c NONE FUNC ntoskrnl.exe memset
7   0x00017030 NONE FUNC ntoskrnl.exe sprintf
8   0x00017034 NONE FUNC ntoskrnl.exe PsGetCurrentProcessId
9   0x00017038 NONE FUNC ntoskrnl.exe ZwMapViewOfSection
10  0x0001703c NONE FUNC ntoskrnl.exe ZwCreateSection
11  0x00017040 NONE FUNC ntoskrnl.exe ZwUnmapViewOfSection
12  0x00017044 NONE FUNC ntoskrnl.exe KeDelayExecutionThread
13  0x00017048 NONE FUNC ntoskrnl.exe KeInsertQueueApc
14  0x0001704c NONE FUNC ntoskrnl.exe KeInitializeApc
15  0x00017050 NONE FUNC ntoskrnl.exe strchr
16  0x00017054 NONE FUNC ntoskrnl.exe RtlInitAnsiString
17  0x00017058 NONE FUNC ntoskrnl.exe ZwOpenFile
18  0x0001705c NONE FUNC ntoskrnl.exe PsCreateSystemThread
19  0x00017060 NONE FUNC ntoskrnl.exe PsSetLoadImageNotifyRoutine
20  0x00017064 NONE FUNC ntoskrnl.exe PsSetCreateProcessNotifyRoutine
21  0x00017068 NONE FUNC ntoskrnl.exe ZwCreateFile
22  0x0001706c NONE FUNC ntoskrnl.exe ZwWriteFile
23  0x00017070 NONE FUNC ntoskrnl.exe ZwReadFile
24  0x00017074 NONE FUNC ntoskrnl.exe ZwQueryInformationProcess
25  0x00017078 NONE FUNC ntoskrnl.exe ZwClose
26  0x0001707c NONE FUNC ntoskrnl.exe RtlEqualUnicodeString
27  0x00017080 NONE FUNC ntoskrnl.exe IofCompleteRequest
28  0x00017084 NONE FUNC ntoskrnl.exe KeQuerySystemTime
29  0x00017088 NONE FUNC ntoskrnl.exe _aulldiv
30  0x0001708c NONE FUNC ntoskrnl.exe ExFreePoolWithTag
31  0x00017090 NONE FUNC ntoskrnl.exe IoCreateDevice
32  0x00017094 NONE FUNC ntoskrnl.exe RtlAppendUnicodeToString
33  0x00017098 NONE FUNC ntoskrnl.exe IoCreateSymbolicLink
34  0x0001709c NONE FUNC ntoskrnl.exe RtlAnsiStringToUnicodeString
35  0x000170a0 NONE FUNC ntoskrnl.exe ObfDereferenceObject
36  0x000170a4 NONE FUNC ntoskrnl.exe IoGetLowerDeviceObject
37  0x000170a8 NONE FUNC ntoskrnl.exe ObReferenceObjectByHandle
38  0x000170ac NONE FUNC ntoskrnl.exe IoFileObjectType
39  0x000170b0 NONE FUNC ntoskrnl.exe KeTickCount
40  0x000170b4 NONE FUNC ntoskrnl.exe MmMapLockedPagesSpecifyCache
41  0x000170b8 NONE FUNC ntoskrnl.exe KeSetEvent
42  0x000170bc NONE FUNC ntoskrnl.exe IoFreeIrp
43  0x000170c0 NONE FUNC ntoskrnl.exe IoFreeMdl
44  0x000170c4 NONE FUNC ntoskrnl.exe MmUnlockPages
45  0x000170c8 NONE FUNC ntoskrnl.exe KeWaitForSingleObject
46  0x000170cc NONE FUNC ntoskrnl.exe IofCallDriver
47  0x000170d0 NONE FUNC ntoskrnl.exe KeInitializeEvent
48  0x000170d4 NONE FUNC ntoskrnl.exe MmProbeAndLockPages
49  0x000170d8 NONE FUNC ntoskrnl.exe IoAllocateMdl
50  0x000170dc NONE FUNC ntoskrnl.exe IoAllocateIrp
51  0x000170e0 NONE FUNC ntoskrnl.exe memmove
52  0x000170e4 NONE FUNC ntoskrnl.exe ProbeForRead
53  0x000170e8 NONE FUNC ntoskrnl.exe ProbeForWrite
54  0x000170ec NONE FUNC ntoskrnl.exe _except_handler3
55  0x000170f0 NONE FUNC ntoskrnl.exe IoDeleteSymbolicLink
56  0x000170f4 NONE FUNC ntoskrnl.exe ExRegisterCallback
57  0x000170f8 NONE FUNC ntoskrnl.exe ExCreateCallback
58  0x000170fc NONE FUNC ntoskrnl.exe IoDeleteDevice
59  0x00017100 NONE FUNC ntoskrnl.exe ExUnregisterCallback
60  0x00017104 NONE FUNC ntoskrnl.exe KeInitializeMutex
61  0x00017108 NONE FUNC ntoskrnl.exe RtlTimeToTimeFields
62  0x0001710c NONE FUNC ntoskrnl.exe RtlTimeFieldsToTime
63  0x00017110 NONE FUNC ntoskrnl.exe KeReleaseMutex
64  0x00017114 NONE FUNC ntoskrnl.exe ExAllocatePoolWithTag
65  0x00017118 NONE FUNC ntoskrnl.exe _allmul
66  0x0001711c NONE FUNC ntoskrnl.exe ZwDeviceIoControlFile
67  0x00017120 NONE FUNC ntoskrnl.exe _snwprintf
68  0x00017124 NONE FUNC ntoskrnl.exe KeGetCurrentThread
1   0x00017000 NONE FUNC HAL.dll      KeRaiseIrqlToDpcLevel
2   0x00017004 NONE FUNC HAL.dll      KeQueryPerformanceCounter
3   0x00017008 NONE FUNC HAL.dll      KfLowerIrql
4   0x0001700c NONE FUNC HAL.dll      KfReleaseSpinLock
5   0x00017010 NONE FUNC HAL.dll      KfAcquireSpinLock


