[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x00437128 NONE FUNC SHLWAPI.dll  PathFindFileNameW
2   0x0043712c NONE FUNC SHLWAPI.dll  PathFindExtensionW
3   0x00437130 NONE FUNC SHLWAPI.dll  StrCpyNW
4   0x00437134 NONE FUNC SHLWAPI.dll  StrDupW
5   0x00437138 NONE FUNC SHLWAPI.dll  wvnsprintfA
1   0x00437184 NONE FUNC ntdll.dll    NtClose
2   0x00437188 NONE FUNC ntdll.dll    NtQueryDirectoryFile
3   0x0043718c NONE FUNC ntdll.dll    _allshr
4   0x00437190 NONE FUNC ntdll.dll    NtQueryVirtualMemory
5   0x00437194 NONE FUNC ntdll.dll    RtlInitUnicodeString
6   0x00437198 NONE FUNC ntdll.dll    wcsstr
7   0x0043719c NONE FUNC ntdll.dll    RtlUpcaseUnicodeChar
8   0x004371a0 NONE FUNC ntdll.dll    _aulldiv
9   0x004371a4 NONE FUNC ntdll.dll    RtlUnwind
10  0x004371a8 NONE FUNC ntdll.dll    memcmp
11  0x004371ac NONE FUNC ntdll.dll    NtCreateFile
12  0x004371b0 NONE FUNC ntdll.dll    RtlTimeToTimeFields
13  0x004371b4 NONE FUNC ntdll.dll    _wcslwr
14  0x004371b8 NONE FUNC ntdll.dll    _stricmp
15  0x004371bc NONE FUNC ntdll.dll    memset
16  0x004371c0 NONE FUNC ntdll.dll    _aullshr
17  0x004371c4 NONE FUNC ntdll.dll    NtWaitForSingleObject
18  0x004371c8 NONE FUNC ntdll.dll    strstr
19  0x004371cc NONE FUNC ntdll.dll    _vsnprintf
20  0x004371d0 NONE FUNC ntdll.dll    _alldiv
21  0x004371d4 NONE FUNC ntdll.dll    _allmul
22  0x004371d8 NONE FUNC ntdll.dll    _allshl
23  0x004371dc NONE FUNC ntdll.dll    memcpy
1   0x0043701c NONE FUNC KERNEL32.dll ExitProcess
2   0x00437020 NONE FUNC KERNEL32.dll WaitForSingleObject
3   0x00437024 NONE FUNC KERNEL32.dll GetLogicalDriveStringsW
4   0x00437028 NONE FUNC KERNEL32.dll SetEndOfFile
5   0x0043702c NONE FUNC KERNEL32.dll MoveFileW
6   0x00437030 NONE FUNC KERNEL32.dll DeleteFileW
7   0x00437034 NONE FUNC KERNEL32.dll QueryPerformanceFrequency
8   0x00437038 NONE FUNC KERNEL32.dll HeapFree
9   0x0043703c NONE FUNC KERNEL32.dll HeapAlloc
10  0x00437040 NONE FUNC KERNEL32.dll WaitForMultipleObjects
11  0x00437044 NONE FUNC KERNEL32.dll GetLocalTime
12  0x00437048 NONE FUNC KERNEL32.dll GetComputerNameW
13  0x0043704c NONE FUNC KERNEL32.dll GetSystemTime
14  0x00437050 NONE FUNC KERNEL32.dll AttachConsole
15  0x00437054 NONE FUNC KERNEL32.dll AllocConsole
16  0x00437058 NONE FUNC KERNEL32.dll Wow64DisableWow64FsRedirection
17  0x0043705c NONE FUNC KERNEL32.dll GlobalMemoryStatus
18  0x00437060 NONE FUNC KERNEL32.dll LocalAlloc
19  0x00437064 NONE FUNC KERNEL32.dll GetProcessHeap
20  0x00437068 NONE FUNC KERNEL32.dll GetProcessTimes
21  0x0043706c NONE FUNC KERNEL32.dll GetProcessWorkingSetSize
22  0x00437070 NONE FUNC KERNEL32.dll GetCurrentProcess
23  0x00437074 NONE FUNC KERNEL32.dll GetCurrentProcessId
24  0x00437078 NONE FUNC KERNEL32.dll GetCurrentThread
25  0x0043707c NONE FUNC KERNEL32.dll GetCurrentThreadId
26  0x00437080 NONE FUNC KERNEL32.dll GetThreadTimes
27  0x00437084 NONE FUNC KERNEL32.dll GetLastError
28  0x00437088 NONE FUNC KERNEL32.dll SetLastError
29  0x0043708c NONE FUNC KERNEL32.dll InitializeCriticalSection
30  0x00437090 NONE FUNC KERNEL32.dll EnterCriticalSection
31  0x00437094 NONE FUNC KERNEL32.dll LeaveCriticalSection
32  0x00437098 NONE FUNC KERNEL32.dll GetTickCount
33  0x0043709c NONE FUNC KERNEL32.dll GetStartupInfoW
34  0x004370a0 NONE FUNC KERNEL32.dll QueryPerformanceCounter
35  0x004370a4 NONE FUNC KERNEL32.dll LocalFree
36  0x004370a8 NONE FUNC KERNEL32.dll GetStdHandle
37  0x004370ac NONE FUNC KERNEL32.dll WriteFile
38  0x004370b0 NONE FUNC KERNEL32.dll FlushFileBuffers
39  0x004370b4 NONE FUNC KERNEL32.dll lstrlenA
40  0x004370b8 NONE FUNC KERNEL32.dll OutputDebugStringA
41  0x004370bc NONE FUNC KERNEL32.dll CreateThread
42  0x004370c0 NONE FUNC KERNEL32.dll ExitThread
43  0x004370c4 NONE FUNC KERNEL32.dll DeleteCriticalSection
44  0x004370c8 NONE FUNC KERNEL32.dll Sleep
45  0x004370cc NONE FUNC KERNEL32.dll CloseHandle
46  0x004370d0 NONE FUNC KERNEL32.dll lstrcpyW
47  0x004370d4 NONE FUNC KERNEL32.dll lstrcatW
48  0x004370d8 NONE FUNC KERNEL32.dll TlsAlloc
