[Strings]
nth  paddr      vaddr      len  size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44   45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x0000008f 0x0000008f 5    6            ascii   2.Q\v3
2    0x00000097 0x00000097 5    6            ascii   2w7^2
3    0x0000009f 0x0000009f 5    6            ascii   2w7\2
4    0x000000a7 0x000000a7 5    6            ascii   2w7\f2
5    0x000000bf 0x000000bf 5    6            ascii   2.Q\a3
6    0x000000ef 0x000000ef 5    6            ascii   2Rich
7    0x00000200 0x00000200 5    6            ascii   .text
8    0x00000227 0x00000227 7    8            ascii   `.rdata
9    0x0000024f 0x0000024f 6    7            ascii   @.data
10   0x00000278 0x00000278 6    7            ascii   .reloc
11   0x0000042b 0x0040102b 4    5    .text   ascii   oA f
12   0x00000435 0x00401035 4    5    .text   ascii   oA0f
13   0x0000043f 0x0040103f 4    5    .text   ascii   oA@f
14   0x00000449 0x00401049 4    5    .text   ascii   oAPf
15   0x00000453 0x00401053 4    5    .text   ascii   oA`f
16   0x0000045d 0x0040105d 4    5    .text   ascii   oApf
17   0x00000540 0x00401140 4    5    .text   ascii   oA f
18   0x00000568 0x00401168 4    5    .text   ascii   oA0f
19   0x00000590 0x00401190 4    5    .text   ascii   oA@f
20   0x000005b8 0x004011b8 4    5    .text   ascii   oAPf
21   0x000005e0 0x004011e0 4    5    .text   ascii   oA`f
22   0x00000608 0x00401208 4    5    .text   ascii   oApf
23   0x000007c9 0x004013c9 4    5    .text   ascii   oA f
24   0x000007e2 0x004013e2 4    5    .text   ascii   oA0f
25   0x000007fb 0x004013fb 4    5    .text   ascii   oA@f
26   0x00000814 0x00401414 4    5    .text   ascii   oAPf
27   0x0000082d 0x0040142d 4    5    .text   ascii   oA`f
28   0x00000846 0x00401446 4    5    .text   ascii   oApf
29   0x00000957 0x00401557 4    5    .text   ascii   oA f
30   0x00000961 0x00401561 4    5    .text   ascii   oA0f
31   0x0000096b 0x0040156b 4    5    .text   ascii   oA@f
32   0x00000975 0x00401575 4    5    .text   ascii   oAPf
33   0x0000097f 0x0040157f 4    5    .text   ascii   oA`f
34   0x00000989 0x00401589 4    5    .text   ascii   oApf
35   0x00000a6c 0x0040166c 4    5    .text   ascii   oA f
36   0x00000a94 0x00401694 4    5    .text   ascii   oA0f
37   0x00000abc 0x004016bc 4    5    .text   ascii   oA@f
38   0x00000ae4 0x004016e4 4    5    .text   ascii   oAPf
39   0x00000b0c 0x0040170c 4    5    .text   ascii   oA`f
40   0x00000b34 0x00401734 4    5    .text   ascii   oApf
41   0x00000cf5 0x004018f5 4    5    .text   ascii   oA f
42   0x00000d0e 0x0040190e 4    5    .text   ascii   oA0f
43   0x00000d27 0x00401927 4    5    .text   ascii   oA@f
44   0x00000d40 0x00401940 4    5    .text   ascii   oAPf
45   0x00000d59 0x00401959 4    5    .text   ascii   oA`f
46   0x00000d72 0x00401972 4    5    .text   ascii   oApf
47   0x00000e64 0x00401a64 9    10   .text   ascii   VC20XC00U
48   0x00000e71 0x00401a71 5    6    .text   ascii   \bSVWU
49   0x00000eba 0x00401aba 4    5    .text   ascii   tYVU
50   0x00000ed4 0x00401ad4 4    5    .text   ascii   t?xH
51   0x00000f4a 0x00401b4a 4    5    .text   ascii   ]_^[
52   0x00000f73 0x00401b73 5    6    .text   ascii   SVWUj
53   0x00000f88 0x00401b88 4    5    .text   ascii   ]_^[
54   0x00000f8e 0x00401b8e 4    6    .text   utf8    ]ËL$ blocks=Basic Latin,Latin-1 Supplement
55   0x00000fff 0x00401bff 6    7    .text   ascii   ;t$(v(
56   0x00001051 0x00401c51 6    7    .text   ascii   R\f9Q\bu
57   0x00001078 0x00401c78 10   11   .text   ascii   k\fUQPXY]Y[
58   0x000010d9 0x00401cd9 8    9    .text   ascii   r\f;]\bs\a3
59   0x000010f8 0x00401cf8 4    6    .text   utf8    3҉U\b blocks=Basic Latin,Cyrillic
60   0x00001148 0x00401d48 4    5    .text   ascii   t+@;
61   0x00001150 0x00401d50 4    5    .text   ascii   E\bPj
62   0x000011d2 0x00401dd2 5    7    .text   utf8    9B;Љ1 blocks=Basic Latin,Cyrillic
63   0x00001214 0x00401e14 4    6    .text   utf8    A8PE
64   0x0000127f 0x00401e7f 5    6    .text   ascii   90t\bJ
65   0x000012a6 0x00401ea6 5    7    .text   utf8    8B;Ӊ0 blocks=Basic Latin,Cyrillic
66   0x000012ee 0x00401eee 4    5    .text   ascii   SVW3
67   0x00001412 0x00402012 4    6    .text   utf8    \b3ȉ\f blocks=Basic Latin,Latin Extended-B
68   0x000015bb 0x004021bb 4    5    .text   ascii   @t\v^
69   0x000015c7 0x004021c7 4    6    .text   utf8    ]Ë]\b blocks=Basic Latin,Latin-1 Supplement
70   0x00001616 0x00402216 4    5    .text   ascii   C\bW3
71   0x000016c7 0x004022c7 5    7    .text   utf8    3ًH\f3 blocks=Basic Latin,Arabic
72   0x000016dc 0x004022dc 6    8    .text   utf8    X 3ΉP$ blocks=Basic Latin,Greek and Coptic
73   0x00001743 0x00402343 8    11   .text   utf8    3߉x43ˉX8 blocks=Basic Latin,NKo,Spacing Modifier Letters
74   0x000017b1 0x004023b1 5    7    .text   utf8    H@3ʋU blocks=Basic Latin,IPA Extensions
75   0x000017ec 0x004023ec 4    6    .text   utf8    \b3ыM blocks=Basic Latin,Cyrillic
76   0x0000182d 0x0040242d 4    5    .text   ascii   xX3U
77   0x00001890 0x00402490 4    5    .text   ascii   Hd3M
78   0x000018fb 0x004024fb 5    7    .text   utf8    މpx3] blocks=Thaana,Basic Latin
79   0x000019d1 0x004025d1 5    11   .text   utf8    3ʋщM鈔 blocks=Basic Latin,IPA Extensions,Cyrillic,CJK Unified Ideographs
80   0x000019e8 0x004025e8 4    9    .text   utf8    3ˉM􉈜 blocks=Basic Latin,Spacing Modifier Letters,Supplementary Private Use Area-B
81   0x00001ace 0x004026ce 4    7    .text   utf8    3ʋщM blocks=Basic Latin,IPA Extensions,Cyrillic
