[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x1002b010 NONE FUNC KERNEL32.dll CloseHandle
2   0x1002b014 NONE FUNC KERNEL32.dll GetModuleHandleW
3   0x1002b018 NONE FUNC KERNEL32.dll WideCharToMultiByte
4   0x1002b01c NONE FUNC KERNEL32.dll ReadFile
5   0x1002b020 NONE FUNC KERNEL32.dll VirtualFree
6   0x1002b024 NONE FUNC KERNEL32.dll GetProcAddress
7   0x1002b028 NONE FUNC KERNEL32.dll CreateFileW
8   0x1002b02c NONE FUNC KERNEL32.dll HeapSize
9   0x1002b030 NONE FUNC KERNEL32.dll WriteConsoleW
10  0x1002b034 NONE FUNC KERNEL32.dll SetStdHandle
11  0x1002b038 NONE FUNC KERNEL32.dll GetProcessHeap
12  0x1002b03c NONE FUNC KERNEL32.dll FreeEnvironmentStringsW
13  0x1002b040 NONE FUNC KERNEL32.dll GetEnvironmentStringsW
14  0x1002b044 NONE FUNC KERNEL32.dll GetCommandLineW
15  0x1002b048 NONE FUNC KERNEL32.dll GetLastError
16  0x1002b04c NONE FUNC KERNEL32.dll GetModuleHandleExA
17  0x1002b050 NONE FUNC KERNEL32.dll MultiByteToWideChar
18  0x1002b054 NONE FUNC KERNEL32.dll WriteFile
19  0x1002b058 NONE FUNC KERNEL32.dll VirtualProtectEx
20  0x1002b05c NONE FUNC KERNEL32.dll GetModuleHandleA
21  0x1002b060 NONE FUNC KERNEL32.dll GetCurrentProcess
22  0x1002b064 NONE FUNC KERNEL32.dll GetCommandLineA
23  0x1002b068 NONE FUNC KERNEL32.dll GetOEMCP
24  0x1002b06c NONE FUNC KERNEL32.dll IsValidCodePage
25  0x1002b070 NONE FUNC KERNEL32.dll IsBadReadPtr
26  0x1002b074 NONE FUNC KERNEL32.dll SetLastError
27  0x1002b078 NONE FUNC KERNEL32.dll EnterCriticalSection
28  0x1002b07c NONE FUNC KERNEL32.dll LeaveCriticalSection
