[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x00000200 0x00000200 5   6            ascii   .text
2    0x00000227 0x00000227 7   8            ascii   `.rdata
3    0x0000024f 0x0000024f 6   7            ascii   @.data
4    0x00000278 0x00000278 5   6            ascii   .upx1
5    0x0000029f 0x0000029f 6   7            ascii   `.rsrc
6    0x000002c7 0x000002c7 7   8            ascii   @.reloc
7    0x000005c9 0x100011c9 7   8    .text   ascii   <333333
8    0x0000093a 0x1000153a 5   6    .text   ascii   H/t=>
9    0x00000bbf 0x100017bf 4   5    .text   ascii   |\e\a|
10   0x00000c0f 0x1000180f 5   6    .text   ascii   TTTTr
11   0x00000ccf 0x100018cf 4   5    .text   ascii   TTTr
12   0x00000d11 0x10001911 4   5    .text   ascii   \fZt5
13   0x00000d2b 0x1000192b 4   5    .text   ascii   \fZt5
14   0x00000d45 0x10001945 4   5    .text   ascii   \fZt5
15   0x00000d5f 0x1000195f 4   5    .text   ascii   \fZt5
16   0x00000d75 0x10001975 4   5    .text   ascii   \fZt5
17   0x00000da9 0x100019a9 4   5    .text   ascii   \fZt5
18   0x00000dc0 0x100019c0 4   5    .text   ascii   \fZt5
19   0x00001032 0x10001c32 4   5    .text   ascii   3GYX
20   0x00001278 0x10001e78 4   7    .text   utf8    ﮮt0t blocks=Arabic Presentation Forms-A,Basic Latin
21   0x00001323 0x10001f23 5   6    .text   ascii   P6t><
22   0x000014c4 0x100020c4 5   6    .text   ascii   WZZZZ
23   0x00001607 0x10002207 4   5    .text   ascii   |\e\at
24   0x00001655 0x10002255 4   7    .text   utf8    ﹛"'\r blocks=Small Form Variants,Basic Latin
25   0x000016da 0x100022da 4   5    .text   ascii   j?|;
26   0x000017a1 0x100023a1 4   7    .text   utf8    ﹛"'\r blocks=Small Form Variants,Basic Latin
27   0x00001b3e 0x1000273e 4   6    .text   utf8    (|;ߩ blocks=Basic Latin,NKo
28   0x00001c07 0x10002807 4   6    .text   utf8    (|;ߩ blocks=Basic Latin,NKo
29   0x00001e43 0x10002a43 5   6    .text   ascii   6<G/V
30   0x00002104 0x10002d04 4   5    .text   ascii   t><t
31   0x0000257d 0x1000317d 4   7    .text   utf8    \bөt0 blocks=Basic Latin,Cyrillic
32   0x0000262e 0x1000322e 5   6    .text   ascii   t\rt:.
33   0x000027c0 0x100033c0 4   5    .text   ascii   ?t%v
34   0x00002986 0x10003586 6   7    .text   ascii   ZZZZ|>
35   0x00002dcb 0x100039cb 5   6    .text   ascii   t8t1.
36   0x00002dff 0x100039ff 5   6    .text   ascii   t8t1.
37   0x00002ef7 0x10003af7 4   5    .text   ascii   |\e\a|
38   0x00002fe2 0x10003be2 4   5    .text   ascii   4`\t;
39   0x00003037 0x10003c37 4   5    .text   ascii   ,`\t;
40   0x00003120 0x10003d20 4   5    .text   ascii   t7z6
41   0x000031e1 0x10003de1 4   5    .text   ascii   t7t/
42   0x0000344b 0x1000404b 5   7    .text   utf8    t4tɩr blocks=Basic Latin,IPA Extensions
43   0x00003741 0x10004341 5   6    .text   ascii   6<G&U
44   0x000037d0 0x100043d0 4   6    .text   utf8    uܼ{\e blocks=Basic Latin,Syriac
45   0x000037f0 0x100043f0 4   6    .text   utf8    uܼ{\e blocks=Basic Latin,Syriac
46   0x000038a8 0x100044a8 4   5    .text   ascii   t/t1
47   0x000038d7 0x100044d7 4   7    .text   utf8    㬩t%t blocks=CJK Unified Ideographs Extension A,Basic Latin
48   0x00003ab8 0x100046b8 4   5    .text   ascii   t\rt&
49   0x00003ba8 0x100047a8 4   6    .text   utf8    ˮt/r blocks=Spacing Modifier Letters,Basic Latin
50   0x0000461d 0x1000521d 4   5    .text   ascii   <GcS
51   0x00004811 0x10005411 4   5    .text   ascii   t8t*
52   0x00004822 0x10005422 4   5    .text   ascii   |\e\a|
53   0x000049d0 0x100055d0 7   9    .text   utf8    A/Ӿt5|6 blocks=Basic Latin,Cyrillic
54   0x00004b95 0x10005795 7   9    .text   utf8    A/Ӿt5|6 blocks=Basic Latin,Cyrillic
55   0x00004d6e 0x1000596e 7   9    .text   utf8    A/Ӿt5|6 blocks=Basic Latin,Cyrillic
56   0x00004eec 0x10005aec 7   9    .text   utf8    A/Ӿt5|6 blocks=Basic Latin,Cyrillic
57   0x00005075 0x10005c75 7   9    .text   utf8    A/Ӿt5|6 blocks=Basic Latin,Cyrillic
58   0x00005152 0x10005d52 7   9    .text   utf8    A/Ӿt5|6 blocks=Basic Latin,Cyrillic
59   0x000051dd 0x10005ddd 4   5    .text   ascii   |\e\a|
60   0x00005230 0x10005e30 4   5    .text   ascii   t7|;
