[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x00000200 0x00000200 5   6            ascii   .text
2    0x00000227 0x00000227 7   8            ascii   `.rdata
3    0x0000024f 0x0000024f 6   7            ascii   @.data
4    0x00000278 0x00000278 5   6            ascii   .rsrc
5    0x0000029f 0x0000029f 7   8            ascii   @.reloc
6    0x00000486 0x10001086 5   7    .text   utf8    Yù \e\b blocks=Basic Latin,Latin-1 Supplement
7    0x000004f3 0x100010f3 4   6    .text   utf8    Y_^ù blocks=Basic Latin,Latin-1 Supplement
8    0x00000584 0x10001184 4   6    .text   utf8    Y_^ù blocks=Basic Latin,Latin-1 Supplement
9    0x000005e3 0x100011e3 4   5    .text   ascii   E\f;E
10   0x000005e8 0x100011e8 4   5    .text   ascii   u\tQQ
11   0x00000604 0x10001204 5   6    .text   ascii   @\fSUV
12   0x00000623 0x10001223 4   5    .text   ascii   L$$;
13   0x000006b3 0x100012b3 5   6    .text   ascii   0QQQh
14   0x0000074e 0x1000134e 6   8    .text   utf8    &ًt$$t blocks=Basic Latin,Arabic
15   0x00000782 0x10001382 4   5    .text   ascii   _^]3
16   0x0000079a 0x1000139a 4   5    .text   ascii   DSVW
17   0x00000911 0x10001511 5   7    .text   utf8    ]ËL$\f blocks=Basic Latin,Latin-1 Supplement
18   0x00000929 0x10001529 4   5    .text   ascii   |$\b\v
19   0x0000093c 0x1000153c 4   6    .text   utf8    ËD$\b blocks=Latin-1 Supplement,Basic Latin
20   0x00000a1a 0x1000161a 4   6    .text   utf8    3ɉ{8 blocks=Basic Latin,Latin Extended-B
21   0x00000a20 0x10001620 5   6    .text   ascii   s<j f
22   0x00000a4b 0x1000164b 4   6    .text   utf8    E܋I\f blocks=Basic Latin,Syriac
23   0x00000b42 0x10001742 4   6    .text   utf8    M܍\f2 blocks=Basic Latin,Syriac
24   0x00000c07 0x10001807 4   6    .text   utf8    Mԍ\f2 blocks=Basic Latin,Cyrillic Supplement
25   0x00000c74 0x10001874 4   8    .text   utf8    낋E܋] blocks=Hangul Syllables,Basic Latin,Syriac
26   0x00000ca2 0x100018a2 4   5    .text   ascii   _^[d
27   0x00000cc0 0x100018c0 4   5    .text   ascii   D$4d
28   0x00000ccb 0x100018cb 4   5    .text   ascii   D$$0
29   0x00000cd3 0x100018d3 4   5    .text   ascii   D$(\v
30   0x00000cdb 0x100018db 4   5    .text   ascii   @\fUV
31   0x00000cfd 0x100018fd 4   5    .text   ascii   L$$;
32   0x00000d76 0x10001976 4   5    .text   ascii   T$$h
33   0x00000d98 0x10001998 5   7    .text   utf8    ЉD$Ld blocks=Cyrillic,Basic Latin
34   0x00000e24 0x10001a24 7   9    .text   utf8    wËt$$t\v blocks=Basic Latin,Latin-1 Supplement
