[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000cf 0x000000cf 4   6            utf8    \r+ń\r blocks=Basic Latin,Latin Extended-A
2    0x00000117 0x00000117 5   6            ascii   \rRich
3    0x00000230 0x00000230 5   6            ascii   .text
4    0x00000257 0x00000257 7   8            ascii   `.rdata
5    0x0000027f 0x0000027f 6   7            ascii   @.data
6    0x000002a8 0x000002a8 4   5            ascii   poly
7    0x000002d0 0x000002d0 5   6            ascii   .rsrc
8    0x000002f7 0x000002f7 7   8            ascii   @.reloc
9    0x00000437 0x10001037 4   5    .text   ascii   U\fRh
10   0x0000044f 0x1000104f 4   5    .text   ascii   \bVRP
11   0x00000485 0x10001085 4   5    .text   ascii   U\bQR
12   0x00000591 0x10001191 4   5    .text   ascii   ;\r P
13   0x000006e1 0x100012e1 5   6    .text   ascii   s\b30W
14   0x000007af 0x100013af 4   5    .text   ascii   8csm
15   0x000007ed 0x100013ed 4   5    .text   ascii   9X\ft
16   0x000007f3 0x100013f3 4   5    .text   ascii   U\bRW
17   0x00000845 0x10001445 4   5    .text   ascii   M\bQW
18   0x0000086f 0x1000146f 6   7    .text   ascii   URPQQh
19   0x00000885 0x10001485 6   8    .text   utf8    3ĉD$\bd blocks=Basic Latin,Latin Extended-A
20   0x0000089a 0x1000149a 4   5    .text   ascii   L$,3
21   0x000008ec 0x100014ec 6   8    .text   utf8    _^[ËL$ blocks=Basic Latin,Latin-1 Supplement
22   0x00000952 0x10001552 4   5    .text   ascii   UVWS
23   0x00000964 0x10001564 5   7    .text   utf8    [_^]Ë blocks=Basic Latin,Latin-1 Supplement
24   0x00000985 0x10001585 4   5    .text   ascii   SVWj
25   0x00000996 0x10001596 4   5    .text   ascii   _^[]
26   0x0000099d 0x1000159d 5   6    .text   ascii   l$\bRQ
27   0x000009d4 0x100015d4 4   6    .text   utf8    ]ËA< blocks=Basic Latin,Latin-1 Supplement
28   0x000009da 0x100015da 4   6    .text   utf8    A8PE
29   0x00000a3f 0x1000163f 4   5    .text   ascii   _^[]
30   0x00000a6a 0x1000166a 4   5    .text   ascii   \bSVW
31   0x00000ad3 0x100016d3 4   5    .text   ascii   Y_^[
32   0x00000adf 0x100016df 4   6    .text   utf8    \b3ҁ9 blocks=Basic Latin,Cyrillic
33   0x00000b04 0x10001704 4   5    .text   ascii   Y_^[
34   0x00000b13 0x10001713 5   6    .text   ascii   SVWUj
35   0x00000b28 0x10001728 4   5    .text   ascii   ]_^[
36   0x00000b2e 0x1000172e 4   6    .text   utf8    ]ËL$ blocks=Basic Latin,Latin-1 Supplement
37   0x00000bb4 0x100017b4 6   7    .text   ascii   ;t$,v-
38   0x00000c0f 0x1000180f 6   7    .text   ascii   R\f9Q\bu
39   0x00000c37 0x10001837 10  11   .text   ascii   k\fUQPXY]Y[
