[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x1000a078 NONE FUNC KERNEL32.dll GetModuleFileNameA
2   0x1000a07c NONE FUNC KERNEL32.dll GetComputerNameA
3   0x1000a080 NONE FUNC KERNEL32.dll PeekNamedPipe
4   0x1000a084 NONE FUNC KERNEL32.dll FreeLibrary
5   0x1000a088 NONE FUNC KERNEL32.dll WaitForSingleObject
6   0x1000a08c NONE FUNC KERNEL32.dll SetEvent
7   0x1000a090 NONE FUNC KERNEL32.dll GetTickCount
8   0x1000a094 NONE FUNC KERNEL32.dll GetWindowsDirectoryA
9   0x1000a098 NONE FUNC KERNEL32.dll InitializeCriticalSection
10  0x1000a09c NONE FUNC KERNEL32.dll TerminateThread
11  0x1000a0a0 NONE FUNC KERNEL32.dll CopyFileW
12  0x1000a0a4 NONE FUNC KERNEL32.dll CreateEventA
13  0x1000a0a8 NONE FUNC KERNEL32.dll TerminateProcess
14  0x1000a0ac NONE FUNC KERNEL32.dll ExitThread
15  0x1000a0b0 NONE FUNC KERNEL32.dll GetProcessVersion
16  0x1000a0b4 NONE FUNC KERNEL32.dll OpenEventA
17  0x1000a0b8 NONE FUNC KERNEL32.dll CreatePipe
18  0x1000a0bc NONE FUNC KERNEL32.dll CreateThread
19  0x1000a0c0 NONE FUNC KERNEL32.dll ExpandEnvironmentStringsW
20  0x1000a0c4 NONE FUNC KERNEL32.dll ExitProcess
21  0x1000a0c8 NONE FUNC KERNEL32.dll MoveFileExA
22  0x1000a0cc NONE FUNC KERNEL32.dll SystemTimeToFileTime
23  0x1000a0d0 NONE FUNC KERNEL32.dll MoveFileExW
24  0x1000a0d4 NONE FUNC KERNEL32.dll SetFileTime
25  0x1000a0d8 NONE FUNC KERNEL32.dll GetSystemDirectoryA
26  0x1000a0dc NONE FUNC KERNEL32.dll CopyFileA
27  0x1000a0e0 NONE FUNC KERNEL32.dll GetModuleFileNameW
28  0x1000a0e4 NONE FUNC KERNEL32.dll DisableThreadLibraryCalls
29  0x1000a0e8 NONE FUNC KERNEL32.dll RtlUnwind
30  0x1000a0ec NONE FUNC KERNEL32.dll IsDebuggerPresent
31  0x1000a0f0 NONE FUNC KERNEL32.dll SetUnhandledExceptionFilter
32  0x1000a0f4 NONE FUNC KERNEL32.dll DeleteFileW
33  0x1000a0f8 NONE FUNC KERNEL32.dll GetSystemInfo
34  0x1000a0fc NONE FUNC KERNEL32.dll GlobalFree
35  0x1000a100 NONE FUNC KERNEL32.dll CreateProcessA
36  0x1000a104 NONE FUNC KERNEL32.dll WideCharToMultiByte
37  0x1000a108 NONE FUNC KERNEL32.dll GetSystemDirectoryW
38  0x1000a10c NONE FUNC KERNEL32.dll GetModuleHandleA
39  0x1000a110 NONE FUNC KERNEL32.dll LoadLibraryA
40  0x1000a114 NONE FUNC KERNEL32.dll GetProcAddress
41  0x1000a118 NONE FUNC KERNEL32.dll MultiByteToWideChar
42  0x1000a11c NONE FUNC KERNEL32.dll DuplicateHandle
43  0x1000a120 NONE FUNC KERNEL32.dll Sleep
44  0x1000a124 NONE FUNC KERNEL32.dll GetSystemTime
45  0x1000a128 NONE FUNC KERNEL32.dll GetVersionExA
46  0x1000a12c NONE FUNC KERNEL32.dll CreateMutexA
47  0x1000a130 NONE FUNC KERNEL32.dll SetLastError
48  0x1000a134 NONE FUNC KERNEL32.dll CreateDirectoryA
49  0x1000a138 NONE FUNC KERNEL32.dll FormatMessageW
50  0x1000a13c NONE FUNC KERNEL32.dll OpenProcess
51  0x1000a140 NONE FUNC KERNEL32.dll ExpandEnvironmentStringsA
52  0x1000a144 NONE FUNC KERNEL32.dll GetCurrentProcess
53  0x1000a148 NONE FUNC KERNEL32.dll SetErrorMode
54  0x1000a14c NONE FUNC KERNEL32.dll CreateFileA
55  0x1000a150 NONE FUNC KERNEL32.dll GetCommandLineW
56  0x1000a154 NONE FUNC KERNEL32.dll LocalFree
57  0x1000a158 NONE FUNC KERNEL32.dll CloseHandle
58  0x1000a15c NONE FUNC KERNEL32.dll FindNextFileW
59  0x1000a160 NONE FUNC KERNEL32.dll FindClose
60  0x1000a164 NONE FUNC KERNEL32.dll EnterCriticalSection
61  0x1000a168 NONE FUNC KERNEL32.dll GetLastError
62  0x1000a16c NONE FUNC KERNEL32.dll CreateFileW
63  0x1000a170 NONE FUNC KERNEL32.dll ReadFile
64  0x1000a174 NONE FUNC KERNEL32.dll LeaveCriticalSection
65  0x1000a178 NONE FUNC KERNEL32.dll GetDriveTypeA
66  0x1000a17c NONE FUNC KERNEL32.dll WriteFile
67  0x1000a180 NONE FUNC KERNEL32.dll GetFileSize
68  0x1000a184 NONE FUNC KERNEL32.dll CreateProcessW
69  0x1000a188 NONE FUNC KERNEL32.dll SetFilePointer
70  0x1000a18c NONE FUNC KERNEL32.dll UnhandledExceptionFilter
71  0x1000a190 NONE FUNC KERNEL32.dll FindFirstFileW
72  0x1000a194 NONE FUNC KERNEL32.dll DeleteCriticalSection
1   0x1000a1c0 NONE FUNC USER32.dll   GetMessageA
2   0x1000a1c4 NONE FUNC USER32.dll   GetSystemMetrics
1   0x1000a000 NONE FUNC ADVAPI32.dll RegOpenKeyExW
2   0x1000a004 NONE FUNC ADVAPI32.dll GetTokenInformation
3   0x1000a008 NONE FUNC ADVAPI32.dll RegOpenKeyA
4   0x1000a00c NONE FUNC ADVAPI32.dll RegSetValueExW
5   0x1000a010 NONE FUNC ADVAPI32.dll GetUserNameA
6   0x1000a014 NONE FUNC ADVAPI32.dll RevertToSelf
7   0x1000a018 NONE FUNC ADVAPI32.dll RegDeleteValueA
8   0x1000a01c NONE FUNC ADVAPI32.dll ImpersonateLoggedOnUser
9   0x1000a020 NONE FUNC ADVAPI32.dll DuplicateTokenEx
10  0x1000a024 NONE FUNC ADVAPI32.dll RegCreateKeyA
11  0x1000a028 NONE FUNC ADVAPI32.dll RegOpenKeyW
12  0x1000a02c NONE FUNC ADVAPI32.dll RegCreateKeyExW
13  0x1000a030 NONE FUNC ADVAPI32.dll RegSetValueExA
14  0x1000a034 NONE FUNC ADVAPI32.dll RegCreateKeyW
15  0x1000a038 NONE FUNC ADVAPI32.dll RegCloseKey
16  0x1000a03c NONE FUNC ADVAPI32.dll CredEnumerateW
17  0x1000a040 NONE FUNC ADVAPI32.dll RegOpenKeyExA
18  0x1000a044 NONE FUNC ADVAPI32.dll RegEnumKeyExA
19  0x1000a048 NONE FUNC ADVAPI32.dll CredFree
20  0x1000a04c NONE FUNC ADVAPI32.dll RegQueryValueExW
21  0x1000a050 NONE FUNC ADVAPI32.dll RegQueryValueExA
22  0x1000a054 NONE FUNC ADVAPI32.dll AdjustTokenPrivileges
23  0x1000a058 NONE FUNC ADVAPI32.dll LookupPrivilegeValueA
24  0x1000a05c NONE FUNC ADVAPI32.dll SetSecurityDescriptorDacl
25  0x1000a060 NONE FUNC ADVAPI32.dll InitializeSecurityDescriptor
26  0x1000a064 NONE FUNC ADVAPI32.dll LookupAccountSidA
27  0x1000a068 NONE FUNC ADVAPI32.dll OpenProcessToken
1   0x1000a1ac NONE FUNC SHELL32.dll  SHFileOperationW
1   0x1000a310 NONE FUNC ntdll.dll    ZwQuerySystemInformation
10  0x1000a1e0 NONE FUNC WS2_32.dll   ioctlsocket
5   0x1000a1e4 NONE FUNC WS2_32.dll   getpeername
115 0x1000a1e8 NONE FUNC WS2_32.dll   WSAStartup
4   0x1000a1ec NONE FUNC WS2_32.dll   connect
22  0x1000a1f0 NONE FUNC WS2_32.dll   shutdown
18  0x1000a1f4 NONE FUNC WS2_32.dll   select
16  0x1000a1f8 NONE FUNC WS2_32.dll   recv
2   0x1000a1fc NONE FUNC WS2_32.dll   bind
6   0x1000a200 NONE FUNC WS2_32.dll   getsockname
8   0x1000a204 NONE FUNC WS2_32.dll   htonl
23  0x1000a208 NONE FUNC WS2_32.dll   socket
3   0x1000a20c NONE FUNC WS2_32.dll   closesocket
19  0x1000a210 NONE FUNC WS2_32.dll   send
13  0x1000a214 NONE FUNC WS2_32.dll   listen
111 0x1000a218 NONE FUNC WS2_32.dll   WSAGetLastError
21  0x1000a21c NONE FUNC WS2_32.dll   setsockopt
9   0x1000a220 NONE FUNC WS2_32.dll   htons
11  0x1000a224 NONE FUNC WS2_32.dll   inet_addr
12  0x1000a228 NONE FUNC WS2_32.dll   inet_ntoa
52  0x1000a22c NONE FUNC WS2_32.dll   gethostbyname
1   0x1000a230 NONE FUNC WS2_32.dll   accept
1   0x1000a1b4 NONE FUNC SHLWAPI.dll  SHDeleteKeyA
2   0x1000a1b8 NONE FUNC SHLWAPI.dll  SHDeleteKeyW
1   0x1000a1a4 NONE FUNC PSAPI.DLL    GetModuleFileNameExA
