[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x10011120 NONE FUNC KERNEL32.dll TerminateThread
2   0x10011124 NONE FUNC KERNEL32.dll CreateEventA
3   0x10011128 NONE FUNC KERNEL32.dll OpenEventA
4   0x1001112c NONE FUNC KERNEL32.dll ExitProcess
5   0x10011130 NONE FUNC KERNEL32.dll MoveFileExA
6   0x10011134 NONE FUNC KERNEL32.dll MoveFileExW
7   0x10011138 NONE FUNC KERNEL32.dll GetSystemDirectoryA
8   0x1001113c NONE FUNC KERNEL32.dll CopyFileA
9   0x10011140 NONE FUNC KERNEL32.dll GetModuleFileNameW
10  0x10011144 NONE FUNC KERNEL32.dll SetEvent
11  0x10011148 NONE FUNC KERNEL32.dll GetDriveTypeW
12  0x1001114c NONE FUNC KERNEL32.dll SetFileAttributesW
13  0x10011150 NONE FUNC KERNEL32.dll GetWindowsDirectoryW
14  0x10011154 NONE FUNC KERNEL32.dll RtlUnwind
15  0x10011158 NONE FUNC KERNEL32.dll IsDebuggerPresent
16  0x1001115c NONE FUNC KERNEL32.dll SetUnhandledExceptionFilter
17  0x10011160 NONE FUNC KERNEL32.dll UnhandledExceptionFilter
18  0x10011164 NONE FUNC KERNEL32.dll SetFileTime
19  0x10011168 NONE FUNC KERNEL32.dll SystemTimeToFileTime
20  0x1001116c NONE FUNC KERNEL32.dll GetPrivateProfileIntA
21  0x10011170 NONE FUNC KERNEL32.dll GetSystemTime
22  0x10011174 NONE FUNC KERNEL32.dll GetCurrentThread
23  0x10011178 NONE FUNC KERNEL32.dll GetCurrentThreadId
24  0x1001117c NONE FUNC KERNEL32.dll CreateThread
25  0x10011180 NONE FUNC KERNEL32.dll ExitThread
26  0x10011184 NONE FUNC KERNEL32.dll Sleep
27  0x10011188 NONE FUNC KERNEL32.dll GetTickCount
28  0x1001118c NONE FUNC KERNEL32.dll WaitForSingleObject
29  0x10011190 NONE FUNC KERNEL32.dll GetTempPathW
30  0x10011194 NONE FUNC KERNEL32.dll GetComputerNameA
31  0x10011198 NONE FUNC KERNEL32.dll ExpandEnvironmentStringsW
32  0x1001119c NONE FUNC KERNEL32.dll GetSystemInfo
33  0x100111a0 NONE FUNC KERNEL32.dll GlobalFree
34  0x100111a4 NONE FUNC KERNEL32.dll LoadLibraryExA
35  0x100111a8 NONE FUNC KERNEL32.dll GetPrivateProfileStringA
36  0x100111ac NONE FUNC KERNEL32.dll GetVersionExA
37  0x100111b0 NONE FUNC KERNEL32.dll OutputDebugStringA
38  0x100111b4 NONE FUNC KERNEL32.dll CreateMutexA
39  0x100111b8 NONE FUNC KERNEL32.dll OpenMutexA
40  0x100111bc NONE FUNC KERNEL32.dll SetLastError
41  0x100111c0 NONE FUNC KERNEL32.dll GetFileAttributesA
42  0x100111c4 NONE FUNC KERNEL32.dll FormatMessageW
43  0x100111c8 NONE FUNC KERNEL32.dll FormatMessageA
44  0x100111cc NONE FUNC KERNEL32.dll SetErrorMode
45  0x100111d0 NONE FUNC KERNEL32.dll CreateFileA
46  0x100111d4 NONE FUNC KERNEL32.dll GetDiskFreeSpaceExA
47  0x100111d8 NONE FUNC KERNEL32.dll GetFileTime
48  0x100111dc NONE FUNC KERNEL32.dll GetFileSizeEx
49  0x100111e0 NONE FUNC KERNEL32.dll CreateFileW
