[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000ad 0x000000ad 4   5            ascii   \et\aH
2    0x000000c1 0x000000c1 7   8            ascii   \eu\a5\et\a
3    0x000000d5 0x000000d5 7   8            ascii   \et\aRich
4    0x00000100 0x00000100 4   5            ascii   '&dT
5    0x000001f0 0x000001f0 5   6            ascii   .text
6    0x00000217 0x00000217 7   8            ascii   `.rdata
7    0x0000023f 0x0000023f 6   7            ascii   @.data
8    0x00000268 0x00000268 5   6            ascii   .rsrc
9    0x0000028f 0x0000028f 7   8            ascii   @.reloc
10   0x000004bd 0x004010bd 4   6    .text   utf8    Qh>A
11   0x000004c4 0x004010c4 7   8    .text   ascii   T$,hLlA
12   0x000004d8 0x004010d8 5   6    .text   ascii   D$8h!
13   0x00000519 0x00401119 4   6    .text   utf8    Rh>A
14   0x00000520 0x00401120 7   8    .text   ascii   D$,hLlA
15   0x0000054b 0x0040114b 5   7    .text   utf8    \rT$0R
16   0x00000579 0x00401179 4   5    .text   ascii   D$\bP
17   0x0000058e 0x0040118e 5   6    .text   ascii   T$\bRj
18   0x000005bf 0x004011bf 4   5    .text   ascii   hTlA
19   0x00000697 0x00401297 5   6    .text   ascii   D$\fPj
20   0x00000766 0x00401366 5   6    .text   ascii   D$4VP
21   0x000007be 0x004013be 4   5    .text   ascii   L$@Q
22   0x00000854 0x00401454 4   5    .text   ascii   L$\rj
23   0x0000089f 0x0040149f 4   5    .text   ascii   L$\bQ
24   0x000008fd 0x004014fd 5   6    .text   ascii   PQUVW
25   0x0000096c 0x0040156c 4   6    .text   utf8    \t3\tG
26   0x00000989 0x00401589 4   5    .text   ascii   Y_^]
27   0x00000a3e 0x0040163e 5   6    .text   ascii   7h@mA
28   0x00000aa7 0x004016a7 5   6    .text   ascii   7hHnA
29   0x00000b09 0x00401709 5   6    .text   ascii   7hPoA
30   0x00000b9e 0x0040179e 4   5    .text   ascii   L$"Q
