[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x0000008d 0x0000008d 5   8            utf8    YŦdEɦ blocks=Basic Latin,Latin Extended-A,IPA Extensions
2    0x00000099 0x00000099 6   9            utf8    E˦\rYŦ) blocks=Basic Latin,Spacing Modifier Letters,Latin Extended-A
3    0x000000a2 0x000000a2 4   7            utf8    ϦUYŦ blocks=Greek and Coptic,Basic Latin,Latin Extended-A
4    0x000000b1 0x000000b1 6   9            utf8    YĦIYŦ) blocks=Basic Latin,Latin Extended-A
5    0x000000c5 0x000000c5 6   8            utf8    YŦRich blocks=Basic Latin,Latin Extended-A
6    0x000001d8 0x000001d8 5   6            ascii   .text
7    0x000001ff 0x000001ff 7   8            ascii   `.rdata
8    0x00000227 0x00000227 6   7            ascii   @.data
9    0x00000250 0x00000250 5   6            ascii   .rsrc
10   0x00001002 0x00401002 5   7    .text   utf8    |$\f3Ʌ blocks=Basic Latin,Latin Extended-B
11   0x00001042 0x00401042 5   7    .text   utf8    |$\f3Ʌ blocks=Basic Latin,Latin Extended-B
12   0x00001077 0x00401077 4   6    .text   utf8    ^[_Ð blocks=Basic Latin,Latin-1 Supplement
13   0x0000109b 0x0040109b 4   5    .text   ascii   D$\bj
14   0x000010e7 0x004010e7 6   8    .text   utf8    ÍL$\fQV blocks=Latin-1 Supplement,Basic Latin
15   0x0000112f 0x0040112f 4   5    .text   ascii   D$\bj
16   0x00001177 0x00401177 6   8    .text   utf8    ÍL$\fQV blocks=Latin-1 Supplement,Basic Latin
17   0x000011e0 0x004011e0 4   5    .text   ascii   L$\fh
18   0x000011f7 0x004011f7 4   5    .text   ascii   T$\fh
19   0x00001232 0x00401232 6   7    .text   ascii   u\a_^]3
20   0x00001239 0x00401239 4   6    .text   utf8    [Ë|$ blocks=Basic Latin,Latin-1 Supplement
21   0x0000128f 0x0040128f 4   5    .text   ascii   L$ P
22   0x000012d6 0x004012d6 6   7    .text   ascii   u\a_^]3
23   0x000012dd 0x004012dd 4   6    .text   utf8    [Ë\$ blocks=Basic Latin,Latin-1 Supplement
24   0x0000130e 0x0040130e 4   5    .text   ascii   L$ P
25   0x00001324 0x00401324 4   6    .text   utf8    |ŋD$ blocks=Basic Latin,Latin Extended-A
26   0x00001347 0x00401347 5   7    .text   utf8    _^][Ã blocks=Basic Latin,Latin-1 Supplement
27   0x0000135e 0x0040135e 4   5    .text   ascii   \b@Ku
28   0x0000137d 0x0040137d 6   8    .text   utf8    3\r|$\f3
29   0x000013a0 0x004013a0 6   7    .text   ascii   D$\bt2W
30   0x000013b6 0x004013b6 7   8    .text   ascii   t$\f~\v_3
31   0x00001442 0x00401442 4   5    .text   ascii   \$\bV
32   0x00001469 0x00401469 5   6    .text   ascii   w7=Y4
33   0x000014e3 0x004014e3 4   5    .text   ascii   D$\bh
34   0x000014ed 0x004014ed 4   6    .text   utf8    ֊D$\b blocks=Armenian,Basic Latin
35   0x00001504 0x00401504 6   7    .text   ascii   <i|\b<p
36   0x0000151e 0x0040151e 7   9    .text   utf8    uڍL$\bQW blocks=Basic Latin,Arabic
37   0x0000152d 0x0040152d 4   5    .text   ascii   T$\bh
38   0x0000153c 0x0040153c 4   6    .text   utf8    ֊D$\b blocks=Armenian,Basic Latin
39   0x00001553 0x00401553 6   7    .text   ascii   <i|\b<p
40   0x0000156d 0x0040156d 7   9    .text   utf8    uڍD$\bPW blocks=Basic Latin,Arabic
41   0x0000157c 0x0040157c 4   5    .text   ascii   L$\bh
42   0x0000158b 0x0040158b 4   6    .text   utf8    ֊D$\b blocks=Armenian,Basic Latin
43   0x000015a2 0x004015a2 6   7    .text   ascii   <i|\b<p
44   0x000015bc 0x004015bc 7   9    .text   utf8    uڍT$\bRW blocks=Basic Latin,Arabic
45   0x000015d0 0x004015d0 4   5    .text   ascii   D$\bh
46   0x000015da 0x004015da 4   6    .text   utf8    ֊D$\b blocks=Armenian,Basic Latin
47   0x000015f1 0x004015f1 6   7    .text   ascii   <i|\b<p
48   0x0000160b 0x0040160b 7   9    .text   utf8    uڍL$\bQW blocks=Basic Latin,Arabic
49   0x0000161a 0x0040161a 4   5    .text   ascii   T$\bh
50   0x00001629 0x00401629 4   6    .text   utf8    ֊D$\b blocks=Armenian,Basic Latin
51   0x00001640 0x00401640 6   7    .text   ascii   <i|\b<p
52   0x0000165a 0x0040165a 7   9    .text   utf8    uڍD$\bPW blocks=Basic Latin,Arabic
53   0x00001669 0x00401669 4   5    .text   ascii   L$\bh
54   0x00001678 0x00401678 4   6    .text   utf8    ֊D$\b blocks=Armenian,Basic Latin
55   0x0000168f 0x0040168f 6   7    .text   ascii   <i|\b<p
56   0x000016a9 0x004016a9 7   9    .text   utf8    uڍT$\bRW blocks=Basic Latin,Arabic
57   0x000016bd 0x004016bd 4   5    .text   ascii   D$\bh
58   0x000016c7 0x004016c7 4   6    .text   utf8    ֊D$\b blocks=Armenian,Basic Latin
59   0x000016de 0x004016de 6   7    .text   ascii   <i|\b<p
60   0x000016f8 0x004016f8 7   9    .text   utf8    uڍL$\bQW blocks=Basic Latin,Arabic
61   0x000017ec 0x004017ec 6   7    .text   ascii   <i|\b<p
62   0x00001865 0x00401865 5   6    .text   ascii   D$\bh0
63   0x00001886 0x00401886 6   7    .text   ascii   <i|\b<p
64   0x000018a0 0x004018a0 7   9    .text   utf8    uڍL$\bQV blocks=Basic Latin,Arabic
65   0x000018af 0x004018af 5   6    .text   ascii   T$\bh 
66   0x000018d5 0x004018d5 6   7    .text   ascii   <i|\b<p
67   0x000018ef 0x004018ef 7   9    .text   utf8    uڍD$\bPV blocks=Basic Latin,Arabic
68   0x000018fe 0x004018fe 4   5    .text   ascii   L$\bh
69   0x00001924 0x00401924 6   7    .text   ascii   <i|\b<p
70   0x0000193e 0x0040193e 7   9    .text   utf8    uڍT$\bRV blocks=Basic Latin,Arabic
71   0x00001952 0x00401952 5   6    .text   ascii   D$\bh\b
72   0x00001973 0x00401973 6   7    .text   ascii   <i|\b<p
73   0x0000198d 0x0040198d 7   9    .text   utf8    uڍL$\bQV blocks=Basic Latin,Arabic
74   0x0000199c 0x0040199c 4   5    .text   ascii   T$\bh
75   0x000019c2 0x004019c2 6   7    .text   ascii   <i|\b<p
76   0x000019dc 0x004019dc 7   9    .text   utf8    uڍD$\bPV blocks=Basic Latin,Arabic
77   0x000019eb 0x004019eb 4   5    .text   ascii   L$\bh
78   0x00001a11 0x00401a11 6   7    .text   ascii   <i|\b<p
79   0x00001a2b 0x00401a2b 7   9    .text   utf8    uڍT$\bRV blocks=Basic Latin,Arabic
80   0x00001a3f 0x00401a3f 4   5    .text   ascii   D$\bh
81   0x00001a60 0x00401a60 6   7    .text   ascii   <i|\b<p
82   0x00001a7a 0x00401a7a 7   9    .text   utf8    uڍL$\bQV blocks=Basic Latin,Arabic
83   0x00001a89 0x00401a89 4   5    .text   ascii   T$\bh
84   0x00001aaf 0x00401aaf 6   7    .text   ascii   <i|\b<p
85   0x00001ac9 0x00401ac9 7   9    .text   utf8    uڍD$\bPV blocks=Basic Latin,Arabic
86   0x00001ad8 0x00401ad8 4   5    .text   ascii   L$\bh
87   0x00001afe 0x00401afe 6   7    .text   ascii   <i|\b<p
88   0x00001b18 0x00401b18 7   9    .text   utf8    uڍT$\bRV blocks=Basic Latin,Arabic
89   0x00001b2c 0x00401b2c 4   5    .text   ascii   D$\bh
90   0x00001b4d 0x00401b4d 6   7    .text   ascii   <i|\b<p
91   0x00001b67 0x00401b67 7   9    .text   utf8    uڍL$\bQV blocks=Basic Latin,Arabic
92   0x00001b76 0x00401b76 4   5    .text   ascii   T$\bh
93   0x00001b9d 0x00401b9d 6   7    .text   ascii   <i|\b<p
94   0x00001bb7 0x00401bb7 4   6    .text   utf8    uڍD$ blocks=Basic Latin,Arabic
95   0x00001eae 0x00401eae 6   7    .text   ascii   <i|\b<p
96   0x00001ec8 0x00401ec8 4   6    .text   utf8    uڍL$ blocks=Basic Latin,Arabic
97   0x00001f2e 0x00401f2e 6   7    .text   ascii   <i|\b<p
98   0x00001f48 0x00401f48 4   6    .text   utf8    uڍL$ blocks=Basic Latin,Arabic
99   0x00001f94 0x00401f94 4   5    .text   ascii   D$\bh
100  0x00001f9e 0x00401f9e 4   6    .text   utf8    ֊D$\b blocks=Armenian,Basic Latin
101  0x00001fb5 0x00401fb5 6   7    .text   ascii   <i|\b<p
102  0x00001fcf 0x00401fcf 7   9    .text   utf8    uڍL$\bQW blocks=Basic Latin,Arabic
103  0x00001fde 0x00401fde 4   5    .text   ascii   T$\bh
104  0x00001fed 0x00401fed 4   6    .text   utf8    ֊D$\b blocks=Armenian,Basic Latin
105  0x00002004 0x00402004 6   7    .text   ascii   <i|\b<p
106  0x0000201e 0x0040201e 7   9    .text   utf8    uڍD$\bPW blocks=Basic Latin,Arabic
107  0x0000202d 0x0040202d 4   5    .text   ascii   L$\bh
108  0x0000203c 0x0040203c 4   6    .text   utf8    ֊D$\b blocks=Armenian,Basic Latin
109  0x00002053 0x00402053 6   7    .text   ascii   <i|\b<p
110  0x0000206d 0x0040206d 7   9    .text   utf8    uڍT$\bRW blocks=Basic Latin,Arabic
111  0x00002081 0x00402081 4   5    .text   ascii   D$\bh
112  0x0000208b 0x0040208b 4   6    .text   utf8    ֊D$\b blocks=Armenian,Basic Latin
113  0x000020a2 0x004020a2 6   7    .text   ascii   <i|\b<p
114  0x000020bc 0x004020bc 7   9    .text   utf8    uڍL$\bQW blocks=Basic Latin,Arabic
115  0x000020cb 0x004020cb 4   5    .text   ascii   T$\bh
116  0x000020da 0x004020da 4   6    .text   utf8    ֊D$\b blocks=Armenian,Basic Latin
117  0x000020f1 0x004020f1 6   7    .text   ascii   <i|\b<p
118  0x0000210b 0x0040210b 7   9    .text   utf8    uڍD$\bPW blocks=Basic Latin,Arabic
119  0x0000211a 0x0040211a 4   5    .text   ascii   L$\bh
120  0x00002129 0x00402129 4   6    .text   utf8    ֊D$\b blocks=Armenian,Basic Latin
121  0x00002140 0x00402140 6   7    .text   ascii   <i|\b<p
122  0x0000215a 0x0040215a 7   9    .text   utf8    uڍT$\bRW blocks=Basic Latin,Arabic
123  0x0000216e 0x0040216e 4   5    .text   ascii   D$\bh
124  0x00002178 0x00402178 4   6    .text   utf8    ֊D$\b blocks=Armenian,Basic Latin
125  0x00002190 0x00402190 6   7    .text   ascii   <i|\b<p
126  0x000021aa 0x004021aa 4   6    .text   utf8    uڍL$ blocks=Basic Latin,Arabic
127  0x000022b9 0x004022b9 4   6    .text   utf8    3\r|$
128  0x000022dc 0x004022dc 4   6    .text   utf8    3ɍT$ blocks=Basic Latin,Latin Extended-B
129  0x000022eb 0x004022eb 4   5    .text   ascii   L$\bR
130  0x000022f3 0x004022f3 6   7    .text   ascii   PQQQQQ
131  0x000022fa 0x004022fa 4   5    .text   ascii   L$,f
132  0x000022ff 0x004022ff 4   5    .text   ascii   L$`Q
133  0x0000230b 0x0040230b 4   5    .text   ascii   D$4D
134  0x0000232f 0x0040232f 7   8    .text   ascii   D$\Rhz4
135  0x00002343 0x00402343 5   7    .text   utf8    TËL$d blocks=Basic Latin,Latin-1 Supplement
136  0x0000234a 0x0040234a 7   8    .text   ascii   T$\Qh\4
137  0x0000236b 0x0040236b 4   5    .text   ascii   SUVW
138  0x0000237a 0x0040237a 4   6    .text   utf8    3\r|$
139  0x00002479 0x00402479 4   5    .text   ascii   _^]3
