[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x0023004e NONE FUNC ntdll.dll    ZwQueryInformationProcess
2   0x00230052 NONE FUNC ntdll.dll    ZwQuerySystemInformation
1   0x0023005a NONE FUNC kernel32.dll GetNativeSystemInfo
1   0x00230062 NONE FUNC psapi.dll    EnumProcessModules
2   0x00230066 NONE FUNC psapi.dll    GetModuleFileNameExW
3   0x0023006a NONE FUNC psapi.dll    GetModuleInformation
1   0x00230072 NONE FUNC ntdll.dll    ZwQueryObject
1   0x0023007a NONE FUNC wininet.dll  InternetOpenA
2   0x0023007e NONE FUNC wininet.dll  HttpSendRequestA
3   0x00230082 NONE FUNC wininet.dll  InternetConnectA
4   0x00230086 NONE FUNC wininet.dll  InternetCloseHandle
5   0x0023008a NONE FUNC wininet.dll  HttpOpenRequestA
6   0x0023008e NONE FUNC wininet.dll  InternetReadFile
1   0x00204000 NONE FUNC advapi32.dll FreeSid
2   0x00204004 NONE FUNC advapi32.dll GetSecurityInfo
3   0x00204008 NONE FUNC advapi32.dll GetTokenInformation
4   0x0020400c NONE FUNC advapi32.dll OpenProcessToken
5   0x00204010 NONE FUNC advapi32.dll RegSetValueExW
6   0x00204014 NONE FUNC advapi32.dll RegCloseKey
7   0x00204018 NONE FUNC advapi32.dll RegCreateKeyExA
8   0x0020401c NONE FUNC advapi32.dll RegEnumValueW
9   0x00204020 NONE FUNC advapi32.dll SetEntriesInAclW
10  0x00204024 NONE FUNC advapi32.dll SetSecurityInfo
11  0x00204028 NONE FUNC advapi32.dll AllocateAndInitializeSid
12  0x0020402c NONE FUNC advapi32.dll RegDeleteValueW
1   0x00204034 NONE FUNC kernel32.dll VirtualFreeEx
2   0x00204038 NONE FUNC kernel32.dll VirtualAllocEx
3   0x0020403c NONE FUNC kernel32.dll ResumeThread
4   0x00204040 NONE FUNC kernel32.dll SuspendThread
5   0x00204044 NONE FUNC kernel32.dll GetThreadPriority
6   0x00204048 NONE FUNC kernel32.dll OpenThread
