[Strings]
nth  paddr      vaddr      len size section  type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45            ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000d8 0x000000d8 4   5             ascii   Rich
2    0x000001f0 0x000001f0 5   6             ascii   .text
3    0x00000217 0x00000217 7   8             ascii   `.rdata
4    0x0000023f 0x0000023f 6   7             ascii   @.data
5    0x00000268 0x00000268 5   6             ascii   .rsrc
6    0x0000028f 0x0000028f 7   8             ascii   @.reloc
7    0x000002b7 0x000002b7 9   10            ascii   B.imports
8    0x0000101f 0x06e7101f 6   7    .text    ascii   URPQQh
9    0x00001035 0x06e71035 6   8    .text    utf8    3ĉD$\bd blocks=Basic Latin,Latin Extended-A
10   0x0000104a 0x06e7104a 4   5    .text    ascii   L$,3
11   0x0000109c 0x06e7109c 6   8    .text    utf8    _^[ËL$ blocks=Basic Latin,Latin-1 Supplement
12   0x00001102 0x06e71102 4   5    .text    ascii   UVWS
13   0x00001114 0x06e71114 5   7    .text    utf8    [_^]Ë blocks=Basic Latin,Latin-1 Supplement
14   0x00001135 0x06e71135 4   5    .text    ascii   SVWj
15   0x00001147 0x06e71147 4   5    .text    ascii   _^[]
16   0x0000114e 0x06e7114e 5   6    .text    ascii   l$\bRQ
17   0x00001181 0x06e71181 5   6    .text    ascii   s\b30W
18   0x0000124f 0x06e7124f 4   5    .text    ascii   8csm
19   0x0000128a 0x06e7128a 4   5    .text    ascii   9X\ft
20   0x00001290 0x06e71290 4   5    .text    ascii   U\bRW
21   0x000012e2 0x06e712e2 4   5    .text    ascii   M\bQW
22   0x0000130e 0x06e7130e 4   5    .text    ascii   ;u\fr
23   0x00001313 0x06e71313 5   7    .text    utf8    ^]á0~ blocks=Basic Latin,Latin-1 Supplement
24   0x00001349 0x06e71349 4   5    .text    ascii   j\hX
25   0x00001418 0x06e71418 4   5    .text    ascii   u\bSW
26   0x00001437 0x06e71437 4   5    .text    ascii   t\nSj
27   0x0000145b 0x06e7145b 5   6    .text    ascii    wOf;
28   0x00001473 0x06e71473 5   6    .text    ascii    w\a@@
29   0x00001489 0x06e71489 7   8    .text    ascii   j\nYQPSh
30   0x000014b0 0x06e714b0 4   5    .text    ascii   "u\v3
31   0x000014be 0x06e714be 4   7    .text    utf8    @@됋E blocks=Basic Latin,Hangul Syllables
32   0x000014d3 0x06e714d3 4   6    .text    utf8    YYËe blocks=Basic Latin,Latin-1 Supplement
33   0x000014da 0x06e714da 4   6    .text    utf8    Eأ\b{ blocks=Basic Latin,Arabic
34   0x000015d1 0x06e715d1 4   6    .text    utf8    u\fhЄ blocks=Basic Latin,Cyrillic
35   0x000016ee 0x06e716ee 4   5    .text    ascii   D$\f3
36   0x000016f6 0x06e716f6 4   6    .text    utf8    ؋D$\b blocks=Arabic,Basic Latin
37   0x0000173f 0x06e7173f 7   8    .text    ascii   ;T$\fw\br
38   0x00001747 0x06e71747 10  11   .text    ascii   ;D$\bv\tN+D$
39   0x00001758 0x06e71758 8   9    .text    ascii   +D$\b\eT$\f
40   0x00001768 0x06e71768 4   9    .text    utf8    ʋӋًȋ blocks=IPA Extensions,Cyrillic,Arabic,Latin Extended-B
41   0x00001793 0x06e71793 10  11   .text    ascii   k\fUQPXY]Y[
42   0x000017c4 0x06e717c4 4   6    .text    utf8    ]ËA< blocks=Basic Latin,Latin-1 Supplement
43   0x000017ca 0x06e717ca 4   6    .text    utf8    A8PE
44   0x0000182f 0x06e7182f 4   5    .text    ascii   _^[]
45   0x000018ab 0x06e718ab 4   5    .text    ascii   8csm
46   0x00001943 0x06e71943 5   6    .text    ascii   Y__^[
47   0x00001991 0x06e71991 4   6    .text    utf8    3\vM\b
48   0x0000199d 0x06e7199d 4   5    .text    ascii   t?!E
49   0x00001a18 0x06e71a18 7   10   .text    utf8    @]ËE\b]Ë blocks=Basic Latin,Latin-1 Supplement
50   0x00001abf 0x06e71abf 4   6    .text    utf8    ̋D$\b blocks=Combining Diacritical Marks,Basic Latin
51   0x00001ac8 0x06e71ac8 7   9    .text    utf8    \vȋL$\fu\t blocks=Basic Latin,Latin Extended-B
52   0x00001add 0x06e71add 4   6    .text    utf8    ؋D$\b blocks=Arabic,Basic Latin
53   0x00001ae7 0x06e71ae7 4   6    .text    utf8    ؋D$\b blocks=Arabic,Basic Latin
54   0x00001bb8 0x06e71bb8 4   5    .text    ascii   D$X,
55   0x00001bc8 0x06e71bc8 5   6    .text    ascii   D$PPW
56   0x00001be1 0x06e71be1 6   7    .text    ascii   t$X9t$
57   0x00001bf4 0x06e71bf4 4   5    .text    ascii   D$tf
58   0x00001c4e 0x06e71c4e 4   5    .text    ascii   D$tf
59   0x00001c8d 0x06e71c8d 4   5    .text    ascii   L$tf
60   0x00001ced 0x06e71ced 5   7    .text    utf8    W\tD$@
61   0x00001cfb 0x06e71cfb 4   5    .text    ascii   D$ f
62   0x00001d09 0x06e71d09 4   5    .text    ascii   L$ Q
63   0x00001d12 0x06e71d12 4   5    .text    ascii   D$ P
64   0x00001d1e 0x06e71d1e 8   9    .text    ascii   |$ \tu6Vj
65   0x00001d5a 0x06e71d5a 4   6    .text    utf8    3\tD$
66   0x00001d70 0x06e71d70 5   6    .text    ascii   D$PPW
67   0x00001da9 0x06e71da9 4   5    .text    ascii   j\nPQ
68   0x00001e77 0x06e71e77 5   6    .text    ascii   U\bSVW
69   0x00001fd7 0x06e71fd7 4   5    .text    ascii   E\bSV
70   0x00002024 0x06e72024 4   6    .text    utf8    r܋E\b blocks=Basic Latin,Syriac
71   0x00002055 0x06e72055 4   5    .text    ascii   DVQj
72   0x000020a0 0x06e720a0 4   5    .text    ascii   GPPj
73   0x00002126 0x06e72126 5   8    .text    utf8    rɋu܋] blocks=Basic Latin,Latin Extended-B,Syriac
74   0x00002165 0x06e72165 4   7    .text    utf8    3҉Mă blocks=Basic Latin,Cyrillic,Latin Extended-A
75   0x0000230f 0x06e7230f 4   9    .text    utf16le jjjj
76   0x00002343 0x06e72343 4   5    .text    ascii   jPhp
