[Strings]
nth  paddr      vaddr      len size section  type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45            ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000d8 0x000000d8 5   6             ascii   RichG
2    0x00000100 0x00000100 4   5             ascii   rz U
3    0x000001f0 0x000001f0 5   6             ascii   .text
4    0x00000217 0x00000217 7   8             ascii   `.rdata
5    0x0000023f 0x0000023f 6   7             ascii   @.data
6    0x00000268 0x00000268 5   6             ascii   .rsrc
7    0x0000028f 0x0000028f 7   8             ascii   @.reloc
8    0x000002b7 0x000002b7 9   10            ascii   B.imports
9    0x0000100f 0x0bbc100f 4   6    .text    utf8    \v3ŉE blocks=Basic Latin,Latin Extended-A
10   0x000010d6 0x0bbc10d6 4   5    .text    ascii   M\bS3
11   0x000010f1 0x0bbc10f1 6   7    .text    ascii   0SSSSS
12   0x00001133 0x0bbc1133 4   5    .text    ascii   _^[]
13   0x00001147 0x0bbc1147 6   7    .text    ascii   URPQQh
14   0x0000115c 0x0bbc115c 7   9    .text    utf8    \v3ĉD$\bd blocks=Basic Latin,Latin Extended-A
15   0x00001172 0x0bbc1172 4   5    .text    ascii   L$,3
16   0x000011c4 0x0bbc11c4 6   8    .text    utf8    _^[ËL$ blocks=Basic Latin,Latin-1 Supplement
17   0x0000122a 0x0bbc122a 4   5    .text    ascii   UVWS
18   0x0000123c 0x0bbc123c 5   7    .text    utf8    [_^]Ë blocks=Basic Latin,Latin-1 Supplement
19   0x0000125d 0x0bbc125d 4   5    .text    ascii   SVWj
20   0x0000126f 0x0bbc126f 4   5    .text    ascii   _^[]
21   0x00001276 0x0bbc1276 5   6    .text    ascii   l$\bRQ
22   0x000012a1 0x0bbc12a1 5   6    .text    ascii   s\b30W
23   0x0000136f 0x0bbc136f 4   5    .text    ascii   8csm
24   0x000013aa 0x0bbc13aa 4   5    .text    ascii   9X\ft
25   0x000013b0 0x0bbc13b0 4   5    .text    ascii   U\bRW
26   0x00001402 0x0bbc1402 4   5    .text    ascii   M\bQW
27   0x0000142e 0x0bbc142e 4   5    .text    ascii   ;u\fr
28   0x00001433 0x0bbc1433 4   6    .text    utf8    ^]áp blocks=Basic Latin,Latin-1 Supplement
29   0x000014a3 0x0bbc14a3 5   7    .text    utf8    ?\vSVW
30   0x000014ee 0x0bbc14ee 5   7    .text    utf8    ?\vh@B
31   0x000014f5 0x0bbc14f5 4   5    .text    ascii   \vh4B
32   0x00001518 0x0bbc1518 5   6    .text    ascii   u\eh0B
33   0x00001538 0x0bbc1538 4   5    .text    ascii   u\bSW
34   0x00001557 0x0bbc1557 4   5    .text    ascii   t\nSj
35   0x0000157b 0x0bbc157b 5   6    .text    ascii    wOf;
36   0x00001593 0x0bbc1593 5   6    .text    ascii    w\a@@
37   0x000015a9 0x0bbc15a9 7   8    .text    ascii   j\nYQPSh
38   0x000015c3 0x0bbc15c3 4   5    .text    ascii   \vuLP
39   0x000015d0 0x0bbc15d0 4   5    .text    ascii   "u\v3
40   0x000015de 0x0bbc15de 4   7    .text    utf8    @@됋E blocks=Basic Latin,Hangul Syllables
41   0x000015f3 0x0bbc15f3 4   6    .text    utf8    YYËe blocks=Basic Latin,Latin-1 Supplement
42   0x00001608 0x0bbc1608 4   5    .text    ascii   \vu\aP
43   0x000016f1 0x0bbc16f1 4   6    .text    utf8    u\fhи blocks=Basic Latin,Cyrillic
44   0x0000180e 0x0bbc180e 4   5    .text    ascii   D$\f3
45   0x00001816 0x0bbc1816 4   6    .text    utf8    ؋D$\b blocks=Arabic,Basic Latin
46   0x0000185f 0x0bbc185f 7   8    .text    ascii   ;T$\fw\br
47   0x00001867 0x0bbc1867 10  11   .text    ascii   ;D$\bv\tN+D$
48   0x00001878 0x0bbc1878 8   9    .text    ascii   +D$\b\eT$\f
49   0x00001888 0x0bbc1888 4   9    .text    utf8    ʋӋًȋ blocks=IPA Extensions,Cyrillic,Arabic,Latin Extended-B
50   0x000018b3 0x0bbc18b3 10  11   .text    ascii   k\fUQPXY]Y[
51   0x000018e4 0x0bbc18e4 4   6    .text    utf8    ]ËA< blocks=Basic Latin,Latin-1 Supplement
52   0x000018ea 0x0bbc18ea 4   6    .text    utf8    A8PE
53   0x0000194f 0x0bbc194f 4   5    .text    ascii   _^[]
54   0x000019cb 0x0bbc19cb 4   5    .text    ascii   8csm
55   0x00001a63 0x0bbc1a63 5   6    .text    ascii   Y__^[
56   0x00001ab1 0x0bbc1ab1 4   6    .text    utf8    3\vM\b
57   0x00001abd 0x0bbc1abd 4   5    .text    ascii   t?!E
58   0x00001b38 0x0bbc1b38 7   10   .text    utf8    @]ËE\b]Ë blocks=Basic Latin,Latin-1 Supplement
59   0x00001bcb 0x0bbc1bcb 4   5    .text    ascii   \v^_[
60   0x00001bdf 0x0bbc1bdf 4   6    .text    utf8    ̋D$\b blocks=Combining Diacritical Marks,Basic Latin
61   0x00001be8 0x0bbc1be8 7   9    .text    utf8    \vȋL$\fu\t blocks=Basic Latin,Latin Extended-B
62   0x00001bfd 0x0bbc1bfd 4   6    .text    utf8    ؋D$\b blocks=Arabic,Basic Latin
63   0x00001c07 0x0bbc1c07 4   6    .text    utf8    ؋D$\b blocks=Arabic,Basic Latin
64   0x00001cc9 0x0bbc1cc9 5   6    .text    ascii   u\a_^[
65   0x00001cf9 0x0bbc1cf9 4   6    .text    utf8    \b+ىE blocks=Basic Latin,Arabic
66   0x00001daf 0x0bbc1daf 4   6    .text    utf8    \b+ىE blocks=Basic Latin,Arabic
67   0x00001e48 0x0bbc1e48 4   5    .text    ascii   ;\n_^
68   0x00001e66 0x0bbc1e66 4   5    .text    ascii   QSVW
69   0x00001eb0 0x0bbc1eb0 6   7    .text    ascii   D$\fWVP
70   0x00001f52 0x0bbc1f52 5   6    .text    ascii   tJj#h
71   0x00001ff8 0x0bbc1ff8 4   5    .text    ascii   D$X,
72   0x00002008 0x0bbc2008 5   6    .text    ascii   D$PPW
73   0x00002021 0x0bbc2021 6   7    .text    ascii   t$X9t$
