[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x0044004e NONE FUNC ntdll.dll    ZwQueryInformationProcess
2   0x00440052 NONE FUNC ntdll.dll    ZwQuerySystemInformation
1   0x0044005a NONE FUNC kernel32.dll GetNativeSystemInfo
1   0x00440062 NONE FUNC psapi.dll    EnumProcessModules
2   0x00440066 NONE FUNC psapi.dll    GetModuleFileNameExW
3   0x0044006a NONE FUNC psapi.dll    GetModuleInformation
1   0x00440072 NONE FUNC ntdll.dll    ZwQueryObject
1   0x0044007a NONE FUNC wininet.dll  InternetOpenA
2   0x0044007e NONE FUNC wininet.dll  HttpSendRequestA
3   0x00440082 NONE FUNC wininet.dll  InternetConnectA
4   0x00440086 NONE FUNC wininet.dll  InternetCloseHandle
5   0x0044008a NONE FUNC wininet.dll  HttpOpenRequestA
6   0x0044008e NONE FUNC wininet.dll  InternetReadFile
1   0x00414000 NONE FUNC advapi32.dll FreeSid
2   0x00414004 NONE FUNC advapi32.dll GetSecurityInfo
3   0x00414008 NONE FUNC advapi32.dll GetTokenInformation
4   0x0041400c NONE FUNC advapi32.dll OpenProcessToken
5   0x00414010 NONE FUNC advapi32.dll RegSetValueExW
6   0x00414014 NONE FUNC advapi32.dll RegCloseKey
7   0x00414018 NONE FUNC advapi32.dll RegCreateKeyExA
8   0x0041401c NONE FUNC advapi32.dll RegEnumValueW
9   0x00414020 NONE FUNC advapi32.dll SetEntriesInAclW
10  0x00414024 NONE FUNC advapi32.dll SetSecurityInfo
11  0x00414028 NONE FUNC advapi32.dll AllocateAndInitializeSid
12  0x0041402c NONE FUNC advapi32.dll RegDeleteValueW
1   0x00414034 NONE FUNC kernel32.dll VirtualFreeEx
2   0x00414038 NONE FUNC kernel32.dll VirtualAllocEx
3   0x0041403c NONE FUNC kernel32.dll ResumeThread
4   0x00414040 NONE FUNC kernel32.dll SuspendThread
5   0x00414044 NONE FUNC kernel32.dll GetThreadPriority
6   0x00414048 NONE FUNC kernel32.dll OpenThread
7   0x0041404c NONE FUNC kernel32.dll EnterCriticalSection
8   0x00414050 NONE FUNC kernel32.dll FlushInstructionCache
9   0x00414054 NONE FUNC kernel32.dll SetThreadPriority
10  0x00414058 NONE FUNC kernel32.dll LeaveCriticalSection
11  0x0041405c NONE FUNC kernel32.dll InitializeCriticalSection
12  0x00414060 NONE FUNC kernel32.dll GetCurrentThread
13  0x00414064 NONE FUNC kernel32.dll VirtualQuery
14  0x00414068 NONE FUNC kernel32.dll GetThreadContext
15  0x0041406c NONE FUNC kernel32.dll GetSystemTimeAsFileTime
16  0x00414070 NONE FUNC kernel32.dll GetCurrentThreadId
17  0x00414074 NONE FUNC kernel32.dll GetTickCount
18  0x00414078 NONE FUNC kernel32.dll QueryPerformanceCounter
19  0x0041407c NONE FUNC kernel32.dll GetModuleHandleA
20  0x00414080 NONE FUNC kernel32.dll SetUnhandledExceptionFilter
21  0x00414084 NONE FUNC kernel32.dll UnhandledExceptionFilter
22  0x00414088 NONE FUNC kernel32.dll GetStartupInfoW
23  0x0041408c NONE FUNC kernel32.dll InterlockedCompareExchange
24  0x00414090 NONE FUNC kernel32.dll InterlockedExchange
25  0x00414094 NONE FUNC kernel32.dll RtlUnwind
26  0x00414098 NONE FUNC kernel32.dll OutputDebugStringA
27  0x0041409c NONE FUNC kernel32.dll GetSystemInfo
28  0x004140a0 NONE FUNC kernel32.dll MultiByteToWideChar
29  0x004140a4 NONE FUNC kernel32.dll Module32NextW
30  0x004140a8 NONE FUNC kernel32.dll Module32FirstW
31  0x004140ac NONE FUNC kernel32.dll IsWow64Process
32  0x004140b0 NONE FUNC kernel32.dll DuplicateHandle
33  0x004140b4 NONE FUNC kernel32.dll GetLongPathNameW
34  0x004140b8 NONE FUNC kernel32.dll GetModuleFileNameW
35  0x004140bc NONE FUNC kernel32.dll TerminateProcess
36  0x004140c0 NONE FUNC kernel32.dll CreateDirectoryW
37  0x004140c4 NONE FUNC kernel32.dll MoveFileExW
38  0x004140c8 NONE FUNC kernel32.dll CreateEventW
39  0x004140cc NONE FUNC kernel32.dll ResetEvent
40  0x004140d0 NONE FUNC kernel32.dll VirtualProtectEx
