[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x6bac7114 NONE FUNC KERNEL32.dll CreateProcessA
2   0x6bac7118 NONE FUNC KERNEL32.dll CreateThread
3   0x6bac711c NONE FUNC KERNEL32.dll DeleteCriticalSection
4   0x6bac7120 NONE FUNC KERNEL32.dll EnterCriticalSection
5   0x6bac7124 NONE FUNC KERNEL32.dll FreeLibrary
6   0x6bac7128 NONE FUNC KERNEL32.dll GetCurrentProcess
7   0x6bac712c NONE FUNC KERNEL32.dll GetCurrentProcessId
8   0x6bac7130 NONE FUNC KERNEL32.dll GetCurrentThreadId
9   0x6bac7134 NONE FUNC KERNEL32.dll GetEnvironmentVariableA
10  0x6bac7138 NONE FUNC KERNEL32.dll GetLastError
11  0x6bac713c NONE FUNC KERNEL32.dll GetModuleHandleA
12  0x6bac7140 NONE FUNC KERNEL32.dll GetProcAddress
13  0x6bac7144 NONE FUNC KERNEL32.dll GetSystemTimeAsFileTime
14  0x6bac7148 NONE FUNC KERNEL32.dll GetThreadContext
15  0x6bac714c NONE FUNC KERNEL32.dll GetTickCount
16  0x6bac7150 NONE FUNC KERNEL32.dll GetVersionExA
17  0x6bac7154 NONE FUNC KERNEL32.dll InitializeCriticalSection
18  0x6bac7158 NONE FUNC KERNEL32.dll LeaveCriticalSection
19  0x6bac715c NONE FUNC KERNEL32.dll LoadLibraryA
20  0x6bac7160 NONE FUNC KERNEL32.dll LoadLibraryW
21  0x6bac7164 NONE FUNC KERNEL32.dll QueryPerformanceCounter
22  0x6bac7168 NONE FUNC KERNEL32.dll ResumeThread
23  0x6bac716c NONE FUNC KERNEL32.dll SetThreadContext
24  0x6bac7170 NONE FUNC KERNEL32.dll SetUnhandledExceptionFilter
25  0x6bac7174 NONE FUNC KERNEL32.dll Sleep
26  0x6bac7178 NONE FUNC KERNEL32.dll TerminateProcess
27  0x6bac717c NONE FUNC KERNEL32.dll TlsGetValue
28  0x6bac7180 NONE FUNC KERNEL32.dll UnhandledExceptionFilter
29  0x6bac7184 NONE FUNC KERNEL32.dll VirtualAllocEx
30  0x6bac7188 NONE FUNC KERNEL32.dll VirtualProtect
31  0x6bac718c NONE FUNC KERNEL32.dll VirtualProtectEx
32  0x6bac7190 NONE FUNC KERNEL32.dll VirtualQuery
33  0x6bac7194 NONE FUNC KERNEL32.dll WriteProcessMemory
1   0x6bac719c NONE FUNC msvcrt.dll   __dllonexit
2   0x6bac71a0 NONE FUNC msvcrt.dll   _amsg_exit
3   0x6bac71a4 NONE FUNC msvcrt.dll   _initterm
4   0x6bac71a8 NONE FUNC msvcrt.dll   _iob
5   0x6bac71ac NONE FUNC msvcrt.dll   _lock
6   0x6bac71b0 NONE FUNC msvcrt.dll   _onexit
7   0x6bac71b4 NONE FUNC msvcrt.dll   _snprintf
8   0x6bac71b8 NONE FUNC msvcrt.dll   _unlock
9   0x6bac71bc NONE FUNC msvcrt.dll   _winmajor
10  0x6bac71c0 NONE FUNC msvcrt.dll   abort
11  0x6bac71c4 NONE FUNC msvcrt.dll   calloc
12  0x6bac71c8 NONE FUNC msvcrt.dll   exit
13  0x6bac71cc NONE FUNC msvcrt.dll   free
14  0x6bac71d0 NONE FUNC msvcrt.dll   fwrite
15  0x6bac71d4 NONE FUNC msvcrt.dll   malloc
16  0x6bac71d8 NONE FUNC msvcrt.dll   memcpy
17  0x6bac71dc NONE FUNC msvcrt.dll   strlen
18  0x6bac71e0 NONE FUNC msvcrt.dll   strncmp
19  0x6bac71e4 NONE FUNC msvcrt.dll   vfprintf


