[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x00406174 NONE FUNC ADVAPI32.dll RegisterServiceCtrlHandlerA
2   0x00406178 NONE FUNC ADVAPI32.dll SetServiceStatus
3   0x0040617c NONE FUNC ADVAPI32.dll StartServiceCtrlDispatcherA
1   0x00406184 NONE FUNC KERNEL32.dll CreateProcessA
2   0x00406188 NONE FUNC KERNEL32.dll DeleteCriticalSection
3   0x0040618c NONE FUNC KERNEL32.dll EnterCriticalSection
4   0x00406190 NONE FUNC KERNEL32.dll ExitProcess
5   0x00406194 NONE FUNC KERNEL32.dll FreeLibrary
6   0x00406198 NONE FUNC KERNEL32.dll GetCurrentProcess
7   0x0040619c NONE FUNC KERNEL32.dll GetCurrentProcessId
8   0x004061a0 NONE FUNC KERNEL32.dll GetCurrentThreadId
9   0x004061a4 NONE FUNC KERNEL32.dll GetEnvironmentVariableA
10  0x004061a8 NONE FUNC KERNEL32.dll GetLastError
11  0x004061ac NONE FUNC KERNEL32.dll GetModuleFileNameA
12  0x004061b0 NONE FUNC KERNEL32.dll GetModuleHandleA
13  0x004061b4 NONE FUNC KERNEL32.dll GetProcAddress
14  0x004061b8 NONE FUNC KERNEL32.dll GetStartupInfoA
15  0x004061bc NONE FUNC KERNEL32.dll GetSystemTimeAsFileTime
16  0x004061c0 NONE FUNC KERNEL32.dll GetThreadContext
17  0x004061c4 NONE FUNC KERNEL32.dll GetTickCount
18  0x004061c8 NONE FUNC KERNEL32.dll InitializeCriticalSection
19  0x004061cc NONE FUNC KERNEL32.dll LeaveCriticalSection
20  0x004061d0 NONE FUNC KERNEL32.dll LoadLibraryA
21  0x004061d4 NONE FUNC KERNEL32.dll LoadLibraryW
22  0x004061d8 NONE FUNC KERNEL32.dll QueryPerformanceCounter
23  0x004061dc NONE FUNC KERNEL32.dll ResumeThread
24  0x004061e0 NONE FUNC KERNEL32.dll SetThreadContext
25  0x004061e4 NONE FUNC KERNEL32.dll SetUnhandledExceptionFilter
26  0x004061e8 NONE FUNC KERNEL32.dll Sleep
27  0x004061ec NONE FUNC KERNEL32.dll TerminateProcess
28  0x004061f0 NONE FUNC KERNEL32.dll TlsGetValue
29  0x004061f4 NONE FUNC KERNEL32.dll UnhandledExceptionFilter
30  0x004061f8 NONE FUNC KERNEL32.dll VirtualAllocEx
31  0x004061fc NONE FUNC KERNEL32.dll VirtualProtect
32  0x00406200 NONE FUNC KERNEL32.dll VirtualProtectEx
33  0x00406204 NONE FUNC KERNEL32.dll VirtualQuery
34  0x00406208 NONE FUNC KERNEL32.dll WriteProcessMemory
1   0x00406210 NONE FUNC msvcrt.dll   __dllonexit
2   0x00406214 NONE FUNC msvcrt.dll   __getmainargs
3   0x00406218 NONE FUNC msvcrt.dll   __initenv
4   0x0040621c NONE FUNC msvcrt.dll   __lconv_init
5   0x00406220 NONE FUNC msvcrt.dll   __set_app_type
6   0x00406224 NONE FUNC msvcrt.dll   __setusermatherr
7   0x00406228 NONE FUNC msvcrt.dll   _acmdln
8   0x0040622c NONE FUNC msvcrt.dll   _amsg_exit
9   0x00406230 NONE FUNC msvcrt.dll   _cexit
10  0x00406234 NONE FUNC msvcrt.dll   _fmode
11  0x00406238 NONE FUNC msvcrt.dll   _initterm
12  0x0040623c NONE FUNC msvcrt.dll   _iob
13  0x00406240 NONE FUNC msvcrt.dll   _lock
14  0x00406244 NONE FUNC msvcrt.dll   _onexit
15  0x00406248 NONE FUNC msvcrt.dll   _snprintf
16  0x0040624c NONE FUNC msvcrt.dll   _unlock
17  0x00406250 NONE FUNC msvcrt.dll   _winmajor
18  0x00406254 NONE FUNC msvcrt.dll   abort
19  0x00406258 NONE FUNC msvcrt.dll   calloc
20  0x0040625c NONE FUNC msvcrt.dll   exit
21  0x00406260 NONE FUNC msvcrt.dll   fclose
22  0x00406264 NONE FUNC msvcrt.dll   fopen
23  0x00406268 NONE FUNC msvcrt.dll   fprintf
24  0x0040626c NONE FUNC msvcrt.dll   fread
25  0x00406270 NONE FUNC msvcrt.dll   free
26  0x00406274 NONE FUNC msvcrt.dll   fsetpos
27  0x00406278 NONE FUNC msvcrt.dll   fwrite
28  0x0040627c NONE FUNC msvcrt.dll   malloc
29  0x00406280 NONE FUNC msvcrt.dll   memcpy
30  0x00406284 NONE FUNC msvcrt.dll   signal
31  0x00406288 NONE FUNC msvcrt.dll   strlen
32  0x0040628c NONE FUNC msvcrt.dll   strncmp
33  0x00406290 NONE FUNC msvcrt.dll   vfprintf


