[Strings]
nth  paddr      vaddr       len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d  44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000d7 0x000000d7  5   7            utf8    _Rich
2    0x00000200 0x00000200  5   6            ascii   .text
3    0x00000227 0x00000227  7   8            ascii   `.rdata
4    0x0000024f 0x0000024f  6   7            ascii   @.data
5    0x00000278 0x00000278  6   7            ascii   .pdata
6    0x0000029f 0x0000029f  6   7            ascii   @.rsrc
7    0x000002c7 0x000002c7  7   8            ascii   @.reloc
8    0x00000412 0x140001012 5   6    .text   ascii   \$\bWH
9    0x00000440 0x140001040 4   5    .text   ascii   \$0H
10   0x000004c2 0x1400010c2 5   6    .text   ascii   \$\bWH
11   0x00000518 0x140001118 4   5    .text   ascii   \$0H
12   0x00000532 0x140001132 5   6    .text   ascii   L$\bSH
13   0x0000054e 0x14000114e 4   5    .text   ascii   |$8H
14   0x0000055f 0x14000115f 4   5    .text   ascii   L$0H
15   0x00000587 0x140001187 4   5    .text   ascii   L$0H
16   0x000005bb 0x1400011bb 4   5    .text   ascii   |$8H
17   0x00000653 0x140001253 10  11   .text   ascii   WATAUAVAWH
18   0x00000691 0x140001291 4   5    .text   ascii   |$PH
19   0x00000696 0x140001296 7   8    .text   ascii   unknown
20   0x00000703 0x140001303 4   5    .text   ascii   \$0L
21   0x00000765 0x140001365 4   5    .text   ascii   :9B\b
22   0x000007e1 0x1400013e1 5   6    .text   ascii   \$0H;
23   0x000007ef 0x1400013ef 4   5    .text   ascii   +HcS
24   0x00000899 0x140001499 4   5    .text   ascii   D$HH
25   0x000008a9 0x1400014a9 5   6    .text   ascii   (D$@f
26   0x000008b0 0x1400014b0 4   5    .text   ascii   D$@L
27   0x000008b5 0x1400014b5 4   5    .text   ascii   t$@L
28   0x000008e9 0x1400014e9 5   6    .text   ascii   L;z(u
29   0x00000995 0x140001595 4   5    .text   ascii   \nH;\r
30   0x0000099d 0x14000159d 4   5    .text   ascii   t&H+
31   0x00000a3e 0x14000163e 4   5    .text   ascii   L$HH
32   0x00000a4e 0x14000164e 5   6    .text   ascii   (D$@f
33   0x00000a55 0x140001655 4   5    .text   ascii   D$`H
34   0x00000a5a 0x14000165a 4   5    .text   ascii   |$`H
35   0x00000a5f 0x14000165f 4   5    .text   ascii   t$hH
36   0x00000a6c 0x14000166c 6   7    .text   ascii   t\tH;=k
37   0x00000a92 0x140001692 5   6    .text   ascii   L;z(u
38   0x00000aae 0x1400016ae 5   6    .text   ascii   H;r(u
39   0x00000ad8 0x1400016d8 5   6    .text   ascii   H;r(u
40   0x00000afc 0x1400016fc 5   6    .text   ascii   L;z(u
41   0x00000b09 0x140001709 4   5    .text   ascii   T$8I
42   0x00000b18 0x140001718 5   7    .text   utf8    D$83ҹ blocks=Basic Latin,Cyrillic
43   0x00000b3e 0x14000173e 4   5    .text   ascii   L$PA
44   0x00000b49 0x140001749 4   5    .text   ascii   T$XH
45   0x00000b6d 0x14000176d 4   5    .text   ascii   T$XH
46   0x00000ba6 0x1400017a6 5   6    .text   ascii   L;z(u
47   0x00000bcb 0x1400017cb 5   6    .text   ascii   L;z(u
48   0x00000c6a 0x14000186a 5   6    .text   ascii   \$0L;
49   0x00000c8a 0x14000188a 4   5    .text   ascii   x];{
50   0x00000cc8 0x1400018c8 5   6    .text   ascii   L;z(u
51   0x00000d72 0x140001972 9   10   .text   ascii   A_A^A]A\_
52   0x00000d92 0x140001992 5   6    .text   ascii   \$\bWH
53   0x00000db6 0x1400019b6 4   5    .text   ascii   \$0H
54   0x00000dc0 0x1400019c0 5   6    .text   ascii   @UVWH
55   0x00000dd3 0x1400019d3 4   5    .text   ascii   \$`H
56   0x00000dda 0x1400019da 4   5    .text   ascii   D$X\b
57   0x00000e57 0x140001a57 4   5    .text   ascii   |$PH
58   0x00000f4b 0x140001b4b 4   5    .text   ascii   t5E3
59   0x00000f9e 0x140001b9e 4   5    .text   ascii   \$`H
60   0x00000fa4 0x140001ba4 4   5    .text   ascii   0_^]
61   0x00001042 0x140001c42 4   5    .text   ascii   \$\bH
62   0x00001051 0x140001c51 6   7    .text   ascii   |$ ATH
63   0x000010b3 0x140001cb3 4   5    .text   ascii   C H;
64   0x00001136 0x140001d36 4   5    .text   ascii   l$8H
65   0x0000113b 0x140001d3b 4   5    .text   ascii   t$@H
66   0x00001140 0x140001d40 4   5    .text   ascii   |$HH
67   0x00001148 0x140001d48 4   5    .text   ascii   \$0H
68   0x00001160 0x140001d60 7   8    .text   ascii   @UATAVH
69   0x0000117d 0x140001d7d 6   7    .text   ascii    A^A\]
70   0x00001186 0x140001d86 4   5    .text   ascii   \$@H
71   0x0000118b 0x140001d8b 4   5    .text   ascii   t$HH
72   0x00001190 0x140001d90 4   5    .text   ascii   |$PH
73   0x00001199 0x140001d99 4   5    .text   ascii   l$XH
74   0x0000119f 0x140001d9f 4   5    .text   ascii   ttL;
75   0x0000121b 0x140001e1b 4   5    .text   ascii   |$PH
76   0x00001220 0x140001e20 4   5    .text   ascii   t$HH
77   0x00001225 0x140001e25 4   5    .text   ascii   \$@L
78   0x0000122a 0x140001e2a 4   5    .text   ascii   l$XH
79   0x00001230 0x140001e30 6   7    .text   ascii    A^A\]
80   0x00001269 0x140001e69 4   5    .text   ascii   D$HH
81   0x000012fe 0x140001efe 4   5    .text   ascii   \$8H
82   0x00001303 0x140001f03 4   5    .text   ascii   l$@H
83   0x0000131d 0x140001f1d 4   5    .text   ascii   C H;
84   0x00001342 0x140001f42 4   5    .text   ascii   |$0H
85   0x00001370 0x140001f70 4   5    .text   ascii   \$8H
86   0x00001375 0x140001f75 4   5    .text   ascii   l$@H
87   0x0000138a 0x140001f8a 4   5    .text   ascii   \$8H
88   0x0000138f 0x140001f8f 4   5    .text   ascii   l$@H
89   0x000013be 0x140001fbe 4   5    .text   ascii   |$0H
90   0x000013c3 0x140001fc3 4   5    .text   ascii   l$@H
91   0x000013cb 0x140001fcb 4   5    .text   ascii   \$8H
92   0x0000141c 0x14000201c 4   5    .text   ascii   \$0H
93   0x0000144a 0x14000204a 4   5    .text   ascii   \f(L+
94   0x00001476 0x140002076 4   5    .text   ascii   \$0H
95   0x0000147b 0x14000207b 4   5    .text   ascii   l$8H
96   0x00001480 0x140002080 4   5    .text   ascii   t$@H
97   0x000014a1 0x1400020a1 4   5    .text   ascii   \$@H
98   0x000014a6 0x1400020a6 4   5    .text   ascii   t$HI
99   0x000014c1 0x1400020c1 4   5    .text   ascii   D$ H
100  0x000014e9 0x1400020e9 4   5    .text   ascii   \$@H
101  0x000014ee 0x1400020ee 4   5    .text   ascii   t$HH
102  0x0000156e 0x14000216e 6   8    .text   utf8    D$PHǄ$ blocks=Basic Latin,Latin Extended-B
103  0x00001597 0x140002197 4   5    .text   ascii   T$(H
104  0x000015ae 0x1400021ae 4   5    .text   ascii   D$PH
105  0x000015ba 0x1400021ba 4   7    .text   utf8    L$P莓 blocks=Basic Latin,CJK Unified Ideographs
106  0x000015e2 0x1400021e2 5   6    .text   ascii   L$\bWH
107  0x000015f5 0x1400021f5 4   5    .text   ascii   \$HH
108  0x00001646 0x140002246 4   5    .text   ascii   \$HH
109  0x00001652 0x140002252 5   6    .text   ascii   L$\bWH
110  0x00001665 0x140002265 4   5    .text   ascii   \$HH
111  0x000016ac 0x1400022ac 4   5    .text   ascii   \$HH
112  0x000016c5 0x1400022c5 6   7    .text   ascii   WATAUH
113  0x000016f3 0x1400022f3 4   5    .text   ascii   t$HH
114  0x0000172e 0x14000232e 5   6    .text   ascii   \$@+H
115  0x00001758 0x140002358 4   5    .text   ascii   ,(Hc
116  0x00001779 0x140002379 4   5    .text   ascii   t$HH
117  0x00001796 0x140002396 8   10   .text   utf8     A]A\_ùW blocks=Basic Latin,Latin-1 Supplement
118  0x000017b2 0x1400023b2 5   6    .text   ascii   \$\bWH
119  0x000017f0 0x1400023f0 4   5    .text   ascii   \$0H
120  0x0000180c 0x14000240c 9   10   .text   ascii   L$\bSVWATH
121  0x000018a8 0x1400024a8 4   5    .text   ascii   D$0H
122  0x000018b4 0x1400024b4 4   7    .text   utf8    L$0蔐 blocks=Basic Latin,CJK Unified Ideographs
123  0x000018e0 0x1400024e0 4   5    .text   ascii   d$ H
124  0x00001939 0x140002539 6   7    .text   ascii   XA\_^[
125  0x0000196d 0x14000256d 4   5    .text   ascii   T$XH
126  0x00001972 0x140002572 4   5    .text   ascii   L$ L
127  0x0000198f 0x14000258f 4   5    .text   ascii   L$ L
128  0x00001994 0x140002594 4   7    .text   utf8    \$ 贏 blocks=Basic Latin,CJK Unified Ideographs
129  0x00001a45 0x140002645 4   5    .text   ascii   l$8H
130  0x00001a4a 0x14000264a 4   5    .text   ascii   t$@H
131  0x00001aa9 0x1400026a9 4   5    .text   ascii   \$0H
132  0x00001aae 0x1400026ae 4   5    .text   ascii   l$8H
