[Strings]
nth  paddr      vaddr       len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d  44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x00000083 0x00000083  11  15           utf8    *fٷyfٷyfٷyA blocks=Basic Latin,Arabic
2    0x00000093 0x00000093  5   7            utf8    ylٷyA blocks=Basic Latin,Arabic
3    0x0000009d 0x0000009d  9   13           utf8    ٷyfٶyD۷yx blocks=Arabic,Basic Latin
4    0x000000b2 0x000000b2  6   8            utf8    "yjٷyx blocks=Basic Latin,Arabic
5    0x000000c2 0x000000c2  6   8            utf8    =yeٷyx blocks=Basic Latin,Arabic
6    0x000000ca 0x000000ca  6   8            utf8    #ygٷyx blocks=Basic Latin,Arabic
7    0x000000d2 0x000000d2  12  15           utf8    &ygٷyRichfٷy blocks=Basic Latin,Arabic
8    0x000001f8 0x000001f8  5   6            ascii   .text
9    0x0000021f 0x0000021f  7   8            ascii   `.rdata
10   0x00000247 0x00000247  6   7            ascii   @.data
11   0x00000270 0x00000270  6   7            ascii   .pdata
12   0x00000297 0x00000297  6   7            ascii   @.rsrc
13   0x000002bf 0x000002bf  7   8            ascii   @.reloc
14   0x00000412 0x140001012 5   6    .text   ascii   \$\bWH
15   0x00000436 0x140001036 4   5    .text   ascii   \$0H
16   0x0000049c 0x14000109c 4   5    .text   ascii   D$0H
17   0x00000532 0x140001132 5   6    .text   ascii   \$\bWH
18   0x000005a6 0x1400011a6 4   5    .text   ascii   \$0H
19   0x00000612 0x140001212 5   6    .text   ascii   \$\bWH
20   0x00000636 0x140001236 4   5    .text   ascii   \$0H
21   0x00000662 0x140001262 5   6    .text   ascii   L$\bWH
22   0x00000675 0x140001275 4   5    .text   ascii   \$HH
23   0x0000074e 0x14000134e 4   5    .text   ascii   \$HH
24   0x00000762 0x140001362 5   6    .text   ascii   \$\bWH
25   0x00000786 0x140001386 4   5    .text   ascii   \$0H
26   0x000007b1 0x1400013b1 4   5    .text   ascii   \$HH
27   0x000007b6 0x1400013b6 4   5    .text   ascii   t$PH
28   0x0000083d 0x14000143d 4   5    .text   ascii   t)E3
