[Strings]
nth  paddr      vaddr      len  size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x00000050 0x00000050 40   41           ascii   This program must be run under Win32\r\n$7
1    0x000001f8 0x000001f8 4    5            ascii   CODE
2    0x0000021f 0x0000021f 5    6            ascii   `DATA
3    0x00000270 0x00000270 6    7            ascii   .idata
4    0x00000298 0x00000298 6    7            ascii   .reloc
5    0x000002bf 0x000002bf 6    7            ascii   P.rsrc
6    0x00000405 0x00401005 9    10   CODE    ascii   \bCardinal
7    0x00000410 0x00401010 19   20   CODE    ascii   TRY TO CATCH ME NOW
8    0x00000431 0x00401031 7    8    CODE    ascii   String(
9    0x0000043b 0x0040103b 12   13   CODE    ascii   \v\nWideString
10   0x00000448 0x00401048 4    5    CODE    ascii   %D2B
11   0x00000450 0x00401050 4    5    CODE    ascii   %@2B
12   0x00000458 0x00401058 4    5    CODE    ascii   %<2B
13   0x00000460 0x00401060 4    5    CODE    ascii   %82B
14   0x00000468 0x00401068 4    5    CODE    ascii   %42B
15   0x00000470 0x00401070 4    5    CODE    ascii   %02B
16   0x00000478 0x00401078 4    5    CODE    ascii   %,2B
17   0x00000480 0x00401080 4    5    CODE    ascii   %P2B
18   0x00000488 0x00401088 4    5    CODE    ascii   %(2B
19   0x00000490 0x00401090 4    5    CODE    ascii   %$2B
20   0x00000498 0x00401098 4    5    CODE    ascii   % 2B
21   0x000004b8 0x004010b8 4    5    CODE    ascii   %`2B
22   0x000004c0 0x004010c0 4    5    CODE    ascii   %\2B
23   0x000004c8 0x004010c8 4    5    CODE    ascii   %X2B
24   0x000004d8 0x004010d8 4    5    CODE    ascii   %p2B
25   0x000004e0 0x004010e0 4    5    CODE    ascii   %l2B
26   0x000004e8 0x004010e8 4    5    CODE    ascii   %h2B
27   0x000004f0 0x004010f0 4    5    CODE    ascii   %\f2B
28   0x000004f8 0x004010f8 4    5    CODE    ascii   %\b2B
29   0x0000057f 0x0040117f 4    5    CODE    ascii   uYhD
30   0x00000596 0x00401196 4    6    CODE    utf8    u\a3\t
31   0x000005b9 0x004011b9 4    6    CODE    utf8    ҋL$\b blocks=Cyrillic,Basic Latin
32   0x00000656 0x00401256 5    7    CODE    utf8    YZ^[Ã blocks=Basic Latin,Latin-1 Supplement
33   0x0000068f 0x0040128f 4    5    CODE    ascii   SVWU
34   0x000006f7 0x004012f7 4    5    CODE    ascii   \a;7u
35   0x0000070d 0x0040130d 8    10   CODE    utf8    YZ]_^[Í@ blocks=Basic Latin,Latin-1 Supplement
36   0x00000717 0x00401317 4    5    CODE    ascii   SVWU
37   0x0000079d 0x0040139d 5    7    CODE    utf8    |$\b+ȋ blocks=Basic Latin,Latin Extended-B
38   0x000007c6 0x004013c6 4    5    CODE    ascii   ;D$\f
39   0x000007d5 0x004013d5 8    10   CODE    utf8    ]_^[ÐSVW blocks=Basic Latin,Latin-1 Supplement
40   0x0000083a 0x0040143a 8    10   CODE    utf8    _^[ÐSVWU blocks=Basic Latin,Latin-1 Supplement
41   0x000008b1 0x004014b1 9    11   CODE    utf8    ]_^[ÐSVWU blocks=Basic Latin,Latin-1 Supplement
42   0x000008ca 0x004014ca 5    7    CODE    utf8    3ɉL$\f blocks=Basic Latin,Latin Extended-B
43   0x000008f0 0x004014f0 5    6    CODE    ascii   X\b;\$
44   0x000008fd 0x004014fd 5    6    CODE    ascii   B\f;D$
45   0x00000903 0x00401503 7    8    CODE    ascii   wE;\$\bs
46   0x00000917 0x00401517 7    8    CODE    ascii   h\f;l$\fv
47   0x00000920 0x00401520 4    5    CODE    ascii   l$\fh
48   0x0000096b 0x0040156b 7    8    CODE    ascii   D$\f+D$\b
49   0x00000978 0x00401578 5    7    CODE    utf8    ]_^[Ë blocks=Basic Latin,Latin-1 Supplement
50   0x0000097f 0x0040157f 4    5    CODE    ascii   SVWU
51   0x00000a39 0x00401639 9    11   CODE    utf8    ]_^[ÐSVWU blocks=Basic Latin,Latin-1 Supplement
52   0x00000af4 0x004016f4 5    7    CODE    utf8    ]_^[Ë blocks=Basic Latin,Latin-1 Supplement
53   0x00000afb 0x004016fb 4    5    CODE    ascii   SVWU
54   0x00000b21 0x00401721 4    5    CODE    ascii   \a;p\f
55   0x00000b60 0x00401760 4    5    CODE    ascii   \a;/u
56   0x00000b9b 0x0040179b 6    8    CODE    utf8    \f]_^[Ë blocks=Basic Latin,Latin-1 Supplement
57   0x00000ba3 0x004017a3 4    5    CODE    ascii   SVWU
58   0x00000bd3 0x004017d3 4    5    CODE    ascii   ;.t\a
59   0x00000bd9 0x004017d9 4    5    CODE    ascii   ;X\bu
60   0x00000be0 0x004017e0 5    6    CODE    ascii   ;X\bu_
61   0x00000ce1 0x004018e1 6    8    CODE    utf8    ]_^[ÐS blocks=Basic Latin,Latin-1 Supplement
62   0x00000d98 0x00401998 4    5    CODE    ascii   =5 B
63   0x00000dda 0x004019da 4    5    CODE    ascii   =\f&B
64   0x00000e24 0x00401a24 4    5    CODE    ascii   ZYYd
65   0x00000e30 0x00401a30 4    5    CODE    ascii   =5 B
66   0x00000e4f 0x00401a4f 4    6    CODE    utf8    Y]ÐU blocks=Basic Latin,Latin-1 Supplement
67   0x00000e68 0x00401a68 5    6    CODE    ascii   Uh4\e@
68   0x00000e75 0x00401a75 4    5    CODE    ascii   =5 B
69   0x00000e99 0x00401a99 5    7    CODE    utf8    3#\f&B
70   0x00000f1e 0x00401b1e 4    5    CODE    ascii   ZYYd
71   0x00000f24 0x00401b24 4    5    CODE    ascii   h;\e@
72   0x00000f2a 0x00401b2a 4    5    CODE    ascii   =5 B
73   0x00000f4e 0x00401b4e 5    7    CODE    utf8    YY]ÐS blocks=Basic Latin,Latin-1 Supplement
74   0x00000fa0 0x00401ba0 4    5    CODE    ascii   \r\f&B
75   0x00000fe0 0x00401be0 5    7    CODE    utf8    YZ[Í@ blocks=Basic Latin,Latin-1 Supplement
76   0x00001102 0x00401d02 4    6    CODE    utf8    r\b+Ɖ blocks=Basic Latin,Latin Extended-B
77   0x0000110b 0x00401d0b 6    7    CODE    ascii   $;p\bt\n
78   0x00001164 0x00401d64 5    7    CODE    utf8    Z^[Í@ blocks=Basic Latin,Latin-1 Supplement
79   0x0000116b 0x00401d6b 4    5    CODE    ascii   SVWU
80   0x00001196 0x00401d96 4    6    CODE    utf8    ǋT$\b blocks=Latin Extended-B,Basic Latin
81   0x0000119f 0x00401d9f 5    8    CODE    utf8    Ѝ\f.+у blocks=Cyrillic,Basic Latin
82   0x00001211 0x00401e11 4    6    CODE    utf8    ԋD$\b blocks=Cyrillic Supplement,Basic Latin
83   0x00001221 0x00401e21 5    6    CODE    ascii   \f]_^[
84   0x0000131a 0x00401f1a 4    6    CODE    utf8    \f^[Ð blocks=Basic Latin,Latin-1 Supplement
85   0x0000135a 0x00401f5a 5    7    CODE    utf8    3#\b&B
86   0x000013b3 0x00401fb3 4    5    CODE    ascii   t$\f;
87   0x000013f0 0x00401ff0 5    7    CODE    utf8    _^[Í@ blocks=Basic Latin,Latin-1 Supplement
88   0x0000141e 0x0040201e 6    8    CODE    utf8    YZ[ÐSV blocks=Basic Latin,Latin-1 Supplement
89   0x0000144f 0x0040204f 6    8    CODE    utf8    YZ^[Í@ blocks=Basic Latin,Latin-1 Supplement
90   0x00001470 0x00402070 4    5    CODE    ascii   \r\f&B
91   0x0000147e 0x0040207e 4    5    CODE    ascii   u\b@=
92   0x0000148f 0x0040208f 4    5    CODE    ascii   SVWU
93   0x00001497 0x00402097 4    6    CODE    utf8    ؍t$\b blocks=Arabic,Basic Latin
94   0x0000150c 0x0040210c 4    6    CODE    utf8    u\n3\t
95   0x00001588 0x00402188 4    5    CODE    ascii   ;\au\a
96   0x000015d1 0x004021d1 5    6    CODE    ascii   \f]_^[
97   0x000015f8 0x004021f8 5    7    CODE    utf8    ~\n3\tE
98   0x00001606 0x00402206 5    6    CODE    ascii   Uh`#@
99   0x00001613 0x00402213 4    5    CODE    ascii   =5 B
100  0x00001754 0x00402354 4    5    CODE    ascii   ZYYd
101  0x0000175a 0x0040235a 4    5    CODE    ascii   hg#@
102  0x00001760 0x00402360 4    5    CODE    ascii   =5 B
103  0x000017bd 0x004023bd 5    6    CODE    ascii   Uh7%@
104  0x000017ca 0x004023ca 4    5    CODE    ascii   =5 B
105  0x0000184b 0x0040244b 4    5    CODE    ascii   ;B\bt
106  0x000018f6 0x004024f6 5    6    CODE    ascii   x\b\f}\f
107  0x0000192b 0x0040252b 4    5    CODE    ascii   ZYYd
108  0x00001931 0x00402531 4    5    CODE    ascii   h>%@
109  0x00001937 0x00402537 4    5    CODE    ascii   =5 B
110  0x0000195b 0x0040255b 4    5    CODE    ascii   SVWU
111  0x000019af 0x004025af 7    8    CODE    ascii   u,)-\b&B
112  0x000019cb 0x004025cb 4    5    CODE    ascii   -\b&B
113  0x00001a3f 0x0040263f 4    5    CODE    ascii   ue;=
114  0x00001a50 0x00402650 4    5    CODE    ascii   =\b&B
115  0x00001b58 0x00402758 7    9    CODE    utf8    \f]_^[ÐU blocks=Basic Latin,Latin-1 Supplement
116  0x00001b7b 0x0040277b 5    7    CODE    utf8    u\n3\tE
117  0x00001b96 0x00402796 4    5    CODE    ascii   =5 B
118  0x00001bf9 0x004027f9 4    5    CODE    ascii   ZYYd
119  0x00001bff 0x004027ff 4    5    CODE    ascii   h\f(@
