Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000d0 0x000000d0 7   8            ascii   RichY=d
2    0x000001e8 0x000001e8 5   6            ascii   .text
3    0x0000020f 0x0000020f 7   8            ascii   `.rdata
4    0x00000237 0x00000237 6   7            ascii   @.data
5    0x00000260 0x00000260 5   6            ascii   .rsrc
6    0x0000040e 0x0040100e 6   7    .text   ascii   u\nVVVV
7    0x00000424 0x00401024 4   5    .text   ascii   E\f1E
8    0x00000476 0x00401076 4   5    .text   ascii   VVVV
9    0x00000487 0x00401087 4   5    .text   ascii   VVVh
10   0x0000048f 0x0040108f 4   5    .text   ascii   hX?A
11   0x000004de 0x004010de 5   6    .text   ascii   PVVVV
12   0x000004f3 0x004010f3 5   6    .text   ascii   PVVVV
13   0x0000053d 0x0040113d 7   8    .text   ascii   \fu\nVVVV
14   0x000005ad 0x004011ad 4   5    .text   ascii   5lLC
15   0x000005fd 0x004011fd 4   5    .text   ascii   VVVV
16   0x00000657 0x00401257 4   5    .text   ascii   5hLC
17   0x000006a1 0x004012a1 5   8    .text   utf8    oƊ\ǅl blocks=Basic Latin,Latin Extended-B
18   0x000006ab 0x004012ab 6   8    .text   utf8    jzI-ǅ< blocks=Basic Latin,Latin Extended-B
19   0x000006b6 0x004012b6 4   6    .text   utf8    <6\vǅ blocks=Basic Latin,Latin Extended-B
20   0x000006f5 0x004012f5 6   8    .text   utf8    \b7s\nǅt blocks=Basic Latin,Latin Extended-B
21   0x00000758 0x00401358 4   6    .text   utf8    1hǅ( blocks=Basic Latin,Latin Extended-B
22   0x0000081e 0x0040141e 5   7    .text   utf8    _7zǅ$ blocks=Basic Latin,Latin Extended-B
23   0x00000828 0x00401428 5   7    .text   utf8    1&"ǅ, blocks=Basic Latin,Latin Extended-B
24   0x00000841 0x00401441 4   6    .text   utf8    [vǅ` blocks=Basic Latin,Latin Extended-B
25   0x00000851 0x00401451 4   6    .text   utf8    p5Zǅ blocks=Basic Latin,Latin Extended-B
26   0x00000895 0x00401495 4   6    .text   utf8    a\aǅ\ blocks=Basic Latin,Latin Extended-B
27   0x00000921 0x00401521 5   7    .text   utf8    7hCǅ| blocks=Basic Latin,Latin Extended-B
28   0x00000956 0x00401556 6   8    .text   utf8    {T%7ǅX blocks=Basic Latin,Latin Extended-B
29   0x0000098a 0x0040158a 4   6    .text   utf8    :cǅ< blocks=Basic Latin,Latin Extended-B
30   0x000009c9 0x004015c9 7   10   .text   utf8    EІ>Q"ǅx blocks=Basic Latin,Cyrillic,Latin Extended-B
31   0x000009dc 0x004015dc 5   7    .text   utf8    2$|'ǅ blocks=Basic Latin,Latin Extended-B
32   0x000009f8 0x004015f8 4   6    .text   utf8    D1%ǅ blocks=Basic Latin,Latin Extended-B
33   0x00000a2b 0x0040162b 4   6    .text   utf8    "lǅ| blocks=Basic Latin,Latin Extended-B
34   0x00000a3b 0x0040163b 4   6    .text   utf8    \bgaǅ blocks=Basic Latin,Latin Extended-B
35   0x00000a50 0x00401650 4   6    .text   utf8    \Xǅ  blocks=Basic Latin,Latin Extended-B
36   0x00000a6b 0x0040166b 4   6    .text   utf8    \b8ǅ@ blocks=Basic Latin,Latin Extended-B
37   0x00000af2 0x004016f2 6   7    .text   ascii   u*VVVV
38   0x00000b98 0x00401798 4   5    .text   ascii   =p A
39   0x00000bbe 0x004017be 4   5    .text   ascii   h\b@A
40   0x00000c46 0x00401846 4   5    .text   ascii   =  A
41   0x00000c82 0x00401882 4   5    .text   ascii   Du\bV
42   0x00000c87 0x00401887 4   5    .text   ascii   D$LP
43   0x00000ca1 0x004018a1 4   5    .text   ascii   ^uEV
44   0x00000ca6 0x004018a6 4   5    .text   ascii   D$LP
45   0x00000cc4 0x004018c4 5   6    .text   ascii   PVVVV
46   0x00000d18 0x00401918 5   6    .text   ascii   \ru)j0
47   0x00000d38 0x00401938 5   6    .text   ascii   Ph$@A
48   0x00000d58 0x00401958 4   5    .text   ascii   PVVV
49   0x00000d7e 0x0040197e 5   6    .text   ascii   \furV3
50   0x00000d84 0x00401984 5   6    .text   ascii   VVVVV
51   0x00000d8f 0x0040198f 4   5    .text   ascii   hP@A
52   0x00000da2 0x004019a2 4   5    .text   ascii   hT@A
53   0x00000da7 0x004019a7 4   5    .text   ascii   hX@A
54   0x00000de5 0x004019e5 4   5    .text   ascii   hd@A
55   0x00000e55 0x00401a55 5   6    .text   ascii   d$\buU
56   0x00000e91 0x00401a91 4   5    .text   ascii   d$\bu
57   0x00000ead 0x00401aad 4   6    .text   utf8    \fÍT$ blocks=Basic Latin,Latin-1 Supplement
58   0x00000ebb 0x00401abb 5   6    .text   ascii   <$tPf
59   0x00000fc0 0x00401bc0 4   5    .text   ascii   Hpu\a
60   0x00000fe0 0x00401be0 4   5    .text   ascii   Hpu\b
61   0x00001062 0x00401c62 13  14   .text   ascii   ~/9M\f|*SSQVj\t
62   0x000010a3 0x00401ca3 4   5    .text   ascii   'SSj
63   0x0000111b 0x00401d1b 5   6    .text   ascii   VVVVV
64   0x00001155 0x00401d55 4   5    .text   ascii   E\fPV
65   0x000011ad 0x00401dad 4   5    .text   ascii   9u\bu
66   0x000011b7 0x00401db7 5   6    .text   ascii   VVVVV
67   0x0000120f 0x00401e0f 5   6    .text   ascii   VVVVV
68   0x00001249 0x00401e49 4   5    .text   ascii   E\fPV
69   0x00001296 0x00401e96 6   8    .text   utf8    YYáhzA blocks=Basic Latin,Latin-1 Supplement
70   0x000012c0 0x00401ec0 5   7    .text   utf8    3\v}\b;
71   0x000012d9 0x00401ed9 5   6    .text   ascii   SSSSS
72   0x000012e9 0x00401ee9 6   8    .text   utf8    y3\vu\f;
73   0x00001333 0x00401f33 5   6    .text   ascii   PhhzA
74   0x000013a2 0x00401fa2 5   6    .text   ascii   SSSSS
75   0x000013da 0x00401fda 4   6    .text   utf8    \f;ÉE blocks=Basic Latin,Latin-1 Supplement
76   0x000013e0 0x00401fe0 4   6    .text   utf8    |ӋW\f blocks=Basic Latin,Cyrillic
77   0x000013eb 0x00401feb 4   5    .text   ascii   u\b+G
78   0x000014bf 0x004020bf 4   5    .text   ascii   E\b@;
79   0x000014ed 0x004020ed 4   5    .text   ascii   9E\bw
80   0x00001515 0x00402115 4   5    .text   ascii   E\b)E
81   0x0000154c 0x0040214c 5   6    .text   ascii   VVVVV
82   0x000015d6 0x004021d6 5   6    .text   ascii   SSSSS
83   0x000015f3 0x004021f3 6   7    .text   ascii   @\f@u]P
84   0x0000168b 0x0040228b 4   5    .text   ascii    PVj
85   0x000016c3 0x004022c3 4   5    .text   ascii    Pj\n
86   0x00001794 0x00402394 6   7    .text   ascii   j\fh8UA
87   0x000017b9 0x004023b9 5   6    .text   ascii   VVVVV
88   0x00001821 0x00402421 4   5    .text   ascii   u\bW3
89   0x00001832 0x00402432 5   6    .text   ascii   WWWWW
90   0x0000188b 0x0040248b 4   5    .text   ascii   _^[]
91   0x00001890 0x00402490 6   7    .text   ascii   j\fhXUA
92   0x000018a0 0x004024a0 5   7    .text   utf8    3\vu\b3
93   0x000018bb 0x004024bb 5   6    .text   ascii   WWWWW
94   0x000018ce 0x004024ce 5   6    .text   ascii   F\f@t\f
95   0x00001900 0x00402500 4   6    .text   utf8    Ջu\bV blocks=Armenian,Basic Latin
96   0x00001935 0x00402535 6   7    .text   ascii   jXhxUA
97   0x000019d5 0x004025d5 4   5    .text   ascii   }\bj\e
98   0x000019fb 0x004025fb 4   5    .text   ascii   }\bj\b
99   0x00001a0c 0x0040260c 4   5    .text   ascii   }\bj\t
100  0x00001a38 0x00402638 7   8    .text   ascii   j\nYQPVh
101  0x00001a71 0x00402671 4   6    .text   utf8    YYËe blocks=Basic Latin,Latin-1 Supplement
102  0x00001b07 0x00402707 6   7    .text   ascii   f-00f=
103  0x00001b18 0x00402718 4   5    .text   ascii   \r@*A
104  0x00001b5c 0x0040275c 5   6    .text   ascii   (-0*A
105  0x00001b77 0x00402777 5   6    .text   ascii   Y\rh*A
106  0x00001be1 0x004027e1 5   6    .text   ascii   X- *A
107  0x00001db4 0x004029b4 5   7    .text   utf8    @t\bƅp blocks=Basic Latin,Latin Extended-B
108  0x00001de1 0x004029e1 5   7    .text   utf8    @t\tƅp blocks=Basic Latin,Latin Extended-B
109  0x00001e20 0x00402a20 5   7    .text   utf8    @t\tƅp blocks=Basic Latin,Latin Extended-B
110  0x00001f67 0x00402b67 5   7    .text   utf8    ËD$\b% blocks=Latin-1 Supplement,Basic Latin
111  0x00001f78 0x00402b78 4   6    .text   utf8    ËD$\b blocks=Latin-1 Supplement,Basic Latin
112  0x00001fb1 0x00402bb1 4   6    .text   utf8    ,$ZÃ blocks=Basic Latin,Latin-1 Supplement
113  0x000020e4 0x00402ce4 5   7    .text   utf8    j\rX]Ë blocks=Basic Latin,Latin-1 Supplement
114  0x0000216a 0x00402d6a 4   5    .text   ascii   ;E\f\e
115  0x0000217d 0x00402d7d 5   6    .text   ascii   WWWWW
116  0x000021a0 0x00402da0 4   6    .text   utf8    F3ۉ] blocks=Basic Latin,Arabic
117  0x000021f3 0x00402df3 4   5    .text   ascii   u\bWS
118  0x00002201 0x00402e01 5   6    .text   ascii   uaVj\b
119  0x00002207 0x00402e07 4   5    .text   ascii   5TFC
120  0x00002216 0x00402e16 4   5    .text   ascii   uL9=
121  0x0000227a 0x00402e7a 5   6    .text   ascii   \rt\fHt
122  0x000024ba 0x004030ba 4   5    .text   ascii   u\bj 
123  0x0000265f 0x0040325f 4   5    .text   ascii   s\f9U
124  0x000026d9 0x004032d9 4   5    .text   ascii   }\bFF
125  0x0000271a 0x0040331a 6   7    .text   ascii   0A@@Ju
126  0x0000274c 0x0040334c 5   6    .text   ascii   \b\b@Iu
127  0x000027c2 0x004033c2 4   5    .text   ascii   E\b;C
128  0x00002a92 0x00403692 6   8    .text   utf8    Y_^[]Ë blocks=Basic Latin,Latin-1 Supplement
129  0x00002b22 0x00403722 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
130  0x00002c17 0x00403817 4   5    .text   ascii   Fpt"
131  0x00002c2b 0x0040382b 4   5    .text   ascii   u\bj 
132  0x00002ce1 0x004038e1 4   5    .text   ascii   E\b^]
133  0x00002d5c 0x0040395c 4   5    .text   ascii   E\b^]
134  0x00002ddb 0x004039db 6   7    .text   ascii   j\fh VA
135  0x00002e05 0x00403a05 5   6    .text   ascii   F\p2A
136  0x00002eae 0x00403aae 4   5    .text   ascii   u\bj\r
137  0x00002f55 0x00403b55 6   7    .text   ascii   j\bhHVA
138  0x00002fcf 0x00403bcf 6   7    .text   ascii   F\=p2A
139  0x0000306d 0x00403c6d 4   5    .text   ascii   u\bj\r
140  0x00003076 0x00403c76 6   8    .text   utf8    YËu\bj\f blocks=Basic Latin,Latin-1 Supplement
141  0x000030aa 0x00403caa 4   5    .text   ascii   5D A
142  0x000031a0 0x00403da0 6   7    .text   ascii   tehU;@
143  0x00003258 0x00403e58 4   6    .text   utf8    YY]ø blocks=Basic Latin,Latin-1 Supplement
144  0x00003319 0x00403f19 4   5    .text   ascii   = BC
145  0x00003327 0x00403f27 4   5    .text   ascii   5$zC
146  0x00003394 0x00403f94 5   7    .text   utf8    Y]ËE\f blocks=Basic Latin,Latin-1 Supplement
147  0x000033b7 0x00403fb7 4   5    .text   ascii   =@zA
148  0x00003458 0x00404058 4   5    .text   ascii   uNSW
149  0x000034dd 0x004040dd 4   6    .text   utf8    Y^]Ë blocks=Basic Latin,Latin-1 Supplement
150  0x000034e7 0x004040e7 4   5    .text   ascii   @\f@t
151  0x0000353d 0x0040413d 5   6    .text   ascii   G\f@SV
152  0x00003585 0x00404185 4   6    .text   utf8    ^[]Ë blocks=Basic Latin,Latin-1 Supplement
153  0x000035fd 0x004041fd 4   5    .text   ascii   WWWW
