[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x00414014 NONE FUNC KERNEL32.dll FindNextFileW
2   0x00414018 NONE FUNC KERNEL32.dll GetCurrentProcess
3   0x0041401c NONE FUNC KERNEL32.dll WriteFile
4   0x00414020 NONE FUNC KERNEL32.dll ExpandEnvironmentStringsW
5   0x00414024 NONE FUNC KERNEL32.dll RemoveDirectoryW
6   0x00414028 NONE FUNC KERNEL32.dll GetModuleFileNameW
7   0x0041402c NONE FUNC KERNEL32.dll GetEnvironmentVariableW
8   0x00414030 NONE FUNC KERNEL32.dll FindClose
9   0x00414034 NONE FUNC KERNEL32.dll CreateFileW
10  0x00414038 NONE FUNC KERNEL32.dll GetCurrentThreadId
11  0x0041403c NONE FUNC KERNEL32.dll Sleep
12  0x00414040 NONE FUNC KERNEL32.dll FormatMessageW
13  0x00414044 NONE FUNC KERNEL32.dll GetLastError
14  0x00414048 NONE FUNC KERNEL32.dll GetFullPathNameW
15  0x0041404c NONE FUNC KERNEL32.dll CloseHandle
16  0x00414050 NONE FUNC KERNEL32.dll LoadLibraryW
17  0x00414054 NONE FUNC KERNEL32.dll GetLocalTime
18  0x00414058 NONE FUNC KERNEL32.dll GetProcAddress
19  0x0041405c NONE FUNC KERNEL32.dll LocalFree
20  0x00414060 NONE FUNC KERNEL32.dll GetCurrentProcessId
21  0x00414064 NONE FUNC KERNEL32.dll GetModuleHandleW
22  0x00414068 NONE FUNC KERNEL32.dll CopyFileW
23  0x0041406c NONE FUNC KERNEL32.dll SetUnhandledExceptionFilter
24  0x00414070 NONE FUNC KERNEL32.dll FlushFileBuffers
25  0x00414074 NONE FUNC KERNEL32.dll WriteConsoleW
26  0x00414078 NONE FUNC KERNEL32.dll SetFilePointerEx
27  0x0041407c NONE FUNC KERNEL32.dll GetCommandLineW
28  0x00414080 NONE FUNC KERNEL32.dll FindFirstFileExW
29  0x00414084 NONE FUNC KERNEL32.dll ReadFile
30  0x00414088 NONE FUNC KERNEL32.dll DeleteFileW
31  0x0041408c NONE FUNC KERNEL32.dll CreateDirectoryW
32  0x00414090 NONE FUNC KERNEL32.dll GetConsoleMode
33  0x00414094 NONE FUNC KERNEL32.dll GetConsoleCP
34  0x00414098 NONE FUNC KERNEL32.dll HeapReAlloc
35  0x0041409c NONE FUNC KERNEL32.dll HeapSize
36  0x004140a0 NONE FUNC KERNEL32.dll GetStringTypeW
37  0x004140a4 NONE FUNC KERNEL32.dll SetStdHandle
38  0x004140a8 NONE FUNC KERNEL32.dll GetFileType
39  0x004140ac NONE FUNC KERNEL32.dll GetProcessHeap
40  0x004140b0 NONE FUNC KERNEL32.dll UnhandledExceptionFilter
41  0x004140b4 NONE FUNC KERNEL32.dll TerminateProcess
42  0x004140b8 NONE FUNC KERNEL32.dll IsProcessorFeaturePresent
43  0x004140bc NONE FUNC KERNEL32.dll IsDebuggerPresent
44  0x004140c0 NONE FUNC KERNEL32.dll GetStartupInfoW
45  0x004140c4 NONE FUNC KERNEL32.dll QueryPerformanceCounter
46  0x004140c8 NONE FUNC KERNEL32.dll GetSystemTimeAsFileTime
47  0x004140cc NONE FUNC KERNEL32.dll InitializeSListHead
48  0x004140d0 NONE FUNC KERNEL32.dll RtlUnwind
49  0x004140d4 NONE FUNC KERNEL32.dll RaiseException
50  0x004140d8 NONE FUNC KERNEL32.dll SetLastError
51  0x004140dc NONE FUNC KERNEL32.dll EncodePointer
52  0x004140e0 NONE FUNC KERNEL32.dll EnterCriticalSection
53  0x004140e4 NONE FUNC KERNEL32.dll LeaveCriticalSection
54  0x004140e8 NONE FUNC KERNEL32.dll DeleteCriticalSection
55  0x004140ec NONE FUNC KERNEL32.dll InitializeCriticalSectionAndSpinCount
56  0x004140f0 NONE FUNC KERNEL32.dll TlsAlloc
57  0x004140f4 NONE FUNC KERNEL32.dll TlsGetValue
58  0x004140f8 NONE FUNC KERNEL32.dll TlsSetValue
59  0x004140fc NONE FUNC KERNEL32.dll TlsFree
60  0x00414100 NONE FUNC KERNEL32.dll FreeLibrary
61  0x00414104 NONE FUNC KERNEL32.dll LoadLibraryExW
