[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x00429000 NONE FUNC KERNEL32.dll LoadLibraryW
2   0x00429004 NONE FUNC KERNEL32.dll GetModuleHandleW
3   0x00429008 NONE FUNC KERNEL32.dll FreeLibrary
4   0x0042900c NONE FUNC KERNEL32.dll GetProcAddress
5   0x00429010 NONE FUNC KERNEL32.dll GetTickCount
6   0x00429014 NONE FUNC KERNEL32.dll CreateEventW
7   0x00429018 NONE FUNC KERNEL32.dll GetCurrentProcessId
8   0x0042901c NONE FUNC KERNEL32.dll CloseHandle
9   0x00429020 NONE FUNC KERNEL32.dll WaitForSingleObject
10  0x00429024 NONE FUNC KERNEL32.dll GetThreadLocale
11  0x00429028 NONE FUNC KERNEL32.dll CreateDirectoryW
12  0x0042902c NONE FUNC KERNEL32.dll GetSystemWindowsDirectoryW
13  0x00429030 NONE FUNC KERNEL32.dll FindClose
14  0x00429034 NONE FUNC KERNEL32.dll FindFirstFileW
15  0x00429038 NONE FUNC KERNEL32.dll OpenProcess
16  0x0042903c NONE FUNC KERNEL32.dll Process32NextW
17  0x00429040 NONE FUNC KERNEL32.dll Process32FirstW
18  0x00429044 NONE FUNC KERNEL32.dll CreateToolhelp32Snapshot
19  0x00429048 NONE FUNC KERNEL32.dll GetModuleFileNameW
20  0x0042904c NONE FUNC KERNEL32.dll InterlockedIncrement
21  0x00429050 NONE FUNC KERNEL32.dll GlobalMemoryStatusEx
22  0x00429054 NONE FUNC KERNEL32.dll GetVersionExW
23  0x00429058 NONE FUNC KERNEL32.dll VerifyVersionInfoW
24  0x0042905c NONE FUNC KERNEL32.dll VerSetConditionMask
25  0x00429060 NONE FUNC KERNEL32.dll GetCurrentProcess
26  0x00429064 NONE FUNC KERNEL32.dll GetNativeSystemInfo
27  0x00429068 NONE FUNC KERNEL32.dll GetLastError
28  0x0042906c NONE FUNC KERNEL32.dll CreateFileW
29  0x00429070 NONE FUNC KERNEL32.dll GetSystemDirectoryW
30  0x00429074 NONE FUNC KERNEL32.dll CreateProcessW
31  0x00429078 NONE FUNC KERNEL32.dll lstrlenW
32  0x0042907c NONE FUNC KERNEL32.dll GetEnvironmentVariableW
33  0x00429080 NONE FUNC KERNEL32.dll GetWindowsDirectoryW
34  0x00429084 NONE FUNC KERNEL32.dll LocalFree
35  0x00429088 NONE FUNC KERNEL32.dll LocalAlloc
36  0x0042908c NONE FUNC KERNEL32.dll FormatMessageW
37  0x00429090 NONE FUNC KERNEL32.dll GetLongPathNameW
38  0x00429094 NONE FUNC KERNEL32.dll GetShortPathNameW
39  0x00429098 NONE FUNC KERNEL32.dll InterlockedDecrement
40  0x0042909c NONE FUNC KERNEL32.dll GetTempPathW
41  0x004290a0 NONE FUNC KERNEL32.dll GetLocalTime
42  0x004290a4 NONE FUNC KERNEL32.dll OutputDebugStringW
43  0x004290a8 NONE FUNC KERNEL32.dll GetCurrentThreadId
44  0x004290ac NONE FUNC KERNEL32.dll GetModuleHandleExW
45  0x004290b0 NONE FUNC KERNEL32.dll GetExitCodeProcess
46  0x004290b4 NONE FUNC KERNEL32.dll GetFileAttributesW
47  0x004290b8 NONE FUNC KERNEL32.dll lstrlenA
48  0x004290bc NONE FUNC KERNEL32.dll WriteConsoleW
49  0x004290c0 NONE FUNC KERNEL32.dll FlushFileBuffers
50  0x004290c4 NONE FUNC KERNEL32.dll HeapSize
51  0x004290c8 NONE FUNC KERNEL32.dll CompareStringW
52  0x004290cc NONE FUNC KERNEL32.dll LCMapStringW
53  0x004290d0 NONE FUNC KERNEL32.dll QueryPerformanceCounter
54  0x004290d4 NONE FUNC KERNEL32.dll ReadFile
55  0x004290d8 NONE FUNC KERNEL32.dll GetProcessHeap
