[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x0042c008 NONE FUNC KERNEL32.dll ExitProcess
2   0x0042c00c NONE FUNC KERNEL32.dll GetAtomNameA
3   0x0042c010 NONE FUNC KERNEL32.dll AddAtomW
4   0x0042c014 NONE FUNC KERNEL32.dll GetVolumeInformationW
5   0x0042c018 NONE FUNC KERNEL32.dll GetPrivateProfileIntA
6   0x0042c01c NONE FUNC KERNEL32.dll FlushInstructionCache
7   0x0042c020 NONE FUNC KERNEL32.dll CompareStringA
8   0x0042c024 NONE FUNC KERNEL32.dll GetTempFileNameW
9   0x0042c028 NONE FUNC KERNEL32.dll GetDiskFreeSpaceExA
10  0x0042c02c NONE FUNC KERNEL32.dll GetModuleHandleA
11  0x0042c030 NONE FUNC KERNEL32.dll EscapeCommFunction
12  0x0042c034 NONE FUNC KERNEL32.dll HeapCompact
13  0x0042c038 NONE FUNC KERNEL32.dll GetStartupInfoA
1   0x0042c078 NONE FUNC RESUTILS.dll ResUtilGetDwordProperty
2   0x0042c07c NONE FUNC RESUTILS.dll ResUtilGetResourceNameDependency
3   0x0042c080 NONE FUNC RESUTILS.dll ResUtilGetProperty
4   0x0042c084 NONE FUNC RESUTILS.dll ResUtilGetPropertiesToParameterBlock
5   0x0042c088 NONE FUNC RESUTILS.dll ResUtilSetPropertyTable
6   0x0042c08c NONE FUNC RESUTILS.dll ResUtilGetBinaryValue
7   0x0042c090 NONE FUNC RESUTILS.dll ResUtilSetMultiSzValue
8   0x0042c094 NONE FUNC RESUTILS.dll ResUtilStopService
9   0x0042c098 NONE FUNC RESUTILS.dll ClusWorkerTerminate
10  0x0042c09c NONE FUNC RESUTILS.dll ResUtilDupParameterBlock
11  0x0042c0a0 NONE FUNC RESUTILS.dll ResUtilDupString
12  0x0042c0a4 NONE FUNC RESUTILS.dll ResUtilGetMultiSzProperty
13  0x0042c0a8 NONE FUNC RESUTILS.dll ResUtilFindDwordProperty
14  0x0042c0ac NONE FUNC RESUTILS.dll ResUtilVerifyPrivatePropertyList
15  0x0042c0b0 NONE FUNC RESUTILS.dll ResUtilResourcesEqual
16  0x0042c0b4 NONE FUNC RESUTILS.dll ResUtilPropertyListFromParameterBlock
17  0x0042c0b8 NONE FUNC RESUTILS.dll ResUtilStopResourceService
18  0x0042c0bc NONE FUNC RESUTILS.dll ResUtilEnumResources
19  0x0042c0c0 NONE FUNC RESUTILS.dll ResUtilVerifyPropertyTable
20  0x0042c0c4 NONE FUNC RESUTILS.dll ResUtilGetPropertySize
21  0x0042c0c8 NONE FUNC RESUTILS.dll ClusWorkerCheckTerminate
22  0x0042c0cc NONE FUNC RESUTILS.dll ResUtilEnumPrivateProperties
23  0x0042c0d0 NONE FUNC RESUTILS.dll ResUtilFreeParameterBlock
24  0x0042c0d4 NONE FUNC RESUTILS.dll ResUtilGetBinaryProperty
25  0x0042c0d8 NONE FUNC RESUTILS.dll ResUtilSetDwordValue
26  0x0042c0dc NONE FUNC RESUTILS.dll ResUtilSetPrivatePropertyList
27  0x0042c0e0 NONE FUNC RESUTILS.dll ResUtilGetResourceDependency
28  0x0042c0e4 NONE FUNC RESUTILS.dll ResUtilGetDwordValue
29  0x0042c0e8 NONE FUNC RESUTILS.dll ResUtilGetPrivateProperties
30  0x0042c0ec NONE FUNC RESUTILS.dll ResUtilGetProperties
31  0x0042c0f0 NONE FUNC RESUTILS.dll ResUtilSetSzValue
1   0x0042c0f8 NONE FUNC WINSPOOL.DRV AddPrinterDriverA
1   0x0042c100 NONE FUNC ole32.dll    OleLockRunning
1   0x0042c040 NONE FUNC MSVCRT.dll   __set_app_type
2   0x0042c044 NONE FUNC MSVCRT.dll   __p__fmode
3   0x0042c048 NONE FUNC MSVCRT.dll   __p__commode
4   0x0042c04c NONE FUNC MSVCRT.dll   _adjust_fdiv
5   0x0042c050 NONE FUNC MSVCRT.dll   __setusermatherr
6   0x0042c054 NONE FUNC MSVCRT.dll   _initterm
7   0x0042c058 NONE FUNC MSVCRT.dll   __getmainargs
8   0x0042c05c NONE FUNC MSVCRT.dll   _acmdln
9   0x0042c060 NONE FUNC MSVCRT.dll   exit
10  0x0042c064 NONE FUNC MSVCRT.dll   _XcptFilter
11  0x0042c068 NONE FUNC MSVCRT.dll   _exit
12  0x0042c06c NONE FUNC MSVCRT.dll   _except_handler3
13  0x0042c070 NONE FUNC MSVCRT.dll   _controlfp
1   0x0042c000 NONE FUNC GDI32.dll    SetBitmapDimensionEx


