Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000b8 0x000000b8 4   6            utf8    4^шb blocks=Basic Latin,Cyrillic
2    0x000000d8 0x000000d8 4   5            ascii   Rich
3    0x000001e8 0x000001e8 5   6            ascii   .text
4    0x0000020f 0x0000020f 7   8            ascii   `.rdata
5    0x00000237 0x00000237 6   7            ascii   @.data
6    0x00000260 0x00000260 5   6            ascii   .rsrc
7    0x000011bc 0x004011bc 4   5    .text   ascii   t\aQP
8    0x00001226 0x00401226 6   8    .text   utf8    u؉E\bPh blocks=Basic Latin,Arabic
9    0x00001280 0x00401280 4   5    .text   ascii   u\bh0
10   0x000012b4 0x004012b4 4   5    .text   ascii   u\bhx
11   0x000013b6 0x004013b6 4   5    .text   ascii   \rWhL
12   0x000013d8 0x004013d8 5   6    .text   ascii   E\bPWh
13   0x000013f1 0x004013f1 4   5    .text   ascii   v)f9
14   0x0000143f 0x0040143f 5   6    .text   ascii   M\bQVh
15   0x00001498 0x00401498 5   6    .text   ascii   D$$Ph
16   0x000014a8 0x004014a8 5   6    .text   ascii   D$,PU
17   0x000014ae 0x004014ae 4   5    .text   ascii   3\aj9
18   0x00001549 0x00401549 4   5    .text   ascii   FKBH
19   0x000015f0 0x004015f0 6   8    .text   utf8     NŮ_.a blocks=Basic Latin,Latin Extended-A
20   0x000016ba 0x004016ba 4   5    .text   ascii   _t\nP
21   0x0000171b 0x0040171b 4   5    .text   ascii   SUVW
22   0x00001756 0x00401756 4   5    .text   ascii   {w)o
23   0x0000176a 0x0040176a 4   5    .text   ascii   zNlb
24   0x00001772 0x00401772 4   5    .text   ascii   >QG~
25   0x0000184d 0x0040184d 4   6    .text   utf8    ˹3Vs blocks=Spacing Modifier Letters,Basic Latin
26   0x000018a8 0x004018a8 9   10   .text   ascii   \eV6'\bdM9a
27   0x0000191f 0x0040191f 4   5    .text   ascii   O\eX0
28   0x000019dc 0x004019dc 6   8    .text   utf8    (:bߓ2k blocks=Basic Latin,NKo
29   0x00001a06 0x00401a06 4   7    .text   utf8    [Wc納 blocks=Basic Latin,CJK Unified Ideographs
30   0x00001a1c 0x00401a1c 4   6    .text   utf8    VuZ+
31   0x00001a38 0x00401a38 4   6    .text   utf8    _'lʄ blocks=Basic Latin,IPA Extensions
32   0x00001a95 0x00401a95 4   6    .text   utf8    r\xІ blocks=Basic Latin,Cyrillic
33   0x00001adf 0x00401adf 4   5    .text   ascii   {\b $
34   0x00001b22 0x00401b22 6   7    .text   ascii   \nNl-f^
35   0x00001b85 0x00401b85 4   6    .text   utf8    G+ֱu blocks=Basic Latin,Hebrew
36   0x00001c29 0x00401c29 4   6    .text   utf8    /\r\Ш blocks=Basic Latin,Cyrillic
37   0x00001c69 0x00401c69 5   7    .text   utf8    +#jǤD blocks=Basic Latin,Latin Extended-B
38   0x00001d9c 0x00401d9c 7   8    .text   ascii   Sr~q2yd
39   0x00001dd2 0x00401dd2 5   6    .text   ascii   |@\b\bU
40   0x00001e0c 0x00401e0c 5   6    .text   ascii   _(\auh
41   0x00001e74 0x00401e74 4   5    .text   ascii   T\f6@
42   0x00001ecd 0x00401ecd 4   9    .text   utf8    ̴襍Ͳ} blocks=Combining Diacritical Marks,CJK Unified Ideographs,Greek and Coptic,Basic Latin
43   0x00001f20 0x00401f20 6   7    .text   ascii   XQT\a\n~
44   0x00001f42 0x00401f42 7   8    .text   ascii   E8)}Qu6
45   0x00001f8f 0x00401f8f 4   7    .text   utf8    R=_湱 blocks=Basic Latin,CJK Unified Ideographs
46   0x00001fe6 0x00401fe6 6   7    .text   ascii   M}7[$K
47   0x00002013 0x00402013 4   6    .text   utf8    +^PƐ blocks=Basic Latin,Latin Extended-B
48   0x00002020 0x00402020 6   8    .text   utf8    s|+\\b̐ blocks=Basic Latin,Combining Diacritical Marks
49   0x0000206c 0x0040206c 4   5    .text   ascii   QKL 
50   0x000021a0 0x004021a0 4   6    .text   utf8    zڅ5f blocks=Basic Latin,Arabic
51   0x000021c6 0x004021c6 4   5    .text   ascii   =vx$
52   0x00002291 0x00402291 5   7    .text   utf8    t#Q˓f blocks=Basic Latin,Spacing Modifier Letters
53   0x000022e7 0x004022e7 4   6    .text   utf8    ̐?<< blocks=Combining Diacritical Marks,Basic Latin
54   0x00002363 0x00402363 4   6    .text   utf8    ݹ`1} blocks=Arabic Supplement,Basic Latin
55   0x00002396 0x00402396 4   5    .text   ascii   f11@
56   0x000023b2 0x004023b2 5   6    .text   ascii   uMu$@
57   0x000023f3 0x004023f3 4   7    .text   utf8    tϰ"ƍ blocks=Basic Latin,Greek and Coptic,Latin Extended-B
58   0x0000244b 0x0040244b 4   5    .text   ascii   LoN6
59   0x00002477 0x00402477 5   6    .text   ascii   Xq&\vE
60   0x00002566 0x00402566 4   6    .text   utf8    }lߝ3 blocks=Basic Latin,NKo
61   0x000025aa 0x004025aa 4   5    .text   ascii   Mu=\a
62   0x000025d3 0x004025d3 4   5    .text   ascii   \tZC]
63   0x0000260b 0x0040260b 5   8    .text   utf8    ΑjCd̥ blocks=Greek and Coptic,Basic Latin,Combining Diacritical Marks
64   0x0000266e 0x0040266e 4   5    .text   ascii   9=bw
65   0x000026cf 0x004026cf 4   5    .text   ascii   `hJr
66   0x000026d4 0x004026d4 4   6    .text   utf8    J\vײE blocks=Basic Latin,Hebrew
67   0x000026fb 0x004026fb 4   7    .text   utf8    营Ubs blocks=CJK Unified Ideographs,Basic Latin
68   0x00002734 0x00402734 4   5    .text   ascii   YBmm
69   0x00002822 0x00402822 7   10   .text   utf8    荥cki\vXv blocks=CJK Unified Ideographs,Basic Latin
70   0x0000288a 0x0040288a 4   5    .text   ascii   B}Si
71   0x00002921 0x00402921 4   5    .text   ascii    w\r\e
